gene,ensembl,spd,rank,label,anno_lab
GLDN,ENSG00000186417,spd01,20,L6/WM,L6/WM (spd01) 
FOLH1,ENSG00000086205,spd01,19,L6/WM,L6/WM (spd01) 
CTNNA3,ENSG00000183230,spd01,18,L6/WM,L6/WM (spd01) 
ADAMTS4,ENSG00000158859,spd01,17,L6/WM,L6/WM (spd01) 
NKX6-2,ENSG00000148826,spd01,16,L6/WM,L6/WM (spd01) 
MOG,ENSG00000204655,spd01,15,L6/WM,L6/WM (spd01) 
MAG,ENSG00000105695,spd01,14,L6/WM,L6/WM (spd01) 
TF,ENSG00000091513,spd01,13,L6/WM,L6/WM (spd01) 
LINC01608,ENSG00000253877,spd01,12,L6/WM,L6/WM (spd01) 
LRP2,ENSG00000081479,spd01,11,L6/WM,L6/WM (spd01) 
CLDN11,ENSG00000013297,spd01,10,L6/WM,L6/WM (spd01) 
PLP1,ENSG00000123560,spd01,9,L6/WM,L6/WM (spd01) 
EVI2A,ENSG00000126860,spd01,8,L6/WM,L6/WM (spd01) 
TNIP3,ENSG00000050730,spd01,7,L6/WM,L6/WM (spd01) 
ST18,ENSG00000147488,spd01,6,L6/WM,L6/WM (spd01) 
TRIM59,ENSG00000213186,spd01,5,L6/WM,L6/WM (spd01) 
ERMN,ENSG00000136541,spd01,4,L6/WM,L6/WM (spd01) 
MOBP,ENSG00000168314,spd01,3,L6/WM,L6/WM (spd01) 
PIEZO2,ENSG00000154864,spd01,2,L6/WM,L6/WM (spd01) 
AQP1,ENSG00000240583,spd01,1,L6/WM,L6/WM (spd01) 
NTNG1,ENSG00000162631,spd02,20,L3/4,L3/4 (spd02) 
SLC17A6,ENSG00000091664,spd02,19,L3/4,L3/4 (spd02) 
NEFH,ENSG00000100285,spd02,18,L3/4,L3/4 (spd02) 
GPX3,ENSG00000211445,spd02,17,L3/4,L3/4 (spd02) 
PCDH8,ENSG00000136099,spd02,16,L3/4,L3/4 (spd02) 
GPR6,ENSG00000146360,spd02,15,L3/4,L3/4 (spd02) 
TNNT2,ENSG00000118194,spd02,14,L3/4,L3/4 (spd02) 
CTXN3,ENSG00000205279,spd02,13,L3/4,L3/4 (spd02) 
PVALB,ENSG00000100362,spd02,12,L3/4,L3/4 (spd02) 
CNGB1,ENSG00000070729,spd02,11,L3/4,L3/4 (spd02) 
MET,ENSG00000105976,spd02,10,L3/4,L3/4 (spd02) 
KRT5,ENSG00000186081,spd02,9,L3/4,L3/4 (spd02) 
AJ009632.2,ENSG00000229425,spd02,8,L3/4,L3/4 (spd02) 
TPBG,ENSG00000146242,spd02,7,L3/4,L3/4 (spd02) 
SMPX,ENSG00000091482,spd02,6,L3/4,L3/4 (spd02) 
COL5A2,ENSG00000204262,spd02,5,L3/4,L3/4 (spd02) 
CUX2,ENSG00000111249,spd02,4,L3/4,L3/4 (spd02) 
FREM3,ENSG00000183090,spd02,3,L3/4,L3/4 (spd02) 
CARTPT,ENSG00000164326,spd02,2,L3/4,L3/4 (spd02) 
SYT2,ENSG00000143858,spd02,1,L3/4,L3/4 (spd02) 
FOXP2,ENSG00000128573,spd03,20,L6,L6 (spd03) 
MREG,ENSG00000118242,spd03,19,L6,L6 (spd03) 
LINC00343,ENSG00000226620,spd03,18,L6,L6 (spd03) 
RXFP1,ENSG00000171509,spd03,17,L6,L6 (spd03) 
OPRK1,ENSG00000082556,spd03,16,L6,L6 (spd03) 
TNIP3,ENSG00000050730,spd03,15,L6,L6 (spd03) 
DACH1,ENSG00000276644,spd03,14,L6,L6 (spd03) 
GALNT14,ENSG00000158089,spd03,13,L6,L6 (spd03) 
POSTN,ENSG00000133110,spd03,12,L6,L6 (spd03) 
SLN,ENSG00000170290,spd03,11,L6,L6 (spd03) 
HS3ST2,ENSG00000122254,spd03,10,L6,L6 (spd03) 
SEMA3E,ENSG00000170381,spd03,9,L6,L6 (spd03) 
NR4A2,ENSG00000153234,spd03,8,L6,L6 (spd03) 
TMEM233,ENSG00000224982,spd03,7,L6,L6 (spd03) 
ISLR,ENSG00000129009,spd03,6,L6,L6 (spd03) 
KRT17,ENSG00000128422,spd03,5,L6,L6 (spd03) 
MCTP2,ENSG00000140563,spd03,4,L6,L6 (spd03) 
OLFML2B,ENSG00000162745,spd03,3,L6,L6 (spd03) 
THEMIS,ENSG00000172673,spd03,2,L6,L6 (spd03) 
SMIM32,ENSG00000271824,spd03,1,L6,L6 (spd03) 
CD44,ENSG00000026508,spd04,20,WM,WM (spd04) 
ITGA2,ENSG00000164171,spd04,19,WM,WM (spd04) 
AL033523.1,ENSG00000228793,spd04,18,WM,WM (spd04) 
ADAMTS4,ENSG00000158859,spd04,17,WM,WM (spd04) 
PLP1,ENSG00000123560,spd04,16,WM,WM (spd04) 
ANLN,ENSG00000011426,spd04,15,WM,WM (spd04) 
CTNNA3,ENSG00000183230,spd04,14,WM,WM (spd04) 
KCNH8,ENSG00000183960,spd04,13,WM,WM (spd04) 
GLDN,ENSG00000186417,spd04,12,WM,WM (spd04) 
ST18,ENSG00000147488,spd04,11,WM,WM (spd04) 
AL162511.1,ENSG00000258844,spd04,10,WM,WM (spd04) 
AC012405.1,ENSG00000287704,spd04,9,WM,WM (spd04) 
EVI2A,ENSG00000126860,spd04,8,WM,WM (spd04) 
USH1C,ENSG00000006611,spd04,7,WM,WM (spd04) 
ERMN,ENSG00000136541,spd04,6,WM,WM (spd04) 
TRIM59,ENSG00000213186,spd04,5,WM,WM (spd04) 
MOBP,ENSG00000168314,spd04,4,WM,WM (spd04) 
LRP2,ENSG00000081479,spd04,3,WM,WM (spd04) 
PIEZO2,ENSG00000154864,spd04,2,WM,WM (spd04) 
AQP1,ENSG00000240583,spd04,1,WM,WM (spd04) 
TSHZ2,ENSG00000182463,spd05,20,L5,L5 (spd05) 
GNA15,ENSG00000060558,spd05,19,L5,L5 (spd05) 
GAL,ENSG00000069482,spd05,18,L5,L5 (spd05) 
AC096570.1,ENSG00000228999,spd05,17,L5,L5 (spd05) 
CENPF,ENSG00000117724,spd05,16,L5,L5 (spd05) 
TDO2,ENSG00000151790,spd05,15,L5,L5 (spd05) 
HS3ST2,ENSG00000122254,spd05,14,L5,L5 (spd05) 
LRMP,ENSG00000118308,spd05,13,L5,L5 (spd05) 
HTR2C,ENSG00000147246,spd05,12,L5,L5 (spd05) 
PCP4,ENSG00000183036,spd05,11,L5,L5 (spd05) 
CCDC68,ENSG00000166510,spd05,10,L5,L5 (spd05) 
TLL1,ENSG00000038295,spd05,9,L5,L5 (spd05) 
AL353751.1,ENSG00000232110,spd05,8,L5,L5 (spd05) 
Z68323.1,ENSG00000224404,spd05,7,L5,L5 (spd05) 
MEPE,ENSG00000152595,spd05,6,L5,L5 (spd05) 
LINC01182,ENSG00000250634,spd05,5,L5,L5 (spd05) 
AC016687.2,ENSG00000250723,spd05,4,L5,L5 (spd05) 
TRABD2A,ENSG00000186854,spd05,3,L5,L5 (spd05) 
