gene,ensembl,t_stat_spd01-spd04,p_value_spd01-spd04,fdr_spd01-spd04,logFC_spd01-spd04
CHN1,ENSG00000128656,39.5867731862351,1.1563727162516548e-144,1.6162621455049378e-140,1.4731901903333426
SLC17A7,ENSG00000104888,38.73056328391291,1.679851436738102e-141,1.1739641765644227e-137,1.5732693561567217
SNAP25,ENSG00000132639,37.40158266859559,1.6276618334361787e-136,7.583276481979156e-133,1.4711325121397358
GPM6A,ENSG00000150625,36.15823764666913,9.187858303186535e-132,3.2104673875909547e-128,1.07857444205934
KIAA1549L,ENSG00000110427,35.80110110167022,2.2060997223013673e-130,6.166931163721242e-127,1.588786752693224
GABBR2,ENSG00000136928,35.764449623779555,3.0597387128364467e-130,7.127661331552502e-127,1.5803207692921246
TSPYL1,ENSG00000189241,35.63601498109604,9.639799759565735e-130,1.924792589135004e-126,1.2139013180103344
NAPB,ENSG00000125814,35.582799746959665,1.551780363187921e-129,2.7111542670346963e-126,1.2873409817866754
PNMA2,ENSG00000240694,35.38257054838174,9.336470252872499e-129,1.449953830271099e-125,1.2573293337654654
RAB6B,ENSG00000154917,34.8408806406003,1.2289998365653322e-126,1.717773071567365e-123,1.2180300272912952
CAP2,ENSG00000112186,33.97169217269591,3.3390772762558026e-123,4.242753008202487e-120,1.5218958246545773
DNM1,ENSG00000106976,33.69791035889566,4.1096270696492557e-122,4.7866881293739705e-119,1.4388001709697367
VSNL1,ENSG00000163032,33.51813075820845,2.1472172069001548e-121,2.3085888385264203e-118,1.577876699285154
ITPR1,ENSG00000150995,33.20170926921909,3.98072575421049e-120,3.97418599047143e-117,1.4031747648629782
NRGN,ENSG00000154146,32.95536793367378,3.898794341538868e-119,3.632896567445917e-116,1.4160770822359776
BASP1,ENSG00000176788,32.89382857848983,6.902343287084897e-119,6.0296282577241e-116,1.2417507218826493
STXBP1,ENSG00000136854,32.62288900942851,8.581711540787618e-118,7.05568130621109e-115,1.2191775361696982
DMTN,ENSG00000158856,32.39270523133813,7.355049240941251e-117,5.711195735590881e-114,1.3250493025929169
SYN1,ENSG00000008056,32.124933820338164,9.026204378641032e-116,6.639960978961353e-113,1.4152762087381605
CYFIP2,ENSG00000055163,32.06478628976142,1.5871762532796144e-115,1.1091981246044586e-112,1.0403308591622746
NPTN,ENSG00000156642,32.04071538287822,1.9896440018302382e-115,1.3242502006467256e-112,1.3523622090660892
NDRG4,ENSG00000103034,32.017802642102076,2.467355035471802e-115,1.5675555150358809e-112,1.1312350118687258
TMEM130,ENSG00000166448,31.55614648286644,1.910466015902335e-113,1.1609818914898668e-110,1.456380808945588
RAB3C,ENSG00000152932,31.36251518205736,1.1932620777465572e-112,6.949260025276513e-110,1.5249401192112497
GABRA1,ENSG00000022355,31.327055748343014,1.6697249080470288e-112,9.33509801590933e-110,1.4534611229575063
CLSTN1,ENSG00000171603,31.322868604376488,1.7373151007615003e-112,9.33940506282442e-110,0.9799539581538701
KALRN,ENSG00000160145,31.231976575809515,4.1134134174715093e-112,2.129377012444418e-109,1.2661704477665259
ADCY1,ENSG00000164742,31.07040966616322,1.9083205288052944e-111,9.525927153968428e-109,1.2730464009570026
RBFOX1,ENSG00000078328,31.00085188696924,3.6981843118772584e-111,1.7823973147278772e-108,1.3756705487487677
PPP3CA,ENSG00000138814,30.987909498029545,4.1829255551641445e-111,1.9488250161509748e-108,1.2145172496818777
SYT4,ENSG00000132872,30.972665303438042,4.8361118333108535e-111,2.1804624223930902e-108,1.5435515585722595
NSF,ENSG00000073969,30.921112648767515,7.901198857339849e-111,3.451095513407471e-108,1.4329739171181286
