gene,ensembl,t_stat_spd01-spd04,p_value_spd01-spd04,fdr_spd01-spd04,logFC_spd01-spd04
PXK,ENSG00000168297,-24.187928429548617,6.498445804649962e-82,4.990592143494094e-80,-1.1980840206309136
DYNC1I2,ENSG00000077380,-23.47270146026911,9.701307631883521e-79,6.336223213590466e-77,-0.850920541888069
RDX,ENSG00000137710,-22.35359482476371,9.505089926719865e-74,5.209907525716218e-72,-1.122259445776221
PDE1C,ENSG00000154678,-22.2767284968955,2.097367624236563e-73,1.1318497020831832e-71,-1.229794380730966
FMNL2,ENSG00000157827,-22.175346929121325,5.958857299333432e-73,3.0961690882075606e-71,-1.0494905159472907
PTMA,ENSG00000187514,-21.977049702498384,4.598495116838443e-72,2.3036977149839038e-70,-0.8963317894320912
SECISBP2L,ENSG00000138593,-21.708187720771893,7.357452589297762e-71,3.4278371613538276e-69,-0.9941952494108666
PTP4A2,ENSG00000184007,-21.484186160901213,7.422865534346051e-70,3.293631478525548e-68,-0.9471737243635268
LIMCH1,ENSG00000064042,-21.321634609576165,3.97499480726866e-69,1.7254193298507472e-67,-0.848649599824765
SHTN1,ENSG00000187164,-21.2981238356535,5.067111709231388e-69,2.185895690121207e-67,-1.1524664606888972
SEPTIN7,ENSG00000122545,-20.841141865917823,5.68328133834809e-67,2.3226673469617327e-65,-0.7166790691474549
PLAAT3,ENSG00000176485,-20.52500907301539,1.489720070462971e-65,5.6890211543335924e-64,-1.118616600788342
FNBP1,ENSG00000187239,-20.50197378608888,1.8900333692563772e-65,7.159077615744277e-64,-0.9598632442990978
MTUS1,ENSG00000129422,-20.346233819352467,9.447185959816694e-65,3.4748241621146827e-63,-1.1190295997095667
WNK1,ENSG00000060237,-19.81284456612066,2.334089917279188e-62,7.880090525075171e-61,-0.9741528479173027
MAP7,ENSG00000135525,-19.693492452678857,8.003750050178565e-62,2.644643367644109e-60,-1.1549664945108482
RBPJ,ENSG00000168214,-19.635562082467846,1.4554841616152409e-61,4.7200236953355503e-60,-0.8198281409434705
CLDND1,ENSG00000080822,-19.48432302772683,6.932349166941547e-61,2.2071399614200914e-59,-1.0933273127921392
LHPP,ENSG00000107902,-19.46064904827218,8.850482177057189e-61,2.8114361224710986e-59,-1.1052971930050912
ERBIN,ENSG00000112851,-19.31874279051845,3.8257952038426007e-60,1.1962671043424615e-58,-1.023652946828424
ZEB2,ENSG00000169554,-19.201408014545137,1.2828766528908787e-59,3.897992821186046e-58,-1.0588884469115243
SPAG9,ENSG00000008294,-19.201111429635073,1.2868053162947085e-59,3.901448569598946e-58,-0.7541607521579525
FEZ1,ENSG00000149557,-19.118058131242705,3.0291855481599698e-59,9.124768622118943e-58,-0.7683412088146504
CCP110,ENSG00000103540,-18.692405797498946,2.4263453116490898e-57,6.949391069860518e-56,-0.9206845001862831
MAP4K4,ENSG00000071054,-18.63401393905378,4.4239308318386636e-57,1.2542247715336511e-55,-1.157439260804928
SLC44A1,ENSG00000070214,-18.484145823094103,2.065172933092061e-56,5.704530056487695e-55,-1.0367139323917334
FGF1,ENSG00000113578,-18.16823807672771,5.2913902685452704e-55,1.4060410985448144e-53,-1.0690130244013885
TTLL7,ENSG00000137941,-18.114761109400902,9.156777831672258e-55,2.419362641839001e-53,-0.8636818340447032
TMEM165,ENSG00000134851,-17.959442376679377,4.497757164917528e-54,1.157737603942031e-52,-1.0115026577908282
CDK19,ENSG00000155111,-17.942976521339958,5.323939955841154e-54,1.367880675786614e-52,-1.0065748812364825
MOBP,ENSG00000168314,-17.893073575231217,8.874379618656404e-54,2.2552218896356467e-52,-1.309142786650824
BBX,ENSG00000114439,-17.891081963916236,9.057168376132712e-54,2.2974962321816137e-52,-0.9638908752255748
SOX2-OT,ENSG00000242808,-17.861134026606358,1.230611332284867e-53,3.1047390959107554e-52,-1.142802582401
ANP32B,ENSG00000136938,-17.81409980556024,1.991324212267323e-53,4.9790229901360235e-52,-1.151268749526869
QKI,ENSG00000112531,-17.79549679501941,2.408757515083476e-53,6.001284097740061e-52,-0.927652647049376
SPART,ENSG00000133104,-17.690344702771057,7.058981483834226e-53,1.7370314119639257e-51,-0.6904818258644223
SEPTIN4,ENSG00000108387,-17.559449471414755,2.6880791326912927e-52,6.500221805817682e-51,-0.923383991918973
FRYL,ENSG00000075539,-17.542746272713366,3.1878424106727223e-52,7.695418544727571e-51,-0.9685267183794002
DYNC1LI2,ENSG00000135720,-17.501792637756758,4.841964867235971e-52,1.1588380642013213e-50,-0.750478522915806
CLMN,ENSG00000165959,-17.477670454268367,6.193141429023263e-52,1.4696356155086273e-50,-1.2355103170602222
GLTP,ENSG00000139433,-17.463007591562853,7.192390083820586e-52,1.7038650203654293e-50,-1.1124139785691227
TJP1,ENSG00000104067,-17.329137908278593,2.8155517333511726e-51,6.569777391827936e-50,-0.7776333256485639
SH3GL3,ENSG00000140600,-17.27162866907262,5.057639133393348e-51,1.1742628267016416e-49,-0.7578411848658382
ADIPOR2,ENSG00000006831,-17.240800804380417,6.922327341358623e-51,1.5939599546980145e-49,-0.9879616601331582
STAMBP,ENSG00000124356,-17.23746722887465,7.161251693250427e-51,1.6462634032329149e-49,-0.8463386565955622
MBP,ENSG00000197971,-17.214169450696943,9.07754278617571e-51,2.083363144866632e-49,-1.1412741461456974
SIRT2,ENSG00000068903,-17.197058340548875,1.0804048225469805e-50,2.4755439679900236e-49,-0.8339184854891606
MTURN,ENSG00000180354,-17.19538900753986,1.0989122462796332e-50,2.5097216448121623e-49,-0.8173906026198132
RASSF2,ENSG00000101265,-17.073989562241294,3.7763290349851855e-50,8.44508014751807e-49,-1.05602267779107
RRBP1,ENSG00000125844,-17.055175334181865,4.571871727803051e-50,1.0207835645288059e-48,-1.1543790072758613
BACE1,ENSG00000186318,-17.02979700399068,5.916411330557508e-50,1.3167783625350684e-48,-0.7397802179033448
NFASC,ENSG00000163531,-16.925370978761674,1.707824784962224e-49,3.7650263437566255e-48,-0.720129241657177
ARHGAP21,ENSG00000107863,-16.907677959508728,2.0435935911868264e-49,4.4981586809477594e-48,-0.7319181910539836
PADI2,ENSG00000117115,-16.880404158256617,2.6947977485532005e-49,5.903634503374308e-48,-1.0760924166025472
