Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to10,Feature log2 fold change topic 5to10
ENSG00000228794,LINC01128,29,0.04949,8,-1.9365,29,0.08277,31,0.36763
ENSG00000188976,NOC2L,4,-2.9411,7,-2.0777,59,1.37399,28,-0.1965
ENSG00000188290,HES4,259,2.47847,31,-1.1897,34,-1.1307,53,-0.7660
ENSG00000187608,ISG15,46,0.60642,40,0.36185,11,-1.7301,35,0.37383
ENSG00000078808,SDF4,12,-1.8309,37,-0.1819,44,0.09177,47,0.43761
ENSG00000160087,UBE2J2,4,-2.6938,1,-4.3225,33,0.50875,30,0.74356
ENSG00000131584,ACAP3,4,-3.7389,12,-2.1903,98,1.28527,51,-0.0636
ENSG00000127054,INTS11,163,2.55303,16,-1.4005,35,-0.2966,27,-1.1952
ENSG00000107404,DVL1,4,-3.5602,25,-0.9397,28,-0.8435,62,1.54128
ENSG00000175756,AURKAIP1,37,-1.8213,61,-1.0661,122,0.01239,145,0.76152
ENSG00000221978,CCNL2,18,-0.9944,17,-1.0342,57,1.00503,32,-0.2276
ENSG00000242485,MRPL20,204,0.79952,64,-1.0382,95,-0.4867,133,0.21527
ENSG00000235098,ANKRD65,4,-2.7619,14,-0.9863,13,-1.1941,37,1.72606
ENSG00000179403,VWA1,4,-3.3248,37,-0.0647,10,-2.1299,54,1.79632
ENSG00000160075,SSU72,171,0.40133,64,-1.1236,130,-0.0454,140,0.17365
ENSG00000228594,FNDC10,4,-2.0920,0,-7.5939,16,-0.0508,22,1.23768
ENSG00000197530,MIB2,4,-2.5420,13,-0.8488,30,0.55564,25,0.33647
ENSG00000248333,CDK11B,9,-2.3934,96,1.34001,54,0.38155,37,-0.5036
ENSG00000189339,SLC35E2B,4,-2.4352,18,-0.2694,23,0.14379,24,0.49617
ENSG00000008128,CDK11A,4,-2.6518,63,1.64688,37,0.76863,17,-1.0163
ENSG00000008130,NADK,47,1.11907,10,-1.3656,21,-0.2352,23,-0.0654
ENSG00000078369,GNB1,223,-1.0995,162,-1.5806,410,-0.1783,554,0.87893
ENSG00000187730,GABRD,4,-4.5332,0,-6.9861,171,1.29034,92,0.09017
ENSG00000067606,PRKCZ,89,-0.7440,57,-1.4146,200,0.63336,147,0.11117
ENSG00000162585,FAAP20,38,0.21449,30,-0.1512,14,-1.4603,40,0.71779
ENSG00000157933,SKI,4,-3.0058,30,-0.0778,37,0.33153,34,0.31956
ENSG00000157916,RER1,71,0.78279,17,-1.4482,33,-0.5133,48,0.31668
ENSG00000157911,PEX10,4,-2.3095,34,0.95306,12,-0.8004,22,0.47295
ENSG00000157870,PRXL2B,24,-0.4000,1,-4.2582,36,0.28725,35,0.52112
ENSG00000177133,PRDM16-DT,4,-2.7789,14,-0.9362,10,-1.6003,38,1.95200
ENSG00000158109,TPRG1L,5,-4.4493,27,-1.9863,150,0.79863,109,0.40159
ENSG00000130764,LRRC47,75,0.75210,7,-2.8017,78,0.97662,39,-0.6026
ENSG00000116198,CEP104,4,-2.9009,50,0.88535,39,0.53405,26,-0.2997
ENSG00000196581,AJAP1,26,-0.3052,10,-1.7239,53,0.97433,29,-0.2629
ENSG00000069424,KCNAB2,16,-3.1909,21,-2.7695,152,0.23959,166,0.95455
ENSG00000116254,CHD5,4,-5.8687,40,-2.6248,377,0.98606,246,0.30316
ENSG00000116251,RPL22,204,-1.6261,1226,1.24235,410,-0.6267,606,0.10759
ENSG00000116237,ICMT,22,-0.0365,3,-2.8270,20,-0.2286,27,0.71382
ENSG00000097021,ACOT7,108,0.26593,1,-5.7836,207,1.70341,66,-0.9836
ENSG00000162413,KLHL21,83,1.92529,12,-1.2319,36,0.48680,18,-1.1782
ENSG00000007923,DNAJC11,4,-2.1579,3,-2.6497,31,1.12411,17,0.03370
ENSG00000171735,CAMTA1,451,0.29277,133,-1.5934,521,0.61413,357,-0.1905
ENSG00000049245,VAMP3,54,0.70116,91,1.63718,17,-1.1894,29,-0.6348
ENSG00000049246,PER3,306,3.23728,42,-0.5553,30,-1.1671,31,-1.6866
ENSG00000116288,PARK7,115,-1.2895,197,-0.4655,244,-0.1435,308,0.62026
ENSG00000116285,ERRFI1,4,-2.4881,5,-2.2130,30,0.59512,25,0.52277
ENSG00000142599,RERE,45,-1.3543,84,-0.4113,138,0.43185,115,0.17701
ENSG00000074800,ENO1,335,-0.8067,262,-1.1797,436,-0.4451,691,0.91194
ENSG00000142583,SLC2A5,4,-3.3644,39,-0.0248,25,-0.8151,51,1.12956
ENSG00000171612,SLC25A33,4,-2.2657,14,-0.3993,13,-0.5559,23,1.03388
ENSG00000171603,CLSTN1,636,0.73174,99,-2.1504,690,1.03294,327,-0.6924
ENSG00000178585,CTNNBIP1,48,1.05359,7,-1.8177,18,-0.5885,27,0.24187
ENSG00000162441,LZIC,4,-3.5678,73,0.75010,30,-0.7297,54,0.65301
ENSG00000130939,UBE4B,4,-2.8440,16,-0.8537,32,0.28459,32,0.59242
ENSG00000054523,KIF1B,85,-1.8940,260,-0.1904,426,0.71033,290,-0.0482
ENSG00000142657,PGD,90,1.19006,25,-0.8728,52,0.30701,37,-0.5599
