Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,22,-0.3161,1,-4.6475,7,-1.9383,21,-0.4067,52,1.10677,33,0.33301,62,1.40486,30,0.15080,21,-0.4451
ENSG00000188976,NOC2L,15,-1.4087,17,-1.2120,41,0.14274,5,-2.9966,62,0.81328,50,0.45588,54,0.58948,40,0.08419,47,0.39073
ENSG00000188290,HES4,33,-0.1662,24,-0.6396,7,-2.3681,10,-1.9580,56,0.68652,47,0.39527,29,-0.3562,82,1.37105,39,0.10723
ENSG00000187608,ISG15,43,0.42128,56,0.86817,15,-1.1658,11,-1.6060,8,-2.0758,23,-0.5415,44,0.47474,42,0.37668,43,0.51362
ENSG00000188157,AGRN,22,-0.0385,25,0.13621,23,-0.0143,2,-3.4425,27,0.26078,35,0.71198,22,-0.0539,21,-0.1370,26,0.21087
ENSG00000078808,SDF4,38,-0.8055,62,-0.0564,67,0.05245,6,-3.4007,101,0.72793,67,0.06640,62,-0.0719,146,1.39302,48,-0.5158
ENSG00000160087,UBE2J2,35,-0.0746,20,-0.8865,22,-0.7993,12,-1.6068,33,-0.1453,55,0.68553,35,-0.0732,73,1.15619,39,0.13807
ENSG00000131584,ACAP3,65,-0.3362,41,-1.0489,55,-0.6105,24,-1.8511,172,1.27492,107,0.45226,57,-0.5553,104,0.40853,92,0.23839
ENSG00000127054,INTS11,38,-0.1668,39,-0.1092,39,-0.1170,10,-2.1890,51,0.31668,65,0.72689,42,0.00351,48,0.20212,44,0.08317
ENSG00000107404,DVL1,25,-1.4286,36,-0.8931,39,-0.7554,29,-1.1949,42,-0.6310,106,0.84585,35,-0.9285,123,1.09740,101,0.88078
ENSG00000175756,AURKAIP1,70,-0.9509,138,0.11228,87,-0.6229,59,-1.2054,92,-0.5318,180,0.54271,154,0.29109,140,0.13736,184,0.67940
ENSG00000221978,CCNL2,79,0.64569,57,0.09016,66,0.33813,13,-2.0909,76,0.58091,61,0.20318,47,-0.2176,60,0.19763,38,-0.6021
