Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000237491,LINC01409,2,-1.7064,9,0.13460,31,2.18627,4,-1.0940,7,-0.3738,4,-1.0463,8,-0.0918,4,-1.1065,13,0.69125,7,-0.2848
ENSG00000228794,LINC01128,21,-0.8455,29,-0.3940,55,0.63588,41,0.16119,46,0.32827,29,-0.3975,56,0.66800,37,0.00568,29,-0.3759,35,-0.0929
ENSG00000188976,NOC2L,26,-0.9468,36,-0.4464,49,0.01615,36,-0.4428,66,0.52018,59,0.37988,61,0.37978,52,0.12409,26,-0.9256,58,0.28786
ENSG00000188290,HES4,47,1.00679,16,-0.7038,22,-0.2266,10,-1.4403,41,0.77142,25,-0.0387,13,-1.0177,12,-1.1184,28,0.13790,41,0.78152
ENSG00000187608,ISG15,30,0.54388,19,-0.2161,15,-0.5181,11,-1.0148,15,-0.5222,28,0.44195,14,-0.6913,34,0.71475,12,-0.8626,32,0.61327
ENSG00000188157,AGRN,22,0.43755,14,-0.3207,23,0.53440,12,-0.5017,21,0.37582,18,0.15111,13,-0.4265,14,-0.2467,12,-0.4425,16,-0.0912
ENSG00000078808,SDF4,43,-0.0775,39,-0.2032,40,-0.1813,37,-0.2777,64,0.56827,38,-0.2652,47,0.09093,51,0.21507,42,-0.1044,52,0.24184
ENSG00000176022,B3GALT6,23,0.18659,13,-0.6453,18,-0.1956,14,-0.5306,23,0.22894,21,0.04739,20,-0.0316,32,0.74741,11,-0.9314,26,0.42461
ENSG00000160087,UBE2J2,33,-0.0343,32,-0.0752,28,-0.2873,31,-0.1603,36,0.09072,28,-0.3169,43,0.35471,44,0.39573,24,-0.5662,47,0.52690
ENSG00000131584,ACAP3,69,0.30873,52,-0.1365,75,0.43505,23,-1.3940,89,0.72008,51,-0.1938,49,-0.2466,42,-0.4561,60,0.08585,66,0.22926
ENSG00000127054,INTS11,36,0.04532,15,-1.2687,35,-0.0030,13,-1.5438,43,0.32587,42,0.30910,37,0.06400,57,0.78713,28,-0.3785,40,0.18718
ENSG00000224051,CPTP,9,-0.9865,18,0.05899,13,-0.4707,11,-0.7012,20,0.19203,23,0.50507,20,0.20190,19,0.09373,14,-0.3082,23,0.38884
ENSG00000107404,DVL1,91,1.34472,59,0.59549,25,-0.7446,17,-1.2914,39,-0.0766,20,-1.1450,35,-0.2078,34,-0.2803,57,0.54157,49,0.30390
ENSG00000175756,AURKAIP1,108,-0.0426,126,0.20070,59,-0.9620,66,-0.8045,140,0.37162,77,-0.6174,118,0.10572,134,0.30289,95,-0.2453,219,1.13041
ENSG00000221978,CCNL2,48,-0.2033,17,-1.7644,98,0.95539,28,-1.0286,51,-0.0948,45,-0.3479,62,0.20768,69,0.37902,57,0.06381,81,0.64031
ENSG00000242485,MRPL20,106,-0.2009,137,0.20972,83,-0.5761,77,-0.6986,149,0.34454,90,-0.4974,100,-0.2936,166,0.51588,140,0.23533,187,0.71354
ENSG00000235098,ANKRD65,27,0.29458,36,0.77125,16,-0.5223,9,-1.3242,16,-0.4864,12,-1.0517,23,0.08594,19,-0.2611,45,1.15359,30,0.48894
ENSG00000179403,VWA1,33,1.12007,14,-0.2756,7,-1.2131,5,-1.7694,17,0.04711,28,0.97439,1,-4.0253,8,-1.0355,25,0.68540,16,-0.0772
ENSG00000197785,ATAD3A,14,0.56071,2,-1.9846,9,-0.0987,4,-1.3878,15,0.75750,6,-0.7418,19,1.10866,13,0.47450,4,-1.2282,13,0.47950
ENSG00000205090,TMEM240,13,-0.8184,14,-0.7493,24,0.09273,19,-0.2844,30,0.39486,19,-0.2876,34,0.62269,24,0.06214,25,0.15766,30,0.43941
ENSG00000160075,SSU72,118,-0.1199,148,0.24808,87,-0.5827,87,-0.5923,121,-0.0792,100,-0.4028,124,-0.0392,211,0.82815,135,0.09780,165,0.42402
ENSG00000228594,FNDC10,35,0.61473,32,0.46326,20,-0.2758,19,-0.2949,20,-0.2793,23,-0.0546,11,-1.1473,28,0.29410,18,-0.3728,31,0.41852
ENSG00000272106,AL691432.2,17,-0.0788,10,-0.8647,8,-1.1352,9,-1.1282,23,0.32897,8,-1.2537,33,0.96924,14,-0.4502,34,1.01104,36,1.11133
ENSG00000197530,MIB2,28,0.13158,20,-0.3623,23,-0.1828,11,-1.2662,39,0.67512,31,0.33001,16,-0.7128,23,-0.1402,30,0.23549,30,0.24812
ENSG00000248333,CDK11B,36,0.02117,24,-0.5820,50,0.57514,58,0.82559,26,-0.4393,32,-0.1620,46,0.43351,28,-0.3269,40,0.21789,13,-1.5216
ENSG00000189339,SLC35E2B,21,0.21910,12,-0.6114,14,-0.4123,19,0.12148,25,0.49782,23,0.39696,18,-0.0384,24,0.45867,4,-2.0720,16,-0.1360
ENSG00000008128,CDK11A,37,0.89202,14,-0.6161,52,1.48596,28,0.45571,19,-0.1630,13,-0.7856,21,-0.0230,7,-1.6582,19,-0.1840,10,-1.0715
ENSG00000215790,SLC35E2A,25,-0.0966,24,-0.1795,25,-0.0696,21,-0.3381,30,0.19077,20,-0.4356,25,-0.0764,21,-0.3697,40,0.66197,39,0.63505
ENSG00000008130,NADK,24,0.09521,15,-0.5782,18,-0.3480,10,-1.2496,28,0.34090,20,-0.1716,24,0.09532,24,0.13376,26,0.23625,37,0.81433
ENSG00000078369,GNB1,596,0.30480,662,0.47587,312,-0.7078,373,-0.4332,603,0.32528,432,-0.2266,480,-0.0421,448,-0.1506,513,0.06397,567,0.22374
ENSG00000187730,GABRD,62,-1.0268,102,-0.2704,110,-0.1515,109,-0.1548,63,-0.9932,112,-0.1309,126,0.06539,254,1.23826,122,0.01033,157,0.41988
ENSG00000067606,PRKCZ,105,-0.7718,211,0.31695,127,-0.4823,140,-0.3290,196,0.19484,178,0.05498,173,-0.0035,218,0.36807,177,0.03986,200,0.22844
ENSG00000162585,FAAP20,41,1.00624,26,0.26914,8,-1.4965,15,-0.5763,28,0.36573,19,-0.2858,10,-1.2103,11,-1.0902,18,-0.3530,50,1.32987
ENSG00000157933,SKI,59,1.00501,33,0.06474,22,-0.5756,36,0.19728,30,-0.1147,29,-0.1802,30,-0.1115,24,-0.4234,48,0.66652,11,-1.5591
ENSG00000157916,RER1,50,0.15606,33,-0.4881,35,-0.3984,24,-0.9949,49,0.12836,39,-0.2634,75,0.81745,42,-0.1364,42,-0.1156,72,0.73205
ENSG00000157911,PEX10,25,0.64042,16,0.00175,8,-1.0685,15,-0.1917,21,0.41453,13,-0.4445,13,-0.3312,21,0.37858,16,-0.0748,21,0.37417
ENSG00000149527,PLCH2,13,0.26034,27,1.40456,11,0.02677,10,-0.1337,7,-0.7556,4,-1.6650,17,0.63096,6,-0.8380,10,-0.2465,15,0.46805
ENSG00000157881,PANK4,7,-1.0045,6,-1.3641,15,0.00937,9,-0.6394,24,0.83714,11,-0.4271,10,-0.5179,21,0.58705,20,0.48436,24,0.83465
ENSG00000197921,HES5,25,0.88796,12,-0.2986,12,-0.2537,13,-0.1208,4,-1.8260,4,-1.8055,1,-3.2675,6,-1.1975,58,2.45731,18,0.35354
ENSG00000157870,PRXL2B,29,-0.6708,53,0.29044,28,-0.7256,41,-0.1272,35,-0.3382,39,-0.1960,56,0.38786,58,0.44457,43,-0.0584,64,0.60651
ENSG00000177133,PRDM16-DT,41,1.18863,22,0.16815,13,-0.6371,14,-0.4807,4,-2.2200,5,-2.1721,0,-4.5447,3,-2.8075,84,2.61588,26,0.44323
ENSG00000142611,PRDM16,38,1.81438,8,-0.7094,13,0.02991,21,0.73362,1,-3.5087,3,-2.0110,0,-5.2327,2,-2.6879,44,2.12615,9,-0.5440
ENSG00000158109,TPRG1L,92,-0.9609,170,-0.0149,122,-0.5374,136,-0.3680,222,0.41247,187,0.14741,169,-0.0321,213,0.34391,141,-0.3153,253,0.62523
ENSG00000116213,WRAP73,13,0.30287,4,-1.4353,17,0.66707,2,-2.1162,14,0.32251,8,-0.4638,18,0.75145,15,0.49594,7,-0.7494,15,0.46390
ENSG00000130764,LRRC47,57,-0.3925,47,-0.6819,50,-0.5950,44,-0.7607,81,0.16736,76,0.08180,89,0.31690,96,0.43424,91,0.36415,94,0.41315
