Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,9,-2.1499,36,-0.1651,53,0.44491,51,0.39592,25,-0.7244,42,0.09451,53,0.46495,44,0.17251
ENSG00000188976,NOC2L,15,-2.0291,98,0.90862,38,-0.6154,53,-0.1200,32,-0.8983,43,-0.4871,87,0.68900,80,0.64458
ENSG00000188290,HES4,2,-3.6182,25,-0.1908,11,-1.3574,8,-1.7862,69,1.52969,32,0.22873,26,-0.1195,38,0.54527
ENSG00000187608,ISG15,21,-0.8850,22,-0.7889,12,-1.6839,13,-1.5380,86,1.43933,42,0.24173,38,0.02975,47,0.42247
ENSG00000188157,AGRN,13,-1.2678,34,0.26189,13,-1.1940,29,0.01181,24,-0.3265,38,0.51467,42,0.57644,30,0.04092
ENSG00000078808,SDF4,45,-0.4531,76,0.37283,37,-0.7568,56,-0.1059,55,-0.1320,77,0.46154,48,-0.3406,65,0.13207
ENSG00000176022,B3GALT6,5,-2.0142,16,-0.3325,15,-0.4390,11,-0.8250,22,0.17981,21,0.15752,12,-0.7081,36,1.19408
ENSG00000160087,UBE2J2,17,-1.2386,34,-0.1994,35,-0.1682,19,-1.0751,25,-0.6673,57,0.73909,56,0.60837,43,0.19125
ENSG00000131584,ACAP3,45,-0.9112,49,-0.8053,39,-1.1543,135,0.82054,93,0.21172,91,0.19581,96,0.26453,89,0.16126
ENSG00000127054,INTS11,19,-1.4644,41,-0.2944,23,-1.2060,33,-0.6510,50,0.01084,82,0.97033,43,-0.2269,62,0.41526
ENSG00000224051,CPTP,5,-2.1041,14,-0.5008,19,-0.0497,14,-0.5837,15,-0.4384,31,0.83878,23,0.19656,24,0.32382
ENSG00000107404,DVL1,13,-2.1759,45,-0.3357,34,-0.7706,47,-0.2823,96,0.88722,84,0.77500,58,0.06268,49,-0.2256
ENSG00000175756,AURKAIP1,77,-1.2295,148,-0.2295,63,-1.5242,95,-0.9027,208,0.32037,278,0.94937,117,-0.5851,221,0.47998
ENSG00000221978,CCNL2,76,0.28861,24,-1.4579,49,-0.4061,103,0.78896,61,-0.0578,51,-0.3865,35,-0.9281,93,0.71554
ENSG00000242485,MRPL20,82,-0.9378,152,0.01341,93,-0.7493,70,-1.1943,225,0.65416,235,0.85201,107,-0.5402,155,0.04710
ENSG00000235098,ANKRD65,44,0.44201,25,-0.4219,12,-1.5344,19,-0.8704,36,0.13329,53,0.90448,40,0.30763,25,-0.5056
ENSG00000179403,VWA1,142,2.90535,14,-1.1642,10,-1.6505,8,-1.9248,32,0.05435,31,0.00623,9,-1.8931,16,-1.1272
ENSG00000205090,TMEM240,11,-1.4664,20,-0.6252,24,-0.3057,23,-0.4028,20,-0.6140,44,0.77349,36,0.31004,36,0.38406
ENSG00000160075,SSU72,51,-1.5312,172,0.35318,57,-1.3655,67,-1.1250,178,0.40903,161,0.27507,145,0.07366,196,0.66144
ENSG00000228594,FNDC10,1,-4.6652,13,-1.2048,17,-0.7995,15,-0.9195,34,0.27150,29,0.02334,49,0.90862,49,1.04770
ENSG00000197530,MIB2,7,-2.2205,17,-0.9865,14,-1.2781,32,0.00222,47,0.63430,52,0.95452,26,-0.2835,35,0.19547
ENSG00000248333,CDK11B,46,-0.4876,102,0.79164,102,0.79831,84,0.47490,64,0.02345,42,-0.7026,65,0.04232,41,-0.7139
ENSG00000189339,SLC35E2B,28,0.48631,21,0.08603,18,-0.1591,38,1.04435,11,-0.9214,21,0.02388,16,-0.3628,15,-0.5567
ENSG00000008128,CDK11A,44,0.91774,36,0.57206,33,0.45634,45,0.94996,20,-0.3175,15,-0.8166,18,-0.4996,12,-1.2232
ENSG00000215790,SLC35E2A,19,-0.0731,12,-0.7189,22,0.19113,21,0.06770,11,-0.8742,32,0.89748,18,-0.1775,16,-0.3921
ENSG00000008130,NADK,16,-0.5606,16,-0.5997,24,0.02738,36,0.69451,25,0.09572,15,-0.7039,25,0.12274,31,0.49396
ENSG00000078369,GNB1,194,-1.5673,510,-0.0856,398,-0.4770,446,-0.2963,679,0.37731,689,0.46040,610,0.20165,583,0.14711
ENSG00000187730,GABRD,2,-6.5561,159,-0.1720,82,-1.1880,108,-0.7741,84,-1.1498,304,1.06235,123,-0.5696,302,1.05081
ENSG00000067606,PRKCZ,66,-1.8094,180,-0.2949,165,-0.4306,162,-0.4563,179,-0.3037,254,0.29003,322,0.65176,292,0.56393
ENSG00000162585,FAAP20,27,-0.7220,17,-1.3753,11,-1.9692,27,-0.7046,103,1.49325,32,-0.4953,78,0.99263,50,0.29272
ENSG00000157933,SKI,51,0.51706,25,-0.6405,43,0.21569,68,0.99514,42,0.17596,20,-1.0138,50,0.46212,27,-0.5455
ENSG00000157916,RER1,47,-0.1526,27,-0.9775,38,-0.4719,39,-0.4443,46,-0.1545,71,0.61676,46,-0.1718,64,0.40265
ENSG00000157911,PEX10,28,0.30277,7,-1.8737,15,-0.6801,13,-0.9277,40,0.87409,29,0.41208,20,-0.2659,27,0.22899
ENSG00000157870,PRXL2B,12,-1.6723,28,-0.4736,14,-1.4771,33,-0.2006,51,0.49342,43,0.25792,54,0.59129,48,0.46755
ENSG00000177133,PRDM16-DT,15,-1.0993,8,-1.9285,44,0.61639,3,-3.3725,73,1.50904,50,0.96681,25,-0.2568,17,-0.9784
ENSG00000158109,TPRG1L,25,-3.0843,245,0.32454,113,-0.8886,176,-0.2072,206,0.04467,267,0.53860,214,0.10879,245,0.37081
ENSG00000130764,LRRC47,54,-0.5150,79,0.07226,34,-1.2088,61,-0.3459,69,-0.1508,83,0.16453,53,-0.5641,120,0.89429
ENSG00000116198,CEP104,116,1.70853,53,0.33146,47,0.13412,43,-0.0028,20,-1.1642,27,-0.7880,53,0.33458,23,-1.0787
ENSG00000196581,AJAP1,19,-1.6916,147,1.59962,73,0.36505,54,-0.1154,21,-1.5468,70,0.35030,41,-0.5492,43,-0.5283
ENSG00000069424,KCNAB2,17,-3.4183,120,-0.5021,105,-0.7111,138,-0.2821,186,0.18614,238,0.69182,185,0.18197,213,0.47495
ENSG00000116254,CHD5,39,-2.9809,298,0.08065,530,1.04945,411,0.60811,195,-0.5874,165,-0.9231,455,0.78075,289,0.03172
ENSG00000116251,RPL22,789,0.97234,287,-0.6718,334,-0.4384,201,-1.2144,642,0.61887,564,0.45971,530,0.29884,248,-0.9800
ENSG00000116237,ICMT,22,-1.1331,49,0.12880,20,-1.2608,62,0.50207,30,-0.6483,54,0.32683,50,0.17074,56,0.39263
ENSG00000097021,ACOT7,26,-2.7024,260,0.83778,60,-1.4660,112,-0.5278,90,-0.8649,208,0.52834,110,-0.5628,247,0.87823
ENSG00000215788,TNFRSF25,1,-4.4032,13,-0.7704,5,-2.2735,60,1.74723,6,-1.9622,31,0.63927,8,-1.4632,32,0.72755
ENSG00000171680,PLEKHG5,4,-2.5410,22,-0.0476,7,-1.6710,23,-0.0088,11,-1.0504,50,1.61647,18,-0.3982,21,-0.1065
ENSG00000162408,NOL9,35,0.30744,17,-0.8381,25,-0.2189,28,-0.0397,32,0.14302,25,-0.2684,45,0.73327,29,-0.0104
ENSG00000162413,KLHL21,31,0.02934,36,0.28610,28,-0.0948,22,-0.4580,21,-0.5761,35,0.29021,8,-1.8816,42,0.61596
