Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,6,-2.3731,6,-2.4218,37,0.28257,24,-0.4181,35,0.15845,43,0.51857,33,0.07455,63,1.15187,32,0.05468
ENSG00000188976,NOC2L,6,-2.8383,26,-0.7853,29,-0.6027,22,-1.0211,48,0.15401,68,0.74602,72,0.96248,60,0.51613,36,-0.3147
ENSG00000188290,HES4,14,-0.7503,4,-2.4179,46,1.11218,29,0.35086,42,0.97017,16,-0.6005,29,0.42305,15,-0.6841,15,-0.6931
ENSG00000187608,ISG15,6,-2.2022,20,-0.5364,19,-0.6151,42,0.65664,71,1.58921,51,0.98216,15,-1.0047,24,-0.2514,22,-0.4095
ENSG00000188157,AGRN,6,-1.7064,27,0.49317,40,1.13809,13,-0.6503,21,0.12890,12,-0.7338,25,0.38937,22,0.18065,13,-0.6498
ENSG00000078808,SDF4,6,-2.8772,49,0.17420,63,0.57512,36,-0.3360,56,0.36885,44,-0.0180,69,0.83682,31,-0.5557,31,-0.5721
ENSG00000176022,B3GALT6,86,1.93386,8,-1.8597,11,-1.4492,22,-0.3907,18,-0.6679,25,-0.1486,41,0.67792,15,-0.9587,21,-0.4807
ENSG00000160087,UBE2J2,271,3.06918,19,-1.5600,23,-1.2586,43,-0.3231,37,-0.5515,26,-1.0997,57,0.11115,16,-1.8103,19,-1.6293
ENSG00000131584,ACAP3,82,0.38396,42,-0.6614,97,0.67617,72,0.18495,41,-0.6833,31,-1.1235,113,1.08395,66,0.03701,24,-1.5736
ENSG00000127054,INTS11,93,1.11683,43,-0.1341,43,-0.1371,21,-1.2357,42,-0.1847,51,0.12241,68,0.66281,35,-0.4456,27,-0.8988
ENSG00000224051,CPTP,6,-1.2306,11,-0.3198,10,-0.5514,13,-0.1904,10,-0.4682,18,0.39860,24,1.01112,14,0.00745,12,-0.2662
ENSG00000107404,DVL1,6,-2.7066,26,-0.6249,47,0.27496,87,1.32637,38,-0.0390,18,-1.1633,65,0.95387,28,-0.5262,25,-0.7279
ENSG00000175756,AURKAIP1,95,-0.6233,79,-0.8968,87,-0.7651,136,-0.0719,255,0.96329,194,0.50125,202,0.64351,84,-0.8153,115,-0.3665
ENSG00000221978,CCNL2,6,-3.1015,60,0.23949,104,1.16191,27,-1.0001,32,-0.7529,50,-0.0433,79,0.78730,60,0.24976,35,-0.6441
ENSG00000242485,MRPL20,39,-1.7267,89,-0.4926,60,-1.0816,116,-0.0745,272,1.34545,152,0.34999,141,0.26032,84,-0.5778,123,0.01916
ENSG00000235098,ANKRD65,6,-2.0504,50,1.13028,10,-1.3533,19,-0.3894,42,0.85678,12,-1.0675,36,0.64799,23,-0.1528,20,-0.3488
ENSG00000179403,VWA1,6,-2.2545,181,3.69209,22,-0.3898,24,-0.2983,17,-0.7805,14,-1.0676,12,-1.3520,9,-1.7386,9,-1.8036
ENSG00000205090,TMEM240,6,-1.8894,3,-2.7323,4,-2.4780,18,-0.3108,27,0.27488,37,0.81657,44,1.31103,14,-0.7192,24,0.13640
ENSG00000160075,SSU72,307,1.27244,62,-1.2763,73,-1.0408,123,-0.2414,186,0.41601,191,0.46090,158,0.17633,100,-0.5542,109,-0.4698
ENSG00000228594,FNDC10,20,-0.1205,4,-2.2802,5,-2.0170,36,0.81062,29,0.45514,52,1.47312,27,0.41728,20,-0.0916,8,-1.5671
ENSG00000272106,AL691432.2,6,-1.4163,20,0.32334,14,-0.2273,10,-0.7685,17,0.07082,8,-0.9908,30,1.19434,8,-1.0101,17,0.08895
ENSG00000197530,MIB2,6,-1.9944,13,-0.9511,32,0.47479,26,0.09491,33,0.52009,11,-1.2034,41,0.98824,22,-0.1537,20,-0.3060
ENSG00000248333,CDK11B,6,-3.0854,64,0.34981,59,0.22656,64,0.35162,26,-1.0415,62,0.31382,26,-1.0862,79,0.70853,75,0.70051
ENSG00000189339,SLC35E2B,6,-1.3170,10,-0.6756,18,0.25561,29,1.06788,10,-0.6568,13,-0.1683,22,0.65868,22,0.57069,7,-1.1302
ENSG00000008128,CDK11A,6,-1.4599,28,0.85391,37,1.32626,10,-0.8023,14,-0.2919,2,-2.9202,5,-1.8381,43,1.58701,16,-0.0269
ENSG00000008130,NADK,218,3.20955,20,-1.0723,12,-1.8491,29,-0.5298,34,-0.3011,15,-1.5076,35,-0.2409,21,-0.9889,15,-1.6297
ENSG00000078369,GNB1,302,-0.6695,227,-1.1047,376,-0.3337,648,0.53524,652,0.54503,496,0.10400,544,0.28226,341,-0.4848,492,0.10140
ENSG00000187730,GABRD,6,-4.2211,1,-6.3744,52,-1.1882,63,-0.8818,141,0.36303,279,1.54717,129,0.25740,157,0.54903,137,0.36342
ENSG00000067606,PRKCZ,7,-4.6122,86,-0.9702,88,-0.9410,233,0.59111,186,0.22077,191,0.26064,273,0.98567,205,0.37715,120,-0.5091
ENSG00000162585,FAAP20,6,-2.1014,40,0.71143,15,-0.8458,53,1.19432,58,1.34504,32,0.31907,21,-0.3679,15,-0.8533,12,-1.2628
ENSG00000157933,SKI,6,-2.0482,35,0.54631,55,1.30002,47,1.02251,12,-1.1287,11,-1.2226,22,-0.2075,21,-0.2908,22,-0.2142
ENSG00000157916,RER1,6,-2.7718,69,0.83837,41,-0.0103,26,-0.7223,43,0.06927,84,1.17920,45,0.14600,26,-0.6836,34,-0.3228
ENSG00000157911,PEX10,6,-1.5697,27,0.65455,23,0.38015,15,-0.2409,41,1.34625,15,-0.2223,21,0.23915,8,-1.1709,10,-0.9024
ENSG00000157870,PRXL2B,6,-2.5190,6,-2.4572,31,-0.1670,37,0.11906,39,0.17808,51,0.61977,48,0.58399,29,-0.2446,42,0.36637
ENSG00000158109,TPRG1L,90,-0.9383,34,-2.3509,73,-1.2418,179,0.12958,179,0.13452,269,0.79936,259,0.84963,154,-0.1064,157,-0.0780
ENSG00000130764,LRRC47,6,-3.4523,52,-0.3533,54,-0.3182,46,-0.5684,67,0.03517,95,0.58389,92,0.60581,66,0.00738,77,0.28939
ENSG00000116198,CEP104,6,-2.5096,91,1.64683,67,1.10617,27,-0.3597,26,-0.4447,16,-1.1381,16,-1.2457,42,0.33365,35,0.03388
ENSG00000196581,AJAP1,93,0.99211,15,-1.8428,44,-0.2199,23,-1.1752,15,-1.7772,24,-1.1068,62,0.35458,44,-0.2029,87,1.02620
ENSG00000069424,KCNAB2,6,-4.3599,6,-4.3608,106,-0.2410,165,0.47196,118,-0.0743,228,1.01005,189,0.79889,113,-0.1404,118,-0.0759
ENSG00000116254,CHD5,500,1.00801,12,-4.5492,227,-0.2797,344,0.38361,124,-1.1975,213,-0.3817,251,-0.1357,487,0.96437,287,0.09883
ENSG00000116251,RPL22,488,-0.0437,862,0.88709,264,-0.9927,812,0.78595,847,0.85700,327,-0.6654,364,-0.5469,249,-1.0791,471,-0.1105
ENSG00000116237,ICMT,6,-2.4357,16,-1.0521,18,-0.8730,38,0.24220,36,0.17933,51,0.72357,53,0.89705,25,-0.3828,31,-0.1082
ENSG00000097021,ACOT7,484,1.41525,37,-2.5927,61,-1.8752,45,-2.2939,129,-0.7441,450,1.28484,284,0.56491,142,-0.6007,190,-0.1683
ENSG00000215788,TNFRSF25,6,-1.2406,0,-8.6146,22,0.68475,4,-1.8849,12,-0.2922,11,-0.4572,30,1.42852,28,1.06571,8,-0.9441
ENSG00000171680,PLEKHG5,6,-1.4858,0,-8.8506,18,0.12833,16,-0.0692,23,0.48222,20,0.22336,21,0.38255,22,0.42129,20,0.25783
ENSG00000162408,NOL9,6,-2.1059,23,-0.2096,41,0.72013,19,-0.4892,31,0.28963,28,0.12642,29,0.17929,31,0.27875,25,-0.0851
ENSG00000162413,KLHL21,6,-2.1135,26,0.00963,35,0.46771,24,-0.1562,30,0.20688,20,-0.3791,36,0.58566,13,-1.0115,30,0.25751
ENSG00000116273,PHF13,6,-1.4426,14,-0.2587,19,0.19964,12,-0.4527,17,0.06021,10,-0.6926,24,0.66599,20,0.32692,17,0.09173
ENSG00000041988,THAP3,6,-1.3116,17,0.22716,0,-5.1567,13,-0.2289,7,-1.1506,30,1.13839,23,0.74622,12,-0.3355,17,0.22860
ENSG00000007923,DNAJC11,6,-2.3768,24,-0.4112,14,-1.1706,37,0.28136,35,0.15609,35,0.19449,55,1.06206,33,0.08899,25,-0.3984
