Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,8,-2.2687,25,-0.6618,20,-0.9773,28,-0.4894,85,1.32823,30,-0.3744,54,0.54827,56,0.61005,18,-1.1189,48,0.41899
ENSG00000188976,NOC2L,28,-0.4570,17,-1.1689,35,-0.1026,12,-1.6865,21,-0.8948,8,-2.1962,37,-0.0341,58,0.70566,56,0.65561,70,1.19053
ENSG00000188290,HES4,18,-0.9856,38,0.15993,58,0.81693,23,-0.6462,39,0.20064,34,-0.0333,10,-1.8987,21,-0.7991,88,1.57052,27,-0.4484
ENSG00000187608,ISG15,46,0.38395,159,2.71928,17,-1.1460,19,-0.9347,12,-1.5925,13,-1.5543,13,-1.4902,17,-1.1544,30,-0.2842,35,-0.0542
ENSG00000078808,SDF4,30,-0.8376,30,-0.8327,45,-0.2194,50,-0.0745,47,-0.1555,58,0.16911,35,-0.6275,37,-0.5262,83,0.74865,79,0.77134
ENSG00000160087,UBE2J2,12,-1.4576,29,-0.1632,17,-1.0169,18,-0.8633,31,-0.0695,28,-0.2367,18,-0.8981,19,-0.8021,70,1.26384,58,1.08028
ENSG00000131584,ACAP3,52,-0.6485,158,1.15244,38,-1.1193,31,-1.4233,53,-0.6019,104,0.45219,23,-1.8672,106,0.47757,99,0.37309,101,0.44692
ENSG00000127054,INTS11,16,-1.4485,28,-0.5833,24,-0.8060,28,-0.5892,28,-0.6003,10,-2.0128,25,-0.7385,51,0.37147,98,1.46384,70,1.03114
ENSG00000107404,DVL1,40,-0.7964,105,0.73961,54,-0.3176,82,0.34129,72,0.13762,80,0.29868,20,-1.7677,35,-0.9731,146,1.31954,47,-0.5676
ENSG00000175756,AURKAIP1,43,-1.5376,128,0.11114,135,0.19304,159,0.46105,70,-0.8289,121,0.02470,60,-1.0455,53,-1.2429,259,1.29217,142,0.31471
ENSG00000221978,CCNL2,57,0.43360,12,-1.8991,26,-0.7977,12,-1.8913,28,-0.6739,30,-0.5418,23,-0.9357,61,0.56541,84,1.10758,70,0.91391
ENSG00000242485,MRPL20,73,-0.7375,65,-0.9191,153,0.42799,164,0.54014,94,-0.3463,109,-0.1173,87,-0.4677,92,-0.3753,226,1.08146,114,-0.0505
ENSG00000205090,TMEM240,8,-1.6410,3,-2.8905,8,-1.4947,12,-1.0036,24,0.01952,36,0.69836,29,0.36154,24,0.02022,19,-0.2933,47,1.34509
ENSG00000160075,SSU72,21,-2.8195,190,0.52221,132,-0.0612,183,0.45517,72,-0.9912,151,0.14882,103,-0.4513,106,-0.4121,254,1.00974,151,0.16154
ENSG00000228594,FNDC10,18,-0.5031,18,-0.5133,8,-1.7037,32,0.40269,18,-0.4736,38,0.67018,18,-0.5194,28,0.18810,15,-0.7698,41,0.91117
ENSG00000197530,MIB2,6,-1.9327,4,-2.4417,9,-1.4113,18,-0.4118,19,-0.3070,42,0.90674,1,-3.7361,29,0.31685,49,1.20437,41,1.02972
ENSG00000248333,CDK11B,103,1.48775,5,-3.1921,16,-1.4650,55,0.39595,30,-0.5563,27,-0.6930,47,0.14275,112,1.63726,8,-2.5339,33,-0.4095
ENSG00000008130,NADK,7,-1.5520,6,-1.8795,26,0.30617,34,0.75211,24,0.16796,17,-0.3094,15,-0.4995,19,-0.1547,24,0.20954,31,0.65022
ENSG00000078369,GNB1,183,-1.6066,595,0.20303,504,-0.0600,626,0.28451,632,0.29942,594,0.20058,474,-0.1575,382,-0.4926,696,0.45720,539,0.04848
ENSG00000187730,GABRD,9,-3.6000,101,-0.0988,66,-0.7539,97,-0.1518,33,-1.7847,113,0.07926,65,-0.7795,91,-0.2517,126,0.25909,239,1.61313
ENSG00000067606,PRKCZ,77,-1.1676,152,-0.1307,109,-0.6548,208,0.36361,146,-0.1996,145,-0.2121,173,0.06788,159,-0.0596,251,0.67615,201,0.34570
ENSG00000162585,FAAP20,48,0.19059,94,1.31230,32,-0.4459,37,-0.2084,33,-0.3780,55,0.40363,17,-1.4174,16,-1.4733,80,1.01837,29,-0.6637
ENSG00000157933,SKI,55,0.23551,23,-1.1273,45,-0.0803,28,-0.8038,80,0.84400,51,0.10081,50,0.06584,34,-0.5436,98,1.18183,31,-0.7402
ENSG00000157916,RER1,30,-0.5691,39,-0.1637,61,0.56818,34,-0.3571,54,0.35992,27,-0.6925,18,-1.2728,29,-0.6079,60,0.54117,60,0.60801
ENSG00000157870,PRXL2B,12,-2.1130,72,0.54086,50,-0.0415,58,0.19268,27,-0.9690,54,0.09342,35,-0.5698,43,-0.2711,92,0.95733,60,0.27605
ENSG00000158109,TPRG1L,23,-2.8289,158,0.00956,118,-0.4446,175,0.17820,102,-0.6652,108,-0.5793,145,-0.1163,149,-0.0838,284,0.98106,230,0.71288
ENSG00000130764,LRRC47,47,-0.3893,21,-1.6085,43,-0.5338,41,-0.5948,100,0.83035,38,-0.7011,29,-1.1137,60,0.00979,56,-0.0984,113,1.21703
ENSG00000116198,CEP104,116,1.95195,42,0.19050,37,-0.0239,8,-2.3197,8,-2.2138,26,-0.5404,47,0.34598,42,0.16187,42,0.16918,22,-0.8533
ENSG00000196581,AJAP1,17,-1.6478,15,-1.7942,56,0.16300,34,-0.6275,22,-1.2642,32,-0.7008,68,0.47105,100,1.13061,40,-0.3682,86,1.00468
ENSG00000069424,KCNAB2,36,-2.5127,345,0.96159,114,-0.8093,209,0.13111,188,-0.0339,211,0.14369,137,-0.5265,129,-0.6214,304,0.74649,221,0.24978
ENSG00000116254,CHD5,358,0.26543,172,-0.8808,199,-0.6547,265,-0.2140,185,-0.7633,362,0.28336,465,0.69460,489,0.77839,200,-0.6501,321,0.09989
ENSG00000116251,RPL22,733,0.54399,711,0.49398,592,0.19578,962,1.00240,477,-0.1473,615,0.25790,380,-0.5032,225,-1.2974,382,-0.4915,342,-0.7234
ENSG00000116237,ICMT,14,-1.3526,65,1.05933,45,0.42224,21,-0.7652,21,-0.7401,30,-0.2144,27,-0.3766,27,-0.3888,34,-0.0142,47,0.56749
ENSG00000097021,ACOT7,31,-2.1486,144,0.15241,46,-1.5984,164,0.36347,41,-1.7499,64,-1.1051,74,-0.8786,145,0.17032,234,0.95648,247,1.23493
ENSG00000215788,TNFRSF25,3,-3.0090,11,-1.1000,14,-0.7371,15,-0.6146,7,-1.7565,21,-0.1187,5,-2.2267,46,1.16652,46,1.18130,41,1.10286
ENSG00000171680,PLEKHG5,0,-5.2512,3,-3.0029,15,-0.6351,23,0.02930,9,-1.3864,19,-0.2712,7,-1.7344,26,0.22891,78,2.17677,34,0.75806
