Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,12,-1.6891,9,-2.1239,52,1.56285,22,-0.8982
ENSG00000188976,NOC2L,12,-1.8639,18,-1.2317,58,1.46550,24,-0.9323
ENSG00000188290,HES4,196,2.88937,16,-1.4237,18,-1.9502,46,0.20302
ENSG00000188157,AGRN,12,-1.2020,11,-1.3091,25,-0.1306,38,0.80975
ENSG00000078808,SDF4,12,-2.1627,33,-0.6293,51,0.04321,67,0.61345
ENSG00000160087,UBE2J2,12,-1.3179,14,-1.0858,31,0.27411,34,0.35680
ENSG00000131584,ACAP3,38,-1.0240,128,0.88259,76,0.05619,66,-0.2292
ENSG00000127054,INTS11,12,-1.7001,42,0.20402,42,0.46412,33,-0.2208
ENSG00000107404,DVL1,12,-2.0208,32,-0.5428,42,-0.2838,70,0.92169
ENSG00000175756,AURKAIP1,228,0.81783,32,-2.2160,145,0.15362,130,-0.1137
ENSG00000221978,CCNL2,204,1.67591,93,0.32764,62,-0.5715,56,-0.5884
ENSG00000242485,MRPL20,358,1.42347,77,-1.0700,144,-0.2089,132,-0.2984
ENSG00000235098,ANKRD65,12,-1.2924,1,-4.2157,23,-0.4794,51,1.37385
ENSG00000179403,VWA1,12,-1.5522,80,1.47046,12,-2.2783,68,1.71467
ENSG00000205090,TMEM240,12,-1.0232,3,-3.0778,29,0.86650,22,-0.1310
ENSG00000160075,SSU72,12,-3.3681,39,-1.6392,148,0.95875,110,-0.0985
ENSG00000228594,FNDC10,12,-1.1573,2,-3.3815,32,0.89865,24,-0.1203
ENSG00000197530,MIB2,12,-1.2828,10,-1.5663,35,0.83308,25,-0.1965
ENSG00000248333,CDK11B,12,-1.9921,132,1.85144,41,-0.2545,34,-0.5065
ENSG00000008128,CDK11A,12,-1.3781,99,2.11563,21,-0.9524,30,0.03708
ENSG00000215790,SLC35E2A,12,-0.9958,31,0.51402,18,-0.6450,33,0.78852
ENSG00000078369,GNB1,267,-0.7915,88,-2.4444,512,0.48750,490,0.19360
ENSG00000187730,GABRD,12,-3.8548,30,-2.5071,254,2.34538,69,-1.5046
ENSG00000067606,PRKCZ,220,0.18296,109,-0.9122,221,0.40296,169,-0.2942
ENSG00000162585,FAAP20,12,-1.3159,23,-0.3207,22,-0.6320,47,1.13054
ENSG00000157933,SKI,12,-1.8425,70,0.89301,29,-0.9085,63,0.98650
ENSG00000157916,RER1,12,-1.9331,9,-2.3610,55,0.93004,41,-0.0964
ENSG00000157870,PRXL2B,12,-1.7632,5,-2.8780,46,0.68731,42,0.18569
ENSG00000158109,TPRG1L,200,0.10037,47,-2.0748,238,0.89415,130,-0.6809
ENSG00000130764,LRRC47,12,-2.6155,35,-1.0135,89,1.01508,57,-0.3387
ENSG00000116198,CEP104,12,-2.0657,117,1.53122,31,-1.0753,67,0.76730
ENSG00000196581,AJAP1,12,-2.2266,33,-0.7132,74,1.42572,30,-0.9950
ENSG00000069424,KCNAB2,12,-3.8589,10,-4.0982,232,1.45488,133,-0.4069
ENSG00000116254,CHD5,25,-3.4696,255,-0.0181,332,0.95698,191,-0.5712
ENSG00000116251,RPL22,98,-2.1574,223,-0.9266,369,-0.2928,646,1.02757
ENSG00000116237,ICMT,12,-1.7574,20,-0.9633,46,0.67680,37,-0.0555
ENSG00000097021,ACOT7,15,-3.5983,68,-1.4188,263,2.07920,75,-1.4528
ENSG00000215788,TNFRSF25,12,-1.0690,3,-2.8437,28,0.53279,27,0.23537
ENSG00000171680,PLEKHG5,12,-0.9232,6,-1.8924,31,1.56507,11,-1.1632
ENSG00000162408,NOL9,12,-1.4447,17,-0.9236,34,0.30173,36,0.31330
ENSG00000162413,KLHL21,12,-1.1920,15,-0.8000,28,0.23865,30,0.31219
ENSG00000007923,DNAJC11,12,-1.7494,14,-1.4577,44,0.49120,43,0.24847
ENSG00000171735,CAMTA1,1003,1.03339,263,-1.1008,594,0.34738,356,-0.7597
ENSG00000049246,PER3,12,-1.8752,52,0.36054,40,-0.0882,50,0.38960
ENSG00000116288,PARK7,19,-3.5664,28,-2.9726,279,1.15415,192,-0.1585
ENSG00000116285,ERRFI1,12,-1.0188,6,-2.0493,29,0.84043,21,-0.1933
ENSG00000162426,SLC45A1,12,-1.1526,5,-2.3319,36,1.49318,15,-0.9149
ENSG00000142599,RERE,12,-3.5454,256,1.11527,132,0.05391,124,-0.1034
ENSG00000074800,ENO1,198,-1.0369,121,-1.7778,390,0.01615,537,0.69014
ENSG00000171612,SLC25A33,12,-1.4295,12,-1.3449,19,-1.2312,66,1.92871
ENSG00000171603,CLSTN1,389,-0.8549,192,-1.9122,928,1.31556,427,-0.8465
ENSG00000178585,CTNNBIP1,12,-1.2678,18,-0.6372,25,-0.2255,40,0.78918
ENSG00000162441,LZIC,12,-2.5415,140,1.27482,48,-0.8373,93,0.74855
ENSG00000130939,UBE4B,85,0.74251,85,0.73775,53,-0.0623,35,-0.7821
ENSG00000054523,KIF1B,844,0.65460,798,0.56218,479,-0.4741,562,-0.0063
ENSG00000142657,PGD,12,-2.1715,22,-1.2386,68,1.20114,38,-0.5522
ENSG00000241563,CORT,24307,9.47981,21,-6.8461,41,-6.8737,23,-7.0536
ENSG00000160049,DFFA,182,1.41541,99,0.37795,44,-1.4464,106,0.63932
ENSG00000120948,TARDBP,191,1.02025,108,0.08032,94,-0.2687,89,-0.2737
ENSG00000116649,SRM,12,-1.8969,0,-8.6733,53,0.83880,45,0.13336
ENSG00000171824,EXOSC10,12,-1.6910,61,0.84682,33,-0.2833,43,0.33443
ENSG00000198793,MTOR,12,-1.9579,44,0.00574,55,0.85975,32,-0.5997
ENSG00000116661,FBXO2,12,-3.6123,23,-2.6802,132,-0.1041,225,1.11988
ENSG00000132879,FBXO44,25,-1.5529,28,-1.3533,96,1.37214,44,-0.8430
ENSG00000177000,MTHFR,151,2.57925,28,-0.4072,24,-1.0529,25,-0.6828
ENSG00000011021,CLCN6,12,-2.6283,52,-0.4440,77,0.36236,78,0.25331
ENSG00000116685,KIAA2013,12,-1.4000,48,0.74778,24,-0.5745,41,0.66875
ENSG00000116688,MFN2,12,-3.4793,88,-0.5435,154,0.77744,116,-0.1390
ENSG00000048707,VPS13D,118,0.23460,118,0.24378,103,0.04793,87,-0.2863
ENSG00000116731,PRDM2,236,-0.1810,298,0.18555,308,0.51825,179,-0.7275
ENSG00000189337,KAZN,12,-2.7873,117,0.66957,76,-0.0522,88,0.27441
ENSG00000142634,EFHD2,235,1.70302,91,0.08091,81,-0.2134,47,-1.0858
ENSG00000116138,DNAJC16,12,-1.7824,34,-0.1899,48,0.73833,32,-0.3752
ENSG00000197312,DDI2,12,-1.8324,51,0.38332,50,0.78554,27,-0.7415
ENSG00000116786,PLEKHM2,12,-3.1689,52,-1.0109,105,0.15483,136,0.64609
ENSG00000065526,SPEN,84,-1.3568,583,1.81485,169,-0.5335,185,-0.1783
ENSG00000116809,ZBTB17,12,-1.1026,23,-0.1232,17,-0.8876,43,1.28793
ENSG00000055070,SZRD1,12,-1.1775,45,0.90602,14,-1.4390,47,1.37493
ENSG00000159363,ATP13A2,12,-3.0494,20,-2.2718,132,1.53861,65,-0.6704
ENSG00000117118,SDHB,12,-1.9167,8,-2.4878,59,1.37147,31,-0.5822
ENSG00000117115,PADI2,12,-2.7634,160,1.23454,15,-3.2829,192,2.53744
ENSG00000179051,RCC2,12,-1.0790,24,-0.0208,32,1.06732,13,-1.0919
ENSG00000117154,IGSF21,12,-2.1268,24,-1.1001,62,0.86830,44,-0.1972
ENSG00000159423,ALDH4A1,12,-0.9956,9,-1.3175,13,-1.3758,50,1.98486
ENSG00000127481,UBR4,12,-2.3521,140,1.50488,59,0.11829,41,-0.6394
ENSG00000127463,EMC1,69,0.79825,43,0.03912,46,0.28308,25,-0.9225
ENSG00000053372,MRTO4,33,-0.2869,19,-1.1228,45,0.35813,40,0.01168
ENSG00000077549,CAPZB,428,1.49347,96,-0.9416,169,-0.1321,135,-0.5125
ENSG00000173436,MICOS10,12,-4.1491,22,-3.2507,243,0.75856,228,0.28768
ENSG00000158747,NBL1,12,-3.2500,33,-1.7588,135,0.89492,105,-0.0172
ENSG00000162545,CAMK2N1,1033,-0.5932,352,-2.2056,1457,-0.1143,2166,0.77496
ENSG00000158828,PINK1,207,-0.8534,68,-2.5034,461,0.95760,303,-0.3242
ENSG00000244038,DDOST,12,-1.2632,13,-1.0687,30,0.28236,32,0.33486
ENSG00000189410,SH2D5,12,-1.8633,2,-4.4624,56,1.24109,34,-0.3331
ENSG00000127483,HP1BP3,175,-0.8196,617,1.21953,275,-0.2365,275,-0.1476
ENSG00000075151,EIF4G3,184,-0.7847,429,0.54413,379,0.79655,159,-1.1788
ENSG00000076864,RAP1GAP,220,0.92001,36,-1.8953,154,0.77004,65,-1.1685
ENSG00000090686,USP48,623,2.64507,183,0.35805,92,-1.1983,85,-0.9966
ENSG00000070831,CDC42,12,-3.9117,99,-0.8097,216,0.96887,146,-0.2634
