Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to10,Feature log2 fold change topic 6to10
ENSG00000228794,LINC01128,11,-1.7568,30,-0.0946,53,0.95280,33,0.06215
ENSG00000188976,NOC2L,20,-1.6392,33,-0.7834,65,0.31173,69,0.75700
ENSG00000188290,HES4,9,-2.3234,104,1.57983,37,-0.1861,43,0.13248
ENSG00000187608,ISG15,23,-0.6446,54,0.79402,6,-2.5507,44,0.95484
ENSG00000188157,AGRN,21,-0.1971,30,0.37021,28,0.28474,22,-0.2200
ENSG00000078808,SDF4,62,0.13095,55,-0.0746,49,-0.3032,60,0.12222
ENSG00000176022,B3GALT6,10,-1.2124,27,0.38509,20,-0.1053,25,0.50922
ENSG00000160087,UBE2J2,15,-1.2973,29,-0.2253,36,0.14736,40,0.60928
ENSG00000131584,ACAP3,65,-0.3450,141,0.96218,112,0.64909,59,-0.7310
ENSG00000127054,INTS11,29,-0.6529,41,-0.0429,60,0.63571,41,-0.0825
ENSG00000107404,DVL1,28,-1.1160,142,1.63866,40,-0.5337,54,-0.0445
ENSG00000175756,AURKAIP1,116,-0.8353,184,-0.0436,134,-0.5952,242,0.81638
ENSG00000221978,CCNL2,50,-0.1292,47,-0.2272,73,0.57273,49,-0.2533
ENSG00000242485,MRPL20,87,-1.0294,157,-0.0371,102,-0.7766,214,0.99458
ENSG00000235098,ANKRD65,31,-0.1637,59,0.92905,20,-0.9001,35,0.14321
ENSG00000179403,VWA1,114,3.24096,26,-0.3135,11,-1.7754,9,-2.5347
ENSG00000205090,TMEM240,3,-3.0250,32,0.41646,36,0.69250,27,0.30875
ENSG00000160075,SSU72,69,-1.1392,164,0.30617,109,-0.3852,167,0.68565
ENSG00000228594,FNDC10,12,-1.5025,34,0.24535,18,-0.8116,40,1.07333
ENSG00000197530,MIB2,27,-0.5535,48,0.38601,32,-0.2953,42,0.33872
ENSG00000248333,CDK11B,135,0.93411,83,-0.0052,101,0.35201,56,-0.9881
ENSG00000008128,CDK11A,94,1.76356,31,-0.4500,42,0.05981,21,-1.5169
ENSG00000215790,SLC35E2A,11,-1.3137,41,0.80122,19,-0.4794,30,0.55113
ENSG00000008130,NADK,15,-0.5076,27,0.48874,18,-0.1626,21,0.19070
