Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to12,Feature log2 fold change topic 8to12
ENSG00000228794,LINC01128,16,-1.2055,21,-0.8782,18,-1.0147,58,0.92067,41,0.43283
ENSG00000188976,NOC2L,12,-2.1280,29,-0.9560,50,-0.0216,56,0.19553,68,0.85944
ENSG00000188290,HES4,9,-2.0792,26,-0.6643,191,3.00587,10,-1.9863,30,-0.5032
ENSG00000187608,ISG15,30,-0.4063,46,0.30946,123,1.94609,6,-2.8617,33,-0.3616
ENSG00000188157,AGRN,15,-0.9372,30,0.20464,63,1.38670,17,-0.8044,25,-0.2065
ENSG00000078808,SDF4,34,-0.8952,59,-0.0791,105,0.85349,52,-0.3081,64,0.09876
ENSG00000176022,B3GALT6,6,-1.9948,21,-0.3139,19,-0.4273,25,0.01966,32,0.68402
ENSG00000160087,UBE2J2,8,-2.0598,33,0.06487,19,-0.7889,28,-0.2367,40,0.63008
ENSG00000131584,ACAP3,80,-0.1386,82,-0.1211,135,0.69203,76,-0.2307,87,-0.0071
ENSG00000127054,INTS11,34,-0.5725,25,-1.2255,132,1.61936,45,-0.1806,54,0.19189
ENSG00000107404,DVL1,21,-1.5024,68,0.34494,89,0.71142,21,-1.6156,66,0.37362
ENSG00000175756,AURKAIP1,83,-0.8939,144,-0.0609,167,0.17800,103,-0.6164,179,0.50008
ENSG00000221978,CCNL2,64,0.01184,33,-1.1701,123,1.07373,83,0.47816,62,-0.0485
ENSG00000242485,MRPL20,67,-1.0363,137,0.06089,141,0.08855,79,-0.8591,163,0.55531
ENSG00000235098,ANKRD65,26,-0.2797,28,-0.1906,14,-1.1999,20,-0.7500,42,0.83304
ENSG00000179403,VWA1,68,1.66858,40,1.02075,59,1.42418,5,-2.4877,8,-2.1121
ENSG00000205090,TMEM240,6,-2.1853,22,-0.4147,11,-1.3947,25,-0.1684,40,1.04569
ENSG00000160075,SSU72,64,-1.2162,121,-0.2959,175,0.33959,131,-0.1284,167,0.43339
ENSG00000228594,FNDC10,5,-2.6930,35,0.08657,41,0.29738,21,-0.7865,42,0.60280
ENSG00000197530,MIB2,10,-1.9941,32,-0.3327,54,0.53669,32,-0.3101,48,0.56038
ENSG00000248333,CDK11B,122,1.27428,49,-0.2376,55,-0.0334,68,0.33170,42,-0.6240
ENSG00000189339,SLC35E2B,9,-1.3742,20,-0.3080,29,0.30407,25,0.08244,27,0.36027
ENSG00000008128,CDK11A,70,1.34288,17,-1.0612,96,1.93095,38,0.38966,15,-1.4274
ENSG00000008130,NADK,8,-1.6677,25,0.02309,22,-0.1779,27,0.15258,28,0.27099
ENSG00000078369,GNB1,140,-1.9043,601,0.39703,478,-0.0451,395,-0.3732,539,0.23385
ENSG00000187730,GABRD,7,-4.6370,86,-1.2240,149,-0.2333,163,-0.1048,268,1.33358
ENSG00000067606,PRKCZ,77,-1.5333,186,-0.2427,152,-0.5134,180,-0.2692,278,0.76065
ENSG00000162585,FAAP20,34,-0.1853,43,0.26603,64,0.85332,19,-1.0750,37,-0.0274
ENSG00000157933,SKI,32,0.00238,48,0.79495,32,-0.0180,32,-0.0157,23,-0.7192
ENSG00000157916,RER1,30,-0.9494,54,-0.0340,77,0.52449,51,-0.1352,58,0.13602
ENSG00000157911,PEX10,26,0.28934,26,0.32783,46,1.19209,9,-1.4231,19,-0.3218
ENSG00000157870,PRXL2B,18,-1.4272,35,-0.4838,42,-0.1334,38,-0.3047,61,0.82714
ENSG00000158109,TPRG1L,34,-2.7232,169,-0.3955,158,-0.4326,184,-0.2167,288,0.91745
ENSG00000130764,LRRC47,31,-1.3150,47,-0.8089,54,-0.4948,73,-0.0442,104,0.96203
ENSG00000116198,CEP104,122,1.83489,33,-0.4050,64,0.69942,29,-0.5916,30,-0.6810
ENSG00000196581,AJAP1,24,-1.0618,41,-0.3213,14,-1.8351,74,0.73563,56,0.32946
ENSG00000069424,KCNAB2,15,-3.8685,212,0.04629,94,-1.2003,206,-0.0051,265,0.67916
ENSG00000116254,CHD5,47,-2.5445,266,0.07960,221,-0.2254,373,0.68460,251,-0.0470
ENSG00000116251,RPL22,871,0.94787,633,0.53351,416,-0.2427,309,-0.7535,406,-0.4206
ENSG00000116237,ICMT,16,-1.0280,29,-0.1318,33,0.09144,34,0.16736,34,0.20959
ENSG00000097021,ACOT7,27,-2.9813,106,-1.1112,145,-0.4840,195,-0.0351,301,1.25701
ENSG00000215788,TNFRSF25,0,-6.0632,17,-0.5003,20,-0.1697,44,1.24342,22,-0.0288
ENSG00000171680,PLEKHG5,2,-3.3759,25,-0.1656,29,0.10300,29,0.11122,32,0.46013
ENSG00000162408,NOL9,13,-1.1611,32,0.29435,41,0.61315,25,-0.1890,27,-0.1029
ENSG00000162413,KLHL21,11,-1.4076,22,-0.4391,41,0.64406,33,0.29224,30,0.18664
ENSG00000041988,THAP3,10,-0.9289,13,-0.7108,34,0.88855,13,-0.6443,25,0.64562
ENSG00000007923,DNAJC11,14,-1.4503,39,0.10136,43,0.24494,39,0.12852,38,0.06546
ENSG00000171735,CAMTA1,201,-0.9626,343,-0.1757,364,-0.0501,610,0.88600,340,-0.2393
ENSG00000049245,VAMP3,84,2.29392,22,-0.0161,32,0.58178,9,-1.4218,13,-1.0649
ENSG00000049246,PER3,53,0.32294,42,-0.0754,85,1.08830,46,0.11331,33,-0.6171
ENSG00000116288,PARK7,107,-1.3316,238,-0.1454,206,-0.3436,159,-0.8001,348,0.85494
ENSG00000116285,ERRFI1,8,-1.3752,13,-0.9292,30,0.50427,18,-0.3104,29,0.85723
ENSG00000162426,SLC45A1,4,-2.6940,12,-1.3387,39,0.58987,25,-0.0715,38,1.00724
ENSG00000142599,RERE,201,0.53456,141,-0.0404,157,0.13603,147,0.03254,131,-0.2317
ENSG00000074800,ENO1,197,-1.2958,457,-0.0124,533,0.23326,353,-0.4469,543,0.43590
ENSG00000171612,SLC25A33,14,-0.6999,37,1.11246,16,-0.4651,13,-0.8812,20,-0.2921
ENSG00000171603,CLSTN1,113,-2.8152,428,-0.9776,587,-0.3599,1034,0.60084,966,0.73769
ENSG00000178585,CTNNBIP1,15,-1.0305,34,0.19928,65,1.22702,13,-1.3871,32,0.10299
ENSG00000162441,LZIC,81,0.86694,52,0.18945,48,0.02515,40,-0.2834,41,-0.3662
ENSG00000130939,UBE4B,53,0.33190,36,-0.3000,27,-0.7260,63,0.69292,40,-0.1729
ENSG00000054523,KIF1B,553,0.39594,471,0.17473,321,-0.4566,508,0.28730,374,-0.3355
ENSG00000142657,PGD,22,-1.3920,33,-0.9637,89,0.74004,72,0.44564,64,0.33908
ENSG00000241563,CORT,21,-0.8594,12,-1.8617,196,3.08259,13,-1.6576,33,-0.2601
ENSG00000160049,DFFA,96,0.87089,71,0.46458,33,-0.8271,58,0.05423,43,-0.5908
ENSG00000142655,PEX14,10,-0.9545,13,-0.7207,41,1.25624,14,-0.5480,22,0.41741
ENSG00000120948,TARDBP,107,0.47465,60,-0.5067,73,-0.1207,85,0.11009,84,0.15575
ENSG00000116649,SRM,23,-1.5036,50,-0.4116,92,0.61738,37,-0.8777,83,0.76333
ENSG00000171824,EXOSC10,43,0.29850,35,-0.0132,23,-0.6688,58,0.90935,27,-0.5755
ENSG00000198793,MTOR,12,-1.7097,34,-0.2133,52,0.48462,41,0.12573,42,0.24058
ENSG00000116661,FBXO2,104,-0.9647,264,0.60757,205,0.06945,82,-1.4018,217,0.26119
ENSG00000132879,FBXO44,20,-2.3366,75,-0.4866,99,0.01493,89,-0.1671,131,0.80306
ENSG00000177000,MTHFR,25,0.19403,20,-0.2063,37,0.79933,18,-0.3746,22,-0.0312
ENSG00000011021,CLCN6,25,-1.5677,66,-0.1296,77,0.12366,62,-0.2151,85,0.48331
ENSG00000116685,KIAA2013,40,0.50459,25,-0.2959,29,-0.0239,33,0.24095,28,-0.1056
ENSG00000083444,PLOD1,11,-1.0756,18,-0.3584,80,2.24340,10,-1.1649,19,-0.2855
ENSG00000116688,MFN2,61,-1.0104,81,-0.6813,100,-0.2638,118,-0.0054,156,0.76446
ENSG00000048707,VPS13D,52,-0.6871,58,-0.6348,104,0.37888,123,0.73808,81,-0.0160
ENSG00000116731,PRDM2,167,-0.4482,187,-0.3259,116,-0.9996,409,1.14162,202,-0.2342
ENSG00000189337,KAZN,93,0.58643,64,-0.0156,81,0.37236,71,0.18566,52,-0.4630
ENSG00000142634,EFHD2,34,-1.5310,72,-0.4814,55,-0.8312,142,0.73874,108,0.35796
ENSG00000116138,DNAJC16,14,-1.3532,21,-0.8425,25,-0.4796,58,0.98140,38,0.28079
ENSG00000197312,DDI2,35,-0.0647,29,-0.4472,68,0.99938,49,0.49342,31,-0.4070
