Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,10,-1.5661,32,0.13251,21,-0.5171,43,0.60960,39,0.46150,41,0.63755,27,-0.1132,19,-0.6390,20,-0.5937
ENSG00000188976,NOC2L,24,-0.7356,44,0.18117,25,-0.6605,71,0.99707,38,-0.0333,42,0.14190,41,0.10568,38,-0.0357,20,-0.9927
ENSG00000188290,HES4,4,-2.2221,10,-0.9481,37,1.07303,8,-1.3566,13,-0.5283,21,0.14347,28,0.70908,18,-0.0468,21,0.17884
ENSG00000187608,ISG15,10,-1.3461,0,-5.2107,32,0.42626,28,0.24487,5,-2.3039,33,0.58242,29,0.32437,41,0.86014,25,0.05693
ENSG00000188157,AGRN,17,0.44547,2,-2.2191,22,0.92110,17,0.49492,8,-0.6009,12,-0.1309,14,0.22821,12,-0.1185,7,-0.7821
ENSG00000078808,SDF4,70,0.09376,99,0.66421,55,-0.2678,53,-0.3353,56,-0.2494,68,0.06345,72,0.16574,53,-0.3451,56,-0.2393
ENSG00000176022,B3GALT6,12,-0.9653,27,0.27073,17,-0.4303,33,0.61954,18,-0.3234,32,0.65303,29,0.44965,12,-0.9662,6,-1.8553
ENSG00000160087,UBE2J2,29,-0.3144,47,0.44827,30,-0.2265,40,0.22148,27,-0.4013,32,-0.1589,45,0.44492,30,-0.2377,29,-0.2911
ENSG00000162572,SCNN1D,8,-0.5573,20,0.89779,4,-1.4215,14,0.32373,12,0.04867,8,-0.6584,16,0.54232,11,-0.0636,11,-0.1416
ENSG00000131584,ACAP3,51,-0.1935,83,0.58189,43,-0.4602,45,-0.4003,81,0.52660,46,-0.4076,82,0.63147,35,-0.7757,45,-0.3983
ENSG00000127054,INTS11,42,0.02992,59,0.58135,30,-0.5003,34,-0.2793,43,0.07052,42,0.03888,41,-0.0045,43,0.05181,36,-0.2234
ENSG00000224051,CPTP,21,0.28994,14,-0.4042,7,-1.3715,26,0.59250,12,-0.5435,19,0.15756,18,-0.0075,24,0.46603,17,-0.0636
ENSG00000107404,DVL1,39,-0.3523,61,0.32153,67,0.48995,30,-0.7886,68,0.50057,39,-0.4158,44,-0.1944,69,0.54598,44,-0.1693
ENSG00000175756,AURKAIP1,89,-0.6203,121,-0.1439,120,-0.1634,135,0.02157,102,-0.4169,148,0.19130,149,0.20097,149,0.18008,153,0.22290
ENSG00000221978,CCNL2,70,0.20079,78,0.36702,48,-0.3920,79,0.39629,53,-0.2307,60,-0.0577,73,0.30115,47,-0.4080,38,-0.7516
ENSG00000242485,MRPL20,115,-0.3746,137,-0.1029,142,-0.0423,124,-0.2576,121,-0.2908,157,0.13201,150,0.05295,172,0.26024,179,0.33224
ENSG00000235098,ANKRD65,32,1.12893,16,0.02227,9,-0.9099,10,-0.7500,15,-0.0695,18,0.26334,20,0.37175,8,-1.0217,9,-0.8125
ENSG00000179403,VWA1,158,2.71079,119,2.08845,25,-0.5672,3,-3.4368,3,-3.4446,7,-2.4922,26,-0.5555,15,-1.3409,6,-2.5169
ENSG00000205090,TMEM240,5,-2.2901,24,-0.1324,28,0.13975,38,0.62331,47,0.97743,25,-0.0416,22,-0.2675,24,-0.1150,23,-0.1781
ENSG00000160075,SSU72,88,-0.8386,168,0.15434,102,-0.6273,190,0.35557,128,-0.2713,156,0.04363,162,0.11508,179,0.26117,182,0.28754
ENSG00000228594,FNDC10,4,-2.3686,3,-2.5887,24,0.27639,40,1.09038,20,-0.0416,17,-0.2931,27,0.47032,28,0.49583,18,-0.2012
ENSG00000272106,AL691432.2,33,0.36193,33,0.32938,29,0.15092,21,-0.3915,54,1.17925,25,-0.0958,18,-0.6047,10,-1.4182,24,-0.1365
ENSG00000197530,MIB2,20,-0.4133,25,-0.0677,25,-0.1021,34,0.40412,30,0.17067,19,-0.5623,34,0.44787,30,0.17382,22,-0.3022
ENSG00000248333,CDK11B,38,1.35379,9,-0.9260,20,0.27615,12,-0.4616,25,0.62097,13,-0.4256,7,-1.3233,8,-1.0667,32,1.01742
ENSG00000189339,SLC35E2B,38,-0.2379,71,0.75174,32,-0.5146,44,-0.0032,42,-0.0986,39,-0.2163,54,0.34510,35,-0.3705,41,-0.1312
ENSG00000008128,CDK11A,26,0.59754,22,0.33713,35,1.14154,12,-0.5359,21,0.31728,14,-0.4088,13,-0.4573,12,-0.5116,10,-0.8626
ENSG00000215790,SLC35E2A,10,-1.0804,17,-0.3262,27,0.44695,23,0.16837,21,0.04431,13,-0.7045,24,0.29858,32,0.72372,20,-0.0137
ENSG00000008130,NADK,21,-0.2693,24,-0.0696,15,-0.8211,25,-0.0011,43,0.85928,25,-0.0080,20,-0.3878,27,0.09544,32,0.38813
ENSG00000078369,GNB1,269,-0.9793,530,0.06895,409,-0.3407,508,-0.0011,463,-0.1451,485,-0.0822,672,0.51024,652,0.40152,443,-0.2165
ENSG00000187730,GABRD,6,-4.5754,49,-1.6374,73,-1.0387,247,0.88098,155,0.11188,232,0.89802,132,-0.1544,187,0.41768,140,-0.0496
ENSG00000067606,PRKCZ,81,-0.8610,163,0.22986,70,-1.0793,183,0.41714,146,0.05935,130,-0.1467,205,0.68978,158,0.17540,82,-0.8376
ENSG00000162585,FAAP20,35,-0.2655,49,0.27242,50,0.29720,27,-0.6511,14,-1.6074,37,-0.1959,67,0.92018,53,0.39475,18,-1.2759
ENSG00000157933,SKI,51,0.47808,38,0.01782,69,0.99594,26,-0.5635,50,0.46953,29,-0.4105,32,-0.2868,33,-0.2174,24,-0.6993
ENSG00000157916,RER1,71,0.30464,88,0.65524,60,0.05136,56,-0.0667,66,0.20176,56,-0.0847,44,-0.4781,48,-0.3037,54,-0.1241
ENSG00000157911,PEX10,28,0.33698,35,0.73913,35,0.72440,17,-0.4287,16,-0.4695,14,-0.7392,22,-0.0520,25,0.20527,17,-0.4288
ENSG00000149527,PLCH2,30,1.71553,8,-0.3682,6,-0.7707,6,-0.7143,7,-0.6694,11,0.07830,6,-0.9840,16,0.64275,10,-0.1471
ENSG00000157881,PANK4,10,-0.7355,12,-0.5854,9,-0.8822,24,0.51108,32,1.00530,18,0.05409,16,-0.0835,21,0.31437,12,-0.4993
ENSG00000197921,HES5,0,-4.7568,0,-7.5175,11,-0.2955,5,-1.5277,11,-0.3543,11,-0.2982,10,-0.5486,48,2.17016,34,1.48786
ENSG00000157870,PRXL2B,16,-1.5263,27,-0.8068,17,-1.4983,59,0.40482,82,0.95746,51,0.19499,55,0.34847,37,-0.3238,51,0.17353
ENSG00000177133,PRDM16-DT,9,-1.3703,8,-1.6502,20,-0.1920,6,-1.8976,6,-2.0402,16,-0.6334,41,1.07905,48,1.19210,44,1.04198
ENSG00000142611,PRDM16,15,0.35152,4,-1.4046,23,1.07296,14,0.27507,3,-1.9305,3,-1.8231,10,-0.1618,18,0.73909,23,1.08773
ENSG00000158109,TPRG1L,56,-1.8964,232,0.27058,97,-1.0772,279,0.57203,216,0.15859,209,0.12231,239,0.36311,212,0.12943,162,-0.2931
ENSG00000116213,WRAP73,15,-0.1167,19,0.19963,7,-1.1681,20,0.27435,16,-0.0165,15,-0.1472,19,0.24735,20,0.33625,15,-0.1222
ENSG00000130764,LRRC47,58,-0.3985,63,-0.2868,42,-0.8998,90,0.28121,80,0.08771,91,0.33190,82,0.15654,61,-0.3200,89,0.26379
ENSG00000116198,CEP104,83,1.93517,23,-0.2476,20,-0.4940,22,-0.3323,19,-0.5515,23,-0.2821,19,-0.6084,20,-0.4579,27,0.02486
ENSG00000198912,C1orf174,23,0.36142,10,-0.8717,13,-0.5305,22,0.30534,16,-0.2455,23,0.37318,18,-0.0331,14,-0.3689,22,0.27634
ENSG00000196581,AJAP1,25,-0.6470,43,0.15860,22,-0.8413,35,-0.1775,94,1.48843,44,0.21595,26,-0.6684,15,-1.4205,52,0.48154
ENSG00000069424,KCNAB2,26,-2.9833,162,-0.2881,153,-0.3791,289,0.63533,262,0.47351,184,-0.1050,233,0.31750,215,0.15566,206,0.08199
ENSG00000116254,CHD5,26,-2.4789,164,0.28526,131,-0.0726,166,0.30439,192,0.53734,159,0.26299,152,0.17888,104,-0.4306,105,-0.4169
