Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000237491,LINC01409,24,0.95581,12,-0.3834,6,-1.2312,14,0.07333,16,0.28277
ENSG00000228794,LINC01128,34,0.50687,31,0.60241,10,-1.4180,19,-0.4298,19,-0.4688
ENSG00000188976,NOC2L,59,0.67307,43,0.25809,24,-0.7361,33,-0.2628,32,-0.3732
ENSG00000188290,HES4,56,-0.1932,71,0.31325,97,0.70888,57,-0.1778,38,-0.8874
ENSG00000187608,ISG15,27,-0.8303,36,-0.6022,63,0.48671,40,-0.2329,73,0.87619
ENSG00000188157,AGRN,30,0.32215,24,-0.1217,23,-0.1052,8,-1.6584,34,0.57769
ENSG00000131591,C1orf159,11,0.02752,11,-0.1098,10,-0.1008,11,-0.0201,12,0.20014
ENSG00000078808,SDF4,94,0.23125,59,-0.7402,69,-0.2651,115,0.56089,110,0.57340
ENSG00000176022,B3GALT6,15,-0.6034,23,0.18579,22,0.06289,17,-0.3652,24,0.17276
ENSG00000160087,UBE2J2,50,0.20065,41,-0.1814,48,0.13348,53,0.29319,42,-0.1273
ENSG00000162572,SCNN1D,13,0.89535,7,-0.1230,4,-1.0847,4,-0.9913,9,0.39461
ENSG00000131584,ACAP3,86,0.46558,66,0.04652,50,-0.4249,42,-0.6988,71,0.17349
ENSG00000169972,PUSL1,19,0.64800,11,-0.3572,11,-0.2219,19,0.65357,11,-0.2783
ENSG00000127054,INTS11,68,0.52034,53,0.16210,35,-0.5239,34,-0.5745,49,-0.0336
ENSG00000224051,CPTP,4,-1.7702,18,0.43253,17,0.17178,7,-1.1796,18,0.37073
ENSG00000107404,DVL1,44,0.15606,38,-0.1078,30,-0.4611,63,0.76550,34,-0.2550
ENSG00000162576,MXRA8,13,-0.0090,4,-2.1609,52,2.53470,8,-0.7777,15,0.22047
ENSG00000175756,AURKAIP1,120,-0.4460,184,0.40946,156,-0.0246,139,-0.2080,138,-0.2500
ENSG00000221978,CCNL2,101,0.43209,76,-0.0638,56,-0.5226,86,0.15723,77,-0.0206
ENSG00000224870,MRPL20-AS1,21,0.81309,8,-1.0761,15,0.33615,26,1.26549,10,-0.4048
ENSG00000242485,MRPL20,110,-0.7837,167,-0.1904,219,0.31689,196,0.13238,215,0.33511
ENSG00000235098,ANKRD65,30,-0.2246,26,-0.6084,32,-0.1238,33,-0.0572,54,0.90824
ENSG00000179403,VWA1,57,-0.9263,22,-2.8889,86,-0.3103,164,0.76348,269,2.23861
ENSG00000160072,ATAD3B,28,1.58534,12,0.16801,8,-0.6056,5,-1.2635,6,-0.9547
ENSG00000197785,ATAD3A,13,0.08178,12,0.00450,19,0.74532,9,-0.4254,10,-0.3845
ENSG00000205090,TMEM240,19,0.21986,23,0.89768,6,-1.4291,25,0.62976,5,-1.9687
ENSG00000160075,SSU72,125,0.12604,127,0.25994,128,0.17041,114,-0.0191,82,-0.6112
ENSG00000228594,FNDC10,22,0.37075,25,1.13791,18,0.03167,4,-2.0270,6,-1.7150
ENSG00000272106,AL691432.2,22,-0.2705,29,0.27802,30,0.23842,21,-0.3594,23,-0.2252
ENSG00000197530,MIB2,60,1.08313,37,0.48074,13,-1.3071,15,-1.1386,23,-0.5708
ENSG00000248333,CDK11B,37,1.30965,15,-0.3826,11,-0.6970,7,-1.3262,20,0.32889
ENSG00000189339,SLC35E2B,21,0.88088,14,0.37453,3,-2.0673,8,-0.6984,11,-0.1631
ENSG00000008128,CDK11A,31,1.51016,9,-0.7178,10,-0.4468,7,-0.8421,15,0.30595
ENSG00000215790,SLC35E2A,8,-0.9706,25,1.50393,7,-1.1712,7,-1.1975,10,-0.7915
ENSG00000008130,NADK,13,-0.5783,20,0.16078,19,0.04975,29,0.74343,13,-0.5526
ENSG00000078369,GNB1,464,0.13567,531,0.63021,386,-0.1620,342,-0.3539,262,-0.8545
ENSG00000187730,GABRD,87,-0.2659,190,2.52079,37,-1.5713,29,-1.9082,5,-4.5448
ENSG00000067606,PRKCZ,151,0.29990,153,0.55875,64,-1.0447,164,0.44100,70,-1.0200
ENSG00000162585,FAAP20,19,-0.9259,33,-0.1587,48,0.49061,43,0.34259,37,0.10123
ENSG00000157933,SKI,27,-0.0718,24,-0.3303,56,1.17295,24,-0.2231,24,-0.3010
ENSG00000157916,RER1,60,-0.5157,73,-0.3114,92,0.17357,78,-0.1050,112,0.58457
ENSG00000157911,PEX10,33,0.13654,19,-0.9705,42,0.53342,32,0.08435,43,0.71374
ENSG00000149527,PLCH2,8,-1.0782,17,0.14478,12,-0.4641,14,-0.2639,22,0.56705
ENSG00000157881,PANK4,10,0.69361,9,0.74525,5,-0.4192,4,-0.8610,3,-1.2219
ENSG00000157870,PRXL2B,16,-0.6538,33,0.82100,29,0.27836,21,-0.2229,12,-1.1741
