Feature ID,Feature Name,Feature count topic 1to10,Feature log2 fold change topic 1to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000237491,LINC01409,11,0.84168,4,-1.2112,7,-0.5768
ENSG00000228794,LINC01128,41,1.09895,11,-1.7638,23,-0.7282
ENSG00000188976,NOC2L,49,0.90307,20,-1.1413,29,-0.6811
ENSG00000188290,HES4,19,-1.0146,35,0.60802,41,0.98535
ENSG00000187608,ISG15,35,-0.2280,39,0.12808,41,0.23777
ENSG00000188157,AGRN,21,-0.1722,29,0.46508,21,-0.0489
ENSG00000078808,SDF4,42,-0.1284,53,0.29921,43,0.00110
ENSG00000176022,B3GALT6,18,0.09231,18,-0.0083,17,-0.1227
ENSG00000160087,UBE2J2,26,0.02654,19,-0.5281,30,0.20120
ENSG00000131584,ACAP3,50,-0.2694,52,-0.0374,66,0.37197
ENSG00000127054,INTS11,29,-0.1277,26,-0.1752,34,0.25345
ENSG00000224051,CPTP,16,0.15735,19,0.38615,11,-0.5021
ENSG00000107404,DVL1,30,-0.9654,67,0.95798,55,0.71677
ENSG00000175756,AURKAIP1,144,-0.2682,134,-0.1893,194,0.43503
ENSG00000221978,CCNL2,48,0.18523,64,0.48796,32,-0.6455
ENSG00000242485,MRPL20,126,-0.1643,109,-0.2624,157,0.33590
ENSG00000235098,ANKRD65,22,-0.6324,36,0.59676,33,0.50861
ENSG00000179403,VWA1,15,-0.4066,32,1.11725,13,-0.2650
ENSG00000197785,ATAD3A,9,-0.7087,14,0.39456,16,0.71838
ENSG00000205090,TMEM240,19,0.20101,4,-2.0897,23,0.34647
ENSG00000160075,SSU72,123,-0.1159,114,-0.1490,143,0.22679
ENSG00000228594,FNDC10,27,-0.2918,24,-0.2611,38,0.49164
ENSG00000272106,AL691432.2,13,-0.2903,17,0.30286,16,0.22425
ENSG00000197530,MIB2,22,-0.8112,55,1.16657,32,0.34192
ENSG00000248333,CDK11B,57,0.45341,40,-0.4662,43,-0.3767
ENSG00000189339,SLC35E2B,8,-0.4718,19,1.10156,9,-0.1342
ENSG00000008128,CDK11A,17,0.16730,20,0.27396,13,-0.4247
ENSG00000215790,SLC35E2A,15,-0.3466,20,0.38522,18,0.25205
ENSG00000008130,NADK,18,-0.4655,28,0.53730,24,0.32042
ENSG00000078369,GNB1,431,-0.4900,477,0.02115,669,0.62061
ENSG00000187730,GABRD,183,0.56546,76,-1.2174,148,-0.2332
ENSG00000067606,PRKCZ,204,0.12902,119,-0.7896,220,0.16455
ENSG00000162585,FAAP20,21,-1.1816,39,0.55105,54,1.21032
ENSG00000157933,SKI,16,-1.1610,49,1.35135,32,0.68471
ENSG00000157916,RER1,42,-0.0277,53,0.37819,37,-0.2021
ENSG00000157911,PEX10,15,-0.7571,36,1.16859,20,0.25889
ENSG00000157870,PRXL2B,39,-0.0673,26,-0.6551,49,0.35725
ENSG00000177133,PRDM16-DT,5,-2.6049,61,3.02410,18,0.81233
ENSG00000158109,TPRG1L,215,0.05464,134,-0.7093,243,0.22858
ENSG00000116213,WRAP73,11,0.42956,15,0.59136,5,-1.2587
ENSG00000130764,LRRC47,79,0.56682,54,-0.4720,53,-0.5313
ENSG00000116198,CEP104,36,0.21191,41,0.23923,26,-0.4680
ENSG00000198912,C1orf174,13,-0.1182,21,0.76884,10,-0.3972
ENSG00000196581,AJAP1,42,0.42861,24,-0.7339,35,-0.2258
ENSG00000069424,KCNAB2,174,-0.1422,137,-0.4134,220,0.36615
ENSG00000116254,CHD5,317,0.57990,164,-0.8864,236,-0.3608
ENSG00000116251,RPL22,440,-0.7809,656,0.38821,807,0.81067
ENSG00000116237,ICMT,37,0.28529,35,-0.0053,27,-0.4030
ENSG00000097021,ACOT7,249,1.22515,47,-2.2839,136,-0.7607
ENSG00000215788,TNFRSF25,9,-0.6215,14,0.45657,15,0.57541
ENSG00000171680,PLEKHG5,19,0.12013,12,-0.7156,21,0.15156
ENSG00000162408,NOL9,25,0.29225,14,-0.8181,24,-0.0245
ENSG00000204859,ZBTB48,9,-0.0594,8,-0.1138,9,0.13747
ENSG00000162413,KLHL21,22,-0.2948,31,0.40705,26,0.16696
ENSG00000116273,PHF13,13,0.66957,11,-0.1193,7,-0.9243
ENSG00000041988,THAP3,15,-0.0786,19,0.34969,15,-0.1052
ENSG00000007923,DNAJC11,33,0.34443,39,0.34609,19,-0.7867
ENSG00000171735,CAMTA1,543,0.71757,285,-0.8427,353,-0.5585
ENSG00000049245,VAMP3,11,-1.5924,66,2.40303,18,0.16213
ENSG00000049246,PER3,34,-0.6067,74,1.06787,41,0.11880
ENSG00000116288,PARK7,259,-0.2286,234,-0.2151,338,0.39646
ENSG00000116285,ERRFI1,21,0.11212,17,-0.2773,20,-0.0101
ENSG00000162426,SLC45A1,29,0.87327,19,-0.4802,14,-0.9808
ENSG00000142599,RERE,113,-0.2545,138,0.24326,133,0.21017
ENSG00000074800,ENO1,355,-0.6731,980,1.46145,359,-0.1967
