Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,18,-0.9943,18,-1.0134,35,0.04287,44,0.45476,39,0.18807,45,0.49483,30,-0.2129,26,-0.4185
ENSG00000188976,NOC2L,20,-0.8743,32,-0.1567,41,0.22838,40,0.23067,36,0.02966,51,0.68542,25,-0.5353,18,-1.0658
ENSG00000188290,HES4,59,-0.1527,118,1.00382,24,-1.4854,83,0.46003,85,0.43701,53,-0.3535,64,-0.0254,26,-1.4136
ENSG00000187608,ISG15,67,0.37907,76,0.60885,23,-1.2904,48,-0.1665,61,0.24690,50,-0.0856,84,0.76384,19,-1.5181
ENSG00000188157,AGRN,27,-0.0595,23,-0.2593,30,0.12245,34,0.39224,27,-0.0402,34,0.35154,18,-0.6665,16,-0.8259
ENSG00000131591,C1orf159,10,-0.0327,4,-1.3878,20,1.01064,10,-0.1603,9,-0.2865,16,0.73509,3,-1.6522,9,-0.2752
ENSG00000078808,SDF4,80,0.13792,82,0.17800,104,0.57846,77,0.09912,85,0.24964,60,-0.3422,61,-0.2791,44,-0.7849
ENSG00000176022,B3GALT6,11,-1.1865,22,-0.2056,11,-1.1760,32,0.45700,42,0.86157,31,0.42950,16,-0.6251,19,-0.4308
ENSG00000160087,UBE2J2,41,0.03218,38,-0.0781,35,-0.1841,54,0.58069,37,-0.1009,36,-0.1720,45,0.19906,21,-0.9915
ENSG00000162572,SCNN1D,11,0.32957,11,0.32398,14,0.62667,11,0.29313,7,-0.4506,10,0.16833,5,-0.9739,2,-2.0349
ENSG00000131584,ACAP3,59,-0.2681,73,0.05608,99,0.55443,93,0.51543,74,0.07028,61,-0.2652,48,-0.5918,44,-0.7226
ENSG00000169972,PUSL1,1,-2.6439,15,0.59701,7,-0.6296,15,0.64885,12,0.22841,14,0.62365,7,-0.6495,3,-1.8134
ENSG00000127054,INTS11,46,-0.0993,38,-0.3925,54,0.13972,48,-0.0357,74,0.66507,52,0.09162,44,-0.1618,35,-0.5100
ENSG00000224051,CPTP,15,-0.7195,29,0.32066,16,-0.6625,26,0.12349,31,0.42375,33,0.61422,19,-0.3777,12,-1.0770
ENSG00000107404,DVL1,50,0.10826,68,0.61305,46,-0.0272,52,0.21342,46,-0.0108,45,-0.0648,43,-0.1250,18,-1.4128
ENSG00000175756,AURKAIP1,108,-0.8699,221,0.25961,142,-0.4512,209,0.18857,173,-0.1400,198,0.08506,230,0.31876,199,0.08575
ENSG00000221978,CCNL2,80,0.13264,64,-0.2309,61,-0.3058,77,0.07615,77,0.06145,98,0.53502,67,-0.1525,39,-0.9841
ENSG00000224870,MRPL20-AS1,12,0.49843,6,-0.6183,4,-0.9780,12,0.60739,9,0.11090,7,-0.2907,6,-0.6115,11,0.33605
ENSG00000242485,MRPL20,148,-0.4980,187,-0.1299,125,-0.7572,188,-0.1369,235,0.23850,199,-0.0343,253,0.35983,307,0.67929
ENSG00000235098,ANKRD65,33,0.25838,37,0.46485,17,-0.7672,34,0.37251,21,-0.4129,22,-0.4205,24,-0.1972,34,0.31132
ENSG00000179403,VWA1,113,2.42440,21,-0.5380,48,0.78448,14,-1.1884,14,-1.0924,9,-1.8864,20,-0.5982,34,0.21980
ENSG00000160072,ATAD3B,14,0.03588,8,-0.8024,11,-0.4291,17,0.29271,21,0.66204,17,0.32591,11,-0.4023,8,-0.7616
ENSG00000197785,ATAD3A,14,0.01943,16,0.24234,4,-1.8378,16,0.35903,16,0.26490,12,-0.1295,15,0.19080,12,-0.1102
ENSG00000205090,TMEM240,5,-2.2267,32,0.47920,30,0.39404,36,0.78783,34,0.57431,18,-0.4905,14,-0.8412,15,-0.7396
ENSG00000160075,SSU72,95,-0.5902,141,0.04198,119,-0.2336,151,0.16182,139,0.00997,126,-0.1542,194,0.55603,137,-0.0121
ENSG00000228594,FNDC10,12,-1.1460,26,0.08366,19,-0.4325,20,-0.4188,43,0.88170,32,0.42893,29,0.25741,18,-0.4701
ENSG00000272106,AL691432.2,19,-0.0367,24,0.32256,27,0.50053,24,0.37414,10,-0.9980,20,0.04551,14,-0.5579,14,-0.5239
ENSG00000197530,MIB2,26,-0.2563,26,-0.2271,39,0.39146,30,-0.0229,37,0.32111,35,0.23763,18,-0.8361,29,-0.0755
ENSG00000248333,CDK11B,34,1.51364,31,1.29927,12,-0.2980,12,-0.2670,5,-1.4383,4,-1.8589,9,-0.6244,17,0.27401
ENSG00000189339,SLC35E2B,14,-0.8674,16,-0.7108,21,-0.2489,27,0.12082,31,0.30561,27,0.14779,23,-0.1278,38,0.66565
ENSG00000008128,CDK11A,20,1.10077,16,0.72114,10,-0.0261,7,-0.5577,11,0.14125,6,-0.8801,8,-0.3360,10,-0.0074
ENSG00000215790,SLC35E2A,27,-0.5978,39,-0.0351,52,0.45144,30,-0.4758,42,0.08921,46,0.26435,35,-0.1935,49,0.35356
ENSG00000008130,NADK,26,0.03353,26,0.02928,18,-0.4953,30,0.29161,20,-0.3445,28,0.17053,17,-0.6601,31,0.33520
ENSG00000078369,GNB1,297,-0.7869,622,0.38536,474,-0.0559,432,-0.2272,628,0.40085,517,0.09327,512,0.06704,478,-0.0408
ENSG00000187730,GABRD,25,-2.5255,121,-0.1741,67,-1.0847,209,0.84301,215,0.77177,132,-0.0404,193,0.58514,46,-1.6516
ENSG00000067606,PRKCZ,78,-1.0418,145,-0.0846,169,0.16224,158,0.05828,143,-0.1069,188,0.38602,160,0.07080,142,-0.1235
ENSG00000162585,FAAP20,42,0.31994,56,0.77842,39,0.17171,21,-0.8378,43,0.35239,26,-0.4822,46,0.47026,26,-0.4597
ENSG00000157933,SKI,35,0.94958,29,0.64684,14,-0.4855,24,0.33249,15,-0.3594,16,-0.3252,17,-0.2018,5,-1.9456
ENSG00000157916,RER1,76,0.09844,70,-0.0364,59,-0.3117,80,0.20410,80,0.18014,76,0.11903,60,-0.2816,58,-0.3323
ENSG00000157911,PEX10,29,0.43195,32,0.58526,16,-0.5396,17,-0.4554,30,0.44001,20,-0.2061,23,0.00640,21,-0.1322
ENSG00000149527,PLCH2,14,-0.7409,27,0.24290,1,-4.0996,45,1.33696,33,0.58960,18,-0.4441,28,0.31848,1,-3.8291
ENSG00000157881,PANK4,7,-1.3176,11,-0.5890,11,-0.6431,23,0.63329,22,0.46011,21,0.45526,19,0.17582,7,-1.2946
ENSG00000197921,HES5,4,-2.2968,71,2.29523,6,-1.7657,21,0.11594,19,-0.0504,15,-0.5040,16,-0.3629,10,-0.9641
ENSG00000157873,TNFRSF14,6,-1.1667,19,0.71795,0,-4.7338,22,1.12964,22,0.90725,12,-0.0045,8,-0.6395,0,-5.7604
ENSG00000157870,PRXL2B,17,-1.2598,57,0.58817,35,-0.1921,44,0.19988,60,0.67639,36,-0.1729,40,-0.0022,27,-0.5922
