Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to12,Feature log2 fold change topic 5to12
ENSG00000228794,LINC01128,22,-0.7122,31,-0.0951,37,0.60434
ENSG00000188976,NOC2L,26,-1.1667,49,-0.0453,59,0.90930
ENSG00000188290,HES4,52,0.38333,77,0.95318,35,-0.7262
ENSG00000187608,ISG15,43,0.16350,18,-1.1980,41,0.15459
ENSG00000188157,AGRN,25,0.05787,53,1.22671,21,-0.6111
ENSG00000078808,SDF4,51,-0.0456,62,0.27408,51,-0.0632
ENSG00000176022,B3GALT6,18,-0.0279,12,-0.7079,20,0.22858
ENSG00000160087,UBE2J2,29,-0.2242,26,-0.3378,34,0.29806
ENSG00000131584,ACAP3,60,-0.2155,185,1.69834,55,-0.7155
ENSG00000127054,INTS11,30,-0.4828,79,1.17331,37,-0.1870
ENSG00000224051,CPTP,15,-0.2090,18,0.09854,17,0.13732
ENSG00000107404,DVL1,77,1.11141,35,-0.4257,36,-0.8964
ENSG00000175756,AURKAIP1,194,0.05047,144,-0.4294,193,0.08843
ENSG00000221978,CCNL2,34,-0.7799,159,1.87926,46,-0.4939
ENSG00000242485,MRPL20,176,0.17262,117,-0.5001,161,-0.0010
ENSG00000235098,ANKRD65,28,0.48632,9,-1.2767,22,-0.1352
ENSG00000179403,VWA1,28,1.41159,22,0.61045,9,-1.5362
ENSG00000205090,TMEM240,15,-0.5682,42,1.11689,21,-0.0957
ENSG00000160075,SSU72,135,-0.1719,149,0.01282,153,0.13855
ENSG00000228594,FNDC10,35,0.82138,16,-0.5505,20,-0.5882
ENSG00000197530,MIB2,31,0.07639,32,0.09360,29,-0.0972
ENSG00000248333,CDK11B,44,-0.3761,86,0.76011,53,-0.0287
ENSG00000008128,CDK11A,25,-0.5252,72,1.28168,31,-0.2264
ENSG00000215790,SLC35E2A,27,0.49109,43,1.13543,16,-0.9163
ENSG00000008130,NADK,22,0.06094,35,0.77190,19,-0.3690
ENSG00000078369,GNB1,538,0.20420,359,-0.4669,481,-0.0377
ENSG00000187730,GABRD,92,-0.8575,101,-0.6042,176,0.89583
ENSG00000067606,PRKCZ,197,0.03374,207,0.10843,190,-0.0665
ENSG00000162585,FAAP20,58,1.16711,18,-0.9412,26,-0.8457
ENSG00000157933,SKI,39,0.60199,40,0.50715,24,-0.7127
ENSG00000157916,RER1,46,-0.1870,61,0.28935,51,0.04474
ENSG00000157911,PEX10,29,0.66448,22,0.05660,18,-0.6055
ENSG00000149527,PLCH2,21,0.65060,13,-0.1510,13,-0.5295
ENSG00000157881,PANK4,9,-0.6413,20,0.58420,14,0.24984
ENSG00000157870,PRXL2B,39,-0.0376,35,-0.2131,41,0.10170
ENSG00000177133,PRDM16-DT,36,2.26703,7,-1.0743,7,-1.9404
ENSG00000158109,TPRG1L,138,-0.4438,170,-0.0553,191,0.38213
ENSG00000130764,LRRC47,47,-0.8184,113,0.67591,80,0.32138
ENSG00000116198,CEP104,29,0.20486,29,0.14541,25,-0.2254
ENSG00000198912,C1orf174,11,-0.3962,16,0.21577,15,0.23904
ENSG00000196581,AJAP1,32,-0.8096,56,0.18044,56,0.56057
ENSG00000069424,KCNAB2,195,0.15615,128,-0.5187,180,0.01839
ENSG00000116254,CHD5,214,-0.2150,221,-0.1282,252,0.22315
ENSG00000116251,RPL22,808,0.94756,373,-0.5042,424,-0.7194
ENSG00000116237,ICMT,27,-0.6643,41,0.05100,44,0.51013
ENSG00000097021,ACOT7,118,-1.3612,170,-0.6423,320,1.28875
ENSG00000171680,PLEKHG5,17,-0.3911,40,1.02425,20,-0.1618
ENSG00000162408,NOL9,19,-0.2425,9,-1.2834,24,0.54055
ENSG00000162413,KLHL21,23,-0.1648,39,0.69682,24,-0.1550
ENSG00000041988,THAP3,16,-0.0136,15,-0.1407,17,0.05837
ENSG00000007923,DNAJC11,27,-0.2352,50,0.79845,29,-0.1524
ENSG00000171735,CAMTA1,286,-0.5699,366,-0.1031,433,0.49847
ENSG00000049245,VAMP3,33,1.27551,15,-0.2446,13,-1.1030
ENSG00000049246,PER3,40,0.91162,30,0.21719,20,-0.8901
ENSG00000116288,PARK7,322,-0.0496,202,-0.7583,349,0.25968
ENSG00000116285,ERRFI1,17,-0.6962,26,0.08952,28,0.51785
ENSG00000162426,SLC45A1,16,-1.2883,23,-0.5834,41,1.21437
ENSG00000142599,RERE,144,0.28370,148,0.27469,115,-0.3408
ENSG00000074800,ENO1,518,0.02279,504,-0.0241,510,-0.0110
ENSG00000171612,SLC25A33,55,1.23659,20,-0.6481,23,-0.9697
ENSG00000171603,CLSTN1,394,-1.0388,736,0.06514,819,0.77237
ENSG00000178585,CTNNBIP1,41,0.61608,15,-1.0092,28,-0.3020
ENSG00000162441,LZIC,61,0.31793,36,-0.5396,50,-0.1221
ENSG00000130939,UBE4B,31,-0.4930,49,0.27053,44,0.28959
ENSG00000054523,KIF1B,341,-0.0440,347,-0.0074,352,0.03967
ENSG00000142657,PGD,31,-1.0412,59,0.06853,66,0.77249
ENSG00000241563,CORT,37,-0.7991,16,-1.9087,71,1.14496
ENSG00000160049,DFFA,56,0.56681,29,-0.5791,39,-0.3419
ENSG00000142655,PEX14,12,-0.9595,30,0.62479,22,0.44028
ENSG00000120948,TARDBP,62,-0.4468,115,0.59443,81,0.10612
ENSG00000116649,SRM,56,-0.1808,53,-0.2434,65,0.23230
ENSG00000171824,EXOSC10,16,-1.1954,97,1.90990,29,-0.3040
ENSG00000198793,MTOR,33,-0.6712,49,0.04860,53,0.51629
ENSG00000116661,FBXO2,247,0.53793,144,-0.4176,173,-0.3537
ENSG00000132879,FBXO44,60,-0.6694,108,0.33529,95,0.39012
ENSG00000177000,MTHFR,10,-0.8142,39,1.48021,15,-0.1803
ENSG00000011021,CLCN6,56,-0.2179,79,0.37419,63,0.03370
ENSG00000116685,KIAA2013,26,-0.3222,30,-0.0599,33,0.28684
ENSG00000083444,PLOD1,22,0.19281,30,0.67887,18,-0.4326
ENSG00000116688,MFN2,82,-0.4686,95,-0.1606,115,0.43981
ENSG00000048707,VPS13D,51,-0.6654,108,0.59564,79,0.26070
ENSG00000162496,DHRS3,24,0.91799,20,0.41875,12,-0.9699
ENSG00000116731,PRDM2,180,-0.5357,182,-0.4331,271,0.58473
ENSG00000189337,KAZN,64,-0.1391,77,0.17483,70,0.05162
ENSG00000142634,EFHD2,54,-1.1199,129,0.37635,116,0.67463
ENSG00000116138,DNAJC16,23,-0.6390,27,-0.3256,37,0.63200
ENSG00000197312,DDI2,28,-0.6807,46,0.16731,46,0.47337
ENSG00000116786,PLEKHM2,164,0.85509,63,-0.8276,94,-0.5631
ENSG00000065526,SPEN,156,-0.0429,140,-0.2078,163,0.10457
ENSG00000116809,ZBTB17,21,0.13010,32,0.77457,17,-0.4262
ENSG00000037637,FBXO42,15,-0.6503,29,0.49401,23,0.30110
ENSG00000055070,SZRD1,39,1.48610,25,0.38700,12,-1.5198
ENSG00000159363,ATP13A2,82,-0.7682,103,-0.2957,144,0.72186
ENSG00000117118,SDHB,58,-0.4329,39,-0.9611,83,0.64223
ENSG00000117115,PADI2,80,2.69486,34,0.22824,9,-2.8227
ENSG00000179051,RCC2,23,0.17221,15,-0.5401,21,0.00943
ENSG00000117154,IGSF21,41,-1.0229,82,0.17213,84,0.71220
ENSG00000159423,ALDH4A1,41,2.35425,11,-0.6045,7,-2.1318
ENSG00000127481,UBR4,22,-0.8524,51,0.55729,39,0.40698
ENSG00000127463,EMC1,22,-0.7849,86,1.53814,32,-0.2381
ENSG00000053372,MRTO4,36,-0.1525,48,0.34038,39,-0.0038
ENSG00000053371,AKR7A2,40,0.65068,30,0.06042,25,-0.5940
ENSG00000077549,CAPZB,131,-0.6648,161,-0.2491,214,0.62538
ENSG00000173436,MICOS10,459,0.63521,216,-0.6827,305,-0.3832
ENSG00000158747,NBL1,142,-0.0951,192,0.40375,146,-0.0763
ENSG00000169914,OTUD3,14,-0.5496,28,0.67265,19,0.14049
ENSG00000162545,CAMK2N1,2567,1.09303,682,-1.2501,1268,-0.7243
ENSG00000090432,MUL1,17,-0.2329,17,-0.2251,21,0.26993
ENSG00000183114,FAM43B,11,-1.1379,46,1.22789,22,0.17399
ENSG00000158828,PINK1,452,-0.0998,228,-1.1247,516,0.38214
ENSG00000244038,DDOST,16,-1.0903,27,-0.1089,35,0.88466
ENSG00000117245,KIF17,10,-1.5705,12,-1.1673,35,1.62123
ENSG00000189410,SH2D5,26,-0.3908,20,-0.7683,37,0.55922
ENSG00000127483,HP1BP3,236,0.10346,170,-0.4239,226,0.04035
ENSG00000075151,EIF4G3,187,-1.0396,259,-0.4030,401,0.96547
ENSG00000117298,ECE1,28,0.91882,47,1.62123,10,-1.6158
ENSG00000076864,RAP1GAP,77,-0.9728,222,0.83115,142,0.33126
ENSG00000090686,USP48,53,-0.7914,156,1.03541,84,0.09706
ENSG00000070831,CDC42,111,-0.8326,162,-0.1371,203,0.71076
ENSG00000133216,EPHB2,12,-0.3695,6,-1.3430,16,0.66546
ENSG00000004487,KDM1A,49,-0.8109,108,0.53089,84,0.39299
ENSG00000169641,LUZP1,146,-0.6336,116,-0.8910,241,0.79602
ENSG00000125944,HNRNPR,95,-0.5811,141,0.12465,143,0.41754
ENSG00000142676,RPL11,584,0.97377,271,-0.4764,300,-0.7511
ENSG00000011007,ELOA,30,0.30929,21,-0.2875,25,-0.1800
ENSG00000057757,PITHD1,117,-0.4288,119,-0.3306,162,0.46522
