Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,40,0.31794,43,0.38861,29,-0.3207,20,-0.8517,33,-0.0904,16,-1.1810
ENSG00000188976,NOC2L,37,0.05713,53,0.81065,22,-0.7820,21,-0.8554,26,-0.5186,23,-0.7051
ENSG00000188290,HES4,22,-0.0191,12,-1.1053,52,1.39940,40,0.91872,20,-0.1870,10,-1.1708
ENSG00000187608,ISG15,29,-0.3036,40,0.33588,61,0.96188,44,0.43884,10,-1.8110,19,-0.8613
ENSG00000188157,AGRN,14,-0.1490,8,-1.2110,19,0.35429,35,1.33925,12,-0.3486,23,0.61013
ENSG00000078808,SDF4,50,0.24920,40,-0.1834,34,-0.4268,58,0.41109,52,0.25277,26,-0.8025
ENSG00000176022,B3GALT6,21,0.25856,21,0.14400,17,-0.1535,18,-0.0583,15,-0.4133,13,-0.6211
ENSG00000160087,UBE2J2,37,0.51389,31,0.04940,25,-0.2672,17,-0.8668,33,0.17706,13,-1.2320
ENSG00000131584,ACAP3,53,-0.0297,44,-0.3763,67,0.34227,74,0.50217,52,-0.0570,55,0.03114
ENSG00000127054,INTS11,40,0.52833,36,0.18302,31,-0.0629,22,-0.5766,20,-0.7106,15,-1.1966
ENSG00000224051,CPTP,22,0.44266,15,-0.3145,18,-0.0225,16,-0.2080,19,0.09956,13,-0.5219
ENSG00000107404,DVL1,43,-0.0165,35,-0.3798,36,-0.2753,78,0.95669,35,-0.3208,49,0.18870
ENSG00000175756,AURKAIP1,161,0.66176,98,-0.4326,70,-0.8654,184,0.65163,63,-1.0434,100,-0.3294
ENSG00000221978,CCNL2,38,0.12835,37,0.04281,41,0.19432,36,-0.0018,42,0.24153,15,-1.3526
ENSG00000242485,MRPL20,152,0.56097,92,-0.5082,96,-0.3613,157,0.42496,88,-0.4922,102,-0.2616
ENSG00000235098,ANKRD65,36,0.94658,11,-1.4347,19,-0.4236,35,0.53780,16,-0.7096,27,0.15674
ENSG00000179403,VWA1,13,-0.4772,5,-1.9937,35,1.18800,45,1.67691,25,0.63086,11,-0.6225
ENSG00000205090,TMEM240,27,-0.0604,41,0.85834,17,-0.6999,11,-1.3929,29,0.10025,15,-0.9320
ENSG00000160075,SSU72,135,0.23416,114,-0.1323,109,-0.1726,162,0.45502,92,-0.4414,97,-0.3554
ENSG00000228594,FNDC10,19,-0.6048,37,0.72506,18,-0.5679,34,0.43465,16,-0.7128,30,0.22197
ENSG00000272106,AL691432.2,23,0.65757,11,-0.9428,9,-1.0673,29,0.76073,21,0.28324,12,-0.5539
ENSG00000197530,MIB2,18,-0.1543,19,-0.0491,20,0.00027,24,0.29807,21,0.06057,22,0.15002
ENSG00000248333,CDK11B,41,-0.3483,47,-0.0405,105,1.31612,22,-1.1643,57,0.27483,38,-0.3443
ENSG00000008128,CDK11A,14,-0.9124,23,0.08224,80,2.26541,5,-2.2036,15,-0.5690,18,-0.3268
ENSG00000215790,SLC35E2A,22,-0.4697,35,0.50066,13,-1.1062,50,1.00463,17,-0.6744,27,-0.0021
ENSG00000008130,NADK,28,0.63265,18,-0.3617,26,0.29057,23,0.05928,14,-0.6748,10,-1.1883
ENSG00000078369,GNB1,492,0.26132,358,-0.3939,315,-0.5208,694,0.74230,328,-0.4581,461,0.07269
ENSG00000187730,GABRD,195,0.80039,157,0.20839,59,-1.3415,81,-0.8674,92,-0.6638,77,-0.9378
ENSG00000067606,PRKCZ,162,0.33103,146,0.07064,54,-1.4724,164,0.24148,118,-0.2847,129,-0.1460
ENSG00000162585,FAAP20,16,-1.3968,33,0.00805,58,0.90444,53,0.76837,39,0.24392,51,0.68810
ENSG00000157933,SKI,27,-0.4349,22,-0.7963,72,1.25340,52,0.69557,29,-0.2045,42,0.35755
ENSG00000157916,RER1,47,0.32541,30,-0.5348,44,0.11557,65,0.76525,38,-0.1129,22,-0.9425
ENSG00000157911,PEX10,18,-0.1191,12,-0.7802,32,0.85365,29,0.67659,20,0.06000,19,-0.0022
ENSG00000197921,HES5,13,-1.0276,5,-2.2932,46,1.23937,66,1.90154,40,0.99901,19,-0.1930
ENSG00000157870,PRXL2B,50,0.03971,58,0.34810,33,-0.6002,64,0.44152,32,-0.6585,35,-0.5046
ENSG00000177133,PRDM16-DT,16,-0.5981,6,-2.1762,48,1.31834,46,1.24648,45,1.20636,17,-0.3989
ENSG00000158109,TPRG1L,226,0.82694,149,-0.1685,72,-1.2438,174,0.10868,61,-1.4905,133,-0.3188
ENSG00000130764,LRRC47,81,0.99811,40,-0.6049,29,-0.9630,62,0.20494,42,-0.4319,29,-0.9865
ENSG00000116198,CEP104,24,-0.6038,35,0.17357,85,1.62978,15,-1.1515,27,-0.2868,26,-0.3160
ENSG00000196581,AJAP1,50,0.36482,52,0.40303,24,-0.8756,30,-0.5354,26,-0.7302,33,-0.3764
ENSG00000069424,KCNAB2,188,0.23532,180,0.11444,86,-1.0537,287,0.85794,63,-1.5097,142,-0.2862
ENSG00000116254,CHD5,203,-0.5103,364,0.73950,169,-0.6520,114,-1.2480,357,0.52456,291,0.19414
ENSG00000116251,RPL22,514,0.06001,350,-0.6704,616,0.33307,642,0.39802,413,-0.3021,731,0.61322
ENSG00000116237,ICMT,48,0.85093,32,-0.1496,9,-1.9712,31,-0.1382,28,-0.3189,21,-0.7150
ENSG00000097021,ACOT7,266,1.48621,140,-0.2264,53,-1.6416,104,-0.6384,40,-2.0550,46,-1.8578
ENSG00000215788,TNFRSF25,14,-0.0160,16,0.23643,12,-0.2127,14,-0.0212,15,0.08747,10,-0.4698
ENSG00000171680,PLEKHG5,31,0.50960,26,0.06027,27,0.15654,19,-0.4083,11,-1.1766,16,-0.7101
ENSG00000162408,NOL9,34,0.40959,22,-0.5108,22,-0.3610,35,0.33919,29,0.04923,26,-0.1659
ENSG00000162413,KLHL21,28,0.46191,17,-0.5837,25,0.14871,33,0.57131,18,-0.3656,14,-0.6929
ENSG00000116273,PHF13,18,0.73264,15,0.16901,13,-0.1051,6,-1.2861,4,-1.6512,9,-0.6206
ENSG00000041988,THAP3,21,0.98909,12,-0.2890,15,0.04359,5,-1.4706,9,-0.7654,8,-0.9295
ENSG00000007923,DNAJC11,30,0.11388,31,0.17066,25,-0.2157,21,-0.4383,24,-0.2489,30,0.07792
ENSG00000171735,CAMTA1,424,-0.2926,677,0.71488,319,-0.6526,284,-0.8281,656,0.48838,345,-0.5307
ENSG00000049245,VAMP3,23,0.08191,10,-1.3656,33,0.66985,42,1.05082,19,-0.1731,25,0.24197
ENSG00000049246,PER3,40,-0.2944,35,-0.4794,107,1.42423,35,-0.4234,58,0.36643,38,-0.3017
ENSG00000116288,PARK7,348,0.64626,167,-0.8771,211,-0.3759,472,0.92746,187,-0.5611,187,-0.5601
ENSG00000116285,ERRFI1,22,0.23785,24,0.37498,12,-0.7151,16,-0.3077,14,-0.5308,16,-0.3377
ENSG00000162426,SLC45A1,23,0.12600,33,0.85026,13,-0.7834,18,-0.3135,12,-0.8941,7,-1.5913
ENSG00000142599,RERE,142,-0.1590,142,-0.1421,202,0.45075,139,-0.1499,154,0.01682,190,0.35000
ENSG00000074800,ENO1,434,-0.0669,336,-0.5411,554,0.34292,1006,1.36081,330,-0.4734,285,-0.6985
ENSG00000171612,SLC25A33,34,-0.5151,19,-1.4661,60,0.50953,147,2.13117,52,0.29507,27,-0.7444
ENSG00000171603,CLSTN1,762,0.63387,727,0.43488,307,-1.0062,365,-0.7436,371,-0.7191,211,-1.5700
ENSG00000178585,CTNNBIP1,16,-0.7001,20,-0.1699,16,-0.5353,35,0.73560,32,0.57948,38,0.84761
ENSG00000162441,LZIC,60,0.01112,38,-0.8195,104,0.92263,79,0.45592,47,-0.3687,70,0.26807
ENSG00000130939,UBE4B,36,0.24536,41,0.47791,12,-1.5295,29,-0.1777,30,-0.1357,20,-0.7822
ENSG00000054523,KIF1B,388,-0.2397,490,0.25408,382,-0.1929,312,-0.5072,591,0.50562,449,0.05919
ENSG00000142657,PGD,53,0.28179,49,0.09391,27,-0.8190,60,0.40416,40,-0.2199,28,-0.7899
ENSG00000241563,CORT,30,0.88528,16,-0.4816,9,-1.2031,39,1.00313,5,-1.9866,9,-1.2045
ENSG00000160049,DFFA,35,-0.5163,29,-0.7688,76,0.87749,77,0.90280,64,0.59137,44,-0.0073
ENSG00000142655,PEX14,17,0.14787,18,0.32358,12,-0.4446,16,0.07880,14,-0.1531,8,-1.0376
ENSG00000120948,TARDBP,78,0.12905,76,0.07733,62,-0.2682,68,-0.1169,68,-0.1100,69,-0.0871
ENSG00000116649,SRM,51,0.34771,41,-0.1476,25,-0.8827,70,0.74599,28,-0.7301,36,-0.3203
ENSG00000171824,EXOSC10,23,-0.3498,26,-0.1018,52,1.04785,27,-0.0377,32,0.21764,20,-0.4731
ENSG00000198793,MTOR,48,0.37472,45,0.18258,32,-0.3879,50,0.31567,21,-1.0255,21,-1.0077
ENSG00000116661,FBXO2,150,-0.3563,115,-0.7903,239,0.49355,478,1.70522,77,-1.2751,202,0.21831
ENSG00000132879,FBXO44,85,0.38817,78,0.16879,33,-1.1696,69,-0.0633,64,-0.1951,52,-0.5161
ENSG00000177000,MTHFR,19,-0.0626,21,0.18043,27,0.55459,20,0.03871,14,-0.5204,13,-0.6036
ENSG00000011021,CLCN6,44,-0.6246,96,1.07245,23,-1.4456,52,-0.1884,72,0.32534,40,-0.6157
ENSG00000116685,KIAA2013,32,0.62311,22,-0.2207,28,0.22910,23,-0.1189,16,-0.6336,10,-1.3149
ENSG00000083444,PLOD1,14,-0.0193,12,-0.3097,22,0.74648,20,0.55644,16,0.19278,5,-1.5626
ENSG00000116688,MFN2,116,0.39613,106,0.16931,49,-1.0715,95,-0.0472,77,-0.3748,74,-0.4341
ENSG00000048707,VPS13D,57,-0.2082,69,0.20269,82,0.44230,56,-0.1628,76,0.31579,38,-0.7727
ENSG00000162496,DHRS3,14,-0.7862,10,-1.3643,76,2.24546,49,1.38241,9,-1.3239,13,-0.7231
ENSG00000116731,PRDM2,251,-0.0373,319,0.46481,195,-0.4213,72,-1.9187,305,0.28887,273,0.10619
ENSG00000189337,KAZN,40,-0.4381,60,0.38577,57,0.20757,64,0.39652,47,-0.0732,37,-0.4576
ENSG00000142634,EFHD2,24,-1.2863,72,1.00822,27,-0.7811,18,-1.4052,115,1.56993,30,-0.6496
ENSG00000116138,DNAJC16,41,0.70294,37,0.37442,18,-0.8110,12,-1.4698,17,-0.9271,18,-0.8590
ENSG00000197312,DDI2,37,0.04859,45,0.42783,29,-0.3782,15,-1.3426,48,0.44868,25,-0.5541
ENSG00000116786,PLEKHM2,86,-0.3139,87,-0.2566,69,-0.5605,110,0.15856,144,0.59701,165,0.82941
ENSG00000065526,SPEN,152,-0.3474,188,0.10134,326,0.98852,66,-1.5106,213,0.28225,187,0.07483
ENSG00000116809,ZBTB17,15,-0.3198,15,-0.2650,23,0.45035,23,0.42127,21,0.26630,20,0.19092
ENSG00000037637,FBXO42,17,0.06419,20,0.39469,17,0.04084,19,0.25026,12,-0.4172,4,-1.8741
ENSG00000055070,SZRD1,19,-0.7730,21,-0.5611,62,1.32129,47,0.84225,37,0.43374,23,-0.2861
ENSG00000159363,ATP13A2,82,0.36286,78,0.20730,38,-0.9523,63,-0.1649,40,-0.8459,70,-0.0063
ENSG00000117118,SDHB,70,0.52318,52,-0.1341,38,-0.5959,75,0.46361,45,-0.3510,23,-1.3219
ENSG00000117115,PADI2,39,-0.6225,14,-2.2629,134,1.57157,152,1.80288,36,-0.5783,62,0.24991
ENSG00000179051,RCC2,21,0.14349,24,0.46900,14,-0.4621,20,0.04248,9,-1.0689,14,-0.5291
ENSG00000074964,ARHGEF10L,15,0.10807,8,-0.9048,11,-0.3490,20,0.58656,21,0.68044,17,0.31312
ENSG00000117154,IGSF21,54,0.36926,51,0.18949,26,-0.9021,44,-0.0610,37,-0.3246,32,-0.5584
ENSG00000159423,ALDH4A1,14,-0.5341,7,-1.5830,23,0.43958,42,1.41323,40,1.33002,15,-0.2992
ENSG00000127481,UBR4,27,-0.7204,48,0.44802,76,1.12242,7,-2.5271,56,0.59992,32,-0.2695
ENSG00000127463,EMC1,35,0.35110,29,-0.0966,33,0.15469,19,-0.7465,36,0.25918,18,-0.7680
ENSG00000053372,MRTO4,39,0.25852,36,0.06685,42,0.27160,28,-0.3456,19,-0.9114,31,-0.1858
ENSG00000053371,AKR7A2,27,-0.2087,13,-1.4863,59,1.08783,75,1.52591,29,-0.0800,22,-0.5057
ENSG00000077549,CAPZB,167,0.08847,182,0.25295,122,-0.4221,205,0.39527,122,-0.4279,103,-0.6907
ENSG00000173436,MICOS10,219,-0.1075,198,-0.2863,134,-0.8358,339,0.63389,236,0.04271,347,0.67261
ENSG00000158747,NBL1,127,0.13547,118,-0.0211,124,0.05875,119,-0.0053,105,-0.1980,104,-0.2129
ENSG00000169914,OTUD3,14,-0.1354,20,0.56810,14,-0.0813,5,-1.4501,20,0.47903,9,-0.7399
ENSG00000162545,CAMK2N1,2395,0.62143,1151,-0.8861,1310,-0.5490,2833,0.68351,743,-1.4091,2556,0.51278
