Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,12,-1.3749,10,-1.6697,28,-0.1312,36,0.40027,34,0.18912,40,0.44951,37,0.32496
ENSG00000188976,NOC2L,21,-1.0031,28,-0.6038,17,-1.4188,54,0.66936,56,0.49572,60,0.60396,37,-0.1554
ENSG00000188290,HES4,11,-2.0692,38,-0.2318,53,0.32178,53,0.45184,54,0.33041,35,-0.3565,28,-0.6987
ENSG00000187608,ISG15,29,-0.0682,24,-0.3800,34,0.15916,41,0.72701,46,0.63357,6,-2.4395,1,-4.5423
ENSG00000188157,AGRN,25,0.11739,24,0.10059,12,-0.9903,20,-0.2982,52,1.37404,30,0.44095,15,-0.5957
ENSG00000078808,SDF4,64,0.36065,67,0.45500,33,-0.7001,52,0.04085,62,0.33170,47,-0.1013,43,-0.2399
ENSG00000176022,B3GALT6,9,-1.0724,13,-0.5820,14,-0.4786,28,0.96368,7,-1.3869,26,0.48488,14,-0.4597
ENSG00000160087,UBE2J2,24,-0.3983,21,-0.6184,19,-0.7899,39,0.55583,50,0.76818,39,0.36903,13,-1.3400
ENSG00000131584,ACAP3,64,0.30616,24,-1.2114,58,0.16944,37,-0.7028,109,1.20538,104,1.12282,13,-2.1147
ENSG00000127054,INTS11,44,0.39815,24,-0.5590,25,-0.5081,44,0.61266,37,0.11724,22,-0.6603,23,-0.6174
ENSG00000224051,CPTP,9,-0.4635,2,-2.3469,10,-0.3488,16,0.70891,13,0.09534,24,1.15927,0,-5.3170
ENSG00000107404,DVL1,37,0.06854,34,-0.0648,55,0.82212,23,-0.8511,76,1.26869,23,-0.6964,16,-1.1573
ENSG00000175756,AURKAIP1,131,-0.4261,113,-0.6455,184,0.12469,236,0.80709,124,-0.5113,94,-0.9294,114,-0.6421
ENSG00000221978,CCNL2,69,0.50355,32,-0.6998,31,-0.8372,47,-0.1665,105,1.21431,75,0.64636,25,-1.0463
ENSG00000242485,MRPL20,121,-0.3462,100,-0.6469,166,0.17293,191,0.57770,103,-0.5894,125,-0.2936,114,-0.4395
ENSG00000235098,ANKRD65,50,0.97174,11,-1.3354,31,0.21379,35,0.59204,28,0.01190,7,-2.0449,4,-2.7155
ENSG00000179403,VWA1,216,4.14017,50,0.81512,14,-1.2008,4,-3.4796,10,-1.6823,2,-3.9956,13,-1.3031
ENSG00000205090,TMEM240,5,-2.1568,0,-6.2490,21,-0.0549,29,0.67005,30,0.45882,22,0.01862,27,0.32748
ENSG00000160075,SSU72,75,-0.9251,40,-1.8425,150,0.17384,194,0.90890,99,-0.4908,124,-0.1453,83,-0.7680
ENSG00000228594,FNDC10,3,-2.5499,5,-1.9514,32,1.05004,20,0.21293,31,0.83637,14,-0.4328,4,-2.0253
ENSG00000272106,AL691432.2,24,0.92036,9,-0.6465,11,-0.2670,16,0.40164,18,0.49342,8,-0.8172,2,-2.4751
ENSG00000197530,MIB2,23,-0.3076,14,-1.0397,32,0.18048,27,-0.1088,65,1.36101,28,-0.0586,12,-1.2880
ENSG00000248333,CDK11B,57,0.48488,29,-0.5928,30,-0.5563,42,-0.0106,36,-0.2548,47,0.16662,67,0.74566
ENSG00000189339,SLC35E2B,12,-0.2756,7,-1.0118,16,0.09727,13,-0.2760,24,0.75806,21,0.56943,15,-0.0177
ENSG00000008128,CDK11A,41,1.06927,26,0.27881,14,-0.7332,14,-0.8086,28,0.42791,36,0.83131,20,-0.1094
ENSG00000215790,SLC35E2A,9,-1.4524,24,0.09769,22,-0.0609,25,0.21133,43,1.00663,24,0.06149,8,-1.5734
ENSG00000008130,NADK,14,-0.4194,8,-1.2157,19,0.08953,19,0.04882,33,0.96426,18,-0.0077,14,-0.3510
ENSG00000078369,GNB1,225,-0.9585,231,-0.9170,577,0.58994,442,0.12383,424,0.02045,396,-0.0855,406,-0.0481
ENSG00000187730,GABRD,7,-4.2016,6,-4.4700,86,-0.7503,234,1.61860,163,0.32282,120,-0.1658,64,-1.1399
ENSG00000067606,PRKCZ,101,-0.7908,64,-1.4683,195,0.25566,207,0.49674,197,0.24862,148,-0.2092,127,-0.4408
ENSG00000162585,FAAP20,28,0.02240,27,-0.0289,44,0.83711,24,-0.3251,32,0.19543,15,-0.9661,21,-0.4170
ENSG00000157933,SKI,15,-0.6536,51,1.31008,29,0.44528,13,-1.0486,41,0.93631,31,0.46018,2,-3.1360
ENSG00000157916,RER1,57,0.16720,35,-0.6008,36,-0.6053,64,0.52162,52,0.02398,54,0.08103,40,-0.3848
ENSG00000157911,PEX10,31,0.54536,29,0.46984,27,0.40162,21,-0.1383,25,0.23647,15,-0.6156,3,-2.6520
ENSG00000149527,PLCH2,23,0.99057,13,0.11886,14,0.14578,12,-0.1581,21,0.86677,2,-2.5280,4,-1.7433
ENSG00000157881,PANK4,5,-1.3149,13,-0.0785,6,-1.2626,20,0.97908,7,-1.0377,7,-0.9460,25,0.97813
ENSG00000157870,PRXL2B,7,-1.9640,12,-1.2355,31,0.23643,35,0.62521,37,0.48029,32,0.27406,8,-1.7948
ENSG00000177133,PRDM16-DT,0,-4.4892,26,0.68758,35,1.45523,4,-2.3374,57,2.15293,1,-3.5123,11,-0.6443
ENSG00000158109,TPRG1L,34,-2.1128,43,-1.7508,147,0.12957,175,0.61631,116,-0.2519,194,0.57184,119,-0.2180
ENSG00000116213,WRAP73,14,0.29223,12,0.11178,5,-1.3865,13,0.23555,23,1.13349,4,-1.5926,13,0.16554
ENSG00000130764,LRRC47,35,-0.4722,20,-1.3603,36,-0.4854,61,0.57450,58,0.28316,54,0.18422,47,-0.0507
ENSG00000116198,CEP104,81,1.93453,33,0.37923,11,-1.3645,15,-1.1319,43,0.80680,30,0.20327,20,-0.4107
ENSG00000198912,C1orf174,11,-0.1036,13,0.15742,9,-0.3196,12,0.04705,12,0.05653,11,-0.0180,14,0.27714
ENSG00000196581,AJAP1,14,-1.3183,9,-1.8874,25,-0.4863,29,-0.3053,58,0.89725,69,1.21825,50,0.65755
ENSG00000069424,KCNAB2,25,-2.5576,36,-2.0580,168,0.33211,176,0.56396,171,0.32839,190,0.49832,73,-0.9878
ENSG00000116254,CHD5,31,-2.4961,52,-1.7480,156,-0.0953,135,-0.4394,367,1.33988,331,1.15593,183,0.16474
ENSG00000116251,RPL22,739,0.53644,887,0.84346,743,0.62177,422,-0.4879,256,-1.1218,226,-1.3062,549,0.05457
ENSG00000116237,ICMT,23,-0.4188,2,-3.5149,17,-0.9787,34,0.22729,53,0.87982,50,0.77647,40,0.41890
ENSG00000097021,ACOT7,36,-2.6709,20,-3.5386,111,-1.0808,382,1.70531,90,-1.3173,284,0.45898,166,-0.3933
ENSG00000171680,PLEKHG5,0,-8.2832,5,-1.5741,15,-0.0745,23,0.92591,18,0.18644,23,0.61915,6,-1.3766
ENSG00000162408,NOL9,20,0.04555,24,0.34788,18,-0.1501,11,-1.1275,43,1.29751,34,0.91992,13,-0.5731
ENSG00000162413,KLHL21,35,0.98206,19,-0.0292,14,-0.4720,15,-0.4633,31,0.77672,23,0.28741,12,-0.6562
ENSG00000041988,THAP3,19,0.46181,14,-0.0829,13,-0.1832,20,0.76670,4,-1.8669,10,-0.5724,7,-1.0409
ENSG00000007923,DNAJC11,26,-0.0726,26,-0.0284,21,-0.3993,30,0.24279,26,-0.0628,41,0.69115,15,-0.9290
ENSG00000171735,CAMTA1,123,-1.4409,114,-1.5564,307,-0.0483,290,-0.1828,442,0.54528,478,0.67625,537,0.87237
ENSG00000049245,VAMP3,180,2.94548,83,1.33659,20,-1.0445,11,-2.2434,23,-0.7393,8,-2.1887,33,-0.1953
ENSG00000049246,PER3,55,0.91358,59,1.01424,28,-0.1856,14,-1.5518,73,1.39387,20,-0.6610,27,-0.2153
ENSG00000116288,PARK7,216,-0.7076,219,-0.6869,356,0.07881,468,0.79914,256,-0.4451,196,-0.8606,279,-0.3123
ENSG00000116285,ERRFI1,29,0.57251,17,-0.2540,9,-1.1974,27,0.77258,22,0.17009,18,-0.1519,6,-1.8407
ENSG00000162426,SLC45A1,12,-1.2111,0,-6.4609,16,-0.8654,39,0.84378,20,-0.4731,51,0.99076,33,0.29768
ENSG00000142599,RERE,121,0.31008,130,0.43587,80,-0.3675,73,-0.6433,188,1.05522,121,0.31051,80,-0.3366
ENSG00000074800,ENO1,350,-0.6070,773,0.65577,480,-0.1280,560,0.18974,591,0.21690,310,-0.7913,454,-0.2022
ENSG00000171612,SLC25A33,22,-0.6339,43,0.43419,57,1.03436,23,-0.7164,35,0.10889,24,-0.4933,31,-0.0889
ENSG00000171603,CLSTN1,153,-2.0422,201,-1.6358,324,-0.9967,796,0.76260,415,-0.5413,993,0.85936,872,0.63990
ENSG00000178585,CTNNBIP1,29,-0.0697,35,0.20269,31,0.02140,35,0.28735,31,0.02545,32,0.04223,10,-1.7345
ENSG00000162441,LZIC,95,1.05044,83,0.81289,39,-0.4089,39,-0.5119,55,0.14981,34,-0.6030,48,-0.0533
ENSG00000130939,UBE4B,49,0.41768,13,-1.5972,14,-1.6312,43,0.31657,47,0.37368,72,1.07749,32,-0.2311
ENSG00000054523,KIF1B,399,0.43376,448,0.62482,241,-0.4044,234,-0.5641,348,0.20958,391,0.40058,351,0.22460
ENSG00000142657,PGD,52,0.09360,39,-0.3426,29,-0.8492,58,0.37803,55,0.17953,50,0.01360,55,0.16974
ENSG00000175279,CENPS,11,-0.3367,2,-2.4501,19,0.55596,20,0.97491,10,-0.5354,7,-0.9966,3,-2.2113
ENSG00000241563,CORT,0,-6.8299,297,2.35716,22,-2.0663,114,0.92243,64,-0.3325,8,-3.3301,5,-3.9108
ENSG00000160049,DFFA,83,0.84940,38,-0.3908,41,-0.2972,38,-0.5145,83,0.85485,39,-0.3740,61,0.34672
ENSG00000142655,PEX14,12,-0.5852,10,-0.9592,10,-0.9646,24,0.63018,14,-0.4131,20,0.09542,31,0.82678
ENSG00000120948,TARDBP,103,0.45965,117,0.66648,56,-0.5444,73,-0.1315,87,0.17820,63,-0.3342,78,0.01837
ENSG00000271895,AL109811.2,10,-0.2311,12,0.03355,7,-0.9723,12,0.02676,18,0.67011,24,1.13278,5,-1.1953
ENSG00000116649,SRM,42,-0.4906,29,-1.0491,58,-0.0079,79,0.76324,66,0.21325,52,-0.1679,18,-1.7702
ENSG00000171824,EXOSC10,42,0.39359,37,0.22352,23,-0.5646,23,-0.6982,50,0.68495,62,1.05114,28,-0.2389
ENSG00000198793,MTOR,26,-0.7700,14,-1.6356,30,-0.5901,53,0.51882,52,0.33515,64,0.67269,40,-0.1039
ENSG00000116661,FBXO2,108,-0.9763,298,0.62116,227,0.19497,256,0.56932,180,-0.1929,131,-0.6778,38,-2.4967
ENSG00000132879,FBXO44,24,-1.5622,18,-1.9596,63,-0.1087,89,0.70535,94,0.54672,83,0.34495,36,-0.9621
ENSG00000177000,MTHFR,6,-1.2528,15,0.02569,9,-0.8094,14,-0.1218,31,1.24381,29,1.12970,6,-1.2830
ENSG00000011021,CLCN6,31,-0.6046,13,-1.8654,31,-0.6825,48,0.10600,87,1.04119,85,1.00040,36,-0.3708
ENSG00000116685,KIAA2013,52,1.14853,14,-0.9270,19,-0.5475,24,-0.2217,37,0.57361,12,-1.1972,39,0.65927
ENSG00000083444,PLOD1,34,1.29566,27,0.87916,11,-0.5070,13,-0.3742,16,0.10700,13,-0.3024,5,-1.5014
ENSG00000116688,MFN2,60,-0.6118,74,-0.2745,77,-0.2516,107,0.43729,87,-0.0259,114,0.39997,61,-0.5798
ENSG00000048707,VPS13D,53,-0.4159,36,-0.9935,54,-0.4235,75,0.16146,66,-0.0836,107,0.69679,96,0.51052
ENSG00000162496,DHRS3,25,0.43705,59,1.92421,22,0.27945,11,-1.1354,19,0.02169,11,-0.8264,8,-1.2166
ENSG00000116731,PRDM2,132,-0.5704,129,-0.6096,167,-0.2271,154,-0.4616,229,0.29270,296,0.71751,362,1.05713
ENSG00000189337,KAZN,86,0.43395,49,-0.4428,53,-0.3727,73,0.25930,64,-0.0342,73,0.18368,49,-0.4354
ENSG00000142634,EFHD2,26,-1.5055,55,-0.3964,71,0.01831,55,-0.5237,33,-1.1626,150,1.25422,149,1.24759
ENSG00000116138,DNAJC16,25,-0.1841,14,-1.0670,15,-1.0574,33,0.36001,31,0.15088,53,1.04319,26,-0.1403
ENSG00000197312,DDI2,32,0.20199,17,-0.7417,17,-0.8619,28,-0.0600,41,0.58705,52,0.99958,25,-0.1983
ENSG00000116786,PLEKHM2,53,-0.5543,44,-0.8402,146,1.26430,67,-0.2697,96,0.37718,44,-0.8436,38,-1.0514
ENSG00000065526,SPEN,209,0.96637,190,0.79947,56,-1.2042,74,-0.9308,143,0.32918,78,-0.6182,253,1.29432
ENSG00000116809,ZBTB17,17,-0.0038,17,-0.0089,15,-0.1615,18,0.18646,15,-0.1779,17,0.04567,15,-0.1184
ENSG00000037637,FBXO42,16,-0.3502,6,-1.7626,9,-1.2880,22,0.16403,31,0.68307,38,1.04328,26,0.38740
ENSG00000055070,SZRD1,40,1.09310,47,1.38067,24,0.25761,8,-1.7962,33,0.76950,4,-2.4860,23,0.20291
ENSG00000219481,NBPF1,29,1.30954,21,0.74505,9,-0.6050,7,-1.1687,25,1.05500,13,0.07674,8,-0.6410
ENSG00000159363,ATP13A2,22,-2.1757,35,-1.4813,78,-0.2955,141,1.13898,68,-0.4686,100,0.13090,68,-0.4738
ENSG00000117118,SDHB,69,-0.2770,47,-0.8608,74,-0.1662,120,0.98290,74,-0.1534,38,-1.1681,46,-0.9019
ENSG00000117115,PADI2,320,3.22087,159,1.65473,29,-1.1767,7,-3.5556,52,-0.2080,9,-2.8309,32,-0.9671
ENSG00000179051,RCC2,22,0.26521,8,-1.3368,13,-0.6646,22,0.36903,33,0.90845,18,-0.0701,13,-0.5962
ENSG00000074964,ARHGEF10L,5,-1.1357,10,-0.1490,14,0.33331,16,0.74181,16,0.53655,2,-2.3053,2,-2.3034
ENSG00000117154,IGSF21,16,-2.1589,26,-1.4876,49,-0.5768,82,0.41423,63,-0.1331,101,0.61475,125,0.98626
ENSG00000159423,ALDH4A1,12,-0.7388,43,1.26306,35,1.03564,9,-1.5078,43,1.26578,9,-1.1711,7,-1.5396
ENSG00000127481,UBR4,36,0.02032,39,0.12560,17,-1.1765,31,-0.2935,78,1.29204,48,0.47836,33,-0.1422
ENSG00000127463,EMC1,22,-0.1737,14,-0.8684,13,-0.9677,31,0.54667,38,0.73114,28,0.20184,17,-0.5451
ENSG00000053372,MRTO4,28,-0.4667,10,-1.9273,38,-0.0037,40,0.12320,74,1.10867,43,0.20919,25,-0.6264
