 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Ch
1,539.923,3.362,0.858,4.964,217.281,608.585,93.475,206.839,595.657,20.883,25.855,4
2,543.879,1.644,0.379,4.129,255.566,512.623,93.475,244.627,500.193,21.877,24.860,4
3,950.305,1.482,0.506,4.961,144.688,424.120,123.308,129.275,408.706,30.827,30.827,4
4,934.483,1.214,0.000,4.893,334.622,397.271,123.308,321.198,379.868,26.849,34.805,4
5,1075.891,0.918,0.000,3.164,401.746,486.271,131.263,385.835,469.366,31.821,33.810,4
6,1352.775,1.241,0.000,4.111,464.394,490.249,147.174,445.500,472.349,37.788,35.799,4
7,225.462,1.564,0.436,3.764,519.087,637.920,61.654,513.121,628.473,11.933,18.894,4
8,355.993,2.282,0.764,4.901,563.339,570.797,77.565,555.881,558.864,14.916,23.866,4
9,1041.281,0.994,0.000,3.468,489.752,558.367,131.263,476.327,538.975,26.849,38.782,4
10,1044.247,0.956,0.000,2.994,581.238,635.434,129.275,564.830,619.523,32.816,31.821,4
11,560.690,2.005,0.243,4.953,861.665,437.047,95.464,851.223,423.623,20.883,26.849,4
12,668.476,1.511,0.363,3.976,694.105,613.557,103.420,681.177,600.629,25.855,25.855,4
13,1210.377,0.917,0.000,4.432,651.345,566.819,139.219,634.440,548.920,33.810,35.799,4
14,1352.775,0.951,0.000,4.894,695.099,453.455,147.174,677.200,434.561,35.799,37.788,4
15,281.828,1.721,0.455,4.822,769.184,467.874,67.621,761.725,458.427,14.916,18.894,4
16,826.696,1.048,0.000,3.636,783.603,447.489,119.330,772.664,428.595,21.877,37.788,4
17,815.818,0.921,0.000,2.446,883.542,407.215,115.353,871.112,390.807,24.860,32.816,4
18,462.791,0.922,0.000,2.011,809.458,366.941,87.509,800.508,354.013,17.900,25.855,4
19,720.887,0.703,0.000,1.836,817.910,337.605,107.397,804.486,324.181,26.849,26.849,4
20,946.349,1.031,0.000,2.376,497.707,362.466,123.308,481.299,348.047,32.816,28.838,4
21,432.136,1.737,0.451,4.379,254.074,468.869,83.531,242.638,459.422,22.872,18.894,4
22,432.136,2.558,0.550,5.036,248.108,288.879,83.531,238.661,277.443,18.894,22.872,4
23,519.157,1.652,0.463,4.186,72.095,272.968,91.487,59.665,262.527,24.860,20.883,4
24,544.868,1.201,0.000,3.130,71.101,298.823,95.464,56.682,289.376,28.838,18.894,4
25,427.192,2.876,0.820,4.962,64.637,73.587,83.531,52.704,64.637,23.866,17.900,4
26,802.963,2.224,0.447,4.956,218.772,92.978,113.364,204.850,78.559,27.844,28.838,4
27,474.658,1.644,0.000,4.970,401.746,95.464,87.509,391.801,83.531,19.888,23.866,4
28,1068.969,1.102,0.000,4.148,515.607,164.576,139.219,504.171,141.208,22.872,46.738,4
29,1089.735,1.314,0.000,4.899,458.925,145.185,133.252,444.506,126.291,28.838,37.788,4
30,413.348,1.158,0.209,3.728,583.227,178.996,81.542,573.780,168.057,18.894,21.877,4
31,519.157,2.071,0.100,4.923,710.513,113.861,91.487,698.083,103.420,24.860,20.883,4
32,913.716,1.878,0.369,5.099,750.290,60.660,121.319,733.882,46.738,32.816,27.844,4
33,694.187,1.005,0.246,2.426,761.725,255.069,105.408,748.798,241.644,25.855,26.849,4
34,568.601,1.243,0.124,3.340,661.786,273.963,95.464,650.350,261.532,22.872,24.860,4
35,978.982,0.931,0.000,2.705,647.864,307.276,125.297,631.456,292.359,32.816,29.833,4
36,750.553,1.219,0.000,4.180,554.389,599.138,111.375,537.981,587.702,32.816,22.872,4
37,379.726,1.591,0.465,3.782,351.030,258.549,79.554,343.075,246.616,15.911,23.866,4
38,268.973,1.349,0.410,3.672,809.458,671.730,65.632,801.502,663.278,15.911,16.905,4
39,319.405,1.809,0.535,4.962,250.097,613.060,71.598,241.644,603.613,16.905,18.894,4
40,523.112,2.910,0.670,4.962,105.906,387.326,91.487,94.470,375.891,22.872,22.872,4
41,474.658,2.800,0.600,4.963,197.890,256.560,87.509,185.956,246.616,23.866,19.888,4
42,102.843,2.586,0.566,4.967,63.146,104.414,41.766,56.682,100.436,12.927,7.955,4
