 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Ch
1,432.136,2.387,0.226,4.966,228.219,117.839,83.531,216.783,108.392,22.872,18.894,4
2,560.690,1.298,0.148,2.758,198.387,332.633,95.464,184.962,322.192,26.849,20.883,4
3,581.456,1.315,0.000,4.163,149.163,350.533,97.453,135.241,340.092,27.844,20.883,4
4,1202.467,1.489,0.000,5.173,322.192,622.507,139.219,303.298,606.596,37.788,31.821,4
5,1277.621,1.494,0.000,4.958,518.093,490.249,143.196,501.188,471.355,33.810,37.788,4
6,415.326,2.091,0.582,4.903,457.433,449.975,81.542,447.489,439.533,19.888,20.883,4
7,1176.756,1.370,0.000,4.902,497.707,423.623,137.230,480.305,406.718,34.805,33.810,4
8,830.651,2.313,0.080,4.971,424.617,321.198,115.353,409.701,307.276,29.833,27.844,4
9,791.096,2.339,0.078,4.969,381.857,272.968,113.364,365.946,260.538,31.821,24.860,4
10,1202.467,1.368,0.000,4.767,651.345,207.834,139.219,635.434,188.940,31.821,37.788,4
11,987.882,2.254,0.078,5.032,746.312,13.425,127.286,727.915,0.000,36.794,26.849,4
12,657.599,2.096,0.000,4.964,590.188,9.447,107.397,572.786,0.000,34.805,18.894,4
13,973.049,1.878,0.345,4.902,481.796,682.172,129.275,461.411,670.239,40.771,23.866,4
14,919.650,0.859,0.000,4.090,442.020,185.956,121.319,426.606,171.040,30.827,29.833,4
15,237.329,1.693,0.445,4.378,686.150,646.870,61.654,678.194,639.412,15.911,14.916,4
16,909.761,1.195,0.000,4.702,914.866,620.518,131.263,904.922,597.646,19.888,45.743,4
17,1512.972,1.042,0.000,5.030,851.720,184.962,157.118,829.346,168.057,44.749,33.810,4
18,1870.943,1.075,0.000,3.997,311.751,177.007,173.029,290.371,155.129,42.760,43.754,4
19,284.795,2.413,0.757,4.795,738.854,442.517,67.621,730.898,433.567,15.911,17.900,4
20,478.613,0.992,0.163,2.599,134.247,570.797,87.509,123.308,559.858,21.877,21.877,4
21,300.617,1.097,0.059,4.061,85.023,487.266,69.609,75.576,479.310,18.894,15.911,4
22,573.545,1.519,0.000,4.903,576.266,493.232,97.453,561.847,483.288,28.838,19.888,4
23,1471.439,1.477,0.000,4.944,523.562,218.772,157.118,508.148,194.906,30.827,47.732,4
24,727.809,0.758,0.059,2.444,566.819,623.998,109.386,550.909,612.563,31.821,22.872,4
25,1024.470,1.038,0.000,3.011,621.512,45.246,129.275,607.590,26.849,27.844,36.794,4
26,1176.756,1.370,0.000,4.902,497.707,423.623,137.230,480.305,406.718,34.805,33.810,4
27,281.828,0.875,0.061,2.631,467.874,35.302,67.621,458.427,27.844,18.894,14.916,4
28,320.394,1.875,0.102,4.708,850.229,472.349,71.598,841.279,463.400,17.900,17.900,4
29,353.027,0.951,0.000,4.981,874.592,654.825,75.576,864.151,646.373,20.883,16.905,4
