 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Ch
1,1067.980,0.705,0.000,2.442,57.676,13.425,133.252,37.788,0.000,39.777,26.849,4
2,244.251,1.464,0.304,4.902,6.464,82.040,63.643,0.000,72.593,12.927,18.894,4
3,1147.090,1.577,0.356,4.206,116.844,112.369,137.230,102.425,92.481,28.838,39.777,4
4,848.451,1.109,0.245,2.208,141.208,25.358,117.342,128.280,8.950,25.855,32.816,4
5,1072.924,1.664,0.000,4.824,280.924,103.917,131.263,265.510,86.515,30.827,34.805,4
6,336.216,0.748,0.186,1.665,175.018,159.604,73.587,165.074,151.152,19.888,16.905,4
7,415.326,1.147,0.475,2.626,137.727,146.180,81.542,127.286,136.235,20.883,19.888,4
8,311.494,1.147,0.163,2.936,85.023,156.621,71.598,77.565,146.180,14.916,20.883,4
9,1067.980,1.199,0.000,4.902,64.637,205.845,131.263,49.721,187.945,29.833,35.799,4
10,1207.411,1.073,0.000,4.877,86.017,249.102,139.219,67.621,232.694,36.794,32.816,4
11,344.127,1.307,0.000,3.121,5.967,316.723,81.542,0.000,302.304,11.933,28.838,4
12,409.392,0.819,0.243,1.908,9.944,286.890,81.542,0.994,275.454,17.900,22.872,4
13,403.459,1.215,0.321,2.687,191.426,197.890,81.542,182.973,185.956,16.905,23.866,4
14,409.392,1.060,0.287,2.763,214.795,260.041,81.542,205.845,248.605,17.900,22.872,4
15,498.391,0.939,0.224,2.784,171.537,283.410,89.498,161.096,271.477,20.883,23.866,4
16,435.103,1.307,0.310,2.975,191.923,351.030,83.531,181.979,340.092,19.888,21.877,4
17,488.502,1.208,0.299,4.557,224.739,442.020,89.498,211.811,432.573,25.855,18.894,4
18,318.416,1.008,0.081,3.443,329.153,391.304,73.587,322.192,379.868,13.922,22.872,4
19,696.165,0.954,0.000,2.070,323.186,413.679,107.397,307.276,402.740,31.821,21.877,4
20,375.771,0.989,0.164,3.129,383.846,518.590,77.565,373.902,509.143,19.888,18.894,4
21,569.589,1.538,0.000,4.959,414.673,506.160,95.464,402.740,494.227,23.866,23.866,4
22,353.027,1.152,0.088,3.495,451.964,518.590,75.576,443.511,508.148,16.905,20.883,4
23,498.391,0.876,0.000,3.797,400.254,657.311,89.498,389.813,645.378,20.883,23.866,4
24,720.887,0.767,0.210,2.041,509.640,625.987,107.397,496.215,612.563,26.849,26.849,4
25,642.766,1.977,0.401,4.994,304.292,260.041,101.431,291.365,247.611,25.855,24.860,4
26,516.190,2.424,0.339,4.953,317.717,224.739,93.475,303.298,215.789,28.838,17.900,4
27,957.227,1.173,0.328,2.725,353.019,24.860,131.263,331.142,13.922,43.754,21.877,4
28,521.135,1.228,0.263,2.483,359.483,80.051,95.464,351.030,64.637,16.905,30.827,4
29,231.396,1.024,0.379,1.989,402.243,139.219,61.654,395.779,130.269,12.927,17.900,4
30,791.096,0.900,0.000,3.239,518.093,272.968,113.364,502.182,260.538,31.821,24.860,4
31,2180.459,2.787,0.222,5.026,531.517,162.588,186.951,509.143,138.224,44.749,48.727,4
32,375.771,1.303,0.378,4.459,435.556,299.818,77.565,425.612,290.371,19.888,18.894,4
33,761.430,1.467,0.209,4.147,618.529,98.945,113.364,607.590,81.542,21.877,34.805,4
34,955.249,1.281,0.000,3.395,678.194,115.850,133.252,655.323,105.408,45.743,20.883,4
35,1315.198,0.974,0.000,2.740,737.362,58.671,145.185,719.960,39.777,34.805,37.788,4
36,318.416,1.132,0.429,2.880,751.781,25.358,73.587,744.820,13.922,13.922,22.872,4
37,1044.247,0.918,0.000,3.091,846.251,50.218,129.275,830.340,33.810,31.821,32.816,4
38,316.439,1.523,0.550,3.400,885.034,50.715,71.598,877.078,40.771,15.911,19.888,4
39,311.494,1.802,0.609,4.401,859.676,7.458,71.598,849.234,0.000,20.883,14.916,4
40,487.513,1.859,0.000,4.834,916.358,89.995,91.487,907.905,75.576,16.905,28.838,4
41,917.672,1.123,0.000,2.465,759.239,230.705,121.319,744.820,214.795,28.838,31.821,4
42,462.791,1.384,0.180,3.899,895.972,284.404,87.509,887.022,271.477,17.900,25.855,4
43,797.030,1.351,0.000,4.227,865.145,339.594,113.364,852.218,324.181,25.855,30.827,4
44,941.405,2.257,0.570,5.011,758.742,310.259,123.308,741.837,296.337,33.810,27.844,4
45,348.082,0.891,0.000,2.275,583.724,488.260,75.576,572.786,480.305,21.877,15.911,4
46,815.818,0.669,0.204,1.744,593.171,569.305,115.353,580.741,552.897,24.860,32.816,4
47,614.089,1.658,0.167,4.958,841.776,642.892,99.442,828.352,631.456,26.849,22.872,4
48,544.868,2.170,0.245,4.955,849.732,604.110,95.464,840.285,589.691,18.894,28.838,4
49,1042.270,1.726,0.225,4.960,820.396,462.902,129.275,803.491,447.489,33.810,30.827,4
50,300.617,0.851,0.186,2.784,737.859,400.254,69.609,729.904,390.807,15.911,18.894,4
51,591.345,0.761,0.000,2.098,817.413,330.645,97.453,804.486,319.209,25.855,22.872,4
52,415.326,0.893,0.208,1.788,813.435,252.583,87.509,798.519,245.622,29.833,13.922,4
53,568.601,1.045,0.429,3.079,400.254,276.946,95.464,387.824,265.510,24.860,22.872,4
54,252.162,0.724,0.167,2.242,377.382,165.571,63.643,368.930,158.113,16.905,14.916,4
55,222.496,1.227,0.239,3.016,450.969,68.118,59.665,443.511,60.660,14.916,14.916,4
