 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Ch
1,827.685,1.945,0.274,5.021,398.265,231.203,115.353,382.852,217.778,30.827,26.849,4
2,1453.640,1.883,0.000,5.121,330.645,498.204,153.141,313.242,477.321,34.805,41.766,4
3,427.192,2.061,0.520,4.283,817.413,651.842,85.520,809.458,638.417,15.911,26.849,4
4,514.213,1.928,0.100,4.431,847.246,642.395,91.487,837.301,629.468,19.888,25.855,4
5,235.351,1.842,0.397,4.128,819.899,580.741,61.654,811.446,573.780,16.905,13.922,4
6,582.445,1.268,0.000,4.908,712.502,527.540,99.442,697.088,518.093,30.827,18.894,4
7,413.348,1.221,0.169,3.628,913.374,625.490,81.542,903.927,614.551,18.894,21.877,4
8,469.713,1.359,0.196,3.142,848.737,513.618,87.509,839.290,501.188,18.894,24.860,4
9,1135.223,0.945,0.000,4.150,705.541,636.429,137.230,685.155,622.507,40.771,27.844,4
10,480.591,1.067,0.121,4.903,774.653,540.467,89.498,765.703,527.042,17.900,26.849,4
11,1280.587,0.988,0.000,3.071,827.854,191.426,143.196,809.458,174.023,36.794,34.805,4
12,296.661,0.815,0.145,2.054,503.674,636.429,69.609,496.215,626.484,14.916,19.888,4
13,478.613,1.043,0.000,3.399,478.316,627.479,87.509,467.377,616.540,21.877,21.877,4
14,1003.704,0.872,0.000,2.440,78.062,67.123,127.286,63.643,49.721,28.838,34.805,4
15,961.182,0.684,0.000,3.245,374.896,201.370,125.297,356.997,187.945,35.799,26.849,4
16,854.384,1.310,0.000,4.086,596.652,508.148,119.330,584.719,490.249,23.866,35.799,4
17,427.192,2.689,0.146,4.845,681.177,332.633,85.520,673.222,319.209,15.911,26.849,4
18,587.389,1.912,0.164,4.871,596.155,344.069,97.453,582.730,333.131,26.849,21.877,4
19,1109.513,0.974,0.000,3.670,281.918,420.640,133.252,265.510,403.734,32.816,33.810,4
20,523.112,2.610,0.089,4.903,166.565,201.370,91.487,155.129,189.934,22.872,22.872,4
21,400.493,2.323,0.143,4.957,717.474,128.777,83.531,704.049,121.319,26.849,14.916,4
