 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Ch
1,450.925,2.096,0.554,4.945,11.933,150.655,85.520,0.000,141.208,23.866,18.894,4
2,800.985,2.194,0.160,4.958,63.643,280.924,113.364,48.727,267.499,29.833,26.849,4
3,617.055,1.143,0.000,4.902,104.414,234.683,99.442,91.487,222.750,25.855,23.866,4
4,2669.950,0.910,0.000,4.901,363.958,92.481,206.839,339.097,65.632,49.721,53.699,4
5,553.767,1.816,0.000,4.955,439.533,165.074,95.464,429.589,151.152,19.888,27.844,4
6,1134.234,1.270,0.000,4.859,619.026,119.828,135.241,603.613,101.431,30.827,36.794,4
7,694.187,1.100,0.000,4.940,611.568,87.012,105.408,598.641,73.587,25.855,26.849,4
8,504.324,0.864,0.102,2.222,687.641,25.855,93.475,679.189,10.939,16.905,29.833,4
9,1453.640,1.080,0.000,4.958,212.806,295.840,153.141,191.923,278.438,41.766,34.805,4
10,469.713,1.849,0.063,4.109,374.399,275.951,87.509,364.952,263.521,18.894,24.860,4
11,1079.847,1.247,0.000,3.222,406.220,298.326,133.252,386.829,284.404,38.782,27.844,4
12,563.656,0.684,0.000,2.819,424.617,533.506,97.453,409.701,524.059,29.833,18.894,4
13,668.476,0.953,0.000,4.895,320.203,507.154,103.420,307.276,494.227,25.855,25.855,4
14,415.326,0.902,0.075,2.802,345.561,512.126,81.542,335.119,502.182,20.883,19.888,4
15,1202.467,0.785,0.000,4.867,212.806,539.970,139.219,193.912,524.059,37.788,31.821,4
16,487.513,1.247,0.000,3.846,259.046,455.941,91.487,244.627,447.489,28.838,16.905,4
17,1581.204,1.770,0.000,4.821,851.720,356.499,159.107,831.335,337.108,40.771,38.782,4
18,506.302,1.585,0.528,4.416,904.922,343.075,95.464,889.011,335.119,31.821,15.911,4
19,1445.729,2.022,0.060,4.904,763.217,411.690,153.141,741.837,394.785,42.760,33.810,4
20,864.273,1.172,0.000,4.897,794.541,542.456,121.319,775.647,531.020,37.788,22.872,4
21,901.850,1.048,0.147,4.638,884.039,611.568,123.308,865.145,599.635,37.788,23.866,4
22,395.548,1.206,0.057,3.707,814.430,196.895,79.554,804.486,186.951,19.888,19.888,4
23,1148.079,1.261,0.079,3.441,851.720,147.671,139.219,830.340,134.247,42.760,26.849,4
24,454.880,0.850,0.083,1.759,489.752,648.362,85.520,478.316,638.417,22.872,19.888,4
