 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Ch
1,539.923,1.462,0.142,4.903,112.369,10.441,93.475,99.442,0.000,25.855,20.883,4
2,395.548,0.982,0.319,3.173,102.425,78.559,79.554,92.481,68.615,19.888,19.888,4
3,316.439,0.992,0.359,2.051,169.051,76.570,71.598,159.107,68.615,19.888,15.911,4
4,268.973,1.301,0.000,3.843,325.672,139.219,65.632,317.220,131.263,16.905,15.911,4
5,395.548,0.925,0.083,3.130,254.571,171.040,79.554,244.627,161.096,19.888,19.888,4
6,269.962,1.427,0.129,4.901,72.095,219.270,67.621,61.654,212.806,20.883,12.927,4
7,391.593,1.793,0.343,4.554,281.421,224.739,79.554,272.471,213.800,17.900,21.877,4
8,285.784,1.607,0.312,4.477,410.198,193.415,67.621,401.746,184.962,16.905,16.905,4
9,516.190,1.469,0.061,4.784,520.579,236.672,93.475,506.160,227.722,28.838,17.900,4
10,909.761,1.612,0.232,4.784,629.965,183.968,125.297,618.529,164.079,22.872,39.777,4
11,727.809,1.589,0.167,5.025,766.200,151.152,109.386,754.765,135.241,22.872,31.821,4
12,848.451,2.670,0.257,4.918,679.189,311.751,117.342,666.261,295.343,25.855,32.816,4
13,664.521,2.310,0.061,4.849,736.865,371.913,103.420,724.932,357.991,23.866,27.844,4
14,134.486,2.788,0.841,4.951,920.833,373.405,49.721,916.855,364.952,7.955,16.905,4
15,386.648,1.067,0.397,2.399,465.886,403.237,79.554,457.433,391.801,16.905,22.872,4
16,386.648,1.539,0.451,4.845,725.429,560.355,79.554,716.977,548.920,16.905,22.872,4
17,1000.737,1.394,0.187,4.728,681.177,645.378,135.241,670.239,622.507,21.877,45.743,4
18,1182.689,1.229,0.000,4.899,761.228,517.098,149.163,749.792,491.243,22.872,51.710,4
19,688.254,2.386,0.201,4.960,650.350,434.064,105.408,638.417,419.645,23.866,28.838,4
20,478.613,1.863,0.119,4.984,522.070,659.300,87.509,511.132,648.362,21.877,21.877,4
21,498.391,1.330,0.043,4.898,197.890,685.155,91.487,183.968,676.205,27.844,17.900,4
22,802.963,1.992,0.089,4.987,30.330,626.484,113.364,15.911,612.563,28.838,27.844,4
23,300.617,2.370,0.144,4.904,65.134,610.574,69.609,55.688,602.618,18.894,15.911,4
24,664.521,1.741,0.100,4.957,274.460,500.193,103.420,260.538,488.260,27.844,23.866,4
25,543.879,0.830,0.000,3.208,62.648,275.951,93.475,51.710,263.521,21.877,24.860,4
26,694.187,1.639,0.163,3.764,343.572,582.730,105.408,330.147,569.802,26.849,25.855,4
27,840.540,1.378,0.204,4.834,174.521,424.617,117.342,162.090,407.712,24.860,33.810,4
28,477.624,1.962,0.000,4.957,242.141,391.304,87.509,231.700,379.868,20.883,22.872,4
29,462.791,0.898,0.000,4.847,476.327,209.823,87.509,463.400,200.873,25.855,17.900,4
