 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Ch
1,375.771,0.493,0.203,1.315,192.917,586.210,77.565,182.973,576.763,19.888,18.894,4
2,268.973,0.622,0.243,1.340,326.170,636.926,65.632,318.214,628.473,15.911,16.905,4
3,522.124,0.591,0.065,2.946,437.545,562.842,91.487,426.606,550.909,21.877,23.866,4
4,326.327,0.791,0.253,1.956,386.332,460.416,73.587,378.874,449.478,14.916,21.877,4
5,854.384,0.677,0.000,1.936,416.165,422.628,117.342,402.740,406.718,26.849,31.821,4
6,1011.615,0.918,0.223,2.842,567.316,427.103,127.286,551.903,410.695,30.827,32.816,4
7,403.459,1.007,0.453,2.175,645.876,296.337,81.542,637.423,284.404,16.905,23.866,4
8,1621.748,1.323,0.000,4.903,677.697,401.746,161.096,657.311,381.857,40.771,39.777,4
9,304.572,0.892,0.000,1.973,440.528,299.320,71.598,433.567,288.382,13.922,21.877,4
10,477.624,0.587,0.151,1.262,294.845,270.979,87.509,283.410,260.538,22.872,20.883,4
11,1233.122,0.917,0.000,2.664,208.331,117.839,143.196,186.951,103.420,42.760,28.838,4
12,1061.058,0.728,0.000,1.996,78.062,245.124,131.263,59.665,230.705,36.794,28.838,4
13,363.904,0.983,0.196,1.806,45.743,128.777,77.565,37.788,117.342,15.911,22.872,4
14,726.820,0.834,0.000,2.987,10.441,334.622,111.375,0.000,317.220,20.883,34.805,4
15,1202.467,0.477,0.000,1.746,51.710,337.108,139.219,35.799,318.214,31.821,37.788,4
16,573.545,0.948,0.000,4.017,357.494,411.690,97.453,343.075,401.746,28.838,19.888,4
17,688.254,0.753,0.061,1.876,259.544,118.833,105.408,247.611,104.414,23.866,28.838,4
18,432.136,0.789,0.243,1.799,444.008,176.509,83.531,432.573,167.063,22.872,18.894,4
