Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000188976,NOC2L,69,1.41323,10,-1.6140,44,0.63368,13,-1.1741,39,0.51998,36,0.32940,18,-0.7761,33,0.18078,16,-1.0069
ENSG00000188290,HES4,68,-0.5568,13,-2.9441,29,-1.8071,33,-1.6348,82,-0.2881,341,2.16972,62,-0.7525,118,0.29798,140,0.64851
ENSG00000187608,ISG15,21,-1.7425,40,-0.7416,18,-1.9525,74,0.19319,61,-0.1271,243,2.28326,25,-1.5340,32,-1.0748,94,0.63803
ENSG00000078808,SDF4,55,-0.0838,43,-0.4629,31,-0.9256,34,-0.8111,65,0.20075,107,1.00565,39,-0.6434,66,0.20618,75,0.44945
ENSG00000160087,UBE2J2,19,-0.7905,42,0.39594,18,-0.9284,48,0.58606,35,0.13227,20,-0.7722,34,0.06917,32,-0.0473,38,0.25735
ENSG00000131584,ACAP3,162,1.33987,58,-0.3438,36,-1.0543,15,-2.3190,52,-0.5531,92,0.39326,59,-0.3215,26,-1.5269,126,1.03784
ENSG00000127054,INTS11,40,0.18661,47,0.42505,17,-1.1127,37,0.07230,29,-0.3497,48,0.46383,20,-0.9170,31,-0.2396,55,0.77929
ENSG00000107404,DVL1,60,-0.2233,32,-1.1716,26,-1.4726,15,-2.2633,53,-0.4443,111,0.76985,71,0.04135,27,-1.3934,155,1.56756
ENSG00000175756,AURKAIP1,87,-1.1395,63,-1.6119,141,-0.4069,157,-0.2394,213,0.26638,138,-0.4349,256,0.60500,163,-0.1846,254,0.59166
ENSG00000221978,CCNL2,151,1.67973,44,-0.3618,7,-2.9600,46,-0.2728,35,-0.7362,67,0.29486,26,-1.2022,58,0.06173,84,0.75765
ENSG00000242485,MRPL20,78,-1.1171,76,-1.1511,125,-0.4011,142,-0.2099,248,0.77089,105,-0.6720,227,0.60671,184,0.19750,143,-0.2159
ENSG00000179403,VWA1,11,-1.9650,144,2.15714,3,-3.6419,43,0.07705,18,-1.3118,21,-1.0317,25,-0.8004,76,0.99696,54,0.49849
ENSG00000205090,TMEM240,30,0.32435,10,-1.3407,22,-0.1936,1,-4.3000,48,1.23079,11,-1.1801,36,0.69972,27,0.13099,13,-0.9952
ENSG00000160075,SSU72,82,-0.9180,50,-1.6499,120,-0.3443,111,-0.4702,222,0.71291,173,0.22356,214,0.64059,155,0.05507,117,-0.4115
ENSG00000228594,FNDC10,39,0.58563,0,-7.1171,14,-0.9382,1,-4.5775,24,-0.1482,24,-0.1672,28,0.11029,28,0.09300,54,1.34239
ENSG00000272106,AL691432.2,23,-0.1996,40,0.66856,24,-0.1414,12,-1.2221,31,0.26060,17,-0.6727,34,0.44701,28,0.08474,22,-0.3291
ENSG00000197530,MIB2,40,0.10744,27,-0.4840,24,-0.6599,10,-1.9787,26,-0.5861,47,0.37380,43,0.24497,38,0.02669,62,0.91257
ENSG00000248333,CDK11B,133,1.33859,78,0.42864,117,1.10662,36,-0.7516,44,-0.4977,76,0.40329,42,-0.5833,43,-0.4766,28,-1.2288
ENSG00000008128,CDK11A,143,2.34362,52,0.51599,55,0.61694,25,-0.6320,15,-1.4060,38,0.02491,17,-1.3075,28,-0.4334,22,-0.8676
ENSG00000078369,GNB1,445,-0.4928,246,-1.3904,471,-0.4064,255,-1.3355,598,-0.0390,801,0.43139,873,0.64268,443,-0.5001,867,0.62997
ENSG00000187730,GABRD,107,0.34104,9,-3.2985,64,-0.4668,8,-3.5021,221,1.87387,53,-0.7638,93,0.12220,51,-0.8055,60,-0.6092
ENSG00000067606,PRKCZ,131,-0.3376,57,-1.5868,139,-0.2440,67,-1.3394,190,0.28104,227,0.53331,269,0.93363,115,-0.5271,146,-0.1804
ENSG00000162585,FAAP20,31,-0.6886,26,-0.9956,69,0.52677,3,-4.0619,34,-0.6360,93,1.02473,67,0.54635,41,-0.2842,64,0.46342
ENSG00000157933,SKI,21,-1.0468,43,0.03685,43,0.03897,11,-1.9264,25,-0.8681,56,0.46806,22,-1.0478,32,-0.4248,101,1.74708
ENSG00000157916,RER1,49,-0.4344,57,-0.1876,15,-2.1786,8,-3.0589,82,0.41993,29,-1.2124,33,-1.1123,82,0.36558,154,1.70207
ENSG00000157911,PEX10,25,-0.4179,20,-0.7536,13,-1.3311,10,-1.7697,29,-0.1893,40,0.28657,47,0.63759,38,0.21012,48,0.68090
ENSG00000197921,HES5,15,-1.4560,1,-5.0775,3,-3.6908,0,-6.6700,10,-2.1257,27,-0.5494,27,-0.6010,202,3.03227,74,1.18139
ENSG00000157870,PRXL2B,71,0.76104,15,-1.6488,10,-2.2235,25,-0.8319,55,0.40312,78,0.92985,47,0.12561,33,-0.4603,46,0.06254
