Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to9,Feature log2 fold change topic 5to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,10,-1.9249,16,-1.3441,49,0.89943,69,1.06929,27,-0.4319
ENSG00000188976,NOC2L,39,-0.4821,39,-0.5892,76,0.96830,48,-0.1819,32,-0.8412
ENSG00000188290,HES4,15,-1.7363,66,0.66333,43,-0.2142,59,0.33105,41,-0.2470
ENSG00000187608,ISG15,27,-0.7084,58,0.58085,47,0.17651,33,-0.4319,27,-0.7728
ENSG00000188157,AGRN,22,-0.0833,14,-0.8613,30,0.65012,23,-0.0395,22,-0.1118
ENSG00000078808,SDF4,63,-0.2152,78,0.14745,80,0.24488,56,-0.3916,58,-0.3639
ENSG00000176022,B3GALT6,16,-0.5922,27,0.23794,24,0.02537,26,0.12226,21,-0.1809
ENSG00000160087,UBE2J2,32,-0.4423,43,0.02089,48,0.30925,40,-0.0813,35,-0.3463
ENSG00000131584,ACAP3,64,-0.3756,32,-1.5968,110,0.84574,83,0.04088,91,0.20762
ENSG00000127054,INTS11,34,-0.6921,55,0.03593,61,0.34494,51,-0.0676,44,-0.3388
ENSG00000224051,CPTP,12,-0.7432,16,-0.3327,22,0.24821,12,-0.6818,27,0.55075
ENSG00000107404,DVL1,24,-1.3865,96,0.95625,52,-0.3580,47,-0.4025,56,-0.1642
ENSG00000175756,AURKAIP1,89,-0.7836,164,0.19259,179,0.50178,106,-0.5247,99,-0.6692
ENSG00000221978,CCNL2,73,0.20657,49,-0.4993,72,0.28731,78,0.29997,57,-0.2048
ENSG00000242485,MRPL20,92,-0.6337,165,0.35029,157,0.32010,103,-0.4531,93,-0.6537
ENSG00000179403,VWA1,149,2.65080,58,1.14469,8,-2.6881,12,-1.5547,16,-1.1535
ENSG00000205090,TMEM240,3,-2.8115,8,-1.8387,36,1.11387,28,0.17286,30,0.33814
ENSG00000160075,SSU72,82,-0.9945,152,-0.0631,182,0.39050,97,-0.7439,169,0.12876
ENSG00000228594,FNDC10,7,-1.8026,12,-1.2158,32,0.59935,13,-1.0434,44,1.00999
ENSG00000272106,AL691432.2,13,-0.5245,23,0.50401,16,-0.2197,17,-0.0999,18,-0.0575
ENSG00000197530,MIB2,17,-1.0097,24,-0.5977,46,0.84804,32,-0.1157,28,-0.3408
ENSG00000248333,CDK11B,67,1.03385,17,-1.2414,38,0.18057,59,0.81553,28,-0.3674
ENSG00000008128,CDK11A,43,1.24906,11,-1.0460,20,0.01862,22,0.18565,20,0.03242
ENSG00000215790,SLC35E2A,11,-1.4477,25,-0.3053,33,0.31294,19,-0.6299,40,0.57600
ENSG00000008130,NADK,11,-1.3545,26,-0.0973,34,0.60002,11,-1.3759,28,0.07911
ENSG00000078369,GNB1,264,-1.0332,623,0.36335,524,0.02448,335,-0.6752,569,0.16051
ENSG00000187730,GABRD,11,-3.7818,73,-1.2708,231,1.29244,196,0.40845,116,-0.4451
ENSG00000067606,PRKCZ,100,-0.9654,136,-0.5928,233,0.59116,122,-0.6628,227,0.33892
ENSG00000162585,FAAP20,31,-0.1600,43,0.42357,27,-0.5435,34,-0.0315,43,0.36870
ENSG00000157933,SKI,46,0.27378,58,0.81947,26,-0.8382,31,-0.3346,41,0.11364
ENSG00000157916,RER1,57,-0.0955,63,0.07313,65,0.18473,47,-0.3834,54,-0.1949
ENSG00000157911,PEX10,30,0.41276,32,0.66038,21,-0.2733,14,-0.7392,17,-0.5002
ENSG00000149527,PLCH2,17,0.07191,13,-0.3787,14,-0.3844,28,0.86917,21,0.43335
ENSG00000157881,PANK4,6,-1.2424,13,-0.1892,21,1.07284,4,-1.7217,9,-0.7010
ENSG00000197921,HES5,1,-4.1774,37,1.87941,10,-1.0304,8,-1.0029,14,-0.2769
ENSG00000157870,PRXL2B,10,-2.4681,62,0.20588,72,0.69230,21,-1.4765,47,-0.3124
ENSG00000177133,PRDM16-DT,9,-1.9942,88,2.31812,10,-2.2984,34,-0.0526,30,-0.2271
ENSG00000158109,TPRG1L,50,-1.8447,141,-0.3556,218,0.68090,142,-0.2857,169,-0.0129
ENSG00000130764,LRRC47,35,-0.9848,58,-0.2732,85,0.61810,55,-0.3149,60,-0.1940
ENSG00000116198,CEP104,87,1.65673,30,-0.1151,21,-0.9640,56,0.87148,25,-0.4044
ENSG00000198912,C1orf174,18,0.28121,15,-0.0023,14,-0.2002,24,0.77165,12,-0.3814
ENSG00000196581,AJAP1,17,-1.3345,21,-1.1777,65,1.28671,54,0.40436,24,-0.9469
ENSG00000069424,KCNAB2,26,-2.8158,136,-0.4199,211,0.56676,151,-0.1940,205,0.32276
ENSG00000116254,CHD5,82,-1.4399,136,-0.7948,245,0.38368,333,0.72702,246,0.26017
ENSG00000116251,RPL22,667,0.77115,535,0.52042,351,-0.3848,151,-1.5290,392,-0.0910
ENSG00000116237,ICMT,10,-2.1858,44,0.04041,50,0.37248,45,0.07659,41,-0.1006
ENSG00000097021,ACOT7,48,-1.8534,80,-1.2652,264,1.47572,143,-0.2222,115,-0.6050
ENSG00000215788,TNFRSF25,0,-6.1949,12,-1.5991,48,1.36111,37,0.30465,28,-0.1643
ENSG00000171680,PLEKHG5,1,-4.5610,23,-0.5432,43,0.82627,24,-0.4469,36,0.21777
ENSG00000162408,NOL9,23,-0.5933,24,-0.6708,38,0.24750,43,0.33909,43,0.39337
ENSG00000162413,KLHL21,18,-0.7410,28,-0.1478,38,0.65732,29,-0.0313,19,-0.7589
ENSG00000116273,PHF13,8,-0.9517,13,-0.2734,20,0.93260,4,-1.7341,12,-0.3520
ENSG00000041988,THAP3,13,-0.3122,15,-0.1380,21,0.69490,6,-1.3643,12,-0.4340
ENSG00000007923,DNAJC11,30,-0.3707,34,-0.2444,41,0.16585,51,0.43673,37,-0.0671
ENSG00000171735,CAMTA1,263,-0.5023,258,-0.6284,410,0.31164,548,0.66202,363,-0.0003
ENSG00000049245,VAMP3,106,2.08021,49,0.94292,11,-2.0506,9,-1.8810,30,-0.0636
ENSG00000049246,PER3,52,0.44239,47,0.35636,37,-0.1381,34,-0.2502,30,-0.4675
ENSG00000116288,PARK7,159,-0.7559,370,0.72542,270,0.08597,102,-1.4237,202,-0.4254
ENSG00000116285,ERRFI1,21,-0.3874,28,0.04536,29,0.13881,28,0.03194,25,-0.1378
ENSG00000162426,SLC45A1,13,-1.0248,4,-2.7336,43,1.67727,32,0.33855,17,-0.6815
ENSG00000142599,RERE,158,0.54549,86,-0.5027,108,-0.1024,177,0.72975,109,-0.0501
ENSG00000074800,ENO1,238,-1.1114,856,1.20800,471,-0.1064,194,-1.4139,273,-0.9682
ENSG00000171612,SLC25A33,16,-1.2544,72,1.41296,24,-0.9974,41,0.13207,31,-0.3093
ENSG00000171603,CLSTN1,205,-1.8244,407,-0.9269,978,1.04856,592,-0.2239,644,-0.1004
