Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to12,Feature log2 fold change topic 8to12
ENSG00000228794,LINC01128,20,-0.8859,12,-1.6402,28,-0.4294,42,0.27304,45,0.53355
ENSG00000188976,NOC2L,27,-0.8744,26,-0.9248,45,-0.0967,36,-0.4949,64,0.82287
ENSG00000188290,HES4,9,-2.1162,37,-0.0323,43,0.25049,40,0.12151,39,0.13461
ENSG00000187608,ISG15,11,-1.8866,33,-0.2599,68,1.00583,35,-0.2160,38,-0.1240
ENSG00000188157,AGRN,15,-0.3420,15,-0.3138,15,-0.3379,21,0.27435,20,0.14330
ENSG00000078808,SDF4,78,0.36526,58,-0.0869,60,-0.0418,45,-0.5681,70,0.31263
ENSG00000176022,B3GALT6,18,-0.4743,32,0.40978,25,0.01739,19,-0.4674,27,0.30178
ENSG00000160087,UBE2J2,27,-0.2507,24,-0.4124,27,-0.2914,22,-0.6414,42,0.76649
ENSG00000131584,ACAP3,65,-0.1273,50,-0.5098,75,0.10828,76,0.14446,70,-0.0006
ENSG00000127054,INTS11,63,0.70353,26,-0.6676,31,-0.4699,29,-0.5852,50,0.53707
ENSG00000224051,CPTP,13,-0.5715,17,-0.1639,15,-0.3880,14,-0.5312,24,0.75924
ENSG00000107404,DVL1,16,-1.7962,97,0.97208,73,0.56529,53,-0.0324,45,-0.4141
ENSG00000175756,AURKAIP1,101,-0.7618,154,-0.1198,212,0.43779,126,-0.5120,187,0.30800
ENSG00000221978,CCNL2,77,0.23678,62,-0.1079,29,-1.3557,58,-0.2611,86,0.68981
ENSG00000242485,MRPL20,125,-0.3831,144,-0.1605,197,0.37152,135,-0.3133,169,0.15239
ENSG00000235098,ANKRD65,29,0.01017,35,0.34579,32,0.22677,12,-1.4181,35,0.55470
ENSG00000179403,VWA1,150,3.58008,42,0.90728,10,-1.3239,1,-3.9781,13,-1.1874
ENSG00000205090,TMEM240,13,-1.0969,6,-2.1853,26,-0.1181,32,0.30381,33,0.44227
ENSG00000160075,SSU72,93,-0.6612,72,-1.0546,205,0.65301,115,-0.4020,159,0.27162
ENSG00000228594,FNDC10,8,-1.8007,31,0.13233,45,0.86836,31,0.17550,23,-0.4522
ENSG00000272106,AL691432.2,23,0.49248,11,-0.6079,19,0.24879,18,0.17795,15,-0.3167
ENSG00000197530,MIB2,17,-1.0019,18,-0.9373,36,0.16933,31,-0.1204,39,0.44486
ENSG00000248333,CDK11B,52,0.12092,61,0.38810,42,-0.2073,69,0.76873,34,-0.7794
ENSG00000189339,SLC35E2B,17,-0.2925,18,-0.1802,25,0.39104,13,-0.8257,24,0.43094
ENSG00000008128,CDK11A,52,1.13271,35,0.46961,21,-0.3835,28,0.13376,20,-0.5936
ENSG00000215790,SLC35E2A,4,-2.1149,20,0.18031,25,0.59627,20,0.22499,16,-0.2606
ENSG00000008130,NADK,27,0.11752,23,-0.1622,21,-0.2915,20,-0.4258,30,0.46142
ENSG00000078369,GNB1,297,-0.8284,472,-0.1151,698,0.56896,450,-0.2276,517,0.04024
ENSG00000187730,GABRD,12,-4.0310,20,-3.2852,200,0.13562,213,0.27553,230,0.58709
ENSG00000067606,PRKCZ,132,-0.6856,77,-1.4955,274,0.51400,190,-0.1440,228,0.26204
