Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,16,-1.2055,37,0.07645,14,-1.3991,13,-1.4265,18,-1.0147,58,0.92067,29,-0.3130,49,0.70597
ENSG00000188976,NOC2L,12,-2.1280,23,-1.2044,56,0.16010,10,-2.4409,50,-0.0216,56,0.19553,45,-0.1765,84,1.08425
ENSG00000188290,HES4,9,-2.0792,18,-1.0596,47,0.35905,12,-1.6815,191,3.00587,10,-1.9863,28,-0.4621,31,-0.3413
ENSG00000187608,ISG15,30,-0.4063,29,-0.4775,51,0.41232,58,0.62700,123,1.94609,6,-2.8617,27,-0.5927,38,-0.0764
ENSG00000188157,AGRN,15,-0.9372,18,-0.5991,42,0.68030,31,0.18649,63,1.38670,17,-0.8044,14,-1.0276,32,0.31420
ENSG00000078808,SDF4,34,-0.8952,28,-1.1867,72,0.23630,78,0.36360,105,0.85349,52,-0.3081,50,-0.3521,74,0.34838
ENSG00000176022,B3GALT6,6,-1.9948,16,-0.6927,26,0.06401,21,-0.2413,19,-0.4273,25,0.01966,16,-0.7014,42,1.14790
ENSG00000160087,UBE2J2,8,-2.0598,30,-0.0671,46,0.59994,22,-0.5732,19,-0.7889,28,-0.2367,35,0.15585,44,0.64619
ENSG00000131584,ACAP3,80,-0.1386,65,-0.4561,120,0.50841,61,-0.5641,135,0.69203,76,-0.2307,50,-0.9314,112,0.50108
ENSG00000127054,INTS11,34,-0.5725,14,-1.8954,34,-0.5922,26,-0.9806,132,1.61936,45,-0.1806,37,-0.5024,65,0.53441
ENSG00000107404,DVL1,21,-1.5024,43,-0.4443,106,0.99450,56,-0.0357,89,0.71142,21,-1.6156,57,0.00509,72,0.45401
