Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,18,-0.9592,19,-0.8665,44,0.45981,43,0.53731,26,-0.4820
ENSG00000188976,NOC2L,31,-0.9983,26,-1.2827,54,-0.2092,84,0.83046,55,-0.1882
ENSG00000188290,HES4,22,-1.1563,72,0.71428,48,0.08234,50,0.17086,40,-0.2942
ENSG00000187608,ISG15,20,-1.1034,52,0.39164,28,-0.6349,51,0.55903,38,-0.1143
ENSG00000188157,AGRN,16,-1.1919,30,-0.2764,31,-0.2126,40,0.24778,41,0.30532
ENSG00000078808,SDF4,50,-0.3019,81,0.46804,49,-0.3840,71,0.37509,52,-0.3095
ENSG00000176022,B3GALT6,14,-0.5427,15,-0.4565,8,-1.4422,32,1.17352,17,-0.3352
ENSG00000160087,UBE2J2,22,-0.9819,28,-0.5809,28,-0.6300,54,0.62951,45,0.15371
ENSG00000131584,ACAP3,99,0.09441,76,-0.3279,57,-0.8334,97,0.07432,118,0.47880
ENSG00000127054,INTS11,45,-0.1157,56,0.21322,42,-0.2512,61,0.54893,35,-0.5944
ENSG00000224051,CPTP,9,-1.1993,24,0.35635,11,-0.9102,28,0.91935,15,-0.4139
ENSG00000107404,DVL1,38,-1.0646,112,0.60156,45,-0.9085,68,-0.2697,112,0.80125
ENSG00000175756,AURKAIP1,58,-1.5681,187,0.21944,119,-0.5271,213,0.66322,152,-0.1359
ENSG00000221978,CCNL2,58,0.28783,57,0.24950,53,0.16176,59,0.46673,25,-1.1494
ENSG00000242485,MRPL20,48,-1.3787,157,0.45794,82,-0.6128,140,0.40435,123,0.08600
ENSG00000235098,ANKRD65,20,-0.6699,31,0.01996,21,-0.6340,31,0.07429,39,0.50872
ENSG00000179403,VWA1,109,2.08777,58,0.93361,14,-1.3997,25,-0.5355,22,-0.7637
ENSG00000205090,TMEM240,11,-1.5184,13,-1.2502,20,-0.6771,34,0.28491,44,0.79068
ENSG00000160075,SSU72,50,-1.5576,155,0.15991,105,-0.4966,175,0.54115,142,0.02789
ENSG00000228594,FNDC10,7,-2.4564,29,-0.3369,26,-0.5598,40,0.18381,52,0.73410
ENSG00000197530,MIB2,24,-0.7167,39,0.00925,28,-0.5202,51,0.65722,34,-0.2240
ENSG00000248333,CDK11B,120,0.78049,30,-1.3651,122,0.93488,50,-0.8216,75,0.00605
ENSG00000008128,CDK11A,70,1.07227,23,-0.6816,43,0.28721,28,-0.5466,37,0.00237
ENSG00000215790,SLC35E2A,19,-0.3879,28,0.19191,20,-0.3387,31,0.59664,19,-0.4663
ENSG00000008130,NADK,4,-2.4787,25,0.11293,20,-0.2682,25,0.17979,29,0.43278
ENSG00000078369,GNB1,201,-1.3152,571,0.29695,396,-0.3118,496,0.10257,556,0.32669
ENSG00000187730,GABRD,17,-2.9573,54,-1.2893,98,-0.4089,188,1.08065,118,-0.1136
ENSG00000067606,PRKCZ,80,-1.3765,103,-1.0018,154,-0.4268,237,0.43802,244,0.43972
ENSG00000162585,FAAP20,26,-0.7330,56,0.44102,45,0.08177,32,-0.5883,56,0.57193
ENSG00000157933,SKI,47,0.65826,52,0.83473,34,0.16820,19,-1.0015,33,0.12670
ENSG00000157916,RER1,19,-1.3416,70,0.67502,32,-0.5982,51,0.23110,50,0.15749
ENSG00000157911,PEX10,20,-0.4453,30,0.20667,20,-0.5007,25,-0.0936,34,0.48141
ENSG00000149527,PLCH2,5,-1.9466,41,1.25817,8,-1.3513,24,0.53689,17,-0.1829
ENSG00000157870,PRXL2B,14,-1.7266,44,-0.0018,28,-0.7399,52,0.37609,55,0.43627
ENSG00000177133,PRDM16-DT,9,-1.8553,103,2.07003,25,-0.3818,20,-0.9154,34,0.18696
ENSG00000142611,PRDM16,13,-0.2016,59,2.44860,14,-0.0528,8,-1.1568,10,-0.7104
ENSG00000158109,TPRG1L,33,-2.2691,122,-0.3211,134,-0.1902,186,0.53156,159,0.12463
ENSG00000130764,LRRC47,34,-0.8856,48,-0.3974,38,-0.8134,88,0.92876,55,-0.2101
ENSG00000116198,CEP104,69,1.04581,11,-1.7241,52,0.62880,33,-0.2193,29,-0.4573
ENSG00000196581,AJAP1,37,-0.3549,29,-0.7383,52,0.19467,53,0.29850,44,-0.1283
ENSG00000069424,KCNAB2,27,-2.9512,169,-0.2428,117,-0.8843,277,0.86117,212,0.14103
ENSG00000116254,CHD5,156,-1.1080,116,-1.5552,524,0.93002,258,-0.4598,390,0.40497
ENSG00000116251,RPL22,472,0.28143,537,0.49075,263,-0.6905,331,-0.3885,499,0.48070
ENSG00000116237,ICMT,17,-1.0015,27,-0.2671,24,-0.5090,44,0.78786,29,-0.2162
ENSG00000097021,ACOT7,26,-2.3629,68,-0.9558,76,-0.8416,216,1.53279,91,-0.5989
