Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000237491,LINC01409,1,-2.8770,13,0.80813,11,0.41399,7,-0.1633,4,-1.1850,13,0.74099,8,0.04536
ENSG00000228794,LINC01128,15,-1.2993,26,-0.5068,39,0.18484,48,0.50719,45,0.41178,34,-0.0490,37,0.10794
ENSG00000188976,NOC2L,38,-0.0945,13,-1.6969,21,-1.0452,26,-0.7010,44,0.14933,61,0.68340,60,0.82270
ENSG00000187961,KLHL17,16,0.75140,6,-0.8536,12,0.26624,4,-1.3430,14,0.54055,11,0.22516,9,-0.2595
ENSG00000188290,HES4,97,1.07897,44,-0.2754,44,-0.2722,41,-0.3678,35,-0.6157,62,0.27507,47,-0.2035
ENSG00000187608,ISG15,62,0.76035,51,0.41459,22,-0.9138,45,0.21059,33,-0.2750,49,0.35266,27,-0.6722
ENSG00000188157,AGRN,39,0.55809,12,-1.2863,20,-0.5101,18,-0.7286,28,0.02563,42,0.67340,32,0.27807
ENSG00000131591,C1orf159,10,0.04675,3,-1.6499,12,0.32210,2,-2.1960,9,-0.0612,13,0.47591,14,0.75440
ENSG00000078808,SDF4,106,0.56028,64,-0.2810,70,-0.1506,37,-1.1406,88,0.24386,103,0.49975,71,-0.1324
ENSG00000176022,B3GALT6,27,0.03222,17,-0.7032,24,-0.1866,16,-0.8048,33,0.34638,40,0.67166,29,0.11820
ENSG00000160087,UBE2J2,50,0.29951,31,-0.4873,45,0.10542,33,-0.4124,50,0.27064,53,0.38231,38,-0.2086
ENSG00000162572,SCNN1D,16,0.78781,4,-1.2962,9,-0.1741,3,-1.8340,9,-0.2244,15,0.59667,13,0.42842
ENSG00000131584,ACAP3,90,0.51417,33,-1.0998,97,0.64078,36,-0.9796,53,-0.3641,45,-0.6176,89,0.58456
