Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,30,-0.3583,46,0.34444,44,0.53898,8,-2.2918,37,-0.0215
ENSG00000188976,NOC2L,39,-0.3871,31,-0.7257,59,0.59984,26,-0.9818,59,0.30668
ENSG00000188290,HES4,30,-0.1692,20,-0.7833,39,0.59653,21,-0.6652,29,-0.1667
ENSG00000187608,ISG15,26,-0.8480,14,-1.7505,51,0.48214,107,1.52615,9,-2.3821
ENSG00000078808,SDF4,33,-0.5980,44,-0.0692,60,0.87224,33,-0.5424,21,-1.2409
ENSG00000176022,B3GALT6,15,-0.5119,16,-0.3643,26,0.79994,11,-0.8938,16,-0.3579
ENSG00000160087,UBE2J2,32,0.06714,28,-0.1796,35,0.32906,12,-1.3775,33,0.08337
ENSG00000131584,ACAP3,57,-0.2764,76,0.21004,67,0.03704,43,-0.6824,96,0.59666
ENSG00000127054,INTS11,25,-0.5613,24,-0.5613,46,0.91074,12,-1.5693,33,-0.0614
ENSG00000224051,CPTP,19,0.12102,7,-1.2976,21,0.43722,12,-0.5724,18,-0.0278
ENSG00000107404,DVL1,56,0.30859,46,-0.0210,51,0.27132,28,-0.7821,27,-0.8699
ENSG00000175756,AURKAIP1,83,-0.4669,58,-0.9789,152,1.23752,59,-0.9478,40,-1.5399
ENSG00000221978,CCNL2,38,-0.5526,71,0.47365,54,0.05565,28,-0.9494,83,0.74146
ENSG00000242485,MRPL20,105,-0.0398,63,-0.8320,126,0.48552,74,-0.5910,101,-0.1058
ENSG00000235098,ANKRD65,16,-0.4375,6,-1.9575,33,1.75280,3,-2.7131,6,-1.9201
ENSG00000205090,TMEM240,26,-0.2520,37,0.35591,29,-0.0595,17,-0.8323,46,0.70758
ENSG00000160075,SSU72,84,-0.6060,96,-0.3414,166,1.18061,54,-1.2265,46,-1.4498
ENSG00000228594,FNDC10,29,0.11814,7,-1.9873,36,0.95422,1,-4.0085,25,-0.1179
ENSG00000272106,AL691432.2,15,-0.3447,25,0.49488,24,0.85851,4,-2.1796,6,-1.7645
ENSG00000197530,MIB2,27,-0.1263,31,0.10894,34,0.52526,9,-1.7976,25,-0.2464
ENSG00000248333,CDK11B,56,-0.1398,77,0.39037,38,-1.1337,103,0.86854,126,1.22541
ENSG00000189339,SLC35E2B,20,-0.6275,31,0.14575,37,0.88760,7,-2.1314,22,-0.4056
ENSG00000008128,CDK11A,18,-0.7730,26,-0.0945,12,-1.8561,45,0.77610,113,2.59599
ENSG00000008130,NADK,25,0.08640,18,-0.4321,26,0.26038,22,-0.1208,18,-0.4246
ENSG00000078369,GNB1,504,0.07234,322,-0.6410,602,0.71085,275,-0.8815,231,-1.1488
ENSG00000187730,GABRD,147,-0.3714,114,-0.7220,241,0.98718,23,-3.0783,176,-0.0443
ENSG00000067606,PRKCZ,232,0.41370,147,-0.3602,204,0.29560,58,-1.7766,163,-0.2025
ENSG00000162585,FAAP20,40,0.16051,3,-3.3906,46,0.71792,38,0.04431,17,-1.1906
ENSG00000157933,SKI,75,0.59231,75,0.50585,38,-0.9119,51,-0.1144,82,0.66607
ENSG00000157916,RER1,32,-0.3562,20,-1.0380,52,0.94800,31,-0.3903,19,-1.1235
ENSG00000157911,PEX10,11,-0.7445,11,-0.7004,23,1.00851,17,0.03323,6,-1.5692
ENSG00000157870,PRXL2B,43,-0.0357,19,-1.3041,58,0.88179,26,-0.8325,24,-0.9630
ENSG00000177133,PRDM16-DT,21,-0.2191,5,-2.2478,30,0.87531,14,-0.7774,22,-0.1282
ENSG00000158109,TPRG1L,121,-0.4737,126,-0.3627,222,1.20495,42,-2.0077,69,-1.2867
ENSG00000130764,LRRC47,43,-0.6974,66,0.04898,87,1.07175,22,-1.6221,32,-1.0518
ENSG00000116198,CEP104,41,-0.0790,52,0.30723,25,-1.2514,82,1.07289,88,1.19242
ENSG00000196581,AJAP1,60,0.14283,131,1.47109,45,-0.5494,28,-1.0631,51,-0.1368
ENSG00000069424,KCNAB2,108,-0.4460,142,0.02506,186,0.99986,51,-1.5556,56,-1.4038
ENSG00000116254,CHD5,448,0.43121,392,0.15765,274,-0.6722,81,-2.2527,815,1.42067
ENSG00000116251,RPL22,395,-0.0099,331,-0.2876,406,0.06636,680,0.89276,139,-1.6087
ENSG00000116237,ICMT,23,-0.5729,32,-0.0303,43,0.97337,8,-2.0002,22,-0.5971
ENSG00000097021,ACOT7,73,-1.2067,137,-0.1430,224,1.56255,17,-3.2067,78,-1.0217
ENSG00000171680,PLEKHG5,20,-0.3225,32,0.46633,29,0.62014,1,-4.7489,22,-0.1616
ENSG00000162408,NOL9,36,0.08824,38,0.17904,35,0.03777,24,-0.5587,35,0.02563
ENSG00000162413,KLHL21,19,-0.5672,27,-0.0036,36,1.03841,8,-1.7557,14,-1.0346
ENSG00000007923,DNAJC11,42,0.08190,31,-0.4168,48,0.53028,18,-1.1905,31,-0.4208
ENSG00000171735,CAMTA1,471,0.05892,654,0.59297,471,0.09620,196,-1.3073,411,-0.1641
ENSG00000049245,VAMP3,12,-0.8064,15,-0.4358,16,-0.6113,77,2.46593,4,-2.2368
ENSG00000049246,PER3,23,-0.8559,61,0.77490,37,-0.0656,41,0.12245,46,0.32751
ENSG00000116288,PARK7,118,-0.7947,116,-0.7508,270,1.36846,108,-0.8593,63,-1.6775
ENSG00000116285,ERRFI1,14,-0.8374,23,-0.0061,33,1.33581,12,-0.9444,1,-4.0165
ENSG00000162426,SLC45A1,7,-1.6145,11,-0.8741,31,2.07409,4,-2.4097,7,-1.4609
ENSG00000142599,RERE,116,-0.3491,151,0.10514,128,-0.2842,181,0.40154,213,0.67077
ENSG00000074800,ENO1,180,-0.9978,234,-0.5145,467,1.36006,212,-0.6673,102,-1.7705
ENSG00000171612,SLC25A33,21,-0.5302,13,-1.1181,44,1.77639,5,-2.5795,3,-3.2623
ENSG00000171603,CLSTN1,403,-0.6743,884,0.65048,752,0.77701,136,-2.2425,367,-0.7584
ENSG00000178585,CTNNBIP1,31,0.14799,3,-3.1542,40,1.14821,16,-0.8879,7,-2.1142
ENSG00000162441,LZIC,69,0.19070,53,-0.2626,47,-0.7260,121,1.10367,77,0.34557
ENSG00000130939,UBE4B,18,-1.2385,52,0.49764,45,0.49761,33,-0.1978,36,-0.0838
ENSG00000054523,KIF1B,407,-0.2922,783,0.81066,455,-0.1501,483,0.00837,446,-0.1188
ENSG00000142657,PGD,21,-1.1461,40,-0.0512,63,1.56292,11,-1.9274,11,-2.0486
ENSG00000241563,CORT,9,-2.0657,84,1.64456,37,0.44410,29,-0.1943,6,-2.3760
ENSG00000160049,DFFA,56,-0.3678,60,-0.2332,73,0.15240,82,0.26354,75,0.11309
ENSG00000142655,PEX14,13,-0.2862,19,0.31334,19,0.76848,5,-1.7402,7,-1.1959
ENSG00000120948,TARDBP,45,-0.8973,78,0.04919,87,0.42437,85,0.18110,71,-0.1046
ENSG00000116649,SRM,33,-0.3704,36,-0.2249,53,0.80505,20,-1.1073,27,-0.6507
ENSG00000171824,EXOSC10,13,-1.5562,47,0.48162,32,-0.2182,52,0.67004,61,0.93139
ENSG00000198793,MTOR,24,-0.4481,33,0.08373,30,-0.1297,27,-0.2327,56,0.94149
ENSG00000116661,FBXO2,94,-0.3691,43,-1.5174,157,1.06226,111,-0.0764,33,-1.8976
ENSG00000132879,FBXO44,66,-0.2262,65,-0.2179,92,0.67989,25,-1.6577,65,-0.2212
ENSG00000177000,MTHFR,23,-0.6058,36,0.11135,32,-0.1208,35,0.10172,55,0.84262
ENSG00000011021,CLCN6,57,-0.2362,49,-0.4498,84,0.86308,20,-1.8048,47,-0.4834
ENSG00000116685,KIAA2013,14,-1.1033,35,0.37381,34,0.64308,15,-0.9133,29,0.07195
ENSG00000116688,MFN2,116,-0.1014,113,-0.1279,136,0.32680,97,-0.3612,101,-0.3013
ENSG00000048707,VPS13D,58,-0.5593,133,0.82559,82,0.06214,70,-0.2163,74,-0.1264
ENSG00000162496,DHRS3,12,-0.8717,5,-1.9109,24,0.54675,30,0.68232,21,0.09606
ENSG00000116731,PRDM2,306,-0.0904,618,1.09246,227,-0.8794,299,-0.1199,559,0.91664
ENSG00000189337,KAZN,52,-0.4107,55,-0.2807,76,0.41123,63,-0.0901,61,-0.1224
ENSG00000142634,EFHD2,117,0.35467,113,0.24526,96,-0.0202,76,-0.3775,64,-0.6505
ENSG00000116138,DNAJC16,19,-1.0609,65,0.95132,43,0.54300,13,-1.5115,31,-0.2465
ENSG00000197312,DDI2,43,-0.1599,90,1.08693,46,-0.0437,14,-1.8057,48,0.04717
ENSG00000116786,PLEKHM2,182,0.87701,54,-1.1571,115,-0.0180,94,-0.3302,69,-0.8047
ENSG00000065526,SPEN,163,-0.3045,343,0.95374,112,-1.2871,372,1.09610,333,0.90232
ENSG00000116809,ZBTB17,16,-0.3116,10,-0.8986,21,0.31312,13,-0.5331,29,0.67573
ENSG00000037637,FBXO42,14,-0.7367,17,-0.3606,23,0.24618,14,-0.6275,38,0.98481
ENSG00000055070,SZRD1,41,0.68761,24,-0.2702,20,-0.8345,41,0.60839,35,0.35512
ENSG00000159363,ATP13A2,69,-0.2029,40,-1.0193,109,1.25811,8,-3.3566,41,-0.9697
ENSG00000117118,SDHB,33,-0.2480,19,-1.0493,52,1.12786,17,-1.1829,16,-1.3261
ENSG00000117115,PADI2,53,-0.0657,15,-1.9676,44,-0.6009,195,2.27050,18,-1.6930
ENSG00000179051,RCC2,15,-0.5687,21,0.06158,27,0.87891,11,-0.9335,10,-1.1051
ENSG00000074964,ARHGEF10L,19,0.08898,12,-0.5480,20,0.42625,11,-0.7270,15,-0.2941
ENSG00000117154,IGSF21,22,-1.3047,95,1.09900,61,0.72159,27,-0.9470,19,-1.4585
ENSG00000159423,ALDH4A1,17,-0.1940,3,-2.5883,26,1.20254,12,-0.6315,7,-1.4725
