Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,16,-0.7626,18,-0.5724,21,-0.4356,34,0.49345,41,0.70412,17,-0.6650,32,0.26722
ENSG00000188976,NOC2L,31,-0.2309,24,-0.6328,35,-0.0207,43,0.40356,41,0.20300,32,-0.1781,30,-0.2709
ENSG00000188290,HES4,47,0.82711,36,0.36604,34,0.31397,13,-1.3618,20,-0.5372,42,0.62464,32,0.19269
ENSG00000187608,ISG15,41,0.99527,33,0.63443,22,-0.0119,6,-2.2342,29,0.38578,31,0.53086,28,0.35333
ENSG00000188157,AGRN,22,0.72074,10,-0.5000,17,0.36355,9,-0.8858,16,0.24871,17,0.28573,15,0.07602
ENSG00000078808,SDF4,46,-0.2694,58,0.11254,65,0.32892,40,-0.5654,43,-0.3743,94,0.90440,51,-0.1041
ENSG00000176022,B3GALT6,12,-0.9397,21,-0.0438,21,-0.0485,25,0.30807,20,-0.0897,22,0.04087,24,0.14619
ENSG00000160087,UBE2J2,26,-0.2999,22,-0.5990,40,0.39588,32,-0.0174,28,-0.2074,46,0.57528,24,-0.4738
ENSG00000162572,SCNN1D,15,0.09570,13,-0.1271,16,0.25720,17,0.38558,11,-0.3886,12,-0.1801,6,-1.2373
ENSG00000131584,ACAP3,76,0.29064,55,-0.2299,57,-0.1984,64,0.00943,48,-0.4292,92,0.61418,58,-0.1337
ENSG00000127054,INTS11,51,0.57402,18,-1.0449,36,-0.0060,23,-0.7929,47,0.42697,67,1.03203,34,-0.0950
ENSG00000224051,CPTP,19,0.25013,8,-1.1551,16,-0.0961,14,-0.2848,32,1.09084,22,0.41669,11,-0.6660
ENSG00000107404,DVL1,54,0.35883,36,-0.2950,56,0.48849,31,-0.6379,25,-0.8552,68,0.75763,43,0.00993
ENSG00000175756,AURKAIP1,97,-0.3773,146,0.28133,136,0.18704,126,0.04150,103,-0.2753,98,-0.3578,136,0.16439
ENSG00000221978,CCNL2,74,0.33066,46,-0.4381,64,0.10517,57,-0.1176,72,0.28479,55,-0.1522,58,-0.0583
ENSG00000242485,MRPL20,109,-0.3812,166,0.29025,142,0.05178,125,-0.1982,109,-0.3690,169,0.32189,170,0.33400
ENSG00000179403,VWA1,44,1.86239,31,1.20968,15,0.05258,7,-1.3768,5,-1.6343,10,-0.6313,9,-0.8314
ENSG00000160072,ATAD3B,10,-0.2662,2,-2.4310,19,0.81162,13,0.17129,6,-0.9663,19,0.73112,6,-0.9263
ENSG00000197785,ATAD3A,7,-0.2229,10,0.15641,10,0.18139,5,-1.1108,9,0.00589,16,0.94622,12,0.54760
ENSG00000205090,TMEM240,11,-1.5153,18,-0.7402,29,-0.0299,42,0.79625,27,-0.1197,28,-0.0633,26,-0.2045
ENSG00000160075,SSU72,88,-0.6041,118,-0.1495,138,0.11832,138,0.13452,101,-0.3991,138,0.09579,160,0.34404
ENSG00000228594,FNDC10,21,-0.3287,33,0.43164,30,0.27143,27,0.08832,30,0.28659,19,-0.4610,12,-1.0921
ENSG00000272106,AL691432.2,10,-0.8615,27,0.65199,9,-1.1750,16,-0.1561,15,-0.2814,34,1.08273,25,0.57502
ENSG00000197530,MIB2,29,0.07085,15,-0.9188,28,0.03582,32,0.30884,24,-0.2453,34,0.33536,22,-0.3429
ENSG00000248333,CDK11B,61,1.78266,14,-0.6607,10,-1.2832,22,0.05560,26,0.27146,16,-0.4934,14,-0.6752
ENSG00000189339,SLC35E2B,27,0.11805,17,-0.5683,24,-0.0733,32,0.56783,27,0.12324,13,-1.0440,21,-0.2934
ENSG00000008128,CDK11A,33,1.65076,2,-2.3002,5,-1.3672,14,0.31142,7,-0.9505,25,1.11851,4,-1.6138
ENSG00000215790,SLC35E2A,29,-0.1384,16,-0.9905,41,0.50700,29,-0.1321,31,-0.0209,37,0.26267,30,-0.0693
ENSG00000008130,NADK,20,-0.2255,15,-0.6789,21,-0.1291,17,-0.5559,15,-0.6196,52,1.35771,34,0.63843
ENSG00000078369,GNB1,313,-0.7546,510,0.00946,563,0.19236,518,0.04725,462,-0.1480,568,0.18326,534,0.08377
ENSG00000187730,GABRD,54,-1.3805,75,-0.8938,163,0.36975,97,-0.6264,205,0.70562,188,0.56271,196,0.63093
ENSG00000067606,PRKCZ,122,-0.4436,114,-0.5525,176,0.14948,195,0.39279,163,0.01067,176,0.13389,109,-0.6173
ENSG00000162585,FAAP20,50,0.80103,41,0.48108,39,0.45392,22,-0.6369,18,-0.8346,26,-0.2702,27,-0.1787
ENSG00000157933,SKI,40,0.61467,19,-0.5644,29,0.09778,32,0.33052,18,-0.6959,24,-0.2330,20,-0.4987
ENSG00000157916,RER1,43,-0.1638,53,0.18098,41,-0.2378,44,-0.1409,57,0.31600,55,0.23184,50,0.09598
ENSG00000157911,PEX10,25,0.43063,22,0.24033,26,0.59647,15,-0.4709,15,-0.3590,9,-1.0515,21,0.19202
ENSG00000149527,PLCH2,9,-0.6370,6,-1.0788,21,0.83239,5,-1.6623,15,0.14807,27,1.19886,19,0.58906
ENSG00000157881,PANK4,2,-2.6283,12,0.05804,9,-0.3733,13,0.36027,11,0.02933,16,0.56909,13,0.27662
ENSG00000197921,HES5,25,1.27003,24,1.15250,8,-0.6357,6,-1.2751,8,-0.4910,21,0.97239,5,-1.0994
ENSG00000157873,TNFRSF14,13,0.48189,11,0.30357,14,0.72365,3,-2.0058,9,-0.0466,8,-0.2623,17,0.92825
ENSG00000157870,PRXL2B,20,-1.1117,30,-0.4502,42,0.04765,45,0.21761,41,0.02459,59,0.59978,37,-0.1280
ENSG00000177133,PRDM16-DT,26,0.21841,36,0.72284,24,0.05698,23,0.00313,7,-1.8548,38,0.79705,7,-1.7447
ENSG00000158109,TPRG1L,79,-1.2630,174,-0.0468,196,0.15936,204,0.27033,207,0.22892,137,-0.4228,193,0.12182
ENSG00000116213,WRAP73,14,0.50682,8,-0.3835,8,-0.4371,7,-0.6731,11,0.18884,19,1.02673,12,0.30169
ENSG00000130764,LRRC47,36,-1.1856,74,-0.0939,69,-0.2129,83,0.13205,97,0.34943,101,0.41148,85,0.14448
ENSG00000116198,CEP104,55,1.28534,26,0.03891,15,-0.8547,29,0.27422,21,-0.3164,27,0.08317,8,-1.6411
ENSG00000198912,C1orf174,8,-0.5948,8,-0.6753,14,0.15196,12,-0.1548,21,0.82157,15,0.24461,11,-0.1571
ENSG00000196581,AJAP1,21,-0.5203,12,-1.3302,19,-0.7302,26,-0.2538,40,0.48348,55,1.01758,52,0.90599
ENSG00000069424,KCNAB2,97,-0.7410,157,0.00557,173,0.18736,144,-0.1673,192,0.33426,149,-0.0767,190,0.31345
ENSG00000116254,CHD5,200,0.03087,113,-0.8594,181,-0.1356,258,0.60935,185,-0.0917,225,0.22670,98,-1.0731
ENSG00000116251,RPL22,721,0.23975,962,0.72073,619,-0.0085,653,0.10337,320,-1.0337,427,-0.5900,589,-0.0868
ENSG00000116237,ICMT,21,-0.6130,28,-0.1619,29,-0.1194,25,-0.4711,52,0.82230,51,0.77156,30,-0.0811
ENSG00000097021,ACOT7,51,-2.0609,96,-1.1303,189,-0.0897,200,0.01380,383,1.10290,214,0.11716,265,0.46900
ENSG00000215788,TNFRSF25,14,-0.6644,19,-0.2508,15,-0.6223,11,-1.2847,24,0.10562,63,1.79412,39,0.93135
ENSG00000171680,PLEKHG5,12,-0.7190,10,-1.0773,18,-0.2058,15,-0.5301,25,0.35268,38,1.08621,33,0.82652
ENSG00000162408,NOL9,25,-0.2303,24,-0.2974,30,0.10244,23,-0.4209,30,0.09346,52,0.99526,26,-0.1828
ENSG00000162413,KLHL21,19,-0.5015,21,-0.3585,29,0.17711,19,-0.5952,23,-0.2077,38,0.58314,47,0.93937
ENSG00000116273,PHF13,11,-0.1712,21,0.87466,6,-1.1769,13,0.22232,18,0.63502,10,-0.3237,9,-0.3663
ENSG00000041988,THAP3,8,-0.5623,5,-1.1906,13,0.15056,10,-0.3606,12,0.02472,18,0.57517,21,0.90829
ENSG00000007923,DNAJC11,23,-0.2051,22,-0.2596,31,0.26621,27,0.02921,26,-0.0219,28,0.07549,23,-0.1985
ENSG00000171735,CAMTA1,205,-0.7021,212,-0.6485,286,-0.2053,391,0.42470,445,0.53156,377,0.26077,227,-0.5479
ENSG00000049245,VAMP3,67,1.64254,28,0.14489,22,-0.2845,21,-0.3978,12,-1.1451,28,0.15259,15,-0.8116
ENSG00000049246,PER3,59,0.40455,56,0.29873,37,-0.3995,36,-0.4745,26,-0.8826,102,1.34559,37,-0.3643
ENSG00000116288,PARK7,212,-0.7491,385,0.19100,347,0.02712,302,-0.2480,381,0.17368,397,0.24158,444,0.42412
ENSG00000116285,ERRFI1,14,-0.4119,22,0.21113,16,-0.3238,14,-0.5197,38,1.17199,20,0.12245,20,0.06631
ENSG00000162426,SLC45A1,8,-1.2625,11,-0.8223,25,0.44941,20,0.06836,38,1.08848,6,-1.7829,22,0.14887
ENSG00000142599,RERE,147,0.45564,87,-0.3970,94,-0.3049,116,0.09359,94,-0.2731,132,0.27253,117,0.08325
ENSG00000074800,ENO1,405,-0.1048,693,0.78000,364,-0.3021,384,-0.2372,442,0.03427,398,-0.1304,504,0.24848
ENSG00000171612,SLC25A33,26,-0.3995,77,1.39926,25,-0.5463,27,-0.4473,20,-0.8230,39,0.21221,46,0.51737
ENSG00000171608,PIK3CD,2,-2.2097,3,-1.8661,24,1.54592,14,0.53788,7,-0.7671,5,-1.0672,3,-1.8545
ENSG00000171603,CLSTN1,248,-1.4531,388,-0.7750,548,-0.2649,640,0.01062,984,0.71760,868,0.50634,862,0.49584
ENSG00000178585,CTNNBIP1,29,0.05649,37,0.48761,41,0.73886,20,-0.5719,33,0.30198,22,-0.3780,12,-1.2643
ENSG00000162441,LZIC,87,0.65697,68,0.27075,41,-0.5787,66,0.28618,39,-0.6050,59,0.03945,44,-0.4434
ENSG00000130939,UBE4B,38,0.00932,15,-1.3664,38,0.02621,43,0.28565,47,0.34707,54,0.57427,17,-1.1961
ENSG00000054523,KIF1B,427,0.14643,306,-0.3816,355,-0.1670,459,0.34675,420,0.12089,440,0.19579,219,-0.8961
ENSG00000284642,AL139424.2,4,-1.4672,6,-0.7125,15,0.68665,10,-0.1113,20,1.05519,9,-0.1620,5,-1.1093
ENSG00000142657,PGD,32,-0.6663,41,-0.3074,54,0.16597,47,-0.1258,74,0.65601,55,0.14967,46,-0.1260
ENSG00000175279,CENPS,2,-2.2514,12,-0.0871,16,0.52123,13,0.09009,13,0.07701,13,0.05716,12,-0.0546
ENSG00000241563,CORT,7,-2.3990,14,-1.4111,11,-1.8200,88,2.82495,10,-1.8550,8,-2.1023,23,-0.6565
ENSG00000160049,DFFA,62,0.76154,28,-0.5215,42,0.12541,32,-0.3590,46,0.26842,43,0.15020,30,-0.4110
ENSG00000142655,PEX14,9,-0.8242,11,-0.5648,15,-0.1199,17,0.09626,20,0.35670,20,0.32270,20,0.34004
ENSG00000120948,TARDBP,88,0.31425,67,-0.1204,54,-0.5222,72,-0.0284,74,0.02375,100,0.51220,75,0.05454
ENSG00000271895,AL109811.2,8,-0.8292,13,-0.1764,14,-0.0812,14,-0.0946,12,-0.2561,30,1.19388,12,-0.2344
ENSG00000116649,SRM,36,-0.3873,61,0.48338,38,-0.3297,40,-0.2622,34,-0.4407,69,0.67362,60,0.45081
ENSG00000171824,EXOSC10,53,0.94208,29,-0.0491,23,-0.4852,22,-0.5820,36,0.30281,32,0.09880,38,0.37737
ENSG00000198793,MTOR,13,-1.6639,39,-0.0616,36,-0.2055,41,0.05686,45,0.17529,52,0.42794,57,0.57331
ENSG00000116661,FBXO2,169,-0.0351,257,0.65193,182,0.09996,142,-0.3893,134,-0.3989,187,0.12770,189,0.14935
ENSG00000132879,FBXO44,46,-0.7166,50,-0.5975,88,0.33079,58,-0.4674,100,0.50327,75,0.04621,113,0.70614
ENSG00000177000,MTHFR,19,0.39725,17,0.18969,13,-0.1587,11,-0.5359,17,0.21496,22,0.65196,13,-0.2420
ENSG00000011021,CLCN6,47,-0.4094,68,0.17103,57,-0.1157,63,0.04960,82,0.46413,64,0.06232,49,-0.3532
ENSG00000116685,KIAA2013,48,1.28567,17,-0.4259,17,-0.4388,15,-0.7306,25,0.15618,31,0.50964,23,0.04328
ENSG00000083444,PLOD1,17,-0.0453,7,-1.4093,19,0.10674,23,0.60630,16,-0.1409,18,0.05281,10,-0.7788
ENSG00000116688,MFN2,67,-0.8154,83,-0.4955,115,0.01956,132,0.32372,133,0.25666,108,-0.0844,118,0.06635
ENSG00000116691,MIIP,15,0.79357,20,1.31819,9,0.09113,3,-1.9545,10,0.15034,10,0.19183,8,-0.1803
ENSG00000048707,VPS13D,58,-0.3132,50,-0.5238,76,0.14065,93,0.59611,83,0.26799,57,-0.3445,27,-1.4721
ENSG00000162496,DHRS3,38,1.26316,47,1.65245,11,-0.8154,7,-1.5349,13,-0.4323,13,-0.4387,23,0.36940
ENSG00000116731,PRDM2,173,0.07138,86,-1.0142,107,-0.7514,250,0.94312,175,0.08568,143,-0.2382,117,-0.5465
