Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,10,-1.7284,21,-0.4067,49,1.47228,24,-0.2497
ENSG00000188976,NOC2L,24,-0.8212,5,-2.9966,55,0.86767,44,0.34343
ENSG00000188290,HES4,21,-0.9874,10,-1.9580,44,0.38644,53,0.84749
ENSG00000187608,ISG15,38,0.29956,11,-1.6060,25,-0.5179,43,0.57162
ENSG00000188157,AGRN,23,0.03792,2,-3.4425,28,0.44310,24,0.10955
ENSG00000078808,SDF4,56,-0.2894,6,-3.4007,77,0.36247,81,0.48368
ENSG00000160087,UBE2J2,26,-0.6704,12,-1.6068,41,0.25530,50,0.72251
ENSG00000131584,ACAP3,54,-0.7803,24,-1.8511,112,0.72204,96,0.36895
ENSG00000127054,INTS11,39,-0.1661,10,-2.1890,53,0.49842,45,0.15291
ENSG00000107404,DVL1,33,-1.1931,29,-1.1949,61,-0.0794,108,1.26457
ENSG00000175756,AURKAIP1,98,-0.5300,59,-1.2054,142,0.20302,170,0.60612
ENSG00000221978,CCNL2,67,0.49782,13,-2.0909,61,0.28559,45,-0.3287
ENSG00000242485,MRPL20,99,-0.3931,94,-0.3913,132,0.18449,140,0.31872
ENSG00000235098,ANKRD65,28,0.84455,0,-4.8984,18,-0.2098,19,-0.0622
ENSG00000179403,VWA1,147,2.85904,11,-2.5304,10,-2.9237,33,-1.0548
ENSG00000205090,TMEM240,7,-1.6712,5,-1.8984,32,1.28876,21,0.27160
ENSG00000160075,SSU72,61,-1.2698,27,-2.2948,169,0.73551,167,0.70044
ENSG00000228594,FNDC10,7,-1.9506,7,-1.6835,31,0.84271,31,0.82855
ENSG00000197530,MIB2,23,-0.7170,0,-5.3629,44,0.57858,45,0.63895
ENSG00000248333,CDK11B,65,0.83003,75,0.84644,31,-0.6773,28,-0.8722
ENSG00000008128,CDK11A,43,1.02079,22,-0.3924,28,0.01367,14,-1.2260
ENSG00000008130,NADK,16,-0.5578,16,-0.4043,30,0.79302,19,-0.2058
ENSG00000078369,GNB1,211,-1.5196,471,-0.0546,527,0.16460,729,0.92605
ENSG00000187730,GABRD,4,-5.0341,36,-1.5088,216,2.27490,88,-0.1775
ENSG00000067606,PRKCZ,71,-1.5814,81,-1.1408,219,0.55387,250,0.87784
ENSG00000162585,FAAP20,45,0.23628,6,-2.6738,23,-0.9871,63,1.04695
ENSG00000157933,SKI,33,-0.2819,75,1.15551,22,-0.9757,46,0.40511
ENSG00000157916,RER1,55,0.14342,23,-1.2278,70,0.67973,39,-0.5505
