Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,11,-1.8194,20,-0.9205,40,0.41899,45,0.38997
ENSG00000188976,NOC2L,28,-0.7822,23,-1.1174,56,0.73429,41,-0.2202
ENSG00000188290,HES4,10,-2.2652,58,0.42941,37,-0.5968,78,1.10257
ENSG00000187608,ISG15,21,-0.8069,44,0.31334,38,0.17170,34,-0.0847
ENSG00000188157,AGRN,17,-0.6803,27,0.06517,22,-0.4972,42,0.88481
ENSG00000078808,SDF4,55,-0.0832,84,0.59799,59,0.06786,44,-0.5039
ENSG00000176022,B3GALT6,13,-1.0943,20,-0.4922,37,1.54158,8,-1.8784
ENSG00000160087,UBE2J2,22,-0.6769,22,-0.6900,37,0.32566,37,0.15566
ENSG00000131584,ACAP3,57,-0.5832,64,-0.3881,85,0.10857,97,0.29544
ENSG00000127054,INTS11,34,-0.4755,21,-1.2254,45,-0.1001,70,0.75971
ENSG00000224051,CPTP,7,-1.6276,25,0.31142,27,1.31820,5,-2.1007
ENSG00000107404,DVL1,34,-0.9139,122,1.14206,64,0.13716,38,-0.8099
ENSG00000175756,AURKAIP1,73,-1.3906,127,-0.5464,228,1.05863,118,-0.7284
ENSG00000221978,CCNL2,63,0.12448,33,-0.8876,53,-0.3105,84,0.69353
ENSG00000242485,MRPL20,118,-0.3636,127,-0.2537,164,0.38172,129,-0.2495
ENSG00000235098,ANKRD65,55,1.16856,34,0.34678,27,-0.0591,11,-1.4058
ENSG00000179403,VWA1,228,3.86769,41,0.17459,11,-2.7354,15,-1.4074
ENSG00000205090,TMEM240,5,-2.5186,23,-0.4558,38,0.96276,24,-0.3825
ENSG00000160075,SSU72,55,-1.4309,96,-0.5822,176,1.06212,93,-0.7002
ENSG00000228594,FNDC10,6,-2.4216,45,0.68883,35,0.79705,15,-1.0904
ENSG00000272106,AL691432.2,15,-0.0760,20,0.36529,18,0.61235,6,-1.4638
ENSG00000197530,MIB2,15,-1.2086,38,0.20302,41,0.87931,18,-1.0649
ENSG00000248333,CDK11B,74,0.67047,51,0.04864,30,-1.3538,93,1.27422
ENSG00000189339,SLC35E2B,15,-0.6559,21,-0.1361,29,0.85344,13,-0.9895
ENSG00000008128,CDK11A,54,0.77554,37,0.14595,23,-1.1204,54,0.92872
ENSG00000215790,SLC35E2A,14,-1.0768,37,0.36217,31,0.19445,28,-0.0628
ENSG00000008130,NADK,12,-1.1338,25,-0.1053,28,0.28183,28,0.10884
ENSG00000078369,GNB1,209,-1.5903,740,0.37286,679,0.59017,428,-0.5534
ENSG00000187730,GABRD,1,-6.9815,57,-1.4796,208,1.75515,93,-0.7977
ENSG00000067606,PRKCZ,91,-1.2027,99,-1.0693,253,1.13345,135,-0.6585
ENSG00000162585,FAAP20,40,-0.1288,69,0.75867,47,0.36207,19,-1.3193
ENSG00000157933,SKI,27,-0.2873,62,1.07661,25,-0.8134,44,0.53723
