Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,21,-0.7068,48,0.64938,10,-1.7211,44,0.47215,36,0.17836,12,-1.5325,44,0.56213,21,-0.6517,45,0.51931
ENSG00000188976,NOC2L,34,-0.5645,31,-0.7235,35,-0.5362,41,-0.2886,53,0.10357,53,0.09957,76,0.82396,57,0.21372,39,-0.3821
ENSG00000188290,HES4,16,-0.8717,22,-0.4280,64,1.35863,28,-0.0195,9,-1.7204,18,-0.7130,32,0.18875,37,0.41276,28,-0.0124
ENSG00000187608,ISG15,22,-0.4426,4,-2.7490,44,0.62466,40,0.48560,9,-1.7834,26,-0.2083,21,-0.6078,41,0.53002,69,1.41934
ENSG00000188157,AGRN,20,-0.3651,16,-0.7596,26,0.02270,14,-0.9584,37,0.57952,8,-1.6875,25,-0.0735,67,1.65578,19,-0.4243
ENSG00000078808,SDF4,40,-0.4682,40,-0.4950,53,-0.0330,32,-0.8141,54,-0.0128,41,-0.4450,79,0.70806,57,0.07287,69,0.37452
ENSG00000176022,B3GALT6,15,-0.7397,23,-0.0642,20,-0.2281,11,-1.1989,20,-0.2762,50,1.23418,29,0.39179,14,-0.7970,26,0.15929
ENSG00000160087,UBE2J2,24,-0.6548,24,-0.6308,40,0.15691,27,-0.4639,40,0.16896,16,-1.2210,59,0.96202,37,0.02729,35,-0.0555
ENSG00000131584,ACAP3,35,-1.1079,42,-0.8118,65,-0.1373,25,-1.5967,117,0.82893,90,0.38960,74,0.07059,131,1.01507,57,-0.3334
ENSG00000127054,INTS11,16,-1.3953,20,-1.0603,43,0.08332,30,-0.4803,58,0.57470,29,-0.5384,53,0.47611,60,0.63716,45,0.17382
ENSG00000224051,CPTP,22,0.23343,11,-0.8160,19,-0.0579,6,-1.6513,19,-0.0335,9,-1.1726,26,0.52652,36,1.02722,19,0.00294
ENSG00000107404,DVL1,48,0.06691,46,-0.0008,87,1.04847,22,-1.1303,28,-0.7843,44,-0.0844,39,-0.2913,49,0.09287,60,0.42217
ENSG00000175756,AURKAIP1,94,-0.9397,191,0.16493,235,0.50205,161,-0.1090,110,-0.7083,161,-0.1063,173,0.01162,240,0.54045,185,0.11598
ENSG00000221978,CCNL2,44,-0.4528,27,-1.2053,48,-0.3090,25,-1.3045,80,0.49299,78,0.46154,85,0.70330,69,0.25171,47,-0.3627
ENSG00000242485,MRPL20,116,-0.4980,196,0.34183,213,0.47950,143,-0.1639,87,-0.9332,144,-0.1573,171,0.13504,182,0.21843,165,0.05991
ENSG00000235098,ANKRD65,32,-0.1522,50,0.54966,36,0.02769,9,-2.0025,22,-0.7585,37,0.08858,25,-0.5902,65,1.01526,52,0.63780
ENSG00000179403,VWA1,81,1.80911,42,0.62113,22,-0.4111,3,-3.0953,4,-2.9168,60,1.23992,27,-0.0852,13,-1.2012,7,-2.1356
ENSG00000197785,ATAD3A,6,-1.2613,8,-0.8413,20,0.54412,10,-0.5486,10,-0.6226,5,-1.4591,21,0.66101,26,0.93951,18,0.32484
ENSG00000205090,TMEM240,20,-0.6131,7,-2.1117,16,-1.0154,28,-0.1060,31,0.05040,20,-0.6178,32,0.12673,75,1.55669,39,0.42831
ENSG00000160075,SSU72,90,-0.9028,192,0.28438,162,0.01246,113,-0.5515,113,-0.5629,151,-0.1050,157,-0.0484,227,0.56031,249,0.71688
ENSG00000228594,FNDC10,13,-0.9963,6,-1.9432,30,0.31386,20,-0.3103,22,-0.1343,26,0.08099,33,0.53642,26,0.12732,35,0.60008
