Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,23,-0.9210,46,0.35246,45,0.15674,49,0.29907,27,-0.6735
ENSG00000188976,NOC2L,26,-1.1489,68,0.70408,60,0.16160,43,-0.3812,36,-0.6542
ENSG00000188290,HES4,67,1.06943,38,0.16308,18,-1.1146,20,-0.9143,32,-0.2271
ENSG00000187608,ISG15,48,0.41468,49,0.92124,18,-1.1269,8,-2.2910,28,-0.4304
ENSG00000188157,AGRN,22,0.04081,29,0.99238,14,-0.6989,13,-0.7326,8,-1.5560
ENSG00000078808,SDF4,69,0.25608,67,0.34094,59,-0.0078,33,-0.9112,48,-0.3553
ENSG00000176022,B3GALT6,17,-0.5928,31,0.73871,22,-0.1860,10,-1.4165,25,0.01097
ENSG00000160087,UBE2J2,32,-0.2894,48,0.68979,26,-0.6048,31,-0.3227,27,-0.5364
ENSG00000131584,ACAP3,65,-0.3780,98,0.52900,103,0.36731,55,-0.6509,47,-0.8955
ENSG00000127054,INTS11,41,0.02952,45,0.31346,45,0.15274,38,-0.1202,21,-1.0290
ENSG00000224051,CPTP,19,-0.1925,27,0.63738,12,-0.9192,15,-0.5881,21,-0.0242
ENSG00000107404,DVL1,82,0.61828,64,0.38136,50,-0.1996,25,-1.2659,40,-0.5707
ENSG00000175756,AURKAIP1,188,0.29480,200,0.78311,71,-1.2450,90,-0.8838,113,-0.5354
ENSG00000221978,CCNL2,35,-0.6300,56,0.19786,101,1.15141,42,-0.3583,16,-1.7737
ENSG00000242485,MRPL20,199,0.51530,156,0.19573,105,-0.5274,119,-0.3406,123,-0.2838
ENSG00000235098,ANKRD65,41,0.58134,31,0.21907,30,0.03968,18,-0.7888,19,-0.6853
ENSG00000179403,VWA1,52,1.34779,19,-0.5866,28,0.23015,10,-1.3817,27,0.16606
ENSG00000205090,TMEM240,10,-1.2941,29,0.53920,10,-1.3135,37,0.69385,21,-0.2011
ENSG00000160075,SSU72,139,-0.0314,182,0.84382,92,-0.6925,88,-0.7520,86,-0.8013
ENSG00000228594,FNDC10,26,-0.3686,35,0.16430,30,-0.1659,26,-0.3789,43,0.41504
ENSG00000197530,MIB2,29,-0.1740,43,1.06396,15,-1.2177,16,-1.0818,23,-0.5292
ENSG00000248333,CDK11B,35,-0.5623,33,-1.0535,89,0.96784,83,0.84293,66,0.46050
ENSG00000189339,SLC35E2B,23,0.11449,18,-0.3800,16,-0.4744,28,0.43151,30,0.58789
ENSG00000008128,CDK11A,13,-1.1059,18,-0.9116,46,0.93594,46,0.94212,35,0.42222
ENSG00000215790,SLC35E2A,30,0.34211,28,0.43257,18,-0.4643,11,-1.2008,24,-0.0678
ENSG00000008130,NADK,28,0.14138,32,0.64654,6,-2.1849,17,-0.6385,29,0.17844
ENSG00000078369,GNB1,579,0.18541,579,0.34424,319,-0.7754,352,-0.6203,575,0.17427
ENSG00000187730,GABRD,53,-2.1686,300,1.16015,120,-0.9381,208,-0.0723,155,-0.5422
ENSG00000067606,PRKCZ,125,-1.0036,281,0.56168,187,-0.3700,162,-0.6046,286,0.32685
ENSG00000162585,FAAP20,58,0.71772,41,0.20933,30,-0.3924,22,-0.8624,31,-0.3223
ENSG00000157933,SKI,50,0.18615,43,-0.0708,57,0.40841,14,-1.8126,62,0.56025
ENSG00000157916,RER1,69,0.55773,59,0.56118,36,-0.5266,33,-0.6545,22,-1.2464
ENSG00000157911,PEX10,42,1.20105,20,-0.0422,24,0.21161,4,-2.3870,15,-0.5033
ENSG00000157870,PRXL2B,33,-0.3440,52,0.77466,23,-0.9405,36,-0.2371,30,-0.5241
ENSG00000158109,TPRG1L,112,-0.9898,258,0.68528,121,-0.8654,171,-0.3232,236,0.20209
ENSG00000130764,LRRC47,57,-0.6605,111,0.82186,64,-0.4845,65,-0.4732,64,-0.4873
ENSG00000116198,CEP104,31,-0.3419,33,-0.4536,57,0.65763,36,-0.1331,55,0.59526
ENSG00000196581,AJAP1,24,-1.1960,52,0.09077,53,0.06011,83,0.83433,38,-0.4794
ENSG00000069424,KCNAB2,159,-0.2622,242,0.88678,82,-1.2960,170,-0.1511,112,-0.8047
ENSG00000116254,CHD5,128,-1.4625,277,-0.4329,410,0.38903,461,0.59204,495,0.71931
ENSG00000116251,RPL22,862,0.86110,492,-0.1737,359,-0.6042,409,-0.3968,587,0.19148
ENSG00000116237,ICMT,40,0.06198,42,0.32127,19,-1.0885,48,0.37321,29,-0.4330
ENSG00000097021,ACOT7,61,-1.9382,281,0.97124,140,-0.6635,214,0.01574,157,-0.4799
ENSG00000215788,TNFRSF25,6,-2.2174,26,0.04086,71,1.82244,22,-0.2582,4,-2.7524
ENSG00000171680,PLEKHG5,19,-0.3966,31,0.73919,23,-0.1253,24,-0.0293,7,-1.8488
ENSG00000162408,NOL9,34,0.03119,34,0.03701,62,1.06592,27,-0.3628,9,-1.9357
ENSG00000162413,KLHL21,17,-1.0366,44,0.90144,22,-0.7005,22,-0.6814,33,-0.0536
ENSG00000041988,THAP3,11,-0.7693,23,0.84555,14,-0.3429,13,-0.5311,13,-0.5480
ENSG00000007923,DNAJC11,31,-0.3197,47,0.63966,25,-0.6837,38,-0.0229,25,-0.6529
ENSG00000171735,CAMTA1,294,-0.8770,476,-0.1945,575,0.19986,647,0.40086,660,0.43491
ENSG00000049245,VAMP3,56,1.66958,16,-0.8526,27,0.31528,18,-0.3606,14,-0.7145
ENSG00000049246,PER3,65,0.59245,40,-0.3372,61,0.46730,44,-0.0825,35,-0.4089
ENSG00000116288,PARK7,395,0.70257,306,0.49625,134,-1.0602,164,-0.7438,174,-0.6490
ENSG00000116285,ERRFI1,20,-0.5145,33,0.49750,21,-0.4549,30,0.08874,22,-0.4037
ENSG00000162426,SLC45A1,22,-0.2778,33,0.76787,17,-0.6955,20,-0.4341,18,-0.5679
ENSG00000142599,RERE,141,-0.2512,150,-0.2449,231,0.58040,130,-0.3818,211,0.41894
ENSG00000074800,ENO1,938,1.36996,445,0.07273,263,-0.8023,285,-0.6763,208,-1.1632
ENSG00000171612,SLC25A33,107,2.27491,23,-0.8800,10,-1.7920,15,-1.2296,37,0.21391
ENSG00000171603,CLSTN1,387,-1.0530,893,0.54580,529,-0.5666,943,0.37859,587,-0.4029
ENSG00000178585,CTNNBIP1,54,0.81462,29,-0.3669,27,-0.3169,15,-1.1842,53,0.81108
ENSG00000162441,LZIC,97,0.90790,48,-0.4378,56,-0.0421,42,-0.5033,69,0.31074
ENSG00000130939,UBE4B,26,-0.6898,40,-0.0459,54,0.46831,43,0.09158,42,0.05801
ENSG00000054523,KIF1B,359,-0.5698,395,-0.6683,690,0.50399,628,0.34181,837,0.84521
ENSG00000142657,PGD,57,-0.0390,70,0.56061,48,-0.3103,46,-0.3993,38,-0.6976
ENSG00000241563,CORT,38,0.25208,37,0.32635,14,-1.2915,14,-1.3399,50,0.71291
ENSG00000160049,DFFA,58,-0.1277,50,-0.5935,109,0.95544,55,-0.2031,80,0.39861
ENSG00000142655,PEX14,13,-0.5373,26,1.04227,6,-1.8049,11,-0.9027,19,0.02590
ENSG00000120948,TARDBP,81,-0.1637,98,0.28022,92,0.06095,98,0.15435,51,-0.8890
ENSG00000116649,SRM,73,0.63888,60,0.59046,20,-1.3922,27,-0.9811,39,-0.3946
ENSG00000171824,EXOSC10,34,0.28429,27,-0.1342,47,0.84314,25,-0.2096,14,-1.1344
ENSG00000198793,MTOR,41,-0.0996,46,0.20150,37,-0.2641,44,0.03831,39,-0.1615
ENSG00000116661,FBXO2,457,2.03900,142,-0.2288,43,-1.9827,98,-0.7215,68,-1.2938
ENSG00000132879,FBXO44,51,-0.9868,128,1.02315,34,-1.6132,83,-0.2251,83,-0.2233
