Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,50,0.55609,27,-0.4135,42,0.32689,37,0.07137,46,0.46065,29,-0.3207,20,-0.8517,33,-0.0904,16,-1.1810
ENSG00000188976,NOC2L,32,-0.1743,20,-0.8997,48,0.51150,80,1.31562,39,0.14702,22,-0.7820,21,-0.8554,26,-0.5186,23,-0.7051
ENSG00000188290,HES4,49,1.26161,3,-2.6799,19,-0.3121,20,-0.2248,8,-1.5706,52,1.39940,40,0.91872,20,-0.1870,10,-1.1708
ENSG00000187608,ISG15,20,-0.7809,28,-0.2893,34,0.03855,56,0.82952,31,-0.1139,61,0.96188,44,0.43884,10,-1.8110,19,-0.8613
ENSG00000188157,AGRN,8,-1.0233,13,-0.2246,18,0.29610,2,-2.9408,11,-0.6171,19,0.35429,35,1.33925,12,-0.3486,23,0.61013
ENSG00000078808,SDF4,63,0.55012,24,-0.9378,56,0.40328,46,0.05633,38,-0.2872,34,-0.4268,58,0.41109,52,0.25277,26,-0.8025
ENSG00000176022,B3GALT6,17,-0.1916,10,-1.0271,29,0.79840,22,0.24671,20,0.04878,17,-0.1535,18,-0.0583,15,-0.4133,13,-0.6211
ENSG00000160087,UBE2J2,56,1.03283,16,-0.9030,38,0.41618,49,0.78848,22,-0.5436,25,-0.2672,17,-0.8668,33,0.17706,13,-1.2320
ENSG00000131584,ACAP3,56,0.05320,21,-1.4576,69,0.42466,51,-0.0976,41,-0.4649,67,0.34227,74,0.50217,52,-0.0570,55,0.03114
ENSG00000127054,INTS11,54,0.82937,18,-0.8790,45,0.57996,50,0.69612,28,-0.2312,31,-0.0629,22,-0.5766,20,-0.7106,15,-1.1966
ENSG00000224051,CPTP,18,-0.0079,16,-0.1594,26,0.69448,21,0.27149,12,-0.6510,18,-0.0225,16,-0.2080,19,0.09956,13,-0.5219
ENSG00000107404,DVL1,43,-0.0154,29,-0.6247,50,0.25893,53,0.32274,27,-0.8091,36,-0.2753,78,0.95669,35,-0.3208,49,0.18870
ENSG00000175756,AURKAIP1,164,0.45589,184,0.64370,149,0.33596,114,-0.1260,90,-0.5286,70,-0.8654,184,0.65163,63,-1.0434,100,-0.3294
