#node	identifier	category	term ID	term description
A2M	9606.ENSP00000323929	GO Process	GO:0000003	Reproduction
A2M	9606.ENSP00000323929	GO Process	GO:0001553	Luteinization
A2M	9606.ENSP00000323929	GO Process	GO:0001868	Regulation of complement activation, lectin pathway
A2M	9606.ENSP00000323929	GO Process	GO:0001869	Negative regulation of complement activation, lectin pathway
A2M	9606.ENSP00000323929	GO Process	GO:0002376	Immune system process
A2M	9606.ENSP00000323929	GO Process	GO:0002437	Inflammatory response to antigenic stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0002438	Acute inflammatory response to antigenic stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0002526	Acute inflammatory response
A2M	9606.ENSP00000323929	GO Process	GO:0002682	Regulation of immune system process
A2M	9606.ENSP00000323929	GO Process	GO:0002683	Negative regulation of immune system process
A2M	9606.ENSP00000323929	GO Process	GO:0002697	Regulation of immune effector process
A2M	9606.ENSP00000323929	GO Process	GO:0002698	Negative regulation of immune effector process
A2M	9606.ENSP00000323929	GO Process	GO:0002831	Regulation of response to biotic stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0002832	Negative regulation of response to biotic stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0002920	Regulation of humoral immune response
A2M	9606.ENSP00000323929	GO Process	GO:0002921	Negative regulation of humoral immune response
A2M	9606.ENSP00000323929	GO Process	GO:0003006	Developmental process involved in reproduction
A2M	9606.ENSP00000323929	GO Process	GO:0006950	Response to stress
A2M	9606.ENSP00000323929	GO Process	GO:0006952	Defense response
A2M	9606.ENSP00000323929	GO Process	GO:0006953	Acute-phase response
A2M	9606.ENSP00000323929	GO Process	GO:0006954	Inflammatory response
A2M	9606.ENSP00000323929	GO Process	GO:0006955	Immune response
A2M	9606.ENSP00000323929	GO Process	GO:0007275	Multicellular organism development
A2M	9606.ENSP00000323929	GO Process	GO:0007548	Sex differentiation
A2M	9606.ENSP00000323929	GO Process	GO:0007584	Response to nutrient
A2M	9606.ENSP00000323929	GO Process	GO:0008406	Gonad development
A2M	9606.ENSP00000323929	GO Process	GO:0008585	Female gonad development
A2M	9606.ENSP00000323929	GO Process	GO:0009605	Response to external stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0009719	Response to endogenous stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0009725	Response to hormone
A2M	9606.ENSP00000323929	GO Process	GO:0009790	Embryo development
A2M	9606.ENSP00000323929	GO Process	GO:0009892	Negative regulation of metabolic process
A2M	9606.ENSP00000323929	GO Process	GO:0009987	Cellular process
A2M	9606.ENSP00000323929	GO Process	GO:0009991	Response to extracellular stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0010033	Response to organic substance
A2M	9606.ENSP00000323929	GO Process	GO:0010037	Response to carbon dioxide
A2M	9606.ENSP00000323929	GO Process	GO:0010466	Negative regulation of peptidase activity
A2M	9606.ENSP00000323929	GO Process	GO:0010605	Negative regulation of macromolecule metabolic process
A2M	9606.ENSP00000323929	GO Process	GO:0010951	Negative regulation of endopeptidase activity
A2M	9606.ENSP00000323929	GO Process	GO:0014070	Response to organic cyclic compound
A2M	9606.ENSP00000323929	GO Process	GO:0019222	Regulation of metabolic process
A2M	9606.ENSP00000323929	GO Process	GO:0022414	Reproductive process
A2M	9606.ENSP00000323929	GO Process	GO:0022602	Ovulation cycle process
A2M	9606.ENSP00000323929	GO Process	GO:0030154	Cell differentiation
A2M	9606.ENSP00000323929	GO Process	GO:0030162	Regulation of proteolysis
A2M	9606.ENSP00000323929	GO Process	GO:0030449	Regulation of complement activation
A2M	9606.ENSP00000323929	GO Process	GO:0031347	Regulation of defense response
A2M	9606.ENSP00000323929	GO Process	GO:0031348	Negative regulation of defense response
A2M	9606.ENSP00000323929	GO Process	GO:0031667	Response to nutrient levels
A2M	9606.ENSP00000323929	GO Process	GO:0031960	Response to corticosteroid
A2M	9606.ENSP00000323929	GO Process	GO:0032101	Regulation of response to external stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0032102	Negative regulation of response to external stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0032501	Multicellular organismal process
A2M	9606.ENSP00000323929	GO Process	GO:0032502	Developmental process
A2M	9606.ENSP00000323929	GO Process	GO:0032504	Multicellular organism reproduction
A2M	9606.ENSP00000323929	GO Process	GO:0033993	Response to lipid
A2M	9606.ENSP00000323929	GO Process	GO:0034694	Response to prostaglandin
A2M	9606.ENSP00000323929	GO Process	GO:0034695	Response to prostaglandin E
A2M	9606.ENSP00000323929	GO Process	GO:0042221	Response to chemical
A2M	9606.ENSP00000323929	GO Process	GO:0042698	Ovulation cycle
A2M	9606.ENSP00000323929	GO Process	GO:0043086	Negative regulation of catalytic activity
A2M	9606.ENSP00000323929	GO Process	GO:0044092	Negative regulation of molecular function
A2M	9606.ENSP00000323929	GO Process	GO:0045088	Regulation of innate immune response
A2M	9606.ENSP00000323929	GO Process	GO:0045137	Development of primary sexual characteristics
A2M	9606.ENSP00000323929	GO Process	GO:0045824	Negative regulation of innate immune response
A2M	9606.ENSP00000323929	GO Process	GO:0045861	Negative regulation of proteolysis
A2M	9606.ENSP00000323929	GO Process	GO:0045916	Negative regulation of complement activation
A2M	9606.ENSP00000323929	GO Process	GO:0046545	Development of primary female sexual characteristics
A2M	9606.ENSP00000323929	GO Process	GO:0046660	Female sex differentiation
A2M	9606.ENSP00000323929	GO Process	GO:0048511	Rhythmic process
A2M	9606.ENSP00000323929	GO Process	GO:0048513	Animal organ development
A2M	9606.ENSP00000323929	GO Process	GO:0048519	Negative regulation of biological process
A2M	9606.ENSP00000323929	GO Process	GO:0048545	Response to steroid hormone
A2M	9606.ENSP00000323929	GO Process	GO:0048568	Embryonic organ development
A2M	9606.ENSP00000323929	GO Process	GO:0048583	Regulation of response to stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0048585	Negative regulation of response to stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0048608	Reproductive structure development
A2M	9606.ENSP00000323929	GO Process	GO:0048609	Multicellular organismal reproductive process
A2M	9606.ENSP00000323929	GO Process	GO:0048731	System development
A2M	9606.ENSP00000323929	GO Process	GO:0048856	Anatomical structure development
A2M	9606.ENSP00000323929	GO Process	GO:0048863	Stem cell differentiation
A2M	9606.ENSP00000323929	GO Process	GO:0048869	Cellular developmental process
A2M	9606.ENSP00000323929	GO Process	GO:0050776	Regulation of immune response
A2M	9606.ENSP00000323929	GO Process	GO:0050777	Negative regulation of immune response
A2M	9606.ENSP00000323929	GO Process	GO:0050789	Regulation of biological process
A2M	9606.ENSP00000323929	GO Process	GO:0050790	Regulation of catalytic activity
A2M	9606.ENSP00000323929	GO Process	GO:0050896	Response to stimulus
A2M	9606.ENSP00000323929	GO Process	GO:0051171	Regulation of nitrogen compound metabolic process
A2M	9606.ENSP00000323929	GO Process	GO:0051172	Negative regulation of nitrogen compound metabolic process
A2M	9606.ENSP00000323929	GO Process	GO:0051246	Regulation of protein metabolic process
A2M	9606.ENSP00000323929	GO Process	GO:0051248	Negative regulation of protein metabolic process
A2M	9606.ENSP00000323929	GO Process	GO:0051336	Regulation of hydrolase activity
A2M	9606.ENSP00000323929	GO Process	GO:0051346	Negative regulation of hydrolase activity
A2M	9606.ENSP00000323929	GO Process	GO:0051384	Response to glucocorticoid
A2M	9606.ENSP00000323929	GO Process	GO:0052547	Regulation of peptidase activity
A2M	9606.ENSP00000323929	GO Process	GO:0052548	Regulation of endopeptidase activity
A2M	9606.ENSP00000323929	GO Process	GO:0060255	Regulation of macromolecule metabolic process
A2M	9606.ENSP00000323929	GO Process	GO:0061458	Reproductive system development
A2M	9606.ENSP00000323929	GO Process	GO:0065007	Biological regulation
A2M	9606.ENSP00000323929	GO Process	GO:0065009	Regulation of molecular function
A2M	9606.ENSP00000323929	GO Process	GO:0080090	Regulation of primary metabolic process
A2M	9606.ENSP00000323929	GO Process	GO:0080134	Regulation of response to stress
A2M	9606.ENSP00000323929	GO Process	GO:0097305	Response to alcohol
A2M	9606.ENSP00000323929	GO Process	GO:1901654	Response to ketone
A2M	9606.ENSP00000323929	GO Process	GO:1901700	Response to oxygen-containing compound
A2M	9606.ENSP00000323929	GO Process	GO:1990402	Embryonic liver development
A2M	9606.ENSP00000323929	GO Function	GO:0002020	Protease binding
A2M	9606.ENSP00000323929	GO Function	GO:0004857	Enzyme inhibitor activity
A2M	9606.ENSP00000323929	GO Function	GO:0004866	Endopeptidase inhibitor activity
A2M	9606.ENSP00000323929	GO Function	GO:0004867	Serine-type endopeptidase inhibitor activity
A2M	9606.ENSP00000323929	GO Function	GO:0005102	Signaling receptor binding
A2M	9606.ENSP00000323929	GO Function	GO:0005488	Binding
A2M	9606.ENSP00000323929	GO Function	GO:0005515	Protein binding
A2M	9606.ENSP00000323929	GO Function	GO:0019838	Growth factor binding
A2M	9606.ENSP00000323929	GO Function	GO:0019899	Enzyme binding
A2M	9606.ENSP00000323929	GO Function	GO:0019955	Cytokine binding
A2M	9606.ENSP00000323929	GO Function	GO:0019956	Chemokine binding
A2M	9606.ENSP00000323929	GO Function	GO:0019958	C-X-C chemokine binding
A2M	9606.ENSP00000323929	GO Function	GO:0019959	interleukin-8 binding
A2M	9606.ENSP00000323929	GO Function	GO:0019966	interleukin-1 binding
A2M	9606.ENSP00000323929	GO Function	GO:0030234	Enzyme regulator activity
A2M	9606.ENSP00000323929	GO Function	GO:0030414	Peptidase inhibitor activity
A2M	9606.ENSP00000323929	GO Function	GO:0042802	Identical protein binding
A2M	9606.ENSP00000323929	GO Function	GO:0043120	Tumor necrosis factor binding
A2M	9606.ENSP00000323929	GO Function	GO:0043121	Neurotrophin binding
A2M	9606.ENSP00000323929	GO Function	GO:0048306	Calcium-dependent protein binding
A2M	9606.ENSP00000323929	GO Function	GO:0048403	Brain-derived neurotrophic factor binding
A2M	9606.ENSP00000323929	GO Function	GO:0048406	Nerve growth factor binding
A2M	9606.ENSP00000323929	GO Function	GO:0061134	Peptidase regulator activity
A2M	9606.ENSP00000323929	GO Function	GO:0061135	Endopeptidase regulator activity
A2M	9606.ENSP00000323929	GO Function	GO:0098772	Molecular function regulator activity
A2M	9606.ENSP00000323929	GO Component	GO:0005576	Extracellular region
A2M	9606.ENSP00000323929	GO Component	GO:0005615	Extracellular space
A2M	9606.ENSP00000323929	GO Component	GO:0005622	Intracellular anatomical structure
A2M	9606.ENSP00000323929	GO Component	GO:0005737	Cytoplasm
A2M	9606.ENSP00000323929	GO Component	GO:0012505	Endomembrane system
A2M	9606.ENSP00000323929	GO Component	GO:0030141	Secretory granule
A2M	9606.ENSP00000323929	GO Component	GO:0030312	External encapsulating structure
A2M	9606.ENSP00000323929	GO Component	GO:0031012	Extracellular matrix
A2M	9606.ENSP00000323929	GO Component	GO:0031091	Platelet alpha granule
A2M	9606.ENSP00000323929	GO Component	GO:0031093	Platelet alpha granule lumen
A2M	9606.ENSP00000323929	GO Component	GO:0031410	Cytoplasmic vesicle
A2M	9606.ENSP00000323929	GO Component	GO:0031974	Membrane-enclosed lumen
A2M	9606.ENSP00000323929	GO Component	GO:0031982	Vesicle
A2M	9606.ENSP00000323929	GO Component	GO:0031983	Vesicle lumen
A2M	9606.ENSP00000323929	GO Component	GO:0034774	Secretory granule lumen
A2M	9606.ENSP00000323929	GO Component	GO:0043226	Organelle
A2M	9606.ENSP00000323929	GO Component	GO:0043227	Membrane-bounded organelle
A2M	9606.ENSP00000323929	GO Component	GO:0043229	Intracellular organelle
A2M	9606.ENSP00000323929	GO Component	GO:0043230	Extracellular organelle
A2M	9606.ENSP00000323929	GO Component	GO:0043231	Intracellular membrane-bounded organelle
A2M	9606.ENSP00000323929	GO Component	GO:0043233	Organelle lumen
A2M	9606.ENSP00000323929	GO Component	GO:0060205	Cytoplasmic vesicle lumen
A2M	9606.ENSP00000323929	GO Component	GO:0062023	Collagen-containing extracellular matrix
A2M	9606.ENSP00000323929	GO Component	GO:0065010	Extracellular membrane-bounded organelle
A2M	9606.ENSP00000323929	GO Component	GO:0070013	Intracellular organelle lumen
A2M	9606.ENSP00000323929	GO Component	GO:0070062	Extracellular exosome
A2M	9606.ENSP00000323929	GO Component	GO:0071944	Cell periphery
A2M	9606.ENSP00000323929	GO Component	GO:0072562	Blood microparticle
A2M	9606.ENSP00000323929	GO Component	GO:0097708	Intracellular vesicle
A2M	9606.ENSP00000323929	GO Component	GO:0099503	Secretory vesicle
A2M	9606.ENSP00000323929	GO Component	GO:0110165	Cellular anatomical entity
A2M	9606.ENSP00000323929	GO Component	GO:1903561	Extracellular vesicle
A2M	9606.ENSP00000323929	STRING clusters	CL:18723	Mixed, incl. Complement and coagulation cascades, and Protein-lipid complex
A2M	9606.ENSP00000323929	STRING clusters	CL:18724	Mixed, incl. Complement and coagulation cascades, and Protein-lipid complex
A2M	9606.ENSP00000323929	STRING clusters	CL:18725	Complement and coagulation cascades, and Protein-lipid complex
A2M	9606.ENSP00000323929	STRING clusters	CL:18726	Complement and coagulation cascades, and Protein-lipid complex
A2M	9606.ENSP00000323929	STRING clusters	CL:18727	Complement and coagulation cascades, and Positive regulation of opsonization
A2M	9606.ENSP00000323929	STRING clusters	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization
A2M	9606.ENSP00000323929	STRING clusters	CL:18730	Hemostasis, and Dissolution of Fibrin Clot
A2M	9606.ENSP00000323929	STRING clusters	CL:18731	Hemostasis, and Dissolution of Fibrin Clot
A2M	9606.ENSP00000323929	STRING clusters	CL:18732	Mixed, incl. COVID-19, thrombosis and anticoagulation, and Scavenging of heme from plasma
A2M	9606.ENSP00000323929	STRING clusters	CL:18774	Scavenging of heme from plasma
A2M	9606.ENSP00000323929	KEGG	hsa04610	Complement and coagulation cascades
A2M	9606.ENSP00000323929	Reactome	HSA-109582	Hemostasis
A2M	9606.ENSP00000323929	Reactome	HSA-114608	Platelet degranulation
A2M	9606.ENSP00000323929	Reactome	HSA-140837	Intrinsic Pathway of Fibrin Clot Formation
A2M	9606.ENSP00000323929	Reactome	HSA-140877	Formation of Fibrin Clot (Clotting Cascade)
A2M	9606.ENSP00000323929	Reactome	HSA-1474228	Degradation of the extracellular matrix
A2M	9606.ENSP00000323929	Reactome	HSA-1474244	Extracellular matrix organization
A2M	9606.ENSP00000323929	Reactome	HSA-174824	Plasma lipoprotein assembly, remodeling, and clearance
A2M	9606.ENSP00000323929	Reactome	HSA-382551	Transport of small molecules
A2M	9606.ENSP00000323929	Reactome	HSA-76002	Platelet activation, signaling and aggregation
A2M	9606.ENSP00000323929	Reactome	HSA-76005	Response to elevated platelet cytosolic Ca2+
A2M	9606.ENSP00000323929	Reactome	HSA-8963896	HDL assembly
A2M	9606.ENSP00000323929	Reactome	HSA-8963898	Plasma lipoprotein assembly
A2M	9606.ENSP00000323929	DISEASES	DOID:0014667	Disease of metabolism
A2M	9606.ENSP00000323929	DISEASES	DOID:10652	Alzheimers disease
A2M	9606.ENSP00000323929	DISEASES	DOID:1289	Neurodegenerative disease
