Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to12,Feature log2 fold change topic 7to12
ENSG00000228794,LINC01128,22,-0.7122,31,-0.0951,30,-0.1259,39,0.57068
ENSG00000188976,NOC2L,26,-1.1667,49,-0.0453,36,-0.5475,67,1.01767
ENSG00000188290,HES4,52,0.38333,77,0.95318,38,-0.1858,34,-0.5984
ENSG00000187608,ISG15,43,0.16350,18,-1.1980,36,-0.1587,42,0.22032
ENSG00000188157,AGRN,25,0.05787,53,1.22671,10,-1.4909,25,0.00311
ENSG00000078808,SDF4,51,-0.0456,62,0.27408,30,-0.8938,58,0.34600
ENSG00000176022,B3GALT6,18,-0.0279,12,-0.7079,12,-0.6829,22,0.52584
ENSG00000160087,UBE2J2,29,-0.2242,26,-0.3378,25,-0.3911,37,0.45721
ENSG00000131584,ACAP3,60,-0.2155,185,1.69834,44,-0.7052,59,-0.3486
ENSG00000127054,INTS11,30,-0.4828,79,1.17331,28,-0.5184,40,0.08514
ENSG00000224051,CPTP,15,-0.2090,18,0.09854,8,-1.1449,20,0.61226
ENSG00000107404,DVL1,77,1.11141,35,-0.4257,35,-0.4403,36,-0.6484
ENSG00000175756,AURKAIP1,194,0.05047,144,-0.4294,133,-0.5880,213,0.36385
ENSG00000221978,CCNL2,34,-0.7799,159,1.87926,38,-0.5207,49,-0.2054
ENSG00000242485,MRPL20,176,0.17262,117,-0.5001,135,-0.2942,169,0.15178
ENSG00000235098,ANKRD65,28,0.48632,9,-1.2767,9,-1.4948,26,0.46128
ENSG00000179403,VWA1,28,1.41159,22,0.61045,0,-4.5078,12,-0.5884
ENSG00000205090,TMEM240,15,-0.5682,42,1.11689,16,-0.4234,22,0.12698
ENSG00000160075,SSU72,135,-0.1719,149,0.01282,99,-0.6636,171,0.43935
ENSG00000228594,FNDC10,35,0.82138,16,-0.5505,12,-1.0649,23,-0.0946
ENSG00000197530,MIB2,31,0.07639,32,0.09360,21,-0.5977,32,0.20105
ENSG00000248333,CDK11B,44,-0.3761,86,0.76011,77,0.63609,46,-0.4354
ENSG00000008128,CDK11A,25,-0.5252,72,1.28168,51,0.76513,25,-0.7231
ENSG00000215790,SLC35E2A,27,0.49109,43,1.13543,14,-0.6727,17,-0.5668
ENSG00000008130,NADK,22,0.06094,35,0.77190,17,-0.4215,20,-0.1287
ENSG00000078369,GNB1,538,0.20420,359,-0.4669,441,-0.1640,494,0.05397
ENSG00000187730,GABRD,92,-0.8575,101,-0.6042,117,-0.4059,196,0.93799
ENSG00000067606,PRKCZ,197,0.03374,207,0.10843,157,-0.3485,201,0.11882
ENSG00000162585,FAAP20,58,1.16711,18,-0.9412,22,-0.6839,28,-0.4894
ENSG00000157933,SKI,39,0.60199,40,0.50715,29,-0.0045,22,-0.6855
ENSG00000157916,RER1,46,-0.1870,61,0.28935,19,-1.5790,62,0.65008
ENSG00000157911,PEX10,29,0.66448,22,0.05660,5,-2.2956,22,0.16630
ENSG00000149527,PLCH2,21,0.65060,13,-0.1510,9,-0.8244,14,-0.1193
ENSG00000157881,PANK4,9,-0.6413,20,0.58420,10,-0.4490,16,0.44314
ENSG00000157870,PRXL2B,39,-0.0376,35,-0.2131,27,-0.6316,46,0.39375
ENSG00000177133,PRDM16-DT,36,2.26703,7,-1.0743,9,-0.7553,6,-1.6896
ENSG00000158109,TPRG1L,138,-0.4438,170,-0.0553,133,-0.4713,210,0.56486
ENSG00000130764,LRRC47,47,-0.8184,113,0.67591,60,-0.3521,86,0.45824
ENSG00000116198,CEP104,29,0.20486,29,0.14541,33,0.37232,22,-0.4335
ENSG00000198912,C1orf174,11,-0.3962,16,0.21577,11,-0.3539,16,0.38960
ENSG00000196581,AJAP1,32,-0.8096,56,0.18044,69,0.57550,52,0.09935
ENSG00000069424,KCNAB2,195,0.15615,128,-0.5187,109,-0.8296,204,0.39687
ENSG00000116254,CHD5,214,-0.2150,221,-0.1282,442,1.14319,189,-0.6228
ENSG00000116251,RPL22,808,0.94756,373,-0.5042,447,-0.2435,417,-0.5613
ENSG00000116237,ICMT,27,-0.6643,41,0.05100,30,-0.4850,49,0.67645
ENSG00000097021,ACOT7,118,-1.3612,170,-0.6423,161,-0.7810,374,1.40478
ENSG00000171680,PLEKHG5,17,-0.3911,40,1.02425,14,-0.6491,22,0.16281
ENSG00000162408,NOL9,19,-0.2425,9,-1.2834,28,0.44134,23,0.17686
ENSG00000162413,KLHL21,23,-0.1648,39,0.69682,17,-0.6622,27,0.17437
ENSG00000041988,THAP3,16,-0.0136,15,-0.1407,11,-0.6155,19,0.34868
ENSG00000007923,DNAJC11,27,-0.2352,50,0.79845,39,0.45605,26,-0.4213
ENSG00000171735,CAMTA1,286,-0.5699,366,-0.1031,726,1.16686,335,-0.4142
ENSG00000049245,VAMP3,33,1.27551,15,-0.2446,8,-1.2888,15,-0.5460
ENSG00000049246,PER3,40,0.91162,30,0.21719,34,0.48097,15,-1.2168
ENSG00000116288,PARK7,322,-0.0496,202,-0.7583,250,-0.4683,382,0.46031
ENSG00000116285,ERRFI1,17,-0.6962,26,0.08952,24,-0.0686,29,0.47166
ENSG00000162426,SLC45A1,16,-1.2883,23,-0.5834,23,-0.6366,47,1.28295
ENSG00000142599,RERE,144,0.28370,148,0.27469,188,0.74382,90,-0.8214
ENSG00000074800,ENO1,518,0.02279,504,-0.0241,342,-0.6726,566,0.30979
ENSG00000171612,SLC25A33,55,1.23659,20,-0.6481,23,-0.5144,24,-0.6914
ENSG00000171603,CLSTN1,394,-1.0388,736,0.06514,613,-0.2400,888,0.76005
ENSG00000178585,CTNNBIP1,41,0.61608,15,-1.0092,28,-0.0860,28,-0.2307
ENSG00000162441,LZIC,61,0.31793,36,-0.5396,78,0.75048,41,-0.6100
ENSG00000130939,UBE4B,31,-0.4930,49,0.27053,35,-0.2496,46,0.38129
ENSG00000054523,KIF1B,341,-0.0440,347,-0.0074,489,0.60670,306,-0.3520
ENSG00000142657,PGD,31,-1.0412,59,0.06853,40,-0.5823,74,0.92962
ENSG00000241563,CORT,37,-0.7991,16,-1.9087,144,1.81805,46,-0.5727
ENSG00000160049,DFFA,56,0.56681,29,-0.5791,46,0.13762,37,-0.3963
ENSG00000142655,PEX14,12,-0.9595,30,0.62479,11,-0.9143,26,0.79759
ENSG00000120948,TARDBP,62,-0.4468,115,0.59443,81,0.03249,81,0.07498
ENSG00000116649,SRM,56,-0.1808,53,-0.2434,42,-0.6303,72,0.50735
ENSG00000171824,EXOSC10,16,-1.1954,97,1.90990,38,0.33025,26,-0.4811
ENSG00000198793,MTOR,33,-0.6712,49,0.04860,33,-0.6100,60,0.73770
ENSG00000116661,FBXO2,247,0.53793,144,-0.4176,81,-1.3653,204,0.22037
ENSG00000132879,FBXO44,60,-0.6694,108,0.33529,50,-0.9333,110,0.76186
ENSG00000177000,MTHFR,10,-0.8142,39,1.48021,20,0.37282,14,-0.3911
ENSG00000011021,CLCN6,56,-0.2179,79,0.37419,64,0.05010,62,0.00168
ENSG00000116685,KIAA2013,26,-0.3222,30,-0.0599,22,-0.5926,37,0.53825
ENSG00000083444,PLOD1,22,0.19281,30,0.67887,16,-0.3241,18,-0.2352
ENSG00000116688,MFN2,82,-0.4686,95,-0.1606,100,-0.0805,120,0.41611
ENSG00000048707,VPS13D,51,-0.6654,108,0.59564,86,0.25064,76,0.07697
ENSG00000162496,DHRS3,24,0.91799,20,0.41875,6,-1.4591,14,-0.3631
ENSG00000116731,PRDM2,180,-0.5357,182,-0.4331,454,1.19217,210,-0.3695
ENSG00000189337,KAZN,64,-0.1391,77,0.17483,111,0.86525,56,-0.5398
ENSG00000142634,EFHD2,54,-1.1199,129,0.37635,61,-0.8343,135,0.96090
ENSG00000116138,DNAJC16,23,-0.6390,27,-0.3256,28,-0.2597,40,0.66313
ENSG00000197312,DDI2,28,-0.6807,46,0.16731,65,0.82761,39,-0.1544
ENSG00000116786,PLEKHM2,164,0.85509,63,-0.8276,115,0.10234,86,-0.5947
ENSG00000065526,SPEN,156,-0.0429,140,-0.2078,346,1.49625,103,-1.0750
ENSG00000116809,ZBTB17,21,0.13010,32,0.77457,14,-0.5086,18,-0.1451
ENSG00000037637,FBXO42,15,-0.6503,29,0.49401,18,-0.2942,24,0.41312
ENSG00000055070,SZRD1,39,1.48610,25,0.38700,14,-0.5739,11,-1.2747
ENSG00000159363,ATP13A2,82,-0.7682,103,-0.2957,90,-0.5408,162,0.87101
ENSG00000117118,SDHB,58,-0.4329,39,-0.9611,54,-0.5076,93,0.79292
ENSG00000117115,PADI2,80,2.69486,34,0.22824,9,-1.8696,9,-2.3030
ENSG00000179051,RCC2,23,0.17221,15,-0.5401,14,-0.5938,23,0.29599
ENSG00000117154,IGSF21,41,-1.0229,82,0.17213,28,-1.5429,103,1.23575
ENSG00000159423,ALDH4A1,41,2.35425,11,-0.6045,4,-1.9290,8,-1.4832
ENSG00000127481,UBR4,22,-0.8524,51,0.55729,72,1.31406,28,-0.6208
ENSG00000127463,EMC1,22,-0.7849,86,1.53814,24,-0.5907,35,0.06810
ENSG00000053372,MRTO4,36,-0.1525,48,0.34038,40,0.05691,38,-0.0354
ENSG00000053371,AKR7A2,40,0.65068,30,0.06042,13,-1.2421,28,-0.0466
ENSG00000077549,CAPZB,131,-0.6648,161,-0.2491,145,-0.4542,238,0.75444
ENSG00000173436,MICOS10,459,0.63521,216,-0.6827,226,-0.6676,332,-0.0377
ENSG00000158747,NBL1,142,-0.0951,192,0.40375,88,-0.8753,166,0.32742
ENSG00000169914,OTUD3,14,-0.5496,28,0.67265,29,0.82457,16,-0.4279
ENSG00000162545,CAMK2N1,2567,1.09303,682,-1.2501,1347,-0.2339,1242,-0.5713
ENSG00000090432,MUL1,17,-0.2329,17,-0.2251,18,-0.1190,22,0.29743
ENSG00000183114,FAM43B,11,-1.1379,46,1.22789,12,-0.8809,26,0.55462
ENSG00000158828,PINK1,452,-0.0998,228,-1.1247,303,-0.7518,587,0.68527
ENSG00000244038,DDOST,16,-1.0903,27,-0.1089,25,-0.2533,38,0.85027
ENSG00000117245,KIF17,10,-1.5705,12,-1.1673,34,0.40904,35,0.89535
ENSG00000189410,SH2D5,26,-0.3908,20,-0.7683,24,-0.5108,41,0.72807
ENSG00000127483,HP1BP3,236,0.10346,170,-0.4239,381,0.98401,174,-0.6490
ENSG00000075151,EIF4G3,187,-1.0396,259,-0.4030,581,1.01565,341,0.04738
ENSG00000117298,ECE1,28,0.91882,47,1.62123,10,-0.9023,10,-1.2346
ENSG00000076864,RAP1GAP,77,-0.9728,222,0.83115,95,-0.5503,158,0.55763
ENSG00000090686,USP48,53,-0.7914,156,1.03541,108,0.47409,76,-0.2079
ENSG00000070831,CDC42,111,-0.8326,162,-0.1371,153,-0.2427,220,0.71484
ENSG00000133216,EPHB2,12,-0.3695,6,-1.3430,14,-0.0050,17,0.54978
ENSG00000004487,KDM1A,49,-0.8109,108,0.53089,68,-0.2202,89,0.45206
ENSG00000169641,LUZP1,146,-0.6336,116,-0.8910,371,1.09011,198,-0.1282
ENSG00000125944,HNRNPR,95,-0.5811,141,0.12465,169,0.46155,134,0.06742
ENSG00000142676,RPL11,584,0.97377,271,-0.4764,259,-0.5920,314,-0.4308
ENSG00000011007,ELOA,30,0.30929,21,-0.2875,34,0.49098,22,-0.4717
ENSG00000057757,PITHD1,117,-0.4288,119,-0.3306,109,-0.5048,180,0.64888
