Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000228794,LINC01128,24,-0.0948,52,1.31739,57,1.49549,0,-6.4921,8,-1.7704
ENSG00000188976,NOC2L,44,0.61745,37,0.10888,68,1.19415,0,-6.7610,19,-1.0394
ENSG00000188290,HES4,47,0.44570,132,2.35374,15,-1.4362,7,-2.6255,8,-2.5040
ENSG00000187608,ISG15,27,-0.0326,58,1.32871,15,-0.8749,31,0.22539,16,-0.9081
ENSG00000188157,AGRN,25,0.27979,12,-0.9048,23,0.07695,19,-0.2042,24,0.12357
ENSG00000078808,SDF4,57,0.09791,64,0.25289,61,0.18096,58,0.09995,42,-0.4944
ENSG00000176022,B3GALT6,21,0.87012,10,-0.6279,21,0.58294,0,-5.7795,13,-0.2965
ENSG00000160087,UBE2J2,36,0.88853,19,-0.4704,43,0.89698,6,-2.0825,14,-1.0637
ENSG00000162572,SCNN1D,14,0.28469,8,-0.7847,19,0.64652,10,-0.4141,11,-0.2277
ENSG00000131584,ACAP3,100,0.45675,47,-0.9023,101,0.32842,13,-2.8364,102,0.40149
ENSG00000127054,INTS11,39,-0.0565,24,-0.8048,35,-0.2164,41,0.05631,51,0.49564
ENSG00000224051,CPTP,23,1.37777,4,-1.8318,23,0.81090,1,-3.5357,8,-1.0387
ENSG00000107404,DVL1,63,1.03460,28,-0.6674,36,-0.2782,12,-1.8823,38,-0.2126
ENSG00000175756,AURKAIP1,76,0.11859,79,0.14723,70,-0.0508,96,0.47609,52,-0.5833
ENSG00000221978,CCNL2,54,-0.3772,118,1.06192,76,0.27422,26,-1.4021,65,0.04353
ENSG00000242485,MRPL20,68,-0.0948,81,0.22590,73,0.06258,94,0.47878,57,-0.4035
ENSG00000235098,ANKRD65,13,-0.3505,26,0.92215,1,-3.4348,0,-5.8038,28,1.30349
ENSG00000179403,VWA1,14,-2.2729,34,-0.6060,7,-2.8821,65,0.44023,126,2.30591
ENSG00000160072,ATAD3B,11,0.26303,6,-0.8665,21,1.20081,0,-5.2602,11,0.05952
ENSG00000205090,TMEM240,31,1.00220,6,-1.9434,53,1.66625,0,-6.2785,9,-1.5133
ENSG00000160075,SSU72,89,0.02692,77,-0.2292,134,0.71238,127,0.61288,50,-0.9982
ENSG00000228594,FNDC10,33,1.90741,13,-0.4565,17,-0.0288,6,-1.5689,3,-2.8375
ENSG00000197530,MIB2,39,0.92826,7,-2.1385,32,0.23099,31,0.19146,17,-0.8991
ENSG00000248333,CDK11B,45,-0.0192,34,-0.4823,23,-1.0987,11,-2.1806,81,1.25031
ENSG00000189339,SLC35E2B,14,0.12390,17,0.34112,15,0.16209,8,-0.7223,13,-0.1264
ENSG00000008128,CDK11A,23,-0.4751,2,-3.5031,18,-0.7081,8,-1.9325,66,1.98912
ENSG00000215790,SLC35E2A,30,0.15638,36,0.42201,23,-0.3160,39,0.58161,17,-0.8122
ENSG00000008130,NADK,19,0.31534,19,0.22001,32,1.11102,4,-2.1105,11,-0.7853
ENSG00000078369,GNB1,314,0.29689,504,1.04161,317,0.22259,246,-0.1952,105,-1.6734
ENSG00000187730,GABRD,120,1.64720,32,-1.1711,135,1.18775,0,-7.2965,11,-2.9550
ENSG00000067606,PRKCZ,129,0.83811,67,-0.5397,153,0.84494,21,-2.2493,59,-0.8112
