gene,cell_type,deg,layer,other,ensembl
CRYM,Ex,,,,ENSG00000103316
CUX2,Ex,,,,ENSG00000111249
FILIP1,Ex,,,,ENSG00000118407
FSTL4,Ex,,,,ENSG00000053108
NR4A2,Ex,,,,ENSG00000153234
RORB,Ex,,,,ENSG00000198963
CABP1,Ex,,,,ENSG00000157782
CCK,In,,,,ENSG00000187094
CRHBP,In,,,,ENSG00000145708
GAD1,In,,,,ENSG00000128683
GAD2,In,,,,ENSG00000136750
PVALB,In,,,,ENSG00000100362
RELN,In,,,,ENSG00000189056
VIP,In,,,,ENSG00000146469
NOS1,In,,,,ENSG00000089250
SLC32A1,In,,,,ENSG00000101438
CALB1,In,,,,ENSG00000104327
CALB2,In,,,,ENSG00000172137
MEIS2,In,,,,ENSG00000134138
AQP4,Ast,,,,ENSG00000171885
FGFR3,Ast,,,,ENSG00000068078
GJA1,Ast,,,,ENSG00000152661
S100B,Ast,,,,ENSG00000160307
VIM,Ast,,,,ENSG00000026025
ITGAM,Mic,,,,ENSG00000169896
MOG,Oligo,,,,ENSG00000204655
FLT1,Endo,,,,ENSG00000102755
KLF2,Endo,,,,ENSG00000127528
NOTCH1,Endo,,,,ENSG00000148400
PECAM1,Endo,,,,ENSG00000261371
CD52,Immune,,,,ENSG00000169442
CD68,Immune,,,,ENSG00000129226
CXCR4,Immune,,,,ENSG00000121966
HLA-DRB1,Immune,,,,ENSG00000196126
NTRK2,BDNF,,,,ENSG00000148053
CX3CR1,,Dx_DEG_Down,,,ENSG00000168329
C3,Mic,Dx_DEG_Down,,,ENSG00000125730
ACY3,,Dx_DEG_Down,,,ENSG00000132744
ALDH1A1,,Dx_DEG_Down,,,ENSG00000165092
PLD4,,Dx_DEG_Down,,,ENSG00000166428
CNDP1,,Dx_DEG_Down,,,ENSG00000150656
SST,In,Dx_DEG_Down,,,ENSG00000157005
RPS26,,Dx_DEG_Down,,,ENSG00000197728
SELPLG,Mic,Dx_DEG_Down,,,ENSG00000110876
TYROBP,,Dx_DEG_Down,,,ENSG00000011600
AIF1,Mic,Dx_DEG_Down,,,ENSG00000204472
OLFML3,,Dx_DEG_Down,,,ENSG00000116774
CD74,Mic,Dx_DEG_Down,,,ENSG00000019582
TF,,Dx_DEG_Down,,,ENSG00000091513
LAPTM5,,Dx_DEG_Down,,,ENSG00000162511
RNASE1,,Dx_DEG_Down,,,ENSG00000129538
CORT,In,Dx_DEG_Down,,,ENSG00000241563
IGSF6,,Dx_DEG_Down,,,ENSG00000140749
ABCG2,,Dx_DEG_Down,,,ENSG00000118777
EVI2A,,Dx_DEG_Down,,,ENSG00000126860
IGFBP6,,Dx_DEG_Down,,,ENSG00000167779
TREM2,Mic,Dx_DEG_Down,,,ENSG00000095970
GJB1,,Dx_DEG_Down,,,ENSG00000169562
P2RY12,Mic,Dx_DEG_Down,,,ENSG00000169313
HSPA8,,Dx_DEG_Down,,,ENSG00000109971
TMEM119,Mic,Dx_DEG_Down,,,ENSG00000183160
CYBA,,Dx_DEG_Down,,,ENSG00000051523
VGF,,Dx_DEG_Down,,,ENSG00000128564
ITGB2,,Dx_DEG_Down,,,ENSG00000160255
GPR34,Mic,Dx_DEG_Down,,,ENSG00000171659
UGT8,,Dx_DEG_Down,,,ENSG00000174607
ENPP2,,Dx_DEG_Down,,,ENSG00000136960
GATD3B,,Dx_DEG_Down,,,ENSG00000280071
NUDT14,,Dx_DEG_Down,,,ENSG00000183828
SVBP,,Dx_DEG_Down,,,ENSG00000177868
ALOX5AP,,Dx_DEG_Down,,,ENSG00000132965
P2RY13,Mic,Dx_DEG_Down,,,ENSG00000181631
NPTX2,In (EI balance),Dx_DEG_Down,,,ENSG00000106236
CSF1R,,Dx_DEG_Down,,,ENSG00000182578
LILRB4,,Dx_DEG_Down,,,ENSG00000186818
C1QB,Mic,Dx_DEG_Down,,,ENSG00000173369
ITGAX,Mic,Dx_DEG_Down,,,ENSG00000140678
