"","t_stat_ntc","t_stat_scz","p_value_ntc","p_value_scz","fdr_ntc","fdr_scz","logFC_ntc","logFC_scz","ensembl","gene"
"ENSG00000197728",6.14361667868123,-6.14361667868124,1.87396511696618e-09,1.87396511696605e-09,1.30962052199182e-05,1.30962052199173e-05,0.493742028970715,-0.493742028970717,"ENSG00000197728","RPS26"
"ENSG00000102882",-6.1984180769804,6.1984180769804,1.3637829370716e-09,1.36378293707156e-09,1.30962052199182e-05,1.30962052199173e-05,-0.220101202837867,0.220101202837867,"ENSG00000102882","MAPK3"
"ENSG00000113369",-5.50286380433654,5.50286380433654,6.51096090512851e-08,6.51096090512865e-08,0.000303345668569937,0.000303345668569944,-0.436995182661182,0.436995182661182,"ENSG00000113369","ARRDC3"
"ENSG00000134201",-5.02959047252309,5.0295904725231,7.29675733820961e-07,7.29675733820934e-07,0.00203973554632311,0.00203973554632304,-0.768027512875693,0.768027512875696,"ENSG00000134201","GSTM5"
"ENSG00000175899",5.04062428411241,-5.04062428411242,6.91100709040786e-07,6.91100709040753e-07,0.00203973554632311,0.00203973554632304,0.397404843533098,-0.3974048435331,"ENSG00000175899","A2M"
"ENSG00000157005",4.87003527288901,-4.87003527288901,1.58300410527709e-06,1.58300410527713e-06,0.0036684879354841,0.00366848793548401,0.758426709929257,-0.758426709929259,"ENSG00000157005","SST"
"ENSG00000150656",4.83885422807494,-4.83885422807494,1.83726232727972e-06,1.83726232727968e-06,0.0036684879354841,0.00366848793548401,0.431191480074991,-0.431191480074993,"ENSG00000150656","CNDP1"
"ENSG00000178209",-4.77315423196819,4.77315423196822,2.50814842454047e-06,2.50814842454016e-06,0.00438204881622527,0.00438204881622473,-0.196788439699545,0.196788439699546,"ENSG00000178209","PLEC"
"ENSG00000198408",-4.74045652037045,4.74045652037047,2.92457566707665e-06,2.92457566707634e-06,0.00454186601097003,0.00454186601096956,-0.142867340115109,0.14286734011511,"ENSG00000198408","OGA"
"ENSG00000096060",-4.71357774224553,4.71357774224553,3.31602167702639e-06,3.31602167702639e-06,0.00463480349797979,0.00463480349797979,-0.473130948699813,0.473130948699814,"ENSG00000096060","FKBP5"
"ENSG00000265972",-4.67478507309754,4.67478507309753,3.97101239275541e-06,3.97101239275558e-06,0.00504571274668567,0.00504571274668588,-0.359296128240997,0.359296128240998,"ENSG00000265972","TXNIP"
"ENSG00000164104",-4.58424644937682,4.58424644937684,6.0190391235441e-06,6.01903912354359e-06,0.00601601179110032,0.00601601179110015,-0.239116410373915,0.239116410373917,"ENSG00000164104","HMGB2"
"ENSG00000240583",-4.59813763260312,4.59813763260313,5.6494180226756e-06,5.64941802267547e-06,0.00601601179110032,0.00601601179110015,-0.57420786856633,0.574207868566332,"ENSG00000240583","AQP1"
"ENSG00000125148",-4.58399600797363,4.58399600797363,6.02591150285502e-06,6.02591150285484e-06,0.00601601179110032,0.00601601179110015,-0.378616421570112,0.378616421570113,"ENSG00000125148","MT2A"
"ENSG00000167779",4.52354155713933,-4.52354155713934,7.92495376048075e-06,7.92495376048022e-06,0.00738447191401597,0.00738447191401547,0.272200111699213,-0.272200111699215,"ENSG00000167779","IGFBP6"
"ENSG00000135750",4.48288690932809,-4.48288690932808,9.51194335195812e-06,9.51194335195816e-06,0.00827996279237249,0.00827996279237259,0.226976987448714,-0.226976987448715,"ENSG00000135750","KCNK1"
"ENSG00000165092",4.47010856412158,-4.47010856412158,1.0070785395316e-05,1.00707853953162e-05,0.00827996279237249,0.00827996279237259,0.298100340684937,-0.298100340684938,"ENSG00000165092","ALDH1A1"
"ENSG00000168329",4.42060164156695,-4.42060164156697,1.25478368821069e-05,1.2547836882106e-05,0.00974339533895603,0.00974339533895532,0.752206364027101,-0.752206364027105,"ENSG00000168329","CX3CR1"
"ENSG00000109971",4.39725808939542,-4.39725808939544,1.39089993995452e-05,1.39089993995439e-05,0.0102318991898654,0.0102318991898645,0.328358527623319,-0.328358527623322,"ENSG00000109971","HSPA8"
"ENSG00000132744",4.32673705289546,-4.32673705289547,1.89331728255381e-05,1.89331728255376e-05,0.0126013788848831,0.0126013788848828,0.761182661608716,-0.761182661608719,"ENSG00000132744","ACY3"
"ENSG00000126860",4.32678115194982,-4.32678115194985,1.8929546566795e-05,1.89295465667925e-05,0.0126013788848831,0.0126013788848828,0.34553952522413,-0.345539525224134,"ENSG00000126860","EVI2A"
"ENSG00000241563",4.27148542537518,-4.27148542537518,2.40379307407632e-05,2.40379307407636e-05,0.0150518520743024,0.0150518520743023,0.538898350171898,-0.538898350171898,"ENSG00000241563","CORT"
"ENSG00000174607",4.25458547931082,-4.25458547931082,2.58456356716933e-05,2.58456356716931e-05,0.0150518520743024,0.0150518520743023,0.437281289682162,-0.437281289682164,"ENSG00000174607","UGT8"
