"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006954","BP","GO:0006954","inflammatory response","19/92","468/11834",0.0405982905982906,5.22217577108882,8.24946373718401,2.42762084998613e-09,4.8673798042222e-06,3.81775321039925e-06,"CX3CR1/A2M/C3/PLD4/TYROBP/AIF1/TREM2/HSPA8/CYBA/ITGB2/ALOX5AP/CSF1R/LILRB4/PLP1/SYK/OLR1/LY86/CYBB/C1QA",19
"GO:0098883","BP","GO:0098883","synapse pruning","5/92","13/11834",0.384615384615385,49.4732441471572,15.4780755415275,3.1180288039101e-08,2.968833235402e-05,2.3286189020557e-05,"CX3CR1/C3/TREM2/C1QB/C1QA",5
"GO:0042116","BP","GO:0042116","macrophage activation","8/92","68/11834",0.117647058823529,15.1329923273657,10.3453327841512,4.94426093289367e-08,2.968833235402e-05,2.3286189020557e-05,"CX3CR1/TYROBP/AIF1/CD74/TREM2/ITGB2/SYK/C1QA",8
"GO:0001774","BP","GO:0001774","microglial cell activation","6/92","29/11834",0.206896551724138,26.6131934032984,12.2236256183481,7.70069804617893e-08,2.968833235402e-05,2.3286189020557e-05,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2/C1QA",6
"GO:0002269","BP","GO:0002269","leukocyte activation involved in inflammatory response","6/92","30/11834",0.2,25.7260869565217,12.0025003440522,9.5659635822534e-08,2.968833235402e-05,2.3286189020557e-05,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2/C1QA",6
"GO:0032602","BP","GO:0032602","chemokine production","7/92","50/11834",0.14,18.0082608695652,10.6676522903187,1.03650038143711e-07,2.968833235402e-05,2.3286189020557e-05,"AIF1/CD74/TREM2/CSF1R/LILRB4/SYK/EGR1",7
"GO:0032642","BP","GO:0032642","regulation of chemokine production","7/92","50/11834",0.14,18.0082608695652,10.6676522903187,1.03650038143711e-07,2.968833235402e-05,2.3286189020557e-05,"AIF1/CD74/TREM2/CSF1R/LILRB4/SYK/EGR1",7
"GO:0061900","BP","GO:0061900","glial cell activation","6/92","35/11834",0.171428571428571,22.0509316770186,11.0395927153107,2.53462513678067e-07,6.35240424905656e-05,4.98253941361885e-05,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2/C1QA",6
"GO:0002250","BP","GO:0002250","adaptive immune response","12/92","238/11834",0.0504201680672269,6.4855681402996,7.56704466131934,2.90643054379206e-07,6.47488137811454e-05,5.07860495020508e-05,"CX3CR1/C3/CD74/TREM2/HSPA8/LILRB4/C1QB/SYK/ALCAM/SAMSN1/HLA-DPA1/C1QA",12
"GO:0002252","BP","GO:0002252","immune effector process","14/92","351/11834",0.0398860398860399,5.13055865229778,6.95352430626897,4.87947005623432e-07,9.7833374627498e-05,7.67360869896218e-05,"CX3CR1/A2M/C3/TYROBP/CD74/LAPTM5/TREM2/HSPA8/ITGB2/LILRB4/C1QB/ITM2A/SYK/C1QA",14
"GO:0042554","BP","GO:0042554","superoxide anion generation","5/92","22/11834",0.227272727272727,29.2341897233202,11.7326268358219,6.03697034741995e-07,0.000104527747072991,8.19868508345184e-05,"TYROBP/CYBA/ITGB2/SYK/CYBB",5
"GO:0002697","BP","GO:0002697","regulation of immune effector process","11/92","210/11834",0.0523809523809524,6.73778467908903,7.42585391203886,6.46487306146355e-07,0.000104527747072991,8.19868508345184e-05,"CX3CR1/A2M/C3/TYROBP/CD74/LAPTM5/TREM2/HSPA8/ITGB2/LILRB4/SYK",11
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity","11/92","211/11834",0.0521327014218009,6.70585205027818,7.40240637365646,6.77736015934606e-07,0.000104527747072991,8.19868508345184e-05,"CX3CR1/C3/TYROBP/CD74/TREM2/HSPA8/ITGB2/LILRB4/C1QB/SYK/C1QA",11
"GO:0006956","BP","GO:0006956","complement activation","5/92","23/11834",0.217391304347826,27.9631379962193,11.4567470773862,7.66671319557596e-07,0.000108003354638603,8.47129606667924e-05,"A2M/C3/TREM2/C1QB/C1QA",5
