Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to9,Feature log2 fold change topic 4to9,Feature count topic 10to13,Feature log2 fold change topic 10to13
ENSG00000228794,LINC01128,28,-0.3629,16,-1.2391,50,1.04406,27,-0.5816
ENSG00000188976,NOC2L,57,-0.0154,67,0.27721,57,-0.0361,54,-0.1361
ENSG00000188290,HES4,111,2.51909,8,-1.7278,18,-0.8177,25,-0.0695
ENSG00000187608,ISG15,31,0.73940,7,-1.5903,11,-1.1674,34,1.42868
ENSG00000188157,AGRN,9,-0.8277,9,-0.9240,19,0.47041,17,0.11440
ENSG00000078808,SDF4,52,-0.3962,64,-0.0646,63,-0.1406,77,0.30803
ENSG00000176022,B3GALT6,7,-1.3432,20,0.08975,20,0.16725,19,0.05340
ENSG00000160087,UBE2J2,48,0.22401,38,-0.1495,33,-0.5721,55,0.61366
ENSG00000131584,ACAP3,31,-1.6370,116,0.42219,97,0.17735,84,-0.1513
ENSG00000127054,INTS11,86,1.00553,46,0.02100,35,-0.6184,51,0.22989
ENSG00000224051,CPTP,43,0.91437,33,0.49932,20,-0.4808,22,-0.1976
ENSG00000107404,DVL1,67,0.11917,67,0.13046,50,-0.5349,77,0.45950
ENSG00000175756,AURKAIP1,23,-2.2635,94,-0.2042,95,-0.2924,151,0.79216
ENSG00000221978,CCNL2,99,0.74643,76,0.35860,59,-0.1334,50,-0.4177
ENSG00000242485,MRPL20,138,0.01388,115,-0.2921,129,-0.1505,159,0.32330
ENSG00000235098,ANKRD65,0,-5.9356,23,0.22923,22,0.21148,21,0.11445
ENSG00000179403,VWA1,28,-0.2319,107,2.44938,9,-2.5119,32,-0.0193
ENSG00000205090,TMEM240,38,0.02055,23,-0.7614,38,0.04038,44,0.31911
ENSG00000160075,SSU72,95,-0.7034,127,-0.2847,148,-0.0467,181,0.38940
ENSG00000228594,FNDC10,0,-5.9497,4,-2.7825,27,0.04282,44,1.19292
ENSG00000272106,AL691432.2,0,-5.8538,28,0.69829,17,-0.2915,22,0.33279
