Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to12,Feature log2 fold change topic 9to12
ENSG00000228794,LINC01128,10,-1.6935,36,0.24250,14,-1.1960,16,-0.9485,14,-1.1812,73,1.42209,33,0.09740,36,0.30421
ENSG00000188976,NOC2L,25,-0.8815,40,-0.1688,23,-0.9802,27,-0.7954,53,0.27399,26,-0.8538,56,0.38641,58,0.59430
ENSG00000188290,HES4,14,-1.1316,14,-1.2203,21,-0.5896,59,1.05265,45,0.62104,14,-1.1467,30,-0.0201,35,0.29461
ENSG00000187608,ISG15,23,0.10239,3,-2.7147,9,-1.3222,19,-0.2078,8,-1.5360,33,0.67088,46,1.40487,19,-0.3176
ENSG00000188157,AGRN,27,0.36975,6,-1.8881,23,0.16464,26,0.33793,15,-0.4733,11,-1.0328,17,-0.3644,28,0.63397
ENSG00000078808,SDF4,27,-1.1727,62,0.06875,76,0.39455,51,-0.2349,80,0.47947,32,-0.9452,59,-0.0196,67,0.25306
ENSG00000160087,UBE2J2,19,-0.7911,20,-0.7213,43,0.43565,14,-1.2497,37,0.22119,44,0.48248,28,-0.2309,39,0.39937
ENSG00000131584,ACAP3,77,0.21792,93,0.52529,65,-0.0398,64,-0.0715,71,0.10847,16,-2.1153,35,-1.0673,86,0.59849
ENSG00000127054,INTS11,30,-0.3901,20,-1.0219,28,-0.4921,35,-0.1440,61,0.73173,39,0.01291,38,-0.0304,44,0.27297
ENSG00000107404,DVL1,31,-0.7554,22,-1.2482,64,0.38107,72,0.57676,66,0.43650,42,-0.2821,43,-0.2615,55,0.19915
ENSG00000175756,AURKAIP1,52,-1.7270,96,-0.8135,133,-0.3106,161,-0.0100,247,0.67360,109,-0.6146,189,0.27073,193,0.39049
ENSG00000221978,CCNL2,55,-0.2071,43,-0.5654,68,0.13400,48,-0.4209,76,0.30768,23,-1.5210,48,-0.4467,86,0.73971
ENSG00000242485,MRPL20,47,-1.8934,98,-0.7976,226,0.49743,119,-0.5084,205,0.34393,151,-0.1401,184,0.18671,192,0.33964
ENSG00000235098,ANKRD65,14,-1.2404,10,-1.6226,52,0.80473,27,-0.2089,40,0.38231,31,-0.0015,23,-0.5128,39,0.48792
ENSG00000179403,VWA1,60,1.84283,18,-0.1113,39,1.08470,15,-0.4143,47,1.39172,0,-6.6697,9,-1.2821,11,-1.1731
ENSG00000205090,TMEM240,4,-2.5010,22,-0.1040,28,0.27631,8,-1.6281,21,-0.1348,22,-0.0698,19,-0.3532,34,0.92447
ENSG00000160075,SSU72,38,-1.9195,117,-0.2554,128,-0.1064,124,-0.1622,136,-0.0108,105,-0.4213,178,0.46264,161,0.35690
ENSG00000228594,FNDC10,5,-2.5382,14,-1.0748,27,-0.0869,37,0.42682,36,0.39142,44,0.72004,35,0.37590,27,-0.1365
ENSG00000197530,MIB2,11,-1.5648,30,-0.0348,52,0.81077,35,0.17208,12,-1.3580,13,-1.3072,49,0.80488,31,-0.0241
ENSG00000248333,CDK11B,158,2.13791,93,1.15951,9,-2.4487,36,-0.3709,14,-1.7458,66,0.57522,33,-0.5640,27,-1.0132
ENSG00000008128,CDK11A,148,2.75281,51,0.74764,12,-1.5013,35,0.12057,2,-3.8021,6,-2.5226,20,-0.7366,23,-0.6839
ENSG00000215790,SLC35E2A,13,-1.2054,4,-2.6651,31,0.13202,53,0.98091,39,0.50383,8,-1.7858,32,0.19514,33,0.28781
ENSG00000008130,NADK,8,-1.5646,9,-1.4557,20,-0.2298,19,-0.3347,20,-0.2801,15,-0.7245,34,0.63312,31,0.65430
ENSG00000078369,GNB1,125,-2.1485,312,-0.7859,504,-0.0470,717,0.51472,484,-0.1104,377,-0.4981,758,0.68272,550,0.12487
ENSG00000187730,GABRD,14,-3.5526,64,-1.3214,32,-2.3522,118,-0.4056,126,-0.3067,155,0.01695,234,0.76554,216,0.82126
ENSG00000067606,PRKCZ,62,-1.7714,192,-0.0708,263,0.42675,135,-0.6208,109,-0.9376,140,-0.5630,256,0.42610,250,0.50236
ENSG00000162585,FAAP20,32,-0.1927,15,-1.3359,37,0.03726,62,0.87317,57,0.72681,8,-2.2402,48,0.52074,31,-0.2857
ENSG00000157933,SKI,45,0.83044,35,0.40984,29,0.13236,55,1.16205,34,0.36029,23,-0.2229,13,-1.2011,19,-0.6897
ENSG00000157916,RER1,41,-0.6085,17,-1.9176,98,0.78196,39,-0.6816,69,0.21778,45,-0.4325,60,-0.0164,74,0.46057
ENSG00000157911,PEX10,25,0.18440,6,-1.9110,30,0.50577,34,0.68154,29,0.41028,0,-7.3332,26,0.26457,22,0.03741
ENSG00000157870,PRXL2B,5,-3.1015,29,-0.5589,20,-1.0938,64,0.67355,21,-1.0583,36,-0.2590,80,1.19554,43,0.02580
ENSG00000177133,PRDM16-DT,5,-2.0521,6,-1.9057,18,-0.2645,51,1.46343,85,2.44416,0,-5.0271,25,0.28363,9,-1.4520
ENSG00000158109,TPRG1L,22,-3.2471,192,-0.0549,246,0.33959,121,-0.7664,109,-0.9177,155,-0.3892,262,0.49427,254,0.56702
ENSG00000130764,LRRC47,17,-2.2113,49,-0.6657,95,0.38131,31,-1.3177,51,-0.5896,88,0.24795,91,0.34538,96,0.58434
ENSG00000116198,CEP104,124,2.06690,65,0.90541,12,-1.7110,35,-0.0870,32,-0.2293,26,-0.5465,28,-0.4809,24,-0.8521
ENSG00000196581,AJAP1,32,-0.3938,58,0.55435,50,0.29426,18,-1.2747,29,-0.5156,58,0.53426,20,-1.1826,52,0.55739
ENSG00000069424,KCNAB2,25,-2.8455,120,-0.5589,167,-0.0403,217,0.36962,141,-0.3048,158,-0.1356,162,-0.1040,228,0.65906
ENSG00000116254,CHD5,64,-1.8101,450,1.23087,191,-0.1720,181,-0.2565,144,-0.6108,282,0.44708,220,0.05288,202,-0.1192
ENSG00000116251,RPL22,945,0.46827,361,-1.0290,1057,0.65023,1182,0.83626,667,-0.0864,632,-0.1710,627,-0.2005,591,-0.3675
