Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,12,-1.4591,17,-0.8998,24,-0.4458,44,0.54090,19,-0.7907,57,0.95436,27,-0.2694,31,-0.0348,32,0.02585,53,0.83427,32,0.02598
ENSG00000188976,NOC2L,40,-0.1980,19,-1.2759,50,0.15212,32,-0.5396,46,0.02666,48,0.10514,45,0.00852,39,-0.2296,64,0.56720,70,0.70246,43,-0.0652
ENSG00000188290,HES4,30,-0.2843,87,1.44685,45,0.34367,15,-1.3725,14,-1.4882,33,-0.1725,28,-0.4090,46,0.36479,12,-1.6191,36,-0.0116,56,0.68263
ENSG00000187608,ISG15,36,0.02172,66,1.03519,39,0.15353,20,-0.8231,1,-4.6185,16,-1.1484,21,-0.7874,40,0.19106,48,0.51050,73,1.21257,26,-0.4805
ENSG00000188157,AGRN,23,0.31070,39,1.15120,32,0.83595,7,-1.4845,11,-0.8383,23,0.26992,2,-3.0260,13,-0.5370,17,-0.2144,25,0.39435,19,-0.0288
ENSG00000078808,SDF4,64,0.33564,66,0.39024,68,0.43225,21,-1.3581,29,-0.9105,67,0.40965,41,-0.3669,47,-0.1604,47,-0.1689,62,0.29192,59,0.19975
ENSG00000176022,B3GALT6,17,-0.5247,26,0.09400,11,-1.2226,18,-0.5167,28,0.19801,24,-0.0612,15,-0.8015,27,0.15388,29,0.27824,27,0.16572,49,1.11853
ENSG00000160087,UBE2J2,24,-0.3105,13,-1.2142,29,-0.0177,32,0.13598,45,0.68224,37,0.36239,7,-2.1009,15,-0.9676,46,0.74215,35,0.27909,39,0.44797
ENSG00000131584,ACAP3,68,0.21148,66,0.15438,129,1.26971,40,-0.6258,26,-1.2902,105,0.90850,32,-0.9688,32,-0.9421,62,0.04801,48,-0.3394,52,-0.2293
ENSG00000127054,INTS11,37,0.13400,31,-0.1576,33,-0.0368,24,-0.5323,11,-1.6629,36,0.07250,21,-0.7379,31,-0.1463,30,-0.1988,58,0.86798,63,0.98967
ENSG00000224051,CPTP,13,-0.4278,19,0.10180,26,0.65849,13,-0.4491,6,-1.4995,19,0.13661,8,-1.0995,6,-1.5596,37,1.22294,31,0.92060,13,-0.4029
ENSG00000107404,DVL1,38,-0.4005,92,0.99844,93,1.02084,37,-0.4765,46,-0.1173,39,-0.3686,46,-0.1226,38,-0.4187,41,-0.3120,19,-1.4235,59,0.25840
ENSG00000175756,AURKAIP1,83,-1.0202,209,0.41559,208,0.41123,126,-0.3814,152,-0.0934,102,-0.7051,168,0.06790,140,-0.2155,105,-0.6656,278,0.89224,200,0.35152
ENSG00000221978,CCNL2,54,0.24187,24,-1.0149,82,0.93949,29,-0.6897,36,-0.3598,62,0.48713,38,-0.3028,45,-0.0472,51,0.17082,65,0.56458,20,-1.2883
ENSG00000242485,MRPL20,125,-0.3970,194,0.30200,160,-0.0119,184,0.21737,131,-0.3281,150,-0.1097,170,0.08953,136,-0.2605,128,-0.3609,187,0.24026,205,0.38624
ENSG00000235098,ANKRD65,27,-0.4797,41,0.15774,49,0.46120,52,0.56272,50,0.50270,29,-0.3511,27,-0.4634,24,-0.6229,29,-0.3509,29,-0.3618,46,0.34537
ENSG00000179403,VWA1,184,3.47453,28,-0.1594,19,-0.7772,5,-2.5891,23,-0.5075,10,-1.7535,18,-0.8224,30,-0.0828,5,-2.5376,7,-2.2030,16,-1.0062
ENSG00000205090,TMEM240,2,-3.1750,20,-0.2646,25,0.09139,27,0.22305,9,-1.4502,28,0.28749,19,-0.2966,22,-0.1389,27,0.20422,39,0.79524,41,0.90370
ENSG00000160075,SSU72,53,-1.3878,113,-0.2440,236,0.95111,121,-0.1458,161,0.31540,108,-0.3147,141,0.10278,119,-0.1612,137,0.05887,149,0.19388,115,-0.2152
