Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,8,0.01922,7,-0.3131,8,-0.1356,9,0.12703,4,-0.9643,9,0.15609,9,0.13056,14,0.79920,6,-0.4399
ENSG00000228794,LINC01128,16,-1.0396,28,-0.1746,22,-0.5688,31,-0.0028,44,0.52454,41,0.40535,35,0.17274,30,-0.0986,35,0.14841
ENSG00000188976,NOC2L,22,-0.8406,44,0.23766,21,-0.9158,50,0.46022,31,-0.2970,38,0.01921,41,0.11765,51,0.47210,40,0.10106
ENSG00000188290,HES4,109,1.46633,30,-0.6745,55,0.29210,34,-0.4671,51,0.16996,39,-0.2729,35,-0.4692,39,-0.2694,34,-0.4931
ENSG00000187608,ISG15,93,1.00839,41,-0.3519,52,0.03047,67,0.43921,79,0.71053,21,-1.3671,55,0.13714,11,-2.2861,36,-0.5328
ENSG00000188157,AGRN,18,-0.3143,23,0.08866,19,-0.1667,22,0.01746,26,0.31717,15,-0.5893,17,-0.4072,34,0.75211,25,0.21905
ENSG00000131591,C1orf159,3,-1.3769,13,0.57823,5,-0.8157,5,-0.6706,6,-0.6295,9,0.11831,5,-0.8070,17,1.09512,18,1.17508
ENSG00000078808,SDF4,69,0.03294,56,-0.2926,67,-0.0269,108,0.76960,84,0.34403,47,-0.5736,52,-0.4564,80,0.26632,62,-0.1313
ENSG00000176022,B3GALT6,17,-0.4273,27,0.31899,17,-0.4245,31,0.50259,22,0.00362,18,-0.3035,20,-0.1766,30,0.45451,21,-0.1091
ENSG00000160087,UBE2J2,28,-0.4795,44,0.22574,36,-0.1060,50,0.41871,38,-0.0042,50,0.44067,26,-0.6605,43,0.17199,42,0.14939
ENSG00000162572,SCNN1D,5,-0.9665,10,-0.0897,5,-1.0117,17,0.83496,17,0.75116,12,0.28628,8,-0.4632,14,0.45494,7,-0.5298
ENSG00000131584,ACAP3,36,-0.7483,86,0.64029,56,-0.0508,49,-0.2701,53,-0.1370,51,-0.2087,31,-1.0421,109,1.05306,78,0.47799
ENSG00000169972,PUSL1,10,0.19755,13,0.63882,5,-0.8475,9,0.01554,5,-0.8733,9,0.07442,8,-0.1215,15,0.89737,5,-0.7970
ENSG00000127054,INTS11,36,-0.3459,45,0.02290,48,0.10784,58,0.41816,43,-0.0480,43,-0.0582,31,-0.6181,56,0.36725,55,0.33703
ENSG00000224051,CPTP,15,-0.5262,15,-0.5746,15,-0.5157,35,0.78525,29,0.46444,21,-0.0455,15,-0.6419,31,0.58163,25,0.23057
ENSG00000107404,DVL1,54,0.27698,68,0.64938,34,-0.4504,35,-0.3932,55,0.30802,31,-0.6022,30,-0.6902,48,0.08040,69,0.68243
ENSG00000175756,AURKAIP1,180,0.03435,170,-0.0500,182,0.05576,142,-0.3407,203,0.23422,170,-0.0561,185,0.08687,181,0.04367,162,-0.1328
ENSG00000221978,CCNL2,63,-0.1665,62,-0.1857,50,-0.5258,66,-0.0865,66,-0.0842,66,-0.0888,73,0.08227,110,0.74375,69,-0.0170
ENSG00000242485,MRPL20,190,0.04421,215,0.24527,201,0.13245,229,0.34580,184,-0.0070,165,-0.1807,198,0.12754,122,-0.6441,145,-0.3775
ENSG00000235098,ANKRD65,29,0.22324,30,0.25440,25,-0.0375,23,-0.1271,28,0.14762,27,0.08378,28,0.20337,24,-0.0913,11,-1.2295
ENSG00000179403,VWA1,21,0.42981,8,-1.0376,7,-1.2603,8,-1.0123,4,-2.0190,6,-1.3387,6,-1.5846,21,0.42612,72,2.85903
ENSG00000160072,ATAD3B,12,0.11924,21,0.96627,10,-0.2311,9,-0.3055,12,0.11376,7,-0.7019,5,-1.4171,18,0.73948,15,0.44823
ENSG00000197785,ATAD3A,3,-2.0261,9,-0.4895,7,-0.8820,9,-0.4177,16,0.39781,25,1.16369,8,-0.6250,26,1.26464,11,-0.1811
ENSG00000205090,TMEM240,7,-1.7183,28,0.27124,31,0.41672,26,0.11485,22,-0.1180,27,0.18822,19,-0.3526,35,0.62693,23,-0.0468
ENSG00000160075,SSU72,119,-0.1755,158,0.28036,124,-0.1031,141,0.09501,152,0.21916,115,-0.2214,140,0.10696,120,-0.1522,115,-0.2191
ENSG00000228594,FNDC10,14,-0.6922,20,-0.0994,14,-0.7000,33,0.65856,40,0.98875,24,0.14278,20,-0.1528,12,-0.9437,22,0.00545
ENSG00000272106,AL691432.2,26,0.57229,22,0.30843,20,0.16498,13,-0.4854,11,-0.7448,24,0.43760,17,-0.1641,17,-0.1067,15,-0.2764
ENSG00000197530,MIB2,20,-0.3219,35,0.54267,23,-0.1112,24,-0.0787,27,0.14646,24,-0.0533,18,-0.5607,33,0.44771,27,0.12148
ENSG00000248333,CDK11B,16,-0.2664,21,0.10425,13,-0.5436,17,-0.2230,20,0.10009,20,0.03130,15,-0.3681,28,0.58426,27,0.52134
ENSG00000189339,SLC35E2B,12,-0.7427,22,0.14950,15,-0.4657,24,0.28809,32,0.74101,23,0.19542,17,-0.2642,24,0.28745,14,-0.4991
ENSG00000008128,CDK11A,10,0.41898,4,-1.0858,8,0.09727,5,-0.7327,7,-0.1160,5,-0.6951,8,-0.0169,16,1.19452,7,-0.1001
ENSG00000215790,SLC35E2A,38,0.22686,29,-0.1826,19,-0.8390,19,-0.8590,56,0.89932,26,-0.3430,29,-0.2110,37,0.21967,44,0.49235
ENSG00000008130,NADK,33,0.42919,29,0.21366,22,-0.2154,25,-0.0578,27,0.05650,21,-0.2713,21,-0.3470,25,-0.0635,32,0.34513
