Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,18,-0.9592,19,-0.8665,37,0.12866,51,0.64881,70,1.17660,47,0.50398,33,-0.0607,21,-0.7186,45,0.42674,23,-0.5782,11,-1.6736
ENSG00000188976,NOC2L,31,-0.9983,26,-1.2827,37,-0.7359,70,0.22405,90,0.64039,69,0.20564,98,0.78116,79,0.43516,79,0.42966,27,-1.2010,58,-0.0653
ENSG00000188290,HES4,22,-1.1563,72,0.71428,48,0.07155,49,0.07623,37,-0.3399,50,0.11968,70,0.67046,42,-0.1451,46,-0.0100,38,-0.2893,35,-0.4497
ENSG00000187608,ISG15,20,-1.1034,52,0.39164,28,-0.5611,27,-0.6043,32,-0.3786,38,-0.1228,25,-0.7626,111,1.70512,47,0.22462,22,-0.9278,46,0.19523
ENSG00000188157,AGRN,16,-1.1919,30,-0.2764,21,-0.7749,42,0.24111,26,-0.4735,49,0.49227,43,0.28898,41,0.22824,36,0.02202,62,0.90037,26,-0.4735
ENSG00000078808,SDF4,50,-0.3019,81,0.46804,41,-0.6163,56,-0.1198,53,-0.2171,56,-0.1344,108,0.93671,68,0.18821,65,0.11391,40,-0.6463,50,-0.3109
ENSG00000176022,B3GALT6,14,-0.5427,15,-0.4565,14,-0.5030,2,-3.3541,16,-0.3263,43,1.26200,43,1.25665,23,0.19873,14,-0.5512,18,-0.1540,18,-0.1478
ENSG00000160087,UBE2J2,22,-0.9819,28,-0.5809,15,-1.5190,42,0.01628,46,0.15965,63,0.66985,51,0.32838,55,0.44656,72,0.90478,22,-0.9767,40,-0.0460
ENSG00000131584,ACAP3,99,0.09441,76,-0.3279,45,-1.1112,68,-0.4860,102,0.14376,133,0.56640,74,-0.3582,77,-0.3066,113,0.29804,166,0.94143,75,-0.3524
ENSG00000127054,INTS11,45,-0.1157,56,0.21322,26,-0.9428,58,0.27414,51,0.06576,61,0.34825,57,0.23632,77,0.73016,36,-0.4574,43,-0.2108,27,-0.8799
ENSG00000224051,CPTP,9,-1.1993,24,0.35635,8,-1.3837,15,-0.4359,23,0.29923,24,0.33953,16,-0.2986,48,1.51538,24,0.33342,12,-0.7645,11,-0.8618
ENSG00000107404,DVL1,38,-1.0646,112,0.60156,62,-0.3281,27,-1.5935,75,-0.0478,91,0.26703,56,-0.4893,50,-0.6618,106,0.51015,118,0.69244,111,0.59759
ENSG00000175756,AURKAIP1,58,-1.5681,187,0.21944,80,-1.0905,159,-0.0380,234,0.58845,258,0.74702,138,-0.2563,221,0.49297,93,-0.8698,165,0.02266,198,0.31069
ENSG00000221978,CCNL2,58,0.28783,57,0.24950,39,-0.3239,67,0.51610,49,0.01087,64,0.45088,60,0.33010,63,0.41703,31,-0.6729,20,-1.3629,25,-0.9827
ENSG00000242485,MRPL20,48,-1.3787,157,0.45794,82,-0.5591,82,-0.5649,82,-0.5657,191,0.78374,186,0.73852,100,-0.2520,72,-0.7555,198,0.84249,99,-0.2667
ENSG00000235098,ANKRD65,20,-0.6699,31,0.01996,19,-0.6902,22,-0.4801,35,0.23341,45,0.63103,23,-0.4489,23,-0.4528,43,0.55669,46,0.67085,27,-0.1561
ENSG00000179403,VWA1,109,2.08777,58,0.93361,21,-0.7105,7,-2.2861,4,-3.1103,10,-1.7315,81,1.52222,6,-2.3731,20,-0.7783,17,-1.0320,29,-0.2176
ENSG00000205090,TMEM240,11,-1.5184,13,-1.2502,14,-1.1530,26,-0.2215,36,0.27386,44,0.61406,37,0.29695,20,-0.6367,43,0.55660,68,1.34845,21,-0.5902
ENSG00000160075,SSU72,50,-1.5576,155,0.15991,88,-0.7263,122,-0.2198,178,0.38219,189,0.47809,200,0.57375,134,-0.0717,118,-0.2695,126,-0.1625,182,0.41937
ENSG00000228594,FNDC10,7,-2.4564,29,-0.3369,35,-0.0658,17,-1.1266,19,-0.9649,28,-0.4265,38,0.05774,73,1.14737,66,0.96346,42,0.23721,47,0.38530
ENSG00000197530,MIB2,24,-0.7167,39,0.00925,21,-0.9239,36,-0.1232,43,0.18565,85,1.29985,48,0.35821,26,-0.6297,48,0.35277,18,-1.1535,37,-0.0736
ENSG00000248333,CDK11B,120,0.78049,30,-1.3651,171,1.39739,73,-0.0219,73,-0.0252,55,-0.4717,18,-2.1012,53,-0.5289,94,0.36994,78,0.06845,52,-0.5433
ENSG00000008128,CDK11A,70,1.07227,23,-0.6816,53,0.60006,33,-0.1686,30,-0.3071,30,-0.3145,13,-1.5295,40,0.12792,44,0.27155,54,0.61133,13,-1.5591
ENSG00000215790,SLC35E2A,19,-0.3879,28,0.19191,19,-0.3745,21,-0.2443,29,0.26067,29,0.28520,19,-0.3657,48,1.09410,16,-0.6306,15,-0.7651,26,0.10720
ENSG00000008130,NADK,4,-2.4787,25,0.11293,22,-0.0976,18,-0.4030,19,-0.3321,26,0.13745,37,0.74693,20,-0.2707,37,0.73855,22,-0.0820,28,0.25731
ENSG00000078369,GNB1,201,-1.3152,571,0.29695,423,-0.1789,368,-0.3949,430,-0.1545,642,0.49030,439,-0.1195,471,-0.0098,360,-0.4312,638,0.47892,670,0.56026
ENSG00000187730,GABRD,17,-2.9573,54,-1.2893,51,-1.3602,146,0.24394,199,0.76096,225,0.96974,61,-1.1030,267,1.26770,151,0.30460,117,-0.1053,86,-0.5872
ENSG00000067606,PRKCZ,80,-1.3765,103,-1.0018,144,-0.4875,163,-0.2965,224,0.20356,270,0.50474,254,0.40896,199,0.01232,276,0.54257,216,0.14638,239,0.31088
ENSG00000162585,FAAP20,26,-0.7330,56,0.44102,43,0.02323,46,0.12215,25,-0.7965,33,-0.3816,41,-0.0751,29,-0.5731,51,0.27524,39,-0.1294,78,0.99523
ENSG00000157933,SKI,47,0.65826,52,0.83473,44,0.54374,25,-0.3536,19,-0.7264,24,-0.3800,14,-1.1878,18,-0.8771,38,0.32306,33,0.07957,29,-0.1300
ENSG00000157916,RER1,19,-1.3416,70,0.67502,46,-0.0197,19,-1.3314,70,0.66225,64,0.53366,45,-0.0464,25,-0.9235,28,-0.7458,89,1.07746,33,-0.5394
ENSG00000157911,PEX10,20,-0.4453,30,0.20667,22,-0.3158,18,-0.6129,24,-0.1432,26,-0.0545,20,-0.4542,32,0.30369,26,-0.0473,40,0.67085,35,0.42079
ENSG00000149527,PLCH2,5,-1.9466,41,1.25817,8,-1.2629,8,-1.2587,30,0.73012,42,1.30260,8,-1.3288,15,-0.3058,32,0.83241,8,-1.2716,12,-0.7160
ENSG00000157870,PRXL2B,14,-1.7266,44,-0.0018,16,-1.5018,40,-0.1375,50,0.18057,58,0.42685,65,0.61908,35,-0.3579,55,0.35158,69,0.71931,40,-0.1611
ENSG00000177133,PRDM16-DT,9,-1.8553,103,2.07003,44,0.55221,6,-2.4629,10,-1.6806,15,-1.0965,25,-0.3757,30,-0.0872,40,0.39071,37,0.26172,26,-0.2775
ENSG00000142611,PRDM16,13,-0.2016,59,2.44860,25,0.81913,4,-1.8792,2,-3.0296,0,-4.3821,12,-0.3232,19,0.35093,5,-1.6858,18,0.26600,8,-0.9578
ENSG00000158109,TPRG1L,33,-2.2691,122,-0.3211,71,-1.1342,196,0.43987,243,0.79220,191,0.39200,153,0.03332,158,0.08518,152,0.02332,178,0.28191,147,-0.0240
ENSG00000130764,LRRC47,34,-0.8856,48,-0.3974,8,-2.9025,67,0.13680,90,0.61947,91,0.62595,89,0.59525,83,0.48689,74,0.29677,36,-0.8018,55,-0.1789
ENSG00000116198,CEP104,69,1.04581,11,-1.7241,53,0.59678,50,0.50630,37,0.00751,16,-1.2896,45,0.32184,35,-0.0607,45,0.34225,18,-1.1100,23,-0.7066
ENSG00000196581,AJAP1,37,-0.3549,29,-0.7383,61,0.40684,44,-0.0933,87,1.00144,54,0.22469,23,-1.1027,50,0.09998,62,0.45210,49,0.05943,21,-1.2358
ENSG00000069424,KCNAB2,27,-2.9512,169,-0.2428,100,-1.0511,133,-0.6120,311,0.73725,311,0.73876,244,0.33592,242,0.32556,190,-0.0640,208,0.08222,238,0.29833
ENSG00000116254,CHD5,156,-1.1080,116,-1.5552,484,0.67091,564,0.93084,232,-0.5038,194,-0.7770,186,-0.8372,421,0.44057,560,0.91691,402,0.36395,207,-0.6749
ENSG00000116251,RPL22,472,0.28143,537,0.49075,269,-0.6018,258,-0.6680,224,-0.8826,546,0.51970,357,-0.1622,196,-1.0854,195,-1.0913,655,0.82193,647,0.80211
ENSG00000116237,ICMT,17,-1.0015,27,-0.2671,18,-0.8826,30,-0.1321,71,1.31385,48,0.62776,28,-0.2085,30,-0.1244,50,0.71481,13,-1.3107,23,-0.5415
ENSG00000097021,ACOT7,26,-2.3629,68,-0.9558,59,-1.1667,93,-0.4621,224,0.94565,249,1.13526,190,0.66758,200,0.75572,85,-0.5984,107,-0.2564,82,-0.6668
ENSG00000215788,TNFRSF25,8,-1.6820,13,-1.0259,16,-0.7226,58,1.40238,46,0.99738,48,1.04831,10,-1.4350,35,0.55350,23,-0.1450,5,-2.3665,14,-0.8265
ENSG00000171680,PLEKHG5,13,-1.6008,21,-0.8937,16,-1.2442,30,-0.3185,57,0.68446,65,0.90552,17,-1.2004,23,-0.7323,43,0.21548,92,1.51480,33,-0.1764
ENSG00000162408,NOL9,23,-0.1808,21,-0.3219,17,-0.6054,21,-0.2979,31,0.29946,26,0.03033,19,-0.4419,38,0.61245,25,-0.0177,32,0.34963,29,0.17785
ENSG00000162413,KLHL21,21,-0.2779,32,0.35341,18,-0.5362,16,-0.7026,18,-0.5072,47,0.98258,34,0.43600,21,-0.2864,45,0.90309,9,-1.5130,20,-0.3864
ENSG00000041988,THAP3,0,-5.5451,15,-0.4029,10,-1.0507,13,-0.5549,24,0.35505,40,1.21191,21,0.09858,37,1.04862,28,0.58862,17,-0.2050,8,-1.3548
ENSG00000007923,DNAJC11,22,-0.8853,20,-1.0156,61,0.69143,27,-0.5865,23,-0.8543,43,0.11756,28,-0.5101,85,1.27816,48,0.30602,35,-0.1879,43,0.12352
ENSG00000171735,CAMTA1,247,-1.0387,264,-0.9368,625,0.40866,1021,1.24434,313,-0.6783,362,-0.4559,499,0.04734,531,0.14549,575,0.27290,474,-0.0343,418,-0.2324
ENSG00000049245,VAMP3,63,1.54109,43,0.87790,31,0.31066,7,-1.9260,6,-2.1269,18,-0.5516,32,0.37885,14,-0.8575,12,-1.0498,21,-0.3028,30,0.28612
ENSG00000049246,PER3,55,0.46565,57,0.51874,42,0.02753,48,0.22763,58,0.53297,32,-0.4038,41,-0.0046,40,-0.0456,29,-0.5290,38,-0.1225,14,-1.6228
ENSG00000116288,PARK7,67,-1.8418,341,0.67583,119,-0.9792,106,-1.1481,261,0.23617,445,1.13304,248,0.16016,166,-0.4709,117,-0.9996,350,0.71993,251,0.17695
ENSG00000116285,ERRFI1,13,-0.6860,8,-1.4161,6,-1.7622,22,0.06144,45,1.27338,33,0.74759,29,0.49156,35,0.81533,8,-1.3388,11,-0.9999,20,-0.1016
ENSG00000162426,SLC45A1,3,-2.8413,23,0.17454,18,-0.2432,22,0.08336,27,0.43329,34,0.77951,24,0.20259,14,-0.5706,24,0.20821,20,-0.0248,20,-0.0822
ENSG00000142599,RERE,198,0.29764,146,-0.1874,274,0.83326,175,0.09918,175,0.09491,136,-0.2974,96,-0.8348,157,-0.0728,219,0.45455,103,-0.7322,132,-0.3470
ENSG00000074800,ENO1,245,-1.1132,1118,1.33646,401,-0.3579,417,-0.2968,429,-0.2533,553,0.14836,612,0.31039,523,0.06072,386,-0.4154,447,-0.1900,411,-0.3182
ENSG00000171612,SLC25A33,5,-2.4760,69,1.67265,26,0.01988,10,-1.4483,28,0.15627,24,-0.0954,22,-0.2224,28,0.11532,14,-0.8884,24,-0.0787,32,0.34823
ENSG00000171603,CLSTN1,238,-1.4750,346,-0.9151,488,-0.3863,678,0.13171,1134,0.98265,865,0.52535,770,0.33616,752,0.29721,655,0.07623,562,-0.1674,382,-0.7634
ENSG00000178585,CTNNBIP1,22,-0.5636,42,0.42654,23,-0.5040,35,0.15302,34,0.07467,15,-1.1583,49,0.67935,12,-1.4929,41,0.37577,32,0.00204,48,0.65249
ENSG00000162441,LZIC,75,0.74773,54,0.21919,68,0.58927,37,-0.3851,28,-0.8154,63,0.47302,57,0.31377,51,0.12983,21,-1.2366,23,-1.1139,42,-0.1946
ENSG00000130939,UBE4B,61,0.44707,26,-0.8440,33,-0.4905,56,0.33238,14,-1.7945,37,-0.3485,77,0.83544,100,1.30550,35,-0.4132,28,-0.7701,37,-0.3381
ENSG00000054523,KIF1B,573,0.62396,247,-0.7101,551,0.56084,459,0.25951,408,0.07304,221,-0.8766,455,0.24656,308,-0.3712,404,0.05511,308,-0.3687,355,-0.1483
