Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000237491,LINC01409,10,-0.0261,6,-0.7684,6,-0.8321,13,0.50054,13,0.44796,7,-0.4230,12,0.37997
ENSG00000228794,LINC01128,10,-1.6266,36,0.35468,35,0.23748,37,0.38313,29,-0.0301,15,-1.0606,32,0.11123
ENSG00000188976,NOC2L,34,-0.1980,44,0.24400,41,0.11579,39,0.02924,26,-0.6151,27,-0.5281,45,0.28405
ENSG00000187961,KLHL17,4,-1.0662,9,0.06833,13,0.53936,8,-0.2788,3,-1.7420,9,0.03005,14,0.76387
ENSG00000188290,HES4,16,-1.3634,41,0.03689,21,-0.9641,19,-1.2698,97,1.49198,50,0.33291,50,0.38236
ENSG00000187608,ISG15,30,-0.5010,49,0.28850,14,-1.6528,17,-1.4619,104,1.54913,56,0.47460,41,-0.0286
ENSG00000188157,AGRN,49,1.41322,15,-0.5490,18,-0.2472,20,-0.1165,20,-0.0872,18,-0.2559,18,-0.2579
ENSG00000131591,C1orf159,15,0.64052,9,-0.2555,15,0.57273,9,-0.1592,2,-1.9936,9,-0.2439,13,0.34915
ENSG00000078808,SDF4,92,0.44588,60,-0.2700,51,-0.4889,75,0.11313,63,-0.1667,72,0.02942,77,0.16310
ENSG00000176022,B3GALT6,16,-0.5956,21,-0.2220,21,-0.2466,19,-0.4007,27,0.13994,20,-0.3213,39,0.90866
ENSG00000160087,UBE2J2,48,0.21760,37,-0.2009,34,-0.2997,32,-0.4746,41,-0.0144,32,-0.4059,62,0.74444
ENSG00000162572,SCNN1D,16,0.61643,10,-0.1633,10,-0.1007,9,-0.2490,2,-2.1430,4,-1.3630,19,1.03227
ENSG00000131584,ACAP3,72,0.12076,62,-0.1403,83,0.33912,63,-0.1120,56,-0.2687,68,0.02503,70,0.09041
ENSG00000169972,PUSL1,10,-0.1441,9,-0.3211,18,0.86568,8,-0.5515,10,-0.1360,10,-0.0811,13,0.34436
ENSG00000127054,INTS11,67,0.58362,48,0.04450,56,0.29030,33,-0.6075,36,-0.4204,45,-0.0788,52,0.17280
ENSG00000224051,CPTP,16,-0.5789,21,-0.1258,14,-0.7513,25,0.12990,12,-0.9500,18,-0.3883,39,1.01088
ENSG00000107404,DVL1,55,0.31676,40,-0.2190,35,-0.3829,37,-0.3399,62,0.52053,40,-0.2040,53,0.27887
ENSG00000175756,AURKAIP1,119,-0.7081,209,0.19570,211,0.18708,162,-0.2661,260,0.52938,193,0.04381,177,-0.1073
ENSG00000221978,CCNL2,106,0.55025,57,-0.4952,85,0.17192,65,-0.2613,51,-0.6078,74,-0.0456,99,0.49435
ENSG00000224870,MRPL20-AS1,15,0.65929,9,-0.0883,6,-0.7814,8,-0.3849,8,-0.3285,11,0.11084,12,0.41895
ENSG00000242485,MRPL20,121,-0.7344,223,0.26112,236,0.32390,180,-0.1267,282,0.61999,167,-0.2313,160,-0.3274
ENSG00000235098,ANKRD65,46,1.30640,22,0.05455,15,-0.5191,18,-0.3134,16,-0.3802,13,-0.7070,21,-0.0317
ENSG00000179403,VWA1,247,3.83340,11,-2.0074,27,-0.6195,15,-1.5883,13,-1.6799,21,-0.9801,19,-1.2114
ENSG00000160072,ATAD3B,17,0.45529,12,-0.1400,14,0.20735,18,0.62302,3,-2.0775,3,-1.9697,15,0.32078
ENSG00000197785,ATAD3A,16,0.18935,11,-0.4515,17,0.25477,17,0.30617,12,-0.2912,9,-0.7192,17,0.28392
ENSG00000205090,TMEM240,12,-1.0527,29,0.38078,22,-0.1111,22,-0.0568,26,0.18407,11,-1.1365,30,0.46345
ENSG00000160075,SSU72,66,-1.0033,137,0.14513,101,-0.3575,128,0.01744,163,0.41163,85,-0.6187,160,0.43738
ENSG00000228594,FNDC10,8,-1.6162,32,0.64041,21,-0.1117,14,-0.8074,14,-0.7369,11,-1.0458,40,1.12467
ENSG00000272106,AL691432.2,27,0.65164,16,-0.1771,17,-0.0593,18,0.01616,16,-0.2211,12,-0.6298,20,0.15827
ENSG00000197530,MIB2,29,-0.0021,29,-0.0382,38,0.40608,26,-0.2271,35,0.26597,17,-0.8330,33,0.20283
ENSG00000248333,CDK11B,22,0.34997,15,-0.3055,15,-0.2322,23,0.44941,15,-0.2123,19,0.11352,15,-0.2675
ENSG00000189339,SLC35E2B,17,-0.3297,21,-0.0692,32,0.62470,19,-0.2242,15,-0.5652,28,0.39565,22,0.05718
ENSG00000008128,CDK11A,15,1.03727,7,-0.1420,4,-0.8722,11,0.58037,6,-0.4907,9,0.14864,4,-0.9112
ENSG00000215790,SLC35E2A,24,-0.5846,27,-0.4392,46,0.45726,41,0.32205,19,-0.9437,27,-0.3765,47,0.57551
ENSG00000008130,NADK,30,0.24388,23,-0.2344,24,-0.1646,22,-0.3088,31,0.25650,20,-0.4177,34,0.46374
ENSG00000078369,GNB1,275,-0.8746,439,-0.1656,559,0.24119,441,-0.1566,477,-0.0161,445,-0.1259,650,0.56442
ENSG00000187730,GABRD,10,-3.5401,168,0.87892,70,-0.6530,108,0.03019,96,-0.1605,70,-0.6664,133,0.41790
ENSG00000067606,PRKCZ,112,-0.5121,135,-0.2433,151,-0.0391,149,-0.0706,133,-0.2388,146,-0.0902,219,0.65829
ENSG00000162585,FAAP20,37,0.08521,26,-0.4908,18,-0.9990,20,-0.9576,60,0.88555,45,0.41737,49,0.61792
ENSG00000157933,SKI,23,0.32780,13,-0.6121,16,-0.2459,15,-0.3452,27,0.55535,18,-0.0541,24,0.41437
ENSG00000272420,AL513477.2,1,-2.4733,9,0.39299,6,-0.3720,9,0.32223,4,-0.8819,10,0.54394,8,0.17202
ENSG00000157916,RER1,101,0.44570,77,0.01267,81,0.09026,65,-0.2943,68,-0.1903,60,-0.3767,86,0.21139
ENSG00000157911,PEX10,36,0.75165,24,0.04829,18,-0.3491,15,-0.6727,20,-0.1783,23,0.02012,26,0.26103
ENSG00000149527,PLCH2,41,1.38931,15,-0.3546,11,-0.7424,7,-1.4982,18,0.03743,12,-0.6565,27,0.77234
