Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000237491,LINC01409,6,-0.5898,31,2.18627,4,-1.0940,5,-0.8849,6,-0.5705,13,0.69125,7,-0.2848
ENSG00000228794,LINC01128,25,-0.6582,55,0.63588,41,0.16119,35,-0.1249,47,0.41313,29,-0.3759,35,-0.0929
ENSG00000188976,NOC2L,31,-0.7364,49,0.01615,36,-0.4428,62,0.52023,56,0.28791,26,-0.9256,58,0.28786
ENSG00000188290,HES4,32,0.38700,22,-0.2266,10,-1.4403,30,0.35180,13,-1.1487,28,0.13790,41,0.78152
ENSG00000187608,ISG15,24,0.22786,15,-0.5181,11,-1.0148,23,0.17180,24,0.16358,12,-0.8626,32,0.61327
ENSG00000188157,AGRN,18,0.10970,23,0.53440,12,-0.5017,19,0.27939,13,-0.3670,12,-0.4425,16,-0.0912
ENSG00000078808,SDF4,41,-0.1539,40,-0.1813,37,-0.2777,47,0.08928,49,0.17225,42,-0.1044,52,0.24184
ENSG00000176022,B3GALT6,18,-0.1981,18,-0.1956,14,-0.5306,22,0.13488,26,0.44990,11,-0.9314,26,0.42461
ENSG00000160087,UBE2J2,33,-0.0606,28,-0.2873,31,-0.1603,31,-0.1882,43,0.42377,24,-0.5662,47,0.52690
ENSG00000131584,ACAP3,61,0.11146,75,0.43505,23,-1.3940,64,0.22075,46,-0.3821,60,0.08585,66,0.22926
ENSG00000127054,INTS11,26,-0.5298,35,-0.0030,13,-1.5438,42,0.37545,47,0.52124,28,-0.3785,40,0.18718
ENSG00000224051,CPTP,14,-0.4205,13,-0.4707,11,-0.7012,22,0.47278,19,0.16613,14,-0.3082,23,0.38884
ENSG00000107404,DVL1,75,1.17299,25,-0.7446,17,-1.2914,26,-0.7930,35,-0.2683,57,0.54157,49,0.30390
ENSG00000175756,AURKAIP1,117,0.09269,59,-0.9620,66,-0.8045,98,-0.2393,126,0.23192,95,-0.2453,219,1.13041
ENSG00000221978,CCNL2,32,-0.8685,98,0.95539,28,-1.0286,47,-0.2936,66,0.33222,57,0.06381,81,0.64031
ENSG00000242485,MRPL20,122,0.01810,83,-0.5761,77,-0.6986,110,-0.1801,133,0.17470,140,0.23533,187,0.71354
ENSG00000235098,ANKRD65,31,0.62352,16,-0.5223,9,-1.3242,13,-0.9406,21,-0.0875,45,1.15359,30,0.48894
ENSG00000179403,VWA1,23,0.62207,7,-1.2131,5,-1.7694,24,0.81544,4,-2.0004,25,0.68540,16,-0.0772
ENSG00000197785,ATAD3A,8,-0.2968,9,-0.0987,4,-1.3878,9,-0.0797,16,0.94331,4,-1.2282,13,0.47950
ENSG00000205090,TMEM240,14,-0.8491,24,0.09273,19,-0.2844,23,-0.0182,29,0.41005,25,0.15766,30,0.43941
ENSG00000160075,SSU72,133,0.08194,87,-0.5827,87,-0.5923,107,-0.3251,167,0.50266,135,0.09780,165,0.42402
ENSG00000228594,FNDC10,33,0.61523,20,-0.2758,19,-0.2949,22,-0.1516,20,-0.3054,18,-0.3728,31,0.41852
ENSG00000272106,AL691432.2,14,-0.4664,8,-1.1352,9,-1.1282,13,-0.6136,23,0.44234,34,1.01104,36,1.11133
ENSG00000197530,MIB2,24,-0.1084,23,-0.1828,11,-1.2662,33,0.56006,20,-0.4407,30,0.23549,30,0.24812
ENSG00000248333,CDK11B,30,-0.2795,50,0.57514,58,0.82559,30,-0.2927,37,0.10429,40,0.21789,13,-1.5216
ENSG00000189339,SLC35E2B,16,-0.1620,14,-0.4123,19,0.12148,23,0.52262,21,0.25456,4,-2.0720,16,-0.1360
ENSG00000008128,CDK11A,26,0.32518,52,1.48596,28,0.45571,15,-0.6196,14,-0.7003,19,-0.1840,10,-1.0715
ENSG00000215790,SLC35E2A,24,-0.1521,25,-0.0696,21,-0.3381,24,-0.2199,23,-0.2390,40,0.66197,39,0.63505
ENSG00000008130,NADK,20,-0.2300,18,-0.3480,10,-1.2496,23,0.03236,24,0.12797,26,0.23625,37,0.81433
ENSG00000078369,GNB1,629,0.44326,312,-0.7078,373,-0.4332,489,-0.0129,464,-0.1057,513,0.06397,567,0.22374
ENSG00000187730,GABRD,82,-0.6594,110,-0.1515,109,-0.1548,96,-0.4402,190,0.84724,122,0.01033,157,0.41988
ENSG00000067606,PRKCZ,158,-0.1579,127,-0.4823,140,-0.3290,184,0.12510,195,0.21473,177,0.03986,200,0.22844
ENSG00000162585,FAAP20,34,0.77005,8,-1.4965,15,-0.5763,22,-0.0321,10,-1.2346,18,-0.3530,50,1.32987
ENSG00000157933,SKI,46,0.67465,22,-0.5756,36,0.19728,29,-0.1814,27,-0.2865,48,0.66652,11,-1.5591
ENSG00000157916,RER1,42,-0.1505,35,-0.3984,24,-0.9949,42,-0.1336,58,0.45277,42,-0.1156,72,0.73205
ENSG00000157911,PEX10,21,0.39281,8,-1.0685,15,-0.1917,16,-0.1091,17,0.06560,16,-0.0748,21,0.37417
