Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to10,Feature log2 fold change topic 7to10
ENSG00000188976,NOC2L,58,-0.2558,42,-0.8424,63,-0.1323,109,0.88764,66,-0.0956
ENSG00000078808,SDF4,162,1.16261,92,0.22332,81,0.00779,85,0.09317,53,-0.8951
ENSG00000160087,UBE2J2,48,-0.4113,105,1.00126,60,-0.0728,85,0.58103,34,-1.2272
ENSG00000131584,ACAP3,147,-0.0760,123,-0.3986,80,-1.0201,168,0.15928,183,0.44083
ENSG00000127054,INTS11,73,0.44043,76,0.59173,101,0.99991,49,-0.2174,32,-1.1054
ENSG00000107404,DVL1,98,0.79645,19,-1.8698,16,-1.9613,93,0.81491,67,0.24299
ENSG00000175756,AURKAIP1,167,0.82612,33,-1.8061,132,0.43542,138,0.58116,92,-0.2084
ENSG00000221978,CCNL2,63,-0.1898,146,1.46842,44,-0.7588,61,-0.2687,48,-0.8583
ENSG00000242485,MRPL20,153,0.53021,89,-0.3820,154,0.53949,142,0.45620,85,-0.5941
ENSG00000235098,ANKRD65,59,0.24311,48,-0.0776,93,1.02192,72,0.67437,28,-1.2161
ENSG00000179403,VWA1,275,2.14720,161,1.33963,102,0.33904,46,-0.9884,9,-3.7408
ENSG00000160075,SSU72,94,-0.7566,118,-0.4509,227,0.64719,232,0.79530,127,-0.4179
ENSG00000228594,FNDC10,21,-1.2317,21,-1.3402,43,-0.1465,94,1.39345,44,-0.1377
ENSG00000197530,MIB2,80,0.54503,41,-0.5752,50,-0.2283,84,0.71468,49,-0.3767
ENSG00000248333,CDK11B,30,-1.6935,101,0.17718,52,-0.8652,61,-0.7022,127,0.90793
ENSG00000008128,CDK11A,12,-2.3668,93,0.94916,27,-1.1393,41,-0.5637,66,0.35757
ENSG00000078369,GNB1,516,0.41303,135,-1.7806,243,-0.7803,497,0.40026,495,0.55295
ENSG00000187730,GABRD,0,-8.6268,12,-3.8356,40,-1.9812,277,1.27057,213,1.04419
ENSG00000067606,PRKCZ,157,-0.5222,227,0.06720,98,-1.2468,379,1.07888,181,-0.4346
ENSG00000162585,FAAP20,49,-0.0648,55,0.10733,53,0.04342,40,-0.4446,56,0.20116
ENSG00000157933,SKI,135,0.75660,26,-1.9359,34,-1.4126,76,-0.2018,120,0.94465
ENSG00000157916,RER1,102,0.92602,61,0.08167,109,1.04924,76,0.50584,24,-1.7279
ENSG00000157870,PRXL2B,4,-3.6667,9,-2.7869,67,0.29166,105,1.25273,65,0.37290
