Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to9,Feature log2 fold change topic 4to9,Feature count topic 10to13,Feature log2 fold change topic 10to13
ENSG00000228794,LINC01128,28,-0.3629,9,-1.9910,24,-0.6333,50,1.04406,27,-0.5816
ENSG00000188976,NOC2L,57,-0.0154,51,-0.1882,84,0.60368,57,-0.0361,54,-0.1361
ENSG00000188290,HES4,111,2.51909,7,-1.8958,10,-1.4233,18,-0.8177,25,-0.0695
ENSG00000187608,ISG15,31,0.73940,13,-0.6037,1,-4.0644,11,-1.1674,34,1.42868
ENSG00000188157,AGRN,9,-0.8277,17,0.03333,1,-3.2201,19,0.47041,17,0.11440
ENSG00000078808,SDF4,52,-0.3962,52,-0.3798,77,0.21001,63,-0.1406,77,0.30803
ENSG00000176022,B3GALT6,7,-1.3432,11,-0.7376,28,0.63411,20,0.16725,19,0.05340
ENSG00000160087,UBE2J2,48,0.22401,30,-0.4896,46,0.15308,33,-0.5721,55,0.61366
ENSG00000131584,ACAP3,31,-1.6370,85,-0.1071,147,0.76556,97,0.17735,84,-0.1513
ENSG00000127054,INTS11,86,1.00553,49,0.10717,44,-0.0734,35,-0.6184,51,0.22989
ENSG00000224051,CPTP,43,0.91437,20,-0.3348,46,0.99557,20,-0.4808,22,-0.1976
ENSG00000107404,DVL1,67,0.11917,49,-0.3618,85,0.49488,50,-0.5349,77,0.45950
ENSG00000175756,AURKAIP1,23,-2.2635,113,0.09049,76,-0.5232,95,-0.2924,151,0.79216
ENSG00000221978,CCNL2,99,0.74643,74,0.28104,78,0.36804,59,-0.1334,50,-0.4177
ENSG00000242485,MRPL20,138,0.01388,128,-0.0959,101,-0.4643,129,-0.1505,159,0.32330
ENSG00000235098,ANKRD65,0,-5.9356,24,0.29708,22,0.11556,22,0.21148,21,0.11445
ENSG00000179403,VWA1,28,-0.2319,98,1.82041,117,2.15635,9,-2.5119,32,-0.0193
ENSG00000205090,TMEM240,38,0.02055,13,-1.6188,34,-0.1369,38,0.04038,44,0.31911
ENSG00000160075,SSU72,95,-0.7034,77,-1.0304,178,0.25888,148,-0.0467,181,0.38940
ENSG00000228594,FNDC10,0,-5.9497,1,-4.4258,7,-1.8972,27,0.04282,44,1.19292
ENSG00000272106,AL691432.2,0,-5.8538,26,0.48004,31,0.76011,17,-0.2915,22,0.33279
ENSG00000197530,MIB2,26,-0.0799,23,-0.2871,31,0.14690,24,-0.3536,34,0.44548
ENSG00000248333,CDK11B,209,1.46141,154,0.93814,33,-1.4441,88,0.07164,48,-1.0968
ENSG00000189339,SLC35E2B,17,-0.8446,18,-0.8040,19,-0.7127,31,0.07956,38,0.50300
ENSG00000008128,CDK11A,241,2.64383,169,1.92152,25,-1.1416,35,-1.0065,14,-2.3118
ENSG00000215790,SLC35E2A,1,-3.3936,2,-2.9036,0,-6.7988,18,0.28331,25,0.99552
ENSG00000008130,NADK,14,-0.8136,17,-0.5084,6,-2.0319,24,-0.0035,33,0.69538
ENSG00000078369,GNB1,165,-1.2712,135,-1.5629,244,-0.6785,404,0.16882,493,0.57886
ENSG00000187730,GABRD,46,-1.2596,14,-2.9968,59,-0.9040,141,0.86512,106,-0.0262
ENSG00000067606,PRKCZ,29,-2.5533,111,-0.5549,203,0.38193,166,0.11027,184,0.30080
ENSG00000162585,FAAP20,27,-0.3164,50,0.62677,21,-0.7490,20,-1.1312,55,1.13976
ENSG00000157933,SKI,199,1.76333,74,0.09773,45,-0.6633,55,-0.5511,62,-0.2030
ENSG00000157916,RER1,17,-1.3956,37,-0.2828,38,-0.2214,46,0.12637,51,0.30918
ENSG00000157911,PEX10,17,-0.1022,29,0.73768,11,-0.7483,15,-0.3931,21,0.36336
ENSG00000157870,PRXL2B,0,-7.3173,18,-1.6007,52,-0.0329,56,0.14222,71,0.65263
ENSG00000177133,PRDM16-DT,0,-4.7618,6,-1.6254,0,-4.7313,12,-0.9796,39,2.15617
