Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,11,-1.8194,20,-0.9205,42,0.26389,42,0.22487,39,0.14467,45,0.35355,44,0.32848
ENSG00000188976,NOC2L,28,-0.7822,23,-1.1174,36,-0.4361,53,0.19431,70,0.90460,53,0.20042,30,-0.7131
ENSG00000188290,HES4,10,-2.2652,58,0.42941,45,0.02558,26,-0.8109,35,-0.4762,142,2.06000,14,-1.7169
ENSG00000187608,ISG15,21,-0.8069,44,0.31334,48,0.53145,43,0.30635,29,-0.4250,50,0.53656,18,-1.0192
ENSG00000188157,AGRN,17,-0.6803,27,0.06517,25,-0.1101,14,-0.9655,24,-0.1885,80,1.94884,4,-2.8058
ENSG00000078808,SDF4,55,-0.0832,84,0.59799,56,-0.0794,46,-0.3612,66,0.26729,62,0.08928,25,-1.2659
ENSG00000176022,B3GALT6,13,-1.0943,20,-0.4922,37,0.57168,31,0.21355,39,0.80768,14,-1.0017,3,-3.3083
ENSG00000160087,UBE2J2,22,-0.6769,22,-0.6900,37,0.16934,22,-0.6538,42,0.43818,60,0.94203,14,-1.3450
ENSG00000131584,ACAP3,57,-0.5832,64,-0.3881,105,0.46076,60,-0.5039,79,-0.0744,158,1.09305,35,-1.3002
ENSG00000127054,INTS11,34,-0.4755,21,-1.2254,35,-0.4920,47,0.01373,52,0.21014,130,1.78208,9,-2.3785
ENSG00000224051,CPTP,7,-1.6276,25,0.31142,23,0.20218,23,0.15568,31,0.96512,2,-3.0509,8,-1.3472
ENSG00000107404,DVL1,34,-0.9139,122,1.14206,102,0.97853,26,-1.3150,51,-0.3640,42,-0.5898,34,-0.9040
ENSG00000175756,AURKAIP1,73,-1.3906,127,-0.5464,243,0.56251,182,0.01138,233,0.55992,134,-0.4647,102,-0.8893
ENSG00000221978,CCNL2,63,0.12448,33,-0.8876,41,-0.5898,54,-0.1104,61,0.07909,162,1.78240,6,-3.2709
ENSG00000242485,MRPL20,118,-0.3636,127,-0.2537,155,0.07066,115,-0.4020,186,0.49156,143,-0.0582,115,-0.4069
ENSG00000235098,ANKRD65,55,1.16856,34,0.34678,33,0.32884,13,-1.0720,27,0.00663,8,-1.8285,15,-0.9085
ENSG00000179403,VWA1,228,3.86769,41,0.17459,13,-1.6762,3,-3.3460,12,-1.9399,26,-0.5023,4,-3.0329
ENSG00000205090,TMEM240,5,-2.5186,23,-0.4558,30,-0.0071,38,0.37671,43,0.75583,38,0.35723,11,-1.5600
ENSG00000160075,SSU72,55,-1.4309,96,-0.5822,162,0.27700,121,-0.2186,204,0.86468,73,-1.0005,112,-0.3393
ENSG00000228594,FNDC10,6,-2.4216,45,0.68883,40,0.59906,15,-0.9721,39,0.60390,23,-0.3648,7,-2.0779
ENSG00000272106,AL691432.2,15,-0.0760,20,0.36529,20,0.41568,11,-0.5157,20,0.48014,2,-2.9754,11,-0.5804
ENSG00000197530,MIB2,15,-1.2086,38,0.20302,49,0.73876,29,-0.2209,39,0.34562,16,-1.1462,19,-0.8269
ENSG00000248333,CDK11B,74,0.67047,51,0.04864,24,-1.1723,47,-0.0742,28,-1.0194,99,1.16928,87,0.95169
ENSG00000189339,SLC35E2B,15,-0.6559,21,-0.1361,21,-0.1883,28,0.27545,34,0.82755,22,-0.1072,4,-2.5736
ENSG00000008128,CDK11A,54,0.77554,37,0.14595,20,-0.8992,35,0.08021,20,-0.9173,64,1.08925,44,0.44321
ENSG00000215790,SLC35E2A,14,-1.0768,37,0.36217,49,0.97477,19,-0.6614,23,-0.4662,19,-0.7042,38,0.41817
ENSG00000008130,NADK,12,-1.1338,25,-0.1053,25,-0.0935,11,-1.2931,36,0.71305,43,0.80002,13,-1.0705
ENSG00000078369,GNB1,209,-1.5903,740,0.37286,865,0.73867,381,-0.6822,654,0.22641,288,-1.1054,567,-0.0578
ENSG00000187730,GABRD,1,-6.9815,57,-1.4796,129,-0.2598,278,1.03983,237,1.08603,103,-0.5860,84,-0.8833
ENSG00000067606,PRKCZ,91,-1.2027,99,-1.0693,272,0.60127,173,-0.2167,267,0.66561,112,-0.8880,158,-0.3518
ENSG00000162585,FAAP20,40,-0.1288,69,0.75867,73,1.02739,22,-1.0237,39,-0.2193,17,-1.3928,22,-1.0641
