Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to12,Feature log2 fold change topic 8to12
ENSG00000228794,LINC01128,58,0.72761,14,-1.4361,11,-1.8065,22,-0.8126,40,0.14558,10,-1.8500,52,1.02921
ENSG00000188976,NOC2L,58,0.35297,21,-1.2130,20,-1.2234,31,-0.6345,33,-0.5280,57,0.32916,61,0.74483
ENSG00000188290,HES4,58,0.18427,54,0.07726,32,-0.7115,101,1.27751,32,-0.7157,16,-1.7805,44,-0.3352
ENSG00000187608,ISG15,58,-0.3037,150,1.23894,89,0.37141,123,1.02977,31,-1.2337,28,-1.3904,49,-0.8144
ENSG00000188157,AGRN,58,1.14068,34,0.25422,12,-1.2331,28,-0.0150,29,0.02911,9,-1.7102,29,0.02470
ENSG00000078808,SDF4,58,-0.0374,54,-0.1387,30,-1.0177,72,0.33540,55,-0.1200,55,-0.1219,63,0.15852
ENSG00000160087,UBE2J2,58,0.86497,14,-1.2833,29,-0.2412,42,0.38571,24,-0.5047,25,-0.4759,34,0.03038
ENSG00000131584,ACAP3,66,-0.1410,85,0.27224,37,-1.0016,84,0.28196,167,1.39321,83,0.22322,51,-0.7564
ENSG00000127054,INTS11,58,0.71041,35,-0.0748,20,-0.9063,35,-0.0845,44,0.27753,41,0.16993,35,-0.1352
ENSG00000107404,DVL1,58,0.29060,10,-2.2457,62,0.40191,81,0.95071,41,-0.2595,45,-0.1063,40,-0.4289
ENSG00000175756,AURKAIP1,58,-1.4525,75,-1.0575,174,0.23203,232,0.78743,66,-1.2473,149,-0.0199,164,0.21777
ENSG00000221978,CCNL2,58,-0.0765,77,0.36859,26,-1.2846,35,-0.8886,102,0.84421,54,-0.1815,68,0.29821
ENSG00000242485,MRPL20,85,-1.0523,59,-1.5822,170,0.01128,223,0.50414,101,-0.7862,300,0.93789,172,0.05070
ENSG00000235098,ANKRD65,58,1.07050,55,0.97481,10,-1.6161,39,0.49448,6,-2.3310,27,-0.1602,25,-0.4299
ENSG00000205090,TMEM240,58,1.38706,4,-2.5547,6,-2.1452,25,0.03111,21,-0.2229,28,0.17030,26,0.12449
ENSG00000160075,SSU72,58,-1.4588,66,-1.2583,136,-0.1684,196,0.46107,111,-0.4831,171,0.19066,176,0.40227
ENSG00000228594,FNDC10,58,0.87597,7,-2.3257,46,0.51179,51,0.77371,13,-1.4381,32,-0.0911,29,-0.3536
ENSG00000197530,MIB2,58,0.93447,27,-0.2576,22,-0.5876,39,0.32347,22,-0.5607,9,-1.9463,34,0.15501
ENSG00000248333,CDK11B,58,0.00989,134,1.40077,60,0.06540,52,-0.1519,111,1.06973,28,-1.0837,39,-0.8644
ENSG00000008128,CDK11A,58,0.54245,95,1.38107,91,1.30839,22,-0.9891,71,0.88535,26,-0.6802,21,-1.3502
ENSG00000215790,SLC35E2A,58,1.04157,22,-0.5064,49,0.75902,37,0.33680,20,-0.6061,24,-0.3252,23,-0.5807
ENSG00000008130,NADK,58,1.29040,16,-0.7290,26,-0.0286,29,0.19094,14,-0.9586,32,0.33565,22,-0.4026
ENSG00000078369,GNB1,484,-0.1551,320,-0.7902,759,0.56167,653,0.35359,359,-0.6150,637,0.27810,510,-0.1150
ENSG00000187730,GABRD,58,-1.4405,13,-3.5488,138,-0.1269,102,-0.6373,139,-0.1151,147,-0.0192,219,1.12678
ENSG00000067606,PRKCZ,161,-0.3577,161,-0.3604,225,0.15957,185,-0.1573,179,-0.1949,284,0.53397,211,0.09928
ENSG00000162585,FAAP20,58,0.59733,43,0.13982,38,-0.0666,65,0.89840,25,-0.6731,72,0.96497,22,-1.2418
ENSG00000157933,SKI,58,0.84931,52,0.68695,45,0.45891,47,0.58635,60,0.91686,42,0.32270,11,-2.1215
ENSG00000157916,RER1,58,0.31316,24,-1.0096,23,-1.1057,59,0.38198,35,-0.4550,37,-0.3992,55,0.37781
ENSG00000157870,PRXL2B,58,0.07877,13,-2.0872,90,0.79120,66,0.33324,36,-0.6446,46,-0.2804,57,0.07685
ENSG00000177133,PRDM16-DT,58,1.50725,5,-2.0878,23,-0.0219,62,1.98884,8,-1.5134,16,-0.5165,8,-1.9243
ENSG00000158109,TPRG1L,58,-1.7850,69,-1.5164,178,-0.0850,145,-0.4382,131,-0.5565,343,0.97576,238,0.63589
ENSG00000130764,LRRC47,58,-0.4039,34,-1.2063,45,-0.7710,61,-0.3356,65,-0.2322,79,0.07677,99,0.78135
ENSG00000116198,CEP104,58,0.83341,64,1.00830,39,0.21836,20,-0.8723,38,0.16268,36,0.06533,27,-0.5190
ENSG00000196581,AJAP1,58,0.39541,23,-1.0198,68,0.64842,29,-0.7397,64,0.55217,21,-1.1742,50,0.26721
ENSG00000069424,KCNAB2,58,-1.8571,41,-2.3486,325,0.80272,279,0.61908,193,-0.0354,199,0.01143,200,0.02390
ENSG00000116254,CHD5,58,-1.9811,41,-2.4915,449,1.20840,166,-0.4425,556,1.59190,240,0.17393,181,-0.3976
ENSG00000116251,RPL22,561,-0.0459,880,0.67866,1050,0.97467,746,0.45756,293,-1.0418,723,0.35718,386,-0.8885
