Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,120,1.55393,80,0.79850,43,-0.2311,42,-0.2662,58,0.26772,37,-0.5319,8,-2.6828,21,-1.3214
ENSG00000188976,NOC2L,120,1.40133,54,0.02446,23,-1.3003,43,-0.3492,49,-0.1315,78,0.73052,27,-1.0682,10,-2.5402
ENSG00000188290,HES4,120,1.84725,16,-1.4556,30,-0.5338,41,-0.0804,14,-1.6869,50,0.30272,19,-1.2302,43,0.01934
ENSG00000187608,ISG15,120,1.64555,13,-1.9278,11,-2.1223,43,-0.1522,39,-0.2996,52,0.18072,30,-0.7333,65,0.51212
ENSG00000188157,AGRN,120,2.15570,67,0.99285,11,-1.8264,11,-1.7660,28,-0.4260,30,-0.3730,23,-0.7604,13,-1.6234
ENSG00000078808,SDF4,120,0.94633,95,0.52750,34,-1.1117,41,-0.7968,37,-0.9439,83,0.36537,79,0.22814,45,-0.6528
ENSG00000176022,B3GALT6,120,2.50329,8,-2.0219,26,-0.3448,19,-0.7829,27,-0.2462,28,-0.2324,8,-2.0526,22,-0.5665
ENSG00000160087,UBE2J2,120,1.59563,28,-0.8763,45,-0.1327,39,-0.3514,52,0.12406,41,-0.2824,48,-0.0009,21,-1.2690
ENSG00000131584,ACAP3,120,0.11483,209,1.06107,110,-0.0356,69,-0.7731,58,-1.0341,114,0.03708,139,0.34888,76,-0.6138
ENSG00000127054,INTS11,120,1.52006,36,-0.5440,31,-0.7657,17,-1.6270,31,-0.7534,55,0.15121,63,0.37151,46,-0.1592
ENSG00000224051,CPTP,120,2.34043,33,-0.0429,15,-1.2522,18,-0.9855,26,-0.3989,32,-0.1263,15,-1.2369,15,-1.2333
ENSG00000107404,DVL1,120,1.05360,45,-0.5735,32,-1.0747,77,0.28856,21,-1.6912,66,0.03831,48,-0.4749,106,0.82601
ENSG00000175756,AURKAIP1,120,-0.1896,76,-0.9134,52,-1.4752,104,-0.4177,106,-0.3893,249,1.27161,103,-0.4294,159,0.25908
ENSG00000221978,CCNL2,120,0.94088,119,0.92362,61,-0.1882,48,-0.5599,43,-0.7424,49,-0.6076,73,0.09210,57,-0.2893
ENSG00000242485,MRPL20,120,-0.0801,39,-1.7856,105,-0.3029,87,-0.5863,167,0.45667,171,0.58636,129,0.03220,149,0.26320
ENSG00000235098,ANKRD65,120,2.27225,3,-3.4022,2,-4.2709,22,-0.7252,12,-1.6249,39,0.20146,50,0.58355,29,-0.3189
ENSG00000179403,VWA1,120,1.67066,5,-3.2784,2,-4.1380,14,-1.8607,0,-6.1580,12,-2.2208,239,3.37402,16,-1.6484
ENSG00000205090,TMEM240,120,1.89186,52,0.36106,29,-0.5799,42,0.00142,34,-0.3354,39,-0.1517,11,-2.0012,11,-1.9466
ENSG00000160075,SSU72,120,-0.2564,130,-0.1343,123,-0.2227,148,0.07941,87,-0.7582,218,0.86599,110,-0.3953,116,-0.3101
ENSG00000228594,FNDC10,120,1.55619,22,-1.2486,28,-0.8881,53,0.11779,46,-0.1175,57,0.25839,16,-1.7072,46,-0.1125
ENSG00000272106,AL691432.2,120,2.62893,21,-0.5725,0,-6.7025,10,-1.6773,12,-1.4495,36,0.33004,3,-3.4915,35,0.23950
ENSG00000197530,MIB2,120,1.90059,52,0.34787,12,-1.8720,34,-0.3414,25,-0.8114,41,-0.0114,31,-0.4466,19,-1.2366
ENSG00000248333,CDK11B,120,1.26120,78,0.48640,81,0.55965,40,-0.5660,55,-0.0874,42,-0.5734,31,-0.9829,32,-0.9397
ENSG00000008128,CDK11A,120,2.63191,32,0.07299,29,-0.0478,9,-1.7926,13,-1.2645,13,-1.4120,26,-0.2458,17,-0.9002
ENSG00000215790,SLC35E2A,120,2.83350,9,-1.7048,12,-1.2951,29,0.05523,4,-2.9093,24,-0.3095,17,-0.7904,14,-1.0385
ENSG00000008130,NADK,120,2.34451,12,-1.6139,14,-1.3169,39,0.23267,14,-1.3861,31,-0.1929,23,-0.6119,23,-0.6166
ENSG00000078369,GNB1,120,-1.9342,362,-0.2514,281,-0.6490,535,0.38378,360,-0.2609,615,0.73864,288,-0.6139,635,0.67575
ENSG00000187730,GABRD,120,-0.9848,256,0.20564,125,-0.9269,261,0.24078,385,0.90154,397,1.16451,31,-2.9910,59,-2.0641
ENSG00000067606,PRKCZ,120,-1.0157,214,-0.1202,182,-0.3756,272,0.27149,283,0.34209,356,0.87545,166,-0.5237,122,-0.9956
ENSG00000162585,FAAP20,120,1.87278,15,-1.5459,22,-1.0380,36,-0.2597,23,-0.9699,33,-0.4611,49,0.23689,51,0.29218
ENSG00000157933,SKI,120,1.32952,68,0.32415,70,0.38132,52,-0.0970,36,-0.6739,24,-1.4232,34,-0.7610,72,0.42090
ENSG00000157916,RER1,120,1.29384,48,-0.2545,26,-1.1935,43,-0.4528,32,-0.8790,64,0.21479,66,0.24927,47,-0.2847
ENSG00000157911,PEX10,120,2.55589,8,-2.0023,15,-1.1311,23,-0.4905,8,-2.0992,25,-0.4081,25,-0.3428,32,0.05850
ENSG00000157870,PRXL2B,120,1.25025,34,-0.8274,18,-1.8151,55,-0.0934,38,-0.6767,101,1.14180,14,-2.1146,41,-0.5519
ENSG00000177133,PRDM16-DT,120,2.46923,6,-2.5405,12,-1.4503,28,-0.2023,1,-4.3162,19,-0.9102,9,-1.9713,76,1.48419
ENSG00000158109,TPRG1L,120,-0.8095,193,-0.0656,95,-1.1647,225,0.18437,243,0.30746,361,1.21209,112,-0.9221,100,-1.0916
ENSG00000130764,LRRC47,120,0.64477,57,-0.5795,70,-0.2422,47,-0.8583,73,-0.1749,110,0.57221,93,0.21627,55,-0.6326
ENSG00000116198,CEP104,120,1.43925,42,-0.3531,51,-0.0360,23,-1.2935,64,0.31984,23,-1.3980,83,0.77261,43,-0.3068
ENSG00000196581,AJAP1,120,1.12600,108,0.93539,73,0.25429,63,0.01210,50,-0.3521,50,-0.3722,21,-1.6494,24,-1.4867
ENSG00000069424,KCNAB2,120,-0.6801,183,-0.0207,98,-0.9970,199,0.12193,133,-0.5301,355,1.37273,57,-1.8198,167,-0.1674
ENSG00000116254,CHD5,120,-1.5765,544,0.82369,616,1.04528,466,0.55665,466,0.55691,288,-0.2631,35,-3.3655,176,-1.0049
ENSG00000116251,RPL22,120,-1.6925,265,-0.4897,293,-0.3308,346,-0.0635,178,-1.1014,364,0.01739,580,0.80239,731,1.21939
ENSG00000116237,ICMT,120,1.47491,43,-0.2775,16,-1.8218,17,-1.6771,51,-0.0065,78,0.82610,32,-0.7605,28,-0.9371
ENSG00000097021,ACOT7,120,-0.8056,170,-0.2655,92,-1.2145,182,-0.1564,299,0.66368,385,1.37769,124,-0.7656,49,-2.1575
ENSG00000215788,TNFRSF25,120,2.11668,124,2.18492,11,-1.8081,9,-2.0784,5,-2.8289,26,-0.6619,0,-8.1894,17,-1.1830
ENSG00000171680,PLEKHG5,120,2.15657,73,1.14352,20,-0.9816,31,-0.2925,6,-2.5758,30,-0.3579,4,-3.2409,19,-1.0289
ENSG00000162408,NOL9,120,1.69203,36,-0.3988,48,0.06192,62,0.48909,28,-0.7750,28,-0.8591,25,-0.9591,40,-0.2275
ENSG00000162413,KLHL21,120,2.09354,32,-0.2657,20,-1.0264,18,-1.1727,18,-1.1701,41,0.14479,29,-0.4518,24,-0.7062
ENSG00000007923,DNAJC11,120,1.64057,11,-2.1951,51,0.11846,42,-0.2070,22,-1.1772,59,0.40755,28,-0.8161,35,-0.4789
ENSG00000171735,CAMTA1,120,-1.9414,647,0.70034,643,0.68991,465,0.14447,731,0.91542,390,-0.1606,171,-1.4154,273,-0.7023
ENSG00000049245,VAMP3,120,1.81689,20,-1.1654,4,-3.3835,3,-3.6496,1,-5.0786,17,-1.6000,172,2.63766,36,-0.2959
ENSG00000049246,PER3,120,1.07144,78,0.31460,80,0.36857,24,-1.5158,26,-1.3818,39,-0.8555,72,0.19871,98,0.70193
ENSG00000116288,PARK7,120,-0.7851,109,-0.9336,96,-1.1279,142,-0.5260,145,-0.4912,340,1.10508,231,0.25399,258,0.43931
ENSG00000116285,ERRFI1,120,2.44591,18,-0.9225,17,-0.9662,15,-1.1696,11,-1.5833,39,0.31511,15,-1.1531,19,-0.8532
ENSG00000162426,SLC45A1,120,2.33596,33,-0.0491,4,-3.0030,24,-0.5611,15,-1.2955,44,0.50188,14,-1.3231,8,-2.1308
ENSG00000142599,RERE,120,0.01343,127,0.09977,199,0.86158,91,-0.4252,109,-0.1435,95,-0.4061,121,0.02680,116,-0.0520
ENSG00000074800,ENO1,120,-1.7137,251,-0.5962,130,-1.5979,217,-0.8214,231,-0.7233,566,0.87698,398,0.14162,808,1.38014
ENSG00000171612,SLC25A33,120,2.07659,8,-2.3829,19,-1.0612,14,-1.5424,20,-0.9732,29,-0.4904,12,-1.7290,93,1.55412
ENSG00000171603,CLSTN1,120,-2.6165,1157,0.91996,446,-0.6497,585,-0.2233,976,0.62218,1122,1.04552,265,-1.4446,254,-1.5112
ENSG00000178585,CTNNBIP1,120,2.08378,12,-1.7773,10,-1.9825,30,-0.3617,15,-1.4089,35,-0.1425,42,0.14228,44,0.22329
ENSG00000162441,LZIC,120,1.01712,25,-1.4752,74,0.18244,80,0.30993,14,-2.3435,45,-0.6890,99,0.66768,93,0.56898
ENSG00000130939,UBE4B,120,1.45267,75,0.59171,38,-0.5100,43,-0.2918,42,-0.3284,33,-0.8018,55,0.08381,30,-0.8489
ENSG00000054523,KIF1B,120,-1.9797,594,0.51143,732,0.87210,498,0.21446,445,0.03109,322,-0.5450,550,0.37916,347,-0.3673
ENSG00000142657,PGD,120,1.31483,45,-0.3517,17,-1.8506,52,-0.1102,59,0.06902,71,0.44633,32,-0.8834,39,-0.5896
ENSG00000241563,CORT,120,2.26624,0,-5.3507,23,-0.6466,32,-0.1367,11,-1.8162,49,0.64193,9,-2.0317,23,-0.6646
ENSG00000160049,DFFA,120,0.90710,43,-0.7674,62,-0.1898,81,0.23888,32,-1.2250,43,-0.8371,108,0.72188,98,0.55138
ENSG00000142655,PEX14,120,2.47641,39,0.32766,1,-4.2199,20,-0.7622,19,-0.8135,33,0.01945,9,-1.8574,16,-1.1156
ENSG00000120948,TARDBP,120,0.39598,143,0.69499,87,-0.1291,88,-0.1164,81,-0.2536,89,-0.1178,114,0.31143,40,-1.3454
ENSG00000271895,AL109811.2,120,2.50081,48,0.66257,13,-1.3425,10,-1.7972,11,-1.5482,32,-0.0067,12,-1.4388,9,-1.9048
ENSG00000116649,SRM,120,1.17527,55,-0.1561,19,-1.7503,38,-0.7264,41,-0.6137,81,0.55240,53,-0.2248,57,-0.0839
ENSG00000171824,EXOSC10,120,1.74650,46,0.02968,57,0.37465,22,-1.0911,13,-1.8470,45,-0.0078,31,-0.5782,26,-0.8620
ENSG00000198793,MTOR,120,1.60509,71,0.63710,45,-0.1028,38,-0.3597,38,-0.3681,35,-0.5818,16,-1.6839,36,-0.4718
ENSG00000116661,FBXO2,120,-0.3247,54,-1.5589,56,-1.5026,110,-0.4652,96,-0.6785,195,0.53991,69,-1.1894,433,1.94815
