Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to11,Feature log2 fold change topic 5to11
ENSG00000237491,LINC01409,6,-0.5898,17,1.32432,7,-0.7275
ENSG00000228794,LINC01128,25,-0.6582,48,0.46765,38,0.03213
ENSG00000188976,NOC2L,31,-0.7364,42,-0.2184,55,0.56918
ENSG00000188290,HES4,32,0.38700,16,-0.7844,26,0.15321
ENSG00000187608,ISG15,24,0.22786,13,-0.8110,23,0.28724
ENSG00000188157,AGRN,18,0.10970,18,0.10113,16,-0.1370
ENSG00000078808,SDF4,41,-0.1539,39,-0.2522,48,0.25551
ENSG00000176022,B3GALT6,18,-0.1981,16,-0.3893,22,0.36509
ENSG00000160087,UBE2J2,33,-0.0606,30,-0.2453,36,0.19141
ENSG00000131584,ACAP3,61,0.11146,49,-0.2685,58,0.08987
ENSG00000127054,INTS11,26,-0.5298,24,-0.6521,41,0.72212
ENSG00000224051,CPTP,14,-0.4205,12,-0.6342,20,0.64497
ENSG00000107404,DVL1,75,1.17299,21,-1.0724,36,-0.3970
ENSG00000175756,AURKAIP1,117,0.09269,63,-0.9528,123,0.45265
ENSG00000221978,CCNL2,32,-0.8685,63,0.25099,59,0.29572
ENSG00000242485,MRPL20,122,0.01810,80,-0.6923,132,0.38363
ENSG00000235098,ANKRD65,31,0.62352,12,-0.9448,22,0.03187
ENSG00000179403,VWA1,23,0.62207,6,-1.5653,17,0.24907
ENSG00000197785,ATAD3A,8,-0.2968,6,-0.6744,11,0.58827
ENSG00000205090,TMEM240,14,-0.8491,22,-0.0948,26,0.54057
ENSG00000160075,SSU72,133,0.08194,87,-0.6402,137,0.31199
ENSG00000228594,FNDC10,33,0.61523,20,-0.3138,22,-0.2560
ENSG00000272106,AL691432.2,14,-0.4664,9,-1.2163,22,0.96998
ENSG00000197530,MIB2,24,-0.1084,17,-0.6925,28,0.47192
ENSG00000248333,CDK11B,30,-0.2795,54,0.80886,31,-0.4298
ENSG00000189339,SLC35E2B,16,-0.1620,17,-0.1381,19,0.19026
ENSG00000008128,CDK11A,26,0.32518,40,1.20925,15,-1.1388
ENSG00000215790,SLC35E2A,24,-0.1521,23,-0.2191,28,0.23424
ENSG00000008130,NADK,20,-0.2300,14,-0.7998,26,0.60946
ENSG00000078369,GNB1,629,0.44326,343,-0.6158,496,0.03096
ENSG00000187730,GABRD,82,-0.6594,110,-0.1692,135,0.49592
ENSG00000067606,PRKCZ,158,-0.1579,134,-0.4425,189,0.36974
ENSG00000162585,FAAP20,34,0.77005,12,-1.0474,22,-0.0512
ENSG00000157933,SKI,46,0.67465,29,-0.1616,29,-0.3864
ENSG00000157916,RER1,42,-0.1505,29,-0.7279,51,0.51891
ENSG00000157911,PEX10,21,0.39281,11,-0.6240,17,0.07380
ENSG00000149527,PLCH2,20,1.05776,11,-0.0572,9,-0.7627
ENSG00000157881,PANK4,6,-1.2607,12,-0.3126,17,0.88230
ENSG00000197921,HES5,18,0.43764,13,-0.2053,14,-0.1798
ENSG00000157870,PRXL2B,41,-0.1374,34,-0.4382,48,0.35387
ENSG00000177133,PRDM16-DT,31,0.85452,14,-0.6075,18,-0.3056
ENSG00000142611,PRDM16,23,1.06801,17,0.46882,9,-1.1145
ENSG00000158109,TPRG1L,131,-0.4619,129,-0.4929,196,0.58908
ENSG00000116213,WRAP73,9,-0.3844,10,-0.2269,12,0.38056
ENSG00000130764,LRRC47,52,-0.5794,47,-0.7345,86,0.79860
ENSG00000116198,CEP104,21,-0.5660,40,0.59760,28,-0.1143
ENSG00000198912,C1orf174,9,-0.5607,16,0.32090,13,0.09715
ENSG00000196581,AJAP1,38,-0.3130,54,0.27403,46,0.00068
ENSG00000069424,KCNAB2,193,0.29109,108,-0.7010,171,0.18809
ENSG00000116254,CHD5,223,-0.1463,326,0.54022,224,-0.2908
ENSG00000116251,RPL22,543,0.73944,263,-0.5584,343,-0.2327
ENSG00000116237,ICMT,31,-0.2620,24,-0.6462,40,0.55041
ENSG00000097021,ACOT7,70,-1.6035,131,-0.6088,237,1.23517
ENSG00000215788,TNFRSF25,10,-0.8414,15,-0.1907,19,0.60346
ENSG00000171680,PLEKHG5,26,0.38026,17,-0.4271,21,-0.0158
ENSG00000162408,NOL9,32,0.15571,40,0.61342,25,-0.5303
ENSG00000162413,KLHL21,19,-0.4379,18,-0.5568,29,0.61175
ENSG00000116273,PHF13,12,-0.4971,14,-0.2546,19,0.46312
ENSG00000041988,THAP3,10,-0.6193,12,-0.3746,17,0.60790
ENSG00000007923,DNAJC11,28,-0.3196,38,0.19056,35,0.06393
ENSG00000171735,CAMTA1,279,-0.6416,539,0.51143,406,-0.0100
ENSG00000049245,VAMP3,23,0.55076,11,-0.7016,17,-0.0134
