"ENSEMBL","spd"
"ENSG00000103319","SpD01-WMtz"
"ENSG00000108219","SpD01-WMtz"
"ENSG00000267060","SpD01-WMtz"
"ENSG00000235162","SpD01-WMtz"
"ENSG00000106701","SpD01-WMtz"
"ENSG00000157617","SpD01-WMtz"
"ENSG00000100029","SpD01-WMtz"
"ENSG00000109794","SpD01-WMtz"
"ENSG00000141696","SpD01-WMtz"
"ENSG00000140943","SpD01-WMtz"
"ENSG00000007080","SpD01-WMtz"
"ENSG00000275367","SpD01-WMtz"
"ENSG00000164591","SpD01-WMtz"
"ENSG00000129911","SpD01-WMtz"
"ENSG00000196526","SpD01-WMtz"
"ENSG00000132128","SpD01-WMtz"
"ENSG00000128567","SpD01-WMtz"
"ENSG00000139154","SpD01-WMtz"
"ENSG00000163577","SpD01-WMtz"
"ENSG00000100814","SpD01-WMtz"
"ENSG00000136504","SpD01-WMtz"
"ENSG00000008382","SpD01-WMtz"
"ENSG00000106524","SpD01-WMtz"
"ENSG00000135722","SpD01-WMtz"
"ENSG00000158470","SpD01-WMtz"
"ENSG00000133961","SpD01-WMtz"
"ENSG00000135341","SpD01-WMtz"
"ENSG00000139636","SpD01-WMtz"
"ENSG00000189079","SpD01-WMtz"
"ENSG00000120756","SpD01-WMtz"
"ENSG00000053524","SpD01-WMtz"
"ENSG00000227345","SpD01-WMtz"
"ENSG00000184900","SpD01-WMtz"
"ENSG00000158220","SpD01-WMtz"
"ENSG00000105556","SpD01-WMtz"
"ENSG00000157873","SpD01-WMtz"
"ENSG00000166845","SpD01-WMtz"
"ENSG00000198917","SpD01-WMtz"
"ENSG00000135778","SpD01-WMtz"
"ENSG00000196236","SpD01-WMtz"
"ENSG00000172939","SpD01-WMtz"
"ENSG00000165810","SpD01-WMtz"
"ENSG00000105771","SpD01-WMtz"
"ENSG00000185122","SpD01-WMtz"
"ENSG00000178950","SpD01-WMtz"
"ENSG00000165194","SpD01-WMtz"
"ENSG00000159733","SpD01-WMtz"
"ENSG00000160294","SpD01-WMtz"
"ENSG00000173276","SpD01-WMtz"
"ENSG00000020577","SpD01-WMtz"
"ENSG00000169599","SpD01-WMtz"
"ENSG00000127951","SpD01-WMtz"
"ENSG00000171813","SpD01-WMtz"
"ENSG00000149932","SpD01-WMtz"
"ENSG00000119408","SpD01-WMtz"
"ENSG00000218739","SpD01-WMtz"
"ENSG00000111752","SpD01-WMtz"
"ENSG00000197816","SpD01-WMtz"
"ENSG00000182108","SpD01-WMtz"
"ENSG00000141499","SpD01-WMtz"
"ENSG00000133065","SpD01-WMtz"
"ENSG00000153936","SpD01-WMtz"
"ENSG00000148843","SpD01-WMtz"
"ENSG00000117682","SpD01-WMtz"
"ENSG00000064995","SpD01-WMtz"
"ENSG00000163637","SpD01-WMtz"
"ENSG00000187624","SpD01-WMtz"
"ENSG00000204103","SpD01-WMtz"
"ENSG00000111846","SpD01-WMtz"
"ENSG00000170745","SpD01-WMtz"
"ENSG00000002834","SpD01-WMtz"
"ENSG00000177181","SpD01-WMtz"
"ENSG00000160613","SpD01-WMtz"
"ENSG00000171291","SpD01-WMtz"
"ENSG00000163629","SpD01-WMtz"
"ENSG00000163013","SpD01-WMtz"
"ENSG00000164081","SpD01-WMtz"
"ENSG00000204442","SpD01-WMtz"
"ENSG00000108599","SpD01-WMtz"
"ENSG00000104369","SpD01-WMtz"
"ENSG00000180979","SpD01-WMtz"
"ENSG00000138207","SpD01-WMtz"
"ENSG00000139192","SpD01-WMtz"
"ENSG00000152137","SpD01-WMtz"
"ENSG00000127220","SpD01-WMtz"
"ENSG00000183248","SpD01-WMtz"
"ENSG00000130725","SpD01-WMtz"
"ENSG00000154529","SpD01-WMtz"
"ENSG00000124541","SpD01-WMtz"
"ENSG00000165271","SpD01-WMtz"
"ENSG00000137802","SpD01-WMtz"
"ENSG00000179832","SpD01-WMtz"
"ENSG00000007202","SpD01-WMtz"
"ENSG00000109686","SpD01-WMtz"
"ENSG00000214944","SpD01-WMtz"
"ENSG00000240771","SpD01-WMtz"
"ENSG00000101216","SpD01-WMtz"
"ENSG00000177879","SpD01-WMtz"
"ENSG00000065970","SpD01-WMtz"
"ENSG00000257218","SpD01-WMtz"
"ENSG00000163053","SpD01-WMtz"
"ENSG00000108561","SpD01-WMtz"
"ENSG00000105671","SpD01-WMtz"
"ENSG00000117154","SpD01-WMtz"
"ENSG00000282393","SpD01-WMtz"
"ENSG00000157219","SpD01-WMtz"
"ENSG00000125122","SpD01-WMtz"
