ID,Description,NES,core_enrichment_symbol,spd
GO:2000644,regulation of receptor catabolic process,-2.2851969476095046,DTX3L/APOE/HAMP/ABCA2/MTMR2/ITCH/LAPTM5/MYLIP,SpD01-WMtz
GO:0048713,regulation of oligodendrocyte differentiation,-2.005369142957097,IL34/ZNF488/SOX1/PTN/OLIG2/CLCN2/WDR1/HES5/RHEB/QKI/HDAC2/TMEM98/PRMT5/CXCR4/TNFRSF21/OPALIN/SLC45A3/NKX6-2/MYRF/NOTCH1/DAG1/NKX2-2,SpD01-WMtz
GO:0035590,purinergic nucleotide receptor signaling pathway,-2.178321803382517,ADORA2B/PTAFR/P2RX4/ADA/ADORA2A/GPR34/P2RY13/P2RY12,SpD01-WMtz
GO:0030593,neutrophil chemotaxis,-1.9865022971454416,CKLF/JAM3/PREX1/SYK/VAV3/C3AR1/NCKAP1L/FCER1G/CXADR/CD74/C1QBP/MOSPD2/ITGB2,SpD01-WMtz
GO:0045197,establishment or maintenance of epithelial cell apical/basal polarity,1.8330413203634983,MSN/LHX2/PARD3B/PRKCI/PARD3/MARK2/CRB2/CAMSAP3/LRRC7/RHOA/PATJ/CRB1/OPHN1/ERBIN/SCRIB/PARD6B/WNT5A/DLG5/SH3BP1/PARD6A/DLG2,SpD01-WMtz
GO:0018107,peptidyl-threonine phosphorylation,1.7664804595763,PRKAG2/OXSR1/TNKS1BP1/STK11/CHI3L1/CDK5R1/HIPK3/PARD3/MARK2/WNK3/UBE2K/CDK5/PDPK1/WNK1/CAB39/MAPK1/EIF4G1/AKT1/TTBK1/SPRED2/MAPK8/TNKS/CAMK2A/DMTN/DGKQ/MAP3K12/PRKD2/CAD/PRKCA/HIPK2/SPRED1/DYRK1A,SpD01-WMtz
GO:0048729,tissue morphogenesis,1.7611601150106035,ITGB4/RGMA/HEYL/DEAF1/SDC4/IGFBP5/FEM1B/FGF2/SMAD1/DDR1/LIN7C/NOTCH2/FERMT2/CSF1/MDM4/BRSK1/AGT/RHOC/COL4A1/ID4/PRKD2/NPHP3/SCRIB/PLXNB2/FGF1/NHERF1/FLNA/VEGFA/YAP1/PLXND1/DCHS1/SOX9/SOX8/CD44/ARHGAP35/BRSK2/NF2/EDN1/AHDC1/MYL3/DVL2/MDK/PHACTR4/PODXL/FZD5/GJA1/STOX1/APLNR/SKI/SLC39A12/TPM1/EPHA4/RBPJ/MSN/ZFPM1/ITGA8/BSG/BCL2/FOXP1/LHX2/DVL1/CCDC40/WLS/TGM2/PPP3R1/PTEN/HIF1A/SEMA4C/TULP3/FZD1/PML/APAF1/HS2ST1/PRKX/DAG1/BMP7/SOSTDC1/GCNT1/GPI/DLG5/MRTFA/PTCH1/GNA13/SEMA3E/CECR2/PKD1/CAMSAP3/SMAD7/SRF/HGF/CTNNBIP1/ZDHHC7/NPHP1/LZTS2/PRKACA/SCX/AJAP1/RARG/SUFU/TNC/ADM/FRS2/TGFBR3/MYH7/CLASP1/WNT5B/SMO/OPHN1/GLI3/KRT17/MYO9A/FGFR1/TMEM100/PIK3CD/SMAD4/PLXNA1/INTU/TBX2,SpD02-L3/4
GO:0009611,response to wounding,1.7281322057198305,ITGB4/SYTL4/RGMA/PLEC/AQP1/ENTPD2/AHNAK/SERPING1/TIMP1/SDC4/ERBB2/FGF2/PTPRF/PUM2/DDR1/HSPB1/RIPOR1/PLSCR1/NOTCH2/FERMT2/NEO1/MAPK8IP3/RHOC/EPB41L4B/DPYSL3/GIT1/SCRIB/GNA12/FGF1/SOX2/F3/DGKD/FLNA/F2R/VEGFA/YAP1/ZFP36L1/APOE/DRD5/RASA3/CD44/ARHGAP35/EDN1/SLC1A3/FZD7/FKBP10/MDK/PLPP3/GRIN2C/SLC1A2/DGKZ/FBLN1/NMNAT3/F11R/GP1BB/NFIA/IL6ST/NFIB/ITPK1/DGKG/VAV2/CDKN1A/MAPK14/PRRG3/SVEP1/PAX6/CSRP1/VPS4A/TPM1/CYP4F11/EPHA4/PPP3CA/BCL2/IGF1R/SLC7A11/DDR2/DGKE/TSPO/PTEN/HIF1A/RAF1/NFATC1/TYRO3/GAS6/PROS1/LAMB2/DAG1/MRTFA/P2RX4/GNA13/BLOC1S3/RTN4RL1/SRF/LMAN1/CSPG5/KIAA0319/CRK/AJAP1/INHBB/RAP2B/TNC/CNN2/KREMEN1/SYT7/SERPINE2/CLASP1,SpD02-L3/4
GO:0042060,wound healing,1.7879324163487222,SYTL4/PLEC/AQP1/ENTPD2/AHNAK/SERPING1/TIMP1/SDC4/ERBB2/FGF2/DDR1/HSPB1/PLSCR1/NOTCH2/FERMT2/RHOC/EPB41L4B/SCRIB/GNA12/FGF1/F3/DGKD/FLNA/F2R/VEGFA/YAP1/APOE/DRD5/RASA3/CD44/ARHGAP35/EDN1/FZD7/FKBP10/PLPP3/DGKZ/FBLN1/F11R/GP1BB/IL6ST/ITPK1/DGKG/VAV2/CDKN1A/MAPK14/PRRG3/SVEP1/CSRP1/VPS4A/TPM1/CYP4F11/PPP3CA/SLC7A11/DDR2/DGKE/PTEN/HIF1A/RAF1/NFATC1/TYRO3/GAS6/PROS1/DAG1/MRTFA/GNA13/BLOC1S3/SRF/LMAN1/CRK/AJAP1/RAP2B/CNN2/SYT7/SERPINE2/CLASP1,SpD02-L3/4
GO:0002009,morphogenesis of an epithelium,1.6999236822955204,RGMA/DEAF1/SDC4/IGFBP5/FEM1B/FGF2/DDR1/LIN7C/NOTCH2/FERMT2/CSF1/BRSK1/AGT/RHOC/COL4A1/ID4/PRKD2/NPHP3/SCRIB/PLXNB2/FGF1/NHERF1/FLNA/VEGFA/YAP1/PLXND1/DCHS1/SOX9/SOX8/CD44/ARHGAP35/BRSK2/EDN1/DVL2/MDK/PHACTR4/PODXL/FZD5/GJA1/STOX1/APLNR/SKI/SLC39A12/EPHA4/RBPJ/MSN/BSG/BCL2/FOXP1/LHX2/DVL1/CCDC40/TGM2/PPP3R1/PTEN/HIF1A/SEMA4C/TULP3/PML/APAF1/HS2ST1/PRKX/DAG1/BMP7/SOSTDC1/DLG5/MRTFA/PTCH1/GNA13/SEMA3E/CECR2/PKD1/CAMSAP3/SRF/HGF/CTNNBIP1/ZDHHC7/NPHP1/LZTS2/PRKACA/AJAP1/RARG/SUFU/TNC/ADM/FRS2/CLASP1/WNT5B/SMO/OPHN1/GLI3/KRT17/MYO9A/FGFR1/PIK3CD/SMAD4/PLXNA1/INTU/TBX2/ARL13B/TRAF6/STK3/TSC2/LAMA5/LMO4/EDNRA,SpD02-L3/4
