Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,10,-1.8711,35,-0.0326,38,0.07079,51,0.66068,44,0.32819,54,0.65965,24,-0.6273,18,-1.0898
ENSG00000188976,NOC2L,21,-0.9751,58,0.63903,34,-0.2404,62,0.89205,24,-0.7556,49,0.36897,18,-1.1951,27,-0.6163
ENSG00000188290,HES4,5,-2.5019,27,-0.0828,26,-0.1343,28,-0.0396,18,-0.7372,24,-0.2934,29,0.03433,72,1.61810
ENSG00000187608,ISG15,41,0.22550,56,0.75121,54,0.68623,17,-1.2459,21,-0.8436,17,-1.1712,38,0.09937,61,0.88821
ENSG00000188157,AGRN,14,-0.5298,32,0.79019,9,-1.1420,23,0.29753,19,-0.0550,13,-0.5975,15,-0.3925,28,0.59074
ENSG00000078808,SDF4,58,-0.0668,56,-0.1343,61,0.01521,80,0.52972,56,-0.1355,40,-0.6508,46,-0.4527,70,0.22371
ENSG00000176022,B3GALT6,13,-0.9541,19,-0.4012,25,0.08280,35,0.73858,21,-0.1813,17,-0.5471,30,0.35986,21,-0.2209
ENSG00000160087,UBE2J2,31,-0.1147,31,-0.0713,29,-0.1924,32,-0.0744,26,-0.3954,40,0.32830,33,-0.0144,43,0.44696
ENSG00000131584,ACAP3,39,-0.8867,40,-0.8739,52,-0.4633,103,0.76945,101,0.62538,40,-0.8662,84,0.30734,64,-0.1319
ENSG00000127054,INTS11,31,-0.3312,36,-0.0952,47,0.34824,46,0.38877,59,0.73273,21,-0.8772,27,-0.5320,27,-0.5222
ENSG00000224051,CPTP,9,-1.1015,14,-0.3732,27,0.64873,22,0.36453,24,0.45159,19,0.10304,7,-1.3702,18,0.03718
ENSG00000107404,DVL1,24,-1.0349,29,-0.7487,46,-0.0558,49,0.05977,55,0.24905,31,-0.6433,54,0.22287,88,1.05088
ENSG00000175756,AURKAIP1,87,-0.8616,183,0.31062,279,1.04276,148,-0.0352,113,-0.4593,109,-0.5200,129,-0.2590,164,0.13244
ENSG00000221978,CCNL2,70,0.31511,71,0.33415,37,-0.7044,68,0.29256,62,0.09523,52,-0.1895,41,-0.5313,54,-0.1282
ENSG00000242485,MRPL20,119,-0.4650,126,-0.3676,177,0.17808,227,0.69821,83,-1.0178,152,-0.0702,167,0.07723,153,-0.0617
ENSG00000235098,ANKRD65,56,0.90353,21,-0.6806,41,0.35225,36,0.15053,34,0.05194,18,-0.8962,28,-0.2458,25,-0.3962
ENSG00000179403,VWA1,151,3.29431,9,-1.8246,15,-1.0810,13,-1.3858,3,-3.2450,10,-1.6764,30,-0.0192,27,-0.1652
ENSG00000205090,TMEM240,1,-4.0862,12,-0.9956,27,0.29973,37,0.98607,37,0.84894,26,0.24567,14,-0.7308,11,-1.0736
ENSG00000160075,SSU72,78,-1.0441,188,0.34293,203,0.47138,207,0.59519,112,-0.4849,114,-0.4620,135,-0.1927,127,-0.2852
ENSG00000228594,FNDC10,4,-2.8149,37,0.58145,54,1.25509,18,-0.5850,21,-0.3482,26,-0.0029,35,0.53031,19,-0.4856
ENSG00000272106,AL691432.2,26,0.12010,13,-0.9278,18,-0.4724,46,1.31564,23,-0.0999,6,-2.0009,26,0.08509,15,-0.7613
ENSG00000197530,MIB2,11,-1.1629,34,0.63207,19,-0.3130,34,0.79701,19,-0.2937,23,0.02438,28,0.34446,4,-2.6606
ENSG00000248333,CDK11B,56,0.93499,22,-0.6139,23,-0.5244,17,-1.1227,33,0.06097,46,0.58995,34,0.06522,43,0.45518
ENSG00000008128,CDK11A,22,0.41673,19,0.20515,8,-1.0486,11,-0.7113,22,0.47005,29,0.92170,11,-0.6622,17,0.03071
ENSG00000215790,SLC35E2A,15,-0.4002,15,-0.3696,26,0.45863,15,-0.4972,20,0.02979,14,-0.5568,35,0.96025,22,0.16895
