Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,10,-1.9249,13,-1.4659,18,-1.1212,41,0.24196,54,0.87853,69,1.06929,27,-0.4319
ENSG00000188976,NOC2L,39,-0.4821,31,-0.8203,43,-0.3900,56,0.05694,89,1.06394,48,-0.1819,32,-0.8412
ENSG00000188290,HES4,15,-1.7363,65,0.50874,66,0.58667,44,-0.1441,43,-0.1759,59,0.33105,41,-0.2470
ENSG00000187608,ISG15,27,-0.7084,58,0.44997,58,0.51468,79,1.11946,25,-0.9893,33,-0.4319,27,-0.7728
ENSG00000188157,AGRN,22,-0.0833,11,-1.0931,16,-0.6340,27,0.26326,31,0.59535,23,-0.0395,22,-0.1118
ENSG00000078808,SDF4,63,-0.2152,61,-0.2524,86,0.31057,54,-0.4979,97,0.59160,56,-0.3916,58,-0.3639
ENSG00000176022,B3GALT6,16,-0.5922,15,-0.6603,33,0.56061,22,-0.1208,25,0.11763,26,0.12226,21,-0.1809
ENSG00000160087,UBE2J2,32,-0.4423,73,0.87049,28,-0.6913,41,-0.0566,53,0.41862,40,-0.0813,35,-0.3463
ENSG00000131584,ACAP3,64,-0.3756,50,-0.7369,23,-2.0027,44,-1.0175,154,1.42441,83,0.04088,91,0.20762
ENSG00000127054,INTS11,34,-0.6921,36,-0.6119,64,0.30885,44,-0.3377,73,0.62186,51,-0.0676,44,-0.3388
ENSG00000224051,CPTP,12,-0.7432,25,0.35808,12,-0.7707,27,0.56840,18,-0.1562,12,-0.6818,27,0.55075
ENSG00000107404,DVL1,24,-1.3865,106,0.88449,92,0.72953,50,-0.3487,54,-0.2232,47,-0.4025,56,-0.1642
ENSG00000175756,AURKAIP1,89,-0.7836,134,-0.1553,178,0.32539,233,0.82948,143,-0.0731,106,-0.5247,99,-0.6692
ENSG00000221978,CCNL2,73,0.20657,56,-0.2198,45,-0.5744,43,-0.6739,91,0.71927,78,0.29997,57,-0.2048
ENSG00000242485,MRPL20,92,-0.6337,132,-0.0726,182,0.48458,192,0.58786,133,-0.0759,103,-0.4531,93,-0.6537
ENSG00000179403,VWA1,149,2.65080,46,0.50877,63,1.16597,3,-3.6068,11,-1.8690,12,-1.5547,16,-1.1535
ENSG00000205090,TMEM240,3,-2.8115,3,-2.7793,10,-1.3623,24,-0.0267,44,1.25518,28,0.17286,30,0.33814
ENSG00000160075,SSU72,82,-0.9945,104,-0.6420,176,0.20016,208,0.49924,165,0.09960,97,-0.7439,169,0.12876
ENSG00000228594,FNDC10,7,-1.8026,8,-1.6691,15,-0.8851,38,0.72483,28,0.15955,13,-1.0434,44,1.00999
ENSG00000272106,AL691432.2,13,-0.5245,16,-0.2364,27,0.73192,16,-0.2395,17,-0.1152,17,-0.0999,18,-0.0575
ENSG00000197530,MIB2,17,-1.0097,21,-0.7338,26,-0.4375,27,-0.3729,59,1.17083,32,-0.1157,28,-0.3408
ENSG00000248333,CDK11B,67,1.03385,23,-0.6224,14,-1.4593,30,-0.2674,43,0.39600,59,0.81553,28,-0.3674
ENSG00000008128,CDK11A,43,1.24906,2,-3.3423,15,-0.4192,12,-0.8147,25,0.48230,22,0.18565,20,0.03242
ENSG00000215790,SLC35E2A,11,-1.4477,25,-0.2356,25,-0.2877,23,-0.3705,39,0.60335,19,-0.6299,40,0.57600
ENSG00000008130,NADK,11,-1.3545,27,0.02136,25,-0.1459,28,0.04294,38,0.68557,11,-1.3759,28,0.07911
ENSG00000078369,GNB1,264,-1.0332,767,0.62773,551,0.10426,642,0.37855,445,-0.2881,335,-0.6752,569,0.16051
ENSG00000187730,GABRD,11,-3.7818,88,-0.8403,66,-1.3435,263,1.02861,210,0.66982,196,0.40845,116,-0.4451
ENSG00000067606,PRKCZ,100,-0.9654,101,-0.9418,153,-0.3477,225,0.31958,239,0.48804,122,-0.6628,227,0.33892
ENSG00000162585,FAAP20,31,-0.1600,66,1.04450,32,-0.1687,42,0.32111,18,-1.1706,34,-0.0315,43,0.36870
ENSG00000157933,SKI,46,0.27378,109,1.74180,32,-0.3305,17,-1.2839,32,-0.3303,31,-0.3346,41,0.11364
ENSG00000157916,RER1,57,-0.0955,55,-0.1565,67,0.17513,60,-0.0250,69,0.24956,47,-0.3834,54,-0.1949
ENSG00000157911,PEX10,30,0.41276,35,0.65197,31,0.49644,33,0.58444,13,-1.0248,14,-0.7392,17,-0.5002
ENSG00000149527,PLCH2,17,0.07191,14,-0.1579,12,-0.4370,11,-0.5680,15,-0.1194,28,0.86917,21,0.43335
ENSG00000157881,PANK4,6,-1.2424,4,-1.9051,17,0.34456,20,0.62291,21,0.78570,4,-1.7217,9,-0.7010
ENSG00000197921,HES5,1,-4.1774,12,-0.4569,49,2.25690,16,-0.0203,6,-1.6776,8,-1.0029,14,-0.2769
ENSG00000157870,PRXL2B,10,-2.4681,71,0.37918,58,0.05433,75,0.51642,70,0.45312,21,-1.4765,47,-0.3124
ENSG00000177133,PRDM16-DT,9,-1.9942,20,-0.8107,121,2.75867,10,-1.9006,10,-2.0198,34,-0.0526,30,-0.2271
ENSG00000158109,TPRG1L,50,-1.8447,121,-0.5333,151,-0.2082,231,0.54182,210,0.41928,142,-0.2857,169,-0.0129
ENSG00000130764,LRRC47,35,-0.9848,41,-0.7569,67,-0.0158,76,0.21277,91,0.59452,55,-0.3149,60,-0.1940
ENSG00000116198,CEP104,87,1.65673,19,-0.8246,36,0.19701,17,-1.0168,23,-0.6216,56,0.87148,25,-0.4044
ENSG00000198912,C1orf174,18,0.28121,13,-0.2222,16,0.10869,20,0.55457,9,-0.8472,24,0.77165,12,-0.3814
