Feature ID,Feature Name,Feature count topic 1to8,Feature log2 fold change topic 1to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,11,-0.0701,13,0.21210,11,-0.1012
ENSG00000228794,LINC01128,36,0.90033,21,-0.6857,17,-0.9748
ENSG00000188976,NOC2L,54,0.53910,30,-0.8099,44,-0.2181
ENSG00000188290,HES4,27,1.11339,14,-0.7665,10,-1.3318
ENSG00000187608,ISG15,32,0.20723,34,0.12540,22,-0.5640
ENSG00000188157,AGRN,27,-0.2296,34,0.30149,30,0.09746
ENSG00000078808,SDF4,57,-0.3269,78,0.42928,65,0.13256
ENSG00000176022,B3GALT6,23,0.17412,25,0.19203,15,-0.5897
ENSG00000160087,UBE2J2,39,0.58434,24,-0.6423,27,-0.4246
ENSG00000131584,ACAP3,72,-0.3202,94,0.35148,86,0.20770
ENSG00000127054,INTS11,33,-0.1019,31,-0.1489,41,0.30177
ENSG00000224051,CPTP,15,0.10648,17,0.19011,11,-0.4349
ENSG00000107404,DVL1,40,-0.6114,84,1.04628,40,-0.1724
ENSG00000175756,AURKAIP1,166,0.58456,137,-0.1986,84,-0.9435
ENSG00000221978,CCNL2,53,-0.5988,73,0.37202,87,0.65525
ENSG00000242485,MRPL20,140,0.45707,92,-0.5699,112,-0.2690
ENSG00000235098,ANKRD65,31,0.27252,17,-0.8812,34,0.22004
ENSG00000179403,VWA1,20,-2.2391,47,0.48984,142,2.62320
ENSG00000197785,ATAD3A,14,-0.0410,16,0.19336,13,-0.1353
ENSG00000205090,TMEM240,30,1.72328,8,-1.6585,9,-1.5569
ENSG00000160075,SSU72,141,0.77120,87,-0.6202,78,-0.7905
ENSG00000228594,FNDC10,31,0.88642,30,0.06562,4,-2.8712
ENSG00000272106,AL691432.2,18,0.13827,11,-0.7836,23,0.35563
ENSG00000197530,MIB2,38,0.80786,17,-1.0900,26,-0.4471
ENSG00000248333,CDK11B,48,-0.8149,64,0.24363,105,1.07053
ENSG00000189339,SLC35E2B,24,1.22247,1,-3.7727,19,-0.1908
ENSG00000008128,CDK11A,14,-1.4962,27,0.57504,53,1.74645
ENSG00000008130,NADK,26,0.60975,10,-1.3498,24,-0.0162
ENSG00000078369,GNB1,479,0.64144,418,-0.1002,196,-1.2643
ENSG00000187730,GABRD,191,2.08451,72,-1.2480,17,-3.3240
ENSG00000067606,PRKCZ,261,0.85800,152,-0.7021,136,-0.8707
ENSG00000162585,FAAP20,38,-0.0527,37,-0.0547,42,0.14293
ENSG00000157933,SKI,26,-0.5953,36,0.39723,42,0.62754
ENSG00000157916,RER1,52,0.25424,30,-0.8031,57,0.20332
ENSG00000157911,PEX10,16,-0.3928,20,0.25147,22,0.43140
ENSG00000157870,PRXL2B,45,0.61894,38,-0.1680,21,-1.0778
ENSG00000177133,PRDM16-DT,17,-0.9156,52,1.63256,13,-0.6948
ENSG00000142611,PRDM16,12,-1.4209,50,2.01796,14,-0.1566
ENSG00000158109,TPRG1L,198,1.41518,93,-0.9741,55,-1.7408
ENSG00000116213,WRAP73,13,0.50638,2,-2.4215,16,0.41896
ENSG00000130764,LRRC47,79,0.82179,28,-1.4226,60,-0.2748
ENSG00000116198,CEP104,33,-1.3054,52,0.32123,112,1.66101
ENSG00000198912,C1orf174,12,0.57887,3,-2.0083,13,0.24700
ENSG00000196581,AJAP1,43,1.40078,15,-1.3890,17,-1.2111
ENSG00000069424,KCNAB2,179,1.57187,93,-0.8059,27,-2.6151
ENSG00000116254,CHD5,276,1.33756,148,-0.7714,70,-1.9004
ENSG00000116251,RPL22,461,-0.2961,587,0.31933,545,0.19895
ENSG00000116237,ICMT,41,0.80360,17,-1.1868,29,-0.3783
ENSG00000097021,ACOT7,212,2.10354,61,-1.6482,37,-2.3913
ENSG00000215788,TNFRSF25,18,1.13969,8,-1.0918,8,-1.0080
ENSG00000171680,PLEKHG5,18,1.65390,7,-1.1074,3,-2.1417
ENSG00000162408,NOL9,30,-0.1679,43,0.53394,25,-0.3401
ENSG00000162413,KLHL21,27,-0.1986,28,-0.0212,35,0.35283
ENSG00000116273,PHF13,16,0.77618,0,-5.1454,18,0.35269
ENSG00000041988,THAP3,15,0.02707,12,-0.3712,18,0.26662
ENSG00000007923,DNAJC11,32,0.41226,17,-0.8515,30,0.00232
ENSG00000171735,CAMTA1,445,0.71899,320,-0.3927,221,-0.9658
ENSG00000049245,VAMP3,19,-1.8150,36,0.40103,98,2.21334
ENSG00000049246,PER3,46,-1.5930,184,1.82854,96,0.63280
ENSG00000116288,PARK7,278,0.89594,154,-0.7737,145,-0.8672
ENSG00000116285,ERRFI1,28,0.61351,24,-0.0937,12,-1.1995
ENSG00000162426,SLC45A1,27,1.00726,11,-1.1003,14,-0.7656
ENSG00000142599,RERE,111,-0.4413,118,-0.0155,184,0.71656
ENSG00000074800,ENO1,434,-0.1423,732,0.83179,227,-1.0435
ENSG00000171612,SLC25A33,30,-0.1908,48,0.71094,21,-0.6039
ENSG00000188807,TMEM201,11,-0.5909,15,0.39062,17,0.62636
ENSG00000171603,CLSTN1,752,1.49258,326,-1.0864,208,-1.7548
ENSG00000178585,CTNNBIP1,30,0.33535,10,-1.5786,37,0.42119
ENSG00000162441,LZIC,48,-1.2374,95,0.71462,134,1.31550
ENSG00000130939,UBE4B,41,0.09478,19,-1.1300,58,0.56750
ENSG00000054523,KIF1B,515,-0.2893,506,-0.0987,754,0.55117
ENSG00000142657,PGD,58,0.40394,43,-0.4096,45,-0.3200
ENSG00000241563,CORT,80,2.78430,19,-1.8931,4,-4.2085
ENSG00000160049,DFFA,38,-1.1867,87,0.97336,89,1.01722
ENSG00000142655,PEX14,16,0.13251,19,0.26596,11,-0.6102
ENSG00000120948,TARDBP,75,-0.3185,85,0.12622,102,0.42128
ENSG00000271895,AL109811.2,17,-0.3786,29,0.81858,14,-0.3255
ENSG00000116649,SRM,53,-0.1071,71,0.44406,44,-0.3371
ENSG00000171824,EXOSC10,31,-0.5172,38,0.16549,52,0.69788
ENSG00000198793,MTOR,40,0.81011,14,-1.4745,31,-0.2335
ENSG00000116661,FBXO2,157,-0.0937,238,0.66095,97,-0.7700
ENSG00000132879,FBXO44,88,0.65900,77,-0.0847,34,-1.3469
ENSG00000116670,MAD2L2,13,-0.6996,16,0.11634,27,0.99472
ENSG00000177000,MTHFR,26,-0.0444,23,-0.1807,30,0.23581
ENSG00000011021,CLCN6,82,0.91457,42,-0.8813,45,-0.7944
ENSG00000116685,KIAA2013,33,-0.5523,42,0.27998,54,0.66059
ENSG00000083444,PLOD1,15,-0.6463,35,1.20738,13,-0.4123
ENSG00000116688,MFN2,117,0.44030,94,-0.2647,79,-0.5414
ENSG00000116691,MIIP,11,-0.4029,20,0.74956,11,-0.1499
ENSG00000048707,VPS13D,79,0.73857,37,-1.0427,58,-0.3706
ENSG00000162496,DHRS3,17,-1.2014,59,1.74638,20,-0.1074
ENSG00000116731,PRDM2,244,0.33311,202,-0.2305,185,-0.3717
ENSG00000189337,KAZN,57,-0.4721,55,-0.1682,103,0.85681
ENSG00000142634,EFHD2,112,1.38212,50,-1.0459,36,-1.5542
ENSG00000116138,DNAJC16,37,0.17228,31,-0.2115,34,-0.0985
ENSG00000197312,DDI2,40,0.31141,31,-0.3523,34,-0.2104
ENSG00000116786,PLEKHM2,107,0.01306,137,0.39745,76,-0.5423
ENSG00000065526,SPEN,165,-0.8215,176,-0.1259,407,1.29324
ENSG00000116809,ZBTB17,21,-1.0262,56,1.35686,29,0.23781
ENSG00000037637,FBXO42,19,-0.1179,24,0.37241,16,-0.2097
ENSG00000055070,SZRD1,18,-1.2097,27,0.27803,57,1.56679
ENSG00000157191,NECAP2,9,-2.1307,52,2.27477,26,0.91255
ENSG00000219481,NBPF1,18,-1.2175,25,0.08965,62,1.67521
ENSG00000159363,ATP13A2,108,1.14732,64,-0.6361,33,-1.6282
ENSG00000117118,SDHB,50,0.64175,41,-0.1862,23,-1.1044
ENSG00000117115,PADI2,40,-2.5782,143,0.97273,335,2.70340
ENSG00000179051,RCC2,20,0.50098,6,-1.7522,22,0.27078
ENSG00000074964,ARHGEF10L,14,-0.7402,40,1.52563,8,-1.0119
ENSG00000117154,IGSF21,61,1.75284,16,-1.7973,20,-1.4888
ENSG00000159423,ALDH4A1,19,-1.2717,64,1.70236,27,0.16612
ENSG00000127481,UBR4,42,0.02522,22,-1.0215,62,0.61382
ENSG00000127463,EMC1,31,0.41467,18,-0.7586,29,-0.0602
ENSG00000053372,MRTO4,41,0.60939,30,-0.3447,23,-0.7910
ENSG00000053371,AKR7A2,21,-0.6388,36,0.72161,29,0.36712
ENSG00000077549,CAPZB,140,0.26957,97,-0.5184,135,-0.0035
ENSG00000173436,MICOS10,295,0.93535,209,-0.3843,99,-1.5253
ENSG00000158747,NBL1,152,0.70474,123,-0.2065,63,-1.2324
ENSG00000169914,OTUD3,23,0.72392,22,0.08507,5,-2.0557
ENSG00000162545,CAMK2N1,1611,0.13508,1929,0.32099,1005,-0.7111
ENSG00000090432,MUL1,16,-0.6584,32,0.96225,19,0.07816
ENSG00000183114,FAM43B,23,1.20629,11,-0.9518,8,-1.2910
ENSG00000158828,PINK1,430,1.03872,271,-0.5579,148,-1.4798
ENSG00000244038,DDOST,27,0.63515,17,-0.5939,17,-0.5600
ENSG00000117245,KIF17,26,4.49335,0,-6.4760,2,-3.4991
ENSG00000189410,SH2D5,41,2.95811,3,-3.6284,7,-2.2867
ENSG00000127483,HP1BP3,245,-0.7010,335,0.31977,461,0.85340
ENSG00000075151,EIF4G3,259,0.37913,158,-0.6988,240,-0.0460
ENSG00000117298,ECE1,15,-1.6617,65,1.92011,32,0.61737
ENSG00000076864,RAP1GAP,132,1.58569,38,-1.6902,50,-1.2852
ENSG00000090686,USP48,73,-0.7389,77,-0.1141,167,1.18165
ENSG00000070831,CDC42,164,0.04587,133,-0.3279,186,0.20654
ENSG00000133216,EPHB2,11,-0.0369,1,-3.5143,23,1.11981
ENSG00000004487,KDM1A,60,0.58302,44,-0.3891,36,-0.6808
ENSG00000169641,LUZP1,174,1.69931,41,-1.9712,66,-1.2740
ENSG00000125944,HNRNPR,132,-0.2320,124,-0.1551,187,0.50561
ENSG00000125945,ZNF436,12,-0.5033,30,1.39212,4,-1.5782
ENSG00000142676,RPL11,340,-0.4542,406,0.17299,525,0.59616
ENSG00000011007,ELOA,26,-0.3622,24,-0.2366,44,0.74537
ENSG00000057757,PITHD1,155,1.07374,41,-1.8595,106,-0.4246
ENSG00000011009,LYPLA2,22,0.11724,32,0.59901,9,-1.2971
ENSG00000117305,HMGCL,14,-0.2403,18,0.33828,15,0.07574
ENSG00000189266,PNRC2,50,-0.7738,107,1.06145,63,0.17136
ENSG00000188529,SRSF10,64,-0.3410,70,0.05747,93,0.51302
ENSG00000001461,NIPAL3,132,-0.7479,102,-0.6147,343,1.41078
ENSG00000133226,SRRM1,169,-1.3468,290,0.44237,570,1.64242
ENSG00000169504,CLIC4,23,-2.5369,64,0.50664,214,2.91329
ENSG00000117614,SYF2,116,-0.2524,128,0.09686,149,0.33949
ENSG00000117616,RSRP1,55,-1.0270,114,0.88225,112,0.85683
ENSG00000183726,TMEM50A,65,-0.2187,83,0.33362,69,0.04035
ENSG00000204178,MACO1,59,-0.4681,76,0.29643,87,0.51346
ENSG00000117643,MAN1C1,33,2.39448,2,-3.5140,10,-1.5831
ENSG00000162430,SELENON,24,-0.5443,39,0.65656,31,0.26985
ENSG00000117640,MTFR1L,66,0.77656,34,-0.9053,43,-0.5321
ENSG00000117632,STMN1,1315,0.99109,415,-1.6139,908,-0.4197
ENSG00000158008,EXTL1,50,1.08026,41,-0.1262,5,-3.0388
ENSG00000175087,PDIK1L,18,0.39503,9,-0.9266,18,0.07107
ENSG00000142684,ZNF593,42,1.22961,8,-2.2647,27,-0.4809
ENSG00000142669,SH3BGRL3,131,0.01367,139,0.10000,120,-0.1317
ENSG00000158062,UBXN11,19,-0.0592,31,0.83220,7,-1.3597
ENSG00000117682,DHDDS,21,1.20833,9,-1.0866,8,-1.1426
ENSG00000198830,HMGN2,102,-1.0098,212,0.90590,200,0.80458
ENSG00000117713,ARID1A,79,-0.8857,129,0.53928,164,0.95221
ENSG00000204160,ZDHHC18,19,0.35145,15,-0.3489,15,-0.2844
ENSG00000142751,GPN2,18,-0.7701,41,1.13716,21,0.04006
ENSG00000090273,NUDC,230,0.46832,180,-0.2974,152,-0.5589
ENSG00000253368,TRNP1,44,1.59845,20,-0.9958,9,-2.2078
ENSG00000090020,SLC9A1,19,1.68563,10,-0.7332,1,-3.5401
ENSG00000142784,WDTC1,21,-0.3310,21,-0.0103,30,0.54967
ENSG00000186501,TMEM222,44,0.21861,34,-0.3507,41,-0.0536
