Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,23,-0.9210,39,-0.0739,42,0.05793,51,0.44285,45,0.15674,49,0.29907,27,-0.6735
ENSG00000188976,NOC2L,26,-1.1489,58,0.09714,53,-0.0490,80,0.79082,60,0.16160,43,-0.3812,36,-0.6542
ENSG00000188290,HES4,67,1.06943,33,-0.1697,33,-0.1640,44,0.37941,18,-1.1146,20,-0.9143,32,-0.2271
ENSG00000187608,ISG15,48,0.41468,45,0.33016,29,-0.4041,60,1.02846,18,-1.1269,8,-2.2910,28,-0.4304
ENSG00000188157,AGRN,22,0.04081,21,-0.0747,21,-0.0564,37,1.15045,14,-0.6989,13,-0.7326,8,-1.5560
ENSG00000078808,SDF4,69,0.25608,51,-0.2588,67,0.18874,74,0.44494,59,-0.0078,33,-0.9112,48,-0.3553
ENSG00000176022,B3GALT6,17,-0.5928,23,-0.1283,24,-0.0451,38,0.92794,22,-0.1860,10,-1.4165,25,0.01097
ENSG00000160087,UBE2J2,32,-0.2894,29,-0.4765,45,0.25205,59,0.87134,26,-0.6048,31,-0.3227,27,-0.5364
ENSG00000131584,ACAP3,65,-0.3780,58,-0.5744,109,0.46360,112,0.61863,103,0.36731,55,-0.6509,47,-0.8955
ENSG00000127054,INTS11,41,0.02952,28,-0.5908,47,0.24986,52,0.51249,45,0.15274,38,-0.1202,21,-1.0290
ENSG00000224051,CPTP,19,-0.1925,20,-0.1206,19,-0.2146,34,0.89667,12,-0.9192,15,-0.5881,21,-0.0242
ENSG00000107404,DVL1,82,0.61828,72,0.39784,87,0.73190,49,-0.2788,50,-0.1996,25,-1.2659,40,-0.5707
ENSG00000175756,AURKAIP1,188,0.29480,190,0.31175,223,0.58908,192,0.39655,71,-1.2450,90,-0.8838,113,-0.5354
ENSG00000221978,CCNL2,35,-0.6300,26,-1.0753,50,-0.0576,73,0.69220,101,1.15141,42,-0.3583,16,-1.7737
